"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"1";"EURJPY_M1_UTC2";"Buy";"2020.01.08 04:40:00";"120.938";"0,01000";"2020.01.10 21:00:00";"121.784";"5,39";"505,39";"IST";"End Of Friday (Time)";"-1,81";"5,70";"2d 16h 20m";"";"120.938";"2020.01.08 02:15:00";"120,02600";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"28,40";"89,50"
"3";"EURJPY_M1_UTC2";"Buy";"2020.01.15 03:00:00";"122.360";"0,01000";"2020.01.17 21:00:00";"122.157";"-1,29";"504,10";"IST";"End Of Friday (Time)";"-1,52";"3,25";"2d 18h 0m";"";"122.360";"2020.01.15 03:00:00";"121,80200";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"23,80";"51,00"
"6";"EURJPY_M1_UTC2";"Sell";"2020.02.03 03:00:00";"120.202";"0,01000";"2020.02.04 19:29:00";"120.919";"-4,57";"499,53";"IST";"SL";"-4,57";"1,62";"1d 16h 29m";"";"120.202";"2020.02.03 02:45:00";"120,90900";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"71,70";"25,40"
"7";"EURJPY_M1_UTC2";"Sell";"2020.02.06 02:54:00";"120.806";"0,01000";"2020.02.07 21:00:00";"120.151";"4,17";"503,70";"IST";"End Of Friday (Time)";"-1,55";"4,28";"1d 18h 6m";"";"120.806";"2020.02.06 02:15:00";"121,31700";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"24,30";"67,10"
"8";"EURJPY_M1_UTC2";"Buy";"2020.02.10 03:34:00";"120.195";"0,01000";"2020.02.11 15:35:00";"119.597";"-3,81";"499,89";"IST";"SL";"-3,81";"0,91";"1d 12h 1m";"";"120.195";"2020.02.10 02:30:00";"119,60700";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"59,80";"14,30"
"9";"EURJPY_M1_UTC2";"Buy";"2020.02.17 02:26:00";"118.990";"0,01000";"2020.02.21 21:00:00";"121.181";"13,96";"513,85";"IST";"End Of Friday (Time)";"-3,36";"15,33";"4d 18h 34m";"";"118.990";"2020.02.17 02:15:00";"118,43500";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"52,80";"240,50"
"10";"EURJPY_M1_UTC2";"Buy";"2020.02.24 02:20:00";"121.030";"0,01000";"2020.02.24 16:17:00";"120.103";"-5,91";"507,95";"IST";"SL";"-5,91";"0,25";"13h 57m";"";"121.030";"2020.02.24 02:15:00";"120,11300";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"92,70";"3,90"
"11";"EURJPY_M1_UTC2";"Buy";"2020.03.02 02:30:00";"118.939";"0,01000";"2020.03.06 21:00:00";"119.162";"1,42";"509,37";"IST";"End Of Friday (Time)";"-1,48";"12,80";"4d 18h 30m";"";"118.939";"2020.03.02 02:30:00";"117,17200";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"23,20";"200,90"
"12";"EURJPY_M1_UTC2";"Buy";"2020.03.10 08:16:00";"119.099";"0,01000";"2020.03.12 04:30:00";"117.312";"-11,39";"497,98";"IST";"SL";"-11,39";"2,44";"1d 20h 14m";"";"119.099";"2020.03.09 02:15:00";"117,32200";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"178,70";"38,30"
"13";"EURJPY_M1_UTC2";"Buy";"2020.03.13 02:30:00";"117.184";"0,01000";"2020.03.13 21:00:00";"119.288";"13,41";"511,39";"IST";"End Of Friday (Time)";"-1,92";"16,95";"18h 30m";"";"117.184";"2020.03.13 02:30:00";"114,14800";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"30,10";"265,90"
