"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"48";"EURJPY_M1_UTC2";"Sell";"2020.01.21 03:19:00";"122.029";"0,01000";"2020.01.24 19:00:00";"120.572";"9,29";"509,29";"IST";"End Of Friday (Time)";"-2,36";"9,53";"3d 15h 41m";"";"122.029";"2020.01.21 02:00:00";"122,82900";"120,12900";"Main: EURJPY_M1_UTC2/M15";"37,10";"149,60"
"96";"EURJPY_M1_UTC2";"Sell";"2020.02.18 02:45:00";"118.901";"0,01000";"2020.02.19 17:46:00";"119.711";"-5,16";"504,12";"IST";"SL";"-5,16";"2,61";"1d 15h 1m";"";"118.901";"2020.02.18 02:00:00";"119,70100";"117,00100";"Main: EURJPY_M1_UTC2/M15";"81,00";"40,90"
"102";"EURJPY_M1_UTC2";"Sell";"2020.02.24 11:54:00";"120.343";"0,01000";"2020.02.28 17:59:00";"118.443";"12,11";"516,23";"IST";"PT";"-4,63";"12,11";"4d 6h 5m";"";"120.343";"2020.02.24 10:15:00";"121,14300";"118,44300";"Main: EURJPY_M1_UTC2/M15";"72,70";"190,00"
"126";"EURJPY_M1_UTC2";"Sell";"2020.03.05 23:00:00";"119.015";"0,01000";"2020.03.06 19:00:00";"119.238";"-1,42";"514,81";"IST";"End Of Friday (Time)";"-2,85";"1,77";"20h 0m";"";"119.015";"2020.03.05 22:00:00";"119,81500";"117,11500";"Main: EURJPY_M1_UTC2/M15";"44,70";"27,80"
"140";"EURJPY_M1_UTC2";"Buy";"2020.03.19 02:04:00";"118.524";"0,01000";"2020.03.19 19:01:00";"117.714";"-5,16";"509,65";"IST";"SL";"-5,16";"5,10";"16h 57m";"";"118.524";"2020.03.19 02:00:00";"117,72400";"120,42400";"Main: EURJPY_M1_UTC2/M15";"81,00";"80,00"
"142";"EURJPY_M1_UTC2";"Buy";"2020.03.19 22:22:00";"118.535";"0,01000";"2020.03.20 19:00:00";"118.901";"2,33";"511,98";"IST";"End Of Friday (Time)";"-4,42";"4,84";"20h 38m";"";"118.535";"2020.03.19 21:15:00";"117,73500";"120,43500";"Main: EURJPY_M1_UTC2/M15";"69,40";"75,90"
"162";"EURJPY_M1_UTC2";"Buy";"2020.04.09 15:57:00";"118.701";"0,01000";"2020.04.10 19:00:00";"118.646";"-0,35";"511,63";"IST";"End Of Friday (Time)";"-2,05";"1,91";"1d 3h 3m";"";"118.701";"2020.04.09 14:00:00";"117,90100";"120,60100";"Main: EURJPY_M1_UTC2/M15";"32,10";"29,90"
"291";"EURJPY_M1_UTC2";"Buy";"2020.07.06 01:02:00";"120.966";"0,01000";"2020.07.10 19:00:00";"120.820";"-0,93";"510,70";"IST";"End Of Friday (Time)";"-4,44";"6,37";"4d 17h 58m";"";"120.966";"2020.07.06 00:03:00";"120,16600";"122,86600";"Main: EURJPY_M1_UTC2/M15";"69,70";"100,00"
"319";"EURJPY_M1_UTC2";"Buy";"2020.08.11 11:24:00";"124.891";"0,01000";"2020.08.14 19:00:00";"125.998";"7,05";"517,75";"IST";"End Of Friday (Time)";"-0,40";"11,88";"3d 7h 36m";"";"124.891";"2020.08.11 10:00:00";"124,09100";"126,79100";"Main: EURJPY_M1_UTC2/M15";"6,30";"186,40"
"364";"EURJPY_M1_UTC2";"Sell";"2020.09.14 17:39:00";"125.369";"0,01000";"2020.09.17 06:18:00";"123.469";"12,11";"529,86";"IST";"PT";"-2,73";"12,11";"2d 12h 39m";"";"125.369";"2020.09.14 16:00:00";"126,16900";"123,46900";"Main: EURJPY_M1_UTC2/M15";"42,90";"190,00"
"406";"EURJPY_M1_UTC2";"Buy";"2020.10.23 18:00:00";"124.106";"0,01000";"2020.10.23 19:00:00";"124.078";"-0,18";"529,68";"IST";"End Of Friday (Time)";"-0,51";"0,11";"1h 0m";"";"124.106";"2020.10.23 17:15:00";"123,30600";"126,00600";"Main: EURJPY_M1_UTC2/M15";"8,00";"1,80"
"423";"EURJPY_M1_UTC2";"Buy";"2020.11.11 09:05:00";"124.609";"0,01000";"2020.11.12 08:13:00";"123.799";"-5,16";"524,52";"IST";"SL";"-5,16";"0,41";"23h 8m";"";"124.609";"2020.11.11 08:00:00";"123,80900";"126,50900";"Main: EURJPY_M1_UTC2/M15";"81,00";"6,50"
"437";"EURJPY_M1_UTC2";"Sell";"2020.11.26 11:49:00";"124.139";"0,01000";"2020.11.27 19:00:00";"124.437";"-1,90";"522,62";"IST";"End Of Friday (Time)";"-2,02";"1,34";"1d 7h 11m";"";"124.139";"2020.11.26 10:00:00";"124,93900";"122,23900";"Main: EURJPY_M1_UTC2/M15";"31,70";"21,00"
"456";"EURJPY_M1_UTC2";"Buy";"2020.12.04 12:40:00";"126.661";"0,01000";"2020.12.04 19:00:00";"126.447";"-1,36";"521,26";"IST";"End Of Friday (Time)";"-2,53";"0,13";"6h 20m";"";"126.661";"2020.12.04 12:00:00";"125,86100";"128,56100";"Main: EURJPY_M1_UTC2/M15";"39,70";"2,10"
"473";"EURJPY_M1_UTC2";"Buy";"2021.01.06 08:48:00";"126.558";"0,01000";"2021.01.08 19:00:00";"127.278";"4,59";"525,85";"IST";"End Of Friday (Time)";"-0,50";"5,95";"2d 10h 12m";"";"126.558";"2021.01.06 08:00:00";"125,75800";"128,45799";"Main: EURJPY_M1_UTC2/M15";"7,90";"93,40"
"487";"EURJPY_M1_UTC2";"Buy";"2021.01.19 03:15:00";"125.491";"0,01000";"2021.01.22 19:00:00";"126.354";"5,50";"531,35";"IST";"End Of Friday (Time)";"-1,42";"5,79";"3d 15h 45m";"";"125.491";"2021.01.19 02:00:00";"124,69100";"127,39100";"Main: EURJPY_M1_UTC2/M15";"22,30";"90,80"
"496";"EURJPY_M1_UTC2";"Sell";"2021.01.25 17:27:00";"125.887";"0,01000";"2021.01.28 16:04:00";"126.697";"-5,16";"526,19";"IST";"SL";"-5,16";"1,65";"2d 22h 37m";"";"125.887";"2021.01.25 16:00:00";"126,68700";"123,98700";"Main: EURJPY_M1_UTC2/M15";"81,00";"25,90"
"511";"EURJPY_M1_UTC2";"Buy";"2021.02.10 08:41:00";"126.856";"0,01000";"2021.02.12 19:00:00";"127.243";"2,47";"528,65";"IST";"End Of Friday (Time)";"-1,34";"2,87";"2d 10h 19m";"";"126.856";"2021.02.10 08:15:00";"126,05600";"128,75600";"Main: EURJPY_M1_UTC2/M15";"21,10";"45,00"
"528";"EURJPY_M1_UTC2";"Buy";"2021.02.22 12:42:00";"128.190";"0,01000";"2021.02.26 19:00:00";"128.943";"4,80";"533,45";"IST";"End Of Friday (Time)";"-4,38";"11,37";"4d 6h 18m";"";"128.190";"2021.02.22 12:30:00";"127,39000";"130,09000";"Main: EURJPY_M1_UTC2/M15";"68,70";"178,40"
"533";"EURJPY_M1_UTC2";"Sell";"2021.03.02 09:51:00";"128.212";"0,01000";"2021.03.02 20:03:00";"129.022";"-5,16";"528,29";"IST";"SL";"-5,16";"0,01";"10h 12m";"";"128.212";"2021.03.02 08:00:00";"129,01199";"126,31200";"Main: EURJPY_M1_UTC2/M15";"81,00";"0,10"
"539";"EURJPY_M1_UTC2";"Buy";"2021.03.25 07:15:00";"128.866";"0,01000";"2021.03.26 19:00:00";"129.231";"2,33";"530,61";"IST";"End Of Friday (Time)";"-3,08";"3,79";"1d 11h 45m";"";"128.866";"2021.03.25 06:00:00";"128,06599";"130,76601";"Main: EURJPY_M1_UTC2/M15";"48,40";"59,40"
"565";"EURJPY_M1_UTC2";"Buy";"2021.04.22 03:26:00";"130.149";"0,01000";"2021.04.23 19:00:00";"130.262";"0,72";"531,33";"IST";"End Of Friday (Time)";"-3,57";"2,03";"1d 15h 34m";"";"130.149";"2021.04.22 02:15:00";"129,34900";"132,04900";"Main: EURJPY_M1_UTC2/M15";"56,00";"31,80"
"609";"EURJPY_M1_UTC2";"Sell";"2021.05.21 14:58:00";"132.697";"0,01000";"2021.05.21 19:00:00";"132.696";"0,01";"531,34";"IST";"End Of Friday (Time)";"-1,11";"0,87";"4h 2m";"";"132.697";"2021.05.21 14:00:00";"133,49699";"130,79700";"Main: EURJPY_M1_UTC2/M15";"17,40";"13,60"
"617";"EURJPY_M1_UTC2";"Buy";"2021.05.27 15:14:00";"133.417";"0,01000";"2021.05.28 19:00:00";"133.932";"3,28";"534,62";"IST";"End Of Friday (Time)";"-1,12";"4,07";"1d 3h 46m";"";"133.417";"2021.05.27 14:00:00";"132,61700";"135,31700";"Main: EURJPY_M1_UTC2/M15";"17,60";"63,80"
"658";"EURJPY_M1_UTC2";"Sell";"2021.06.16 10:12:00";"133.270";"0,01000";"2021.06.17 18:55:00";"131.370";"12,11";"546,73";"IST";"PT";"-1,07";"12,11";"1d 8h 43m";"";"133.270";"2021.06.16 10:00:00";"134,07001";"131,37000";"Main: EURJPY_M1_UTC2/M15";"16,80";"190,00"
"670";"EURJPY_M1_UTC2";"Buy";"2021.06.21 22:15:00";"131.453";"0,01000";"2021.06.25 19:00:00";"132.265";"5,17";"551,91";"IST";"End Of Friday (Time)";"-1,51";"7,90";"3d 20h 45m";"";"131.453";"2021.06.21 22:00:00";"130,65300";"133,35300";"Main: EURJPY_M1_UTC2/M15";"23,70";"124,00"
"702";"EURJPY_M1_UTC2";"Sell";"2021.07.13 15:02:00";"130.443";"0,01000";"2021.07.16 19:00:00";"130.095";"2,22";"554,12";"IST";"End Of Friday (Time)";"-1,40";"5,11";"3d 3h 58m";"";"130.443";"2021.07.13 14:00:00";"131,24300";"128,54300";"Main: EURJPY_M1_UTC2/M15";"22,00";"80,20"
"720";"EURJPY_M1_UTC2";"Buy";"2021.08.10 11:14:00";"129.662";"0,01000";"2021.08.13 19:00:00";"129.454";"-1,33";"552,80";"IST";"End Of Friday (Time)";"-1,90";"0,90";"3d 7h 46m";"";"129.662";"2021.08.10 10:00:00";"128,86200";"131,56200";"Main: EURJPY_M1_UTC2/M15";"29,80";"14,20"
"796";"EURJPY_M1_UTC2";"Buy";"2021.10.04 10:53:00";"129.049";"0,01000";"2021.10.08 19:00:00";"129.775";"4,63";"557,42";"IST";"End Of Friday (Time)";"-4,57";"4,81";"4d 8h 7m";"";"129.049";"2021.10.04 10:00:00";"128,24899";"130,94901";"Main: EURJPY_M1_UTC2/M15";"71,70";"75,50"
