"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"4";"EURJPY_M1_UTC2";"Sell";"2020.01.02 16:26:00";"121.571";"0,01000";"2020.01.03 16:31:00";"120.671";"5,74";"505,74";"IST";"TrailingStop";"-0,20";"8,76";"1d 0h 5m";"";"121.571";"2020.01.02 12:00:00";"121,97100";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"3,10";"137,40"
"68";"EURJPY_M1_UTC2";"Sell";"2020.01.17 12:58:00";"122.412";"0,01000";"2020.01.17 19:00:00";"122.228";"1,17";"506,91";"IST";"End Of Friday (Time)";"-0,28";"1,66";"6h 2m";"";"122.412";"2020.01.17 09:30:00";"122,81200";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"4,40";"26,00"
"136";"EURJPY_M1_UTC2";"Sell";"2020.02.07 12:14:00";"120.166";"0,01000";"2020.02.07 15:21:00";"120.576";"-2,61";"504,30";"IST";"SL";"-2,61";"0,06";"3h 7m";"";"120.166";"2020.02.07 08:45:00";"120,56600";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"41,00";"1,00"
"151";"EURJPY_M1_UTC2";"Buy";"2020.02.12 10:33:00";"120.209";"0,01000";"2020.02.12 17:19:00";"119.799";"-2,61";"501,68";"IST";"SL";"-2,61";"0,59";"6h 46m";"";"120.209";"2020.02.12 07:45:00";"119,80900";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"41,00";"9,30"
"347";"EURJPY_M1_UTC2";"Buy";"2020.04.06 03:37:00";"117.877";"0,01000";"2020.04.06 11:31:00";"117.824";"-0,34";"501,34";"IST";"TrailingStop";"-1,55";"2,73";"7h 54m";"";"117.877";"2020.04.06 00:15:00";"117,47700";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"24,30";"42,80"
"376";"EURJPY_M1_UTC2";"Sell";"2020.04.13 04:00:00";"118.263";"0,01000";"2020.04.14 05:02:00";"117.824";"2,80";"504,14";"IST";"TrailingStop";"-0,41";"5,91";"1d 1h 2m";"";"118.263";"2020.04.13 00:30:00";"118,66300";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"6,50";"92,70"
"439";"EURJPY_M1_UTC2";"Buy";"2020.04.30 17:56:00";"117.013";"0,01000";"2020.05.01 01:03:00";"117.262";"1,59";"505,73";"IST";"TrailingStop";"-1,23";"4,86";"7h 7m";"";"117.013";"2020.04.30 13:00:00";"116,61300";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"19,30";"76,20"
"565";"EURJPY_M1_UTC2";"Buy";"2020.06.02 11:50:00";"120.401";"0,01000";"2020.06.03 04:34:00";"121.302";"5,74";"511,47";"IST";"TrailingStop";"-0,75";"8,92";"16h 44m";"";"120.401";"2020.06.02 09:45:00";"120,00100";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"11,70";"140,00"
"571";"EURJPY_M1_UTC2";"Buy";"2020.06.04 17:53:00";"123.643";"0,01000";"2020.06.05 11:51:00";"123.903";"1,66";"513,13";"IST";"TrailingStop";"-2,24";"5,01";"17h 58m";"";"123.643";"2020.06.04 13:30:00";"123,24300";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"35,10";"78,60"
"578";"EURJPY_M1_UTC2";"Sell";"2020.06.08 19:57:00";"122.233";"0,01000";"2020.06.09 01:57:00";"122.643";"-2,61";"510,52";"IST";"SL";"-2,61";"0,00";"6h 0m";"";"122.233";"2020.06.08 15:30:00";"122,63300";"-100000000,00000";"Main: EURJPY_M1_UTC2/M15";"41,00";"0,00"
