"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"4";"EURJPY_M1_UTC2";"Buy";"2020.01.28 03:03:00";"120.069";"0,01000";"2020.01.31 19:00:00";"120.231";"1,03";"501,03";"IST";"End Of Friday (Time)";"-1,87";"2,22";"3d 15h 57m";"";"120.069";"2020.01.28 03:00:00";"119,26900";"122,01900";"Main: EURJPY_M1_UTC2/M30";"29,40";"34,90"
"5";"EURJPY_M1_UTC2";"Buy";"2020.02.17 01:40:00";"119.101";"0,01000";"2020.02.20 12:52:00";"121.051";"12,43";"513,46";"IST";"PT";"-4,07";"12,43";"3d 11h 12m";"";"119.101";"2020.02.17 00:30:00";"118,30100";"121,05100";"Main: EURJPY_M1_UTC2/M30";"63,90";"195,00"
"7";"EURJPY_M1_UTC2";"Sell";"2020.02.24 10:44:00";"120.500";"0,01000";"2020.02.28 17:41:00";"118.550";"12,43";"525,89";"IST";"PT";"-3,63";"12,43";"4d 6h 57m";"";"120.500";"2020.02.24 09:30:00";"121,30000";"118,55000";"Main: EURJPY_M1_UTC2/M30";"57,00";"195,00"
"8";"EURJPY_M1_UTC2";"Sell";"2020.05.21 04:39:00";"118.003";"0,01000";"2020.05.22 19:00:00";"117.154";"5,41";"531,30";"IST";"End Of Friday (Time)";"-3,52";"6,23";"1d 14h 21m";"";"118.003";"2020.05.21 00:30:00";"118,80300";"116,05300";"Main: EURJPY_M1_UTC2/M30";"55,20";"97,80"
"9";"EURJPY_M1_UTC2";"Sell";"2020.06.02 00:30:00";"119.739";"0,01000";"2020.06.02 12:40:00";"120.549";"-5,16";"526,13";"IST";"SL";"-5,16";"0,55";"12h 10m";"";"119.739";"2020.06.02 00:00:00";"120,53900";"117,78900";"Main: EURJPY_M1_UTC2/M30";"81,00";"8,70"
"11";"EURJPY_M1_UTC2";"Sell";"2020.06.02 22:34:00";"121.316";"0,01000";"2020.06.03 12:52:00";"122.126";"-5,16";"520,97";"IST";"SL";"-5,16";"0,13";"14h 18m";"";"121.316";"2020.06.02 20:00:00";"122,11600";"119,36600";"Main: EURJPY_M1_UTC2/M30";"81,00";"2,00"
"13";"EURJPY_M1_UTC2";"Buy";"2020.06.11 11:35:00";"121.782";"0,01000";"2020.06.11 20:27:00";"120.972";"-5,16";"515,81";"IST";"SL";"-5,16";"0,38";"8h 52m";"";"121.782";"2020.06.11 07:00:00";"120,98200";"123,73200";"Main: EURJPY_M1_UTC2/M30";"81,00";"5,90"
"15";"EURJPY_M1_UTC2";"Buy";"2020.07.06 01:02:00";"120.970";"0,01000";"2020.07.10 19:00:00";"120.820";"-0,96";"514,85";"IST";"End Of Friday (Time)";"-4,47";"6,35";"4d 17h 58m";"";"120.970";"2020.07.06 00:03:00";"120,17000";"122,92000";"Main: EURJPY_M1_UTC2/M30";"70,10";"99,60"
"16";"EURJPY_M1_UTC2";"Buy";"2020.09.08 09:06:00";"125.641";"0,01000";"2020.09.08 16:37:00";"124.831";"-5,16";"509,69";"IST";"SL";"-5,16";"0,01";"7h 31m";"";"125.641";"2020.09.08 03:30:00";"124,84100";"127,59100";"Main: EURJPY_M1_UTC2/M30";"81,00";"0,10"
"20";"EURJPY_M1_UTC2";"Sell";"2020.09.14 16:25:00";"125.733";"0,01000";"2020.09.17 03:15:00";"123.783";"12,43";"522,12";"IST";"PT";"-0,41";"12,43";"2d 10h 50m";"";"125.733";"2020.09.14 16:00:00";"126,53300";"123,78300";"Main: EURJPY_M1_UTC2/M30";"6,50";"195,00"
