"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"6";"EURJPY_M1_UTC2";"Buy";"2020.01.08 18:41:00";"121.122";"0,01000";"2020.01.10 19:00:00";"121.742";"3,95";"503,95";"IST";"End Of Friday (Time)";"-0,22";"4,53";"2d 0h 19m";"";"121.122";"2020.01.08 17:00:00";"120,52200";"123,12200";"Main: EURJPY_M1_UTC2/M30";"3,40";"71,10"
"10";"EURJPY_M1_UTC2";"Sell";"2020.01.21 03:19:00";"122.030";"0,01000";"2020.01.24 19:00:00";"120.572";"9,29";"513,24";"IST";"End Of Friday (Time)";"-2,36";"9,54";"3d 15h 41m";"";"122.030";"2020.01.21 00:00:00";"122,63000";"120,03000";"Main: EURJPY_M1_UTC2/M30";"37,00";"149,70"
"13";"EURJPY_M1_UTC2";"Buy";"2020.01.28 21:14:00";"120.238";"0,01000";"2020.01.31 19:00:00";"120.231";"-0,04";"513,20";"IST";"End Of Friday (Time)";"-2,95";"1,15";"2d 21h 46m";"";"120.238";"2020.01.28 20:00:00";"119,63800";"122,23800";"Main: EURJPY_M1_UTC2/M30";"46,30";"18,00"
"18";"EURJPY_M1_UTC2";"Sell";"2020.02.12 09:10:00";"119.765";"0,01000";"2020.02.14 19:00:00";"119.020";"4,75";"517,95";"IST";"End Of Friday (Time)";"-3,61";"5,54";"2d 9h 50m";"";"119.765";"2020.02.12 08:30:00";"120,36500";"117,76500";"Main: EURJPY_M1_UTC2/M30";"56,70";"87,00"
"20";"EURJPY_M1_UTC2";"Buy";"2020.02.17 09:57:00";"119.129";"0,01000";"2020.02.18 15:34:00";"118.519";"-3,89";"514,06";"IST";"SL";"-3,89";"0,41";"1d 5h 37m";"";"119.129";"2020.02.17 09:00:00";"118,52900";"121,12900";"Main: EURJPY_M1_UTC2/M30";"61,00";"6,50"
"21";"EURJPY_M1_UTC2";"Sell";"2020.02.18 20:51:00";"118.648";"0,01000";"2020.02.19 12:44:00";"119.258";"-3,89";"510,17";"IST";"SL";"-3,89";"0,40";"15h 53m";"";"118.648";"2020.02.18 17:00:00";"119,24800";"116,64800";"Main: EURJPY_M1_UTC2/M30";"61,00";"6,30"
"22";"EURJPY_M1_UTC2";"Sell";"2020.02.24 02:54:00";"120.819";"0,01000";"2020.02.26 10:07:00";"120.227";"3,77";"513,94";"IST";"TrailingStop";"-0,59";"8,79";"2d 7h 13m";"";"120.819";"2020.02.24 02:00:00";"121,41900";"118,81900";"Main: EURJPY_M1_UTC2/M30";"9,30";"137,90"
"27";"EURJPY_M1_UTC2";"Sell";"2020.03.05 09:11:00";"119.413";"0,01000";"2020.03.06 19:00:00";"119.238";"1,12";"515,06";"IST";"End Of Friday (Time)";"-2,36";"4,31";"1d 9h 49m";"";"119.413";"2020.03.05 08:30:00";"120,01300";"117,41300";"Main: EURJPY_M1_UTC2/M30";"37,10";"67,60"
"30";"EURJPY_M1_UTC2";"Buy";"2020.03.12 20:03:00";"117.674";"0,01000";"2020.03.12 23:24:00";"117.300";"-2,38";"512,68";"IST";"TrailingStop";"-2,38";"4,22";"3h 21m";"";"117.674";"2020.03.12 17:30:00";"117,07400";"119,67400";"Main: EURJPY_M1_UTC2/M30";"37,40";"66,20"
"31";"EURJPY_M1_UTC2";"Buy";"2020.03.13 07:39:00";"118.150";"0,01000";"2020.03.13 16:39:00";"118.870";"4,59";"517,26";"IST";"TrailingStop";"-1,30";"10,39";"9h 0m";"";"118.150";"2020.03.12 23:30:00";"117,55000";"120,15000";"Main: EURJPY_M1_UTC2/M30";"20,40";"163,10"
"32";"EURJPY_M1_UTC2";"Buy";"2020.03.19 02:02:00";"118.369";"0,01000";"2020.03.19 10:43:00";"118.486";"0,75";"518,01";"IST";"TrailingStop";"-0,74";"6,09";"8h 41m";"";"118.369";"2020.03.19 00:03:00";"117,76900";"120,36900";"Main: EURJPY_M1_UTC2/M30";"11,60";"95,50"
"38";"EURJPY_M1_UTC2";"Buy";"2020.04.09 03:53:00";"118.599";"0,01000";"2020.04.10 19:00:00";"118.646";"0,30";"518,31";"IST";"End Of Friday (Time)";"-3,36";"2,56";"1d 15h 7m";"";"118.599";"2020.04.09 00:00:00";"117,99900";"120,59900";"Main: EURJPY_M1_UTC2/M30";"52,70";"40,10"
"53";"EURJPY_M1_UTC2";"Sell";"2020.05.21 18:17:00";"117.911";"0,01000";"2020.05.22 19:00:00";"117.154";"4,82";"523,13";"IST";"End Of Friday (Time)";"-1,26";"5,65";"1d 0h 43m";"";"117.911";"2020.05.21 17:00:00";"118,51100";"115,91100";"Main: EURJPY_M1_UTC2/M30";"19,80";"88,60"
"72";"EURJPY_M1_UTC2";"Buy";"2020.07.06 01:00:00";"120.952";"0,01000";"2020.07.09 17:19:00";"121.253";"1,92";"525,05";"IST";"TrailingStop";"-0,31";"6,46";"3d 16h 19m";"";"120.952";"2020.07.06 00:03:00";"120,35200";"122,95200";"Main: EURJPY_M1_UTC2/M30";"4,90";"101,40"
"79";"EURJPY_M1_UTC2";"Buy";"2020.08.11 08:16:00";"124.746";"0,01000";"2020.08.13 14:17:00";"126.746";"12,75";"537,80";"IST";"PT";"-1,57";"12,75";"2d 6h 1m";"";"124.746";"2020.08.11 00:00:00";"124,14600";"126,74600";"Main: EURJPY_M1_UTC2/M30";"24,70";"200,00"
"84";"EURJPY_M1_UTC2";"Buy";"2020.09.03 12:45:00";"125.914";"0,01000";"2020.09.03 18:19:00";"125.304";"-3,89";"533,91";"IST";"SL";"-3,89";"0,69";"5h 34m";"";"125.914";"2020.09.03 10:00:00";"125,31400";"127,91400";"Main: EURJPY_M1_UTC2/M30";"61,00";"10,90"
"87";"EURJPY_M1_UTC2";"Buy";"2020.09.08 09:07:00";"125.657";"0,01000";"2020.09.08 15:39:00";"125.047";"-3,89";"530,02";"IST";"SL";"-3,89";"0,00";"6h 32m";"";"125.657";"2020.09.08 08:30:00";"125,05700";"127,65700";"Main: EURJPY_M1_UTC2/M30";"61,00";"0,00"
"91";"EURJPY_M1_UTC2";"Sell";"2020.09.15 03:16:00";"125.360";"0,01000";"2020.09.17 06:19:00";"123.360";"12,75";"542,77";"IST";"PT";"-2,79";"12,75";"2d 3h 3m";"";"125.360";"2020.09.14 22:30:00";"125,96000";"123,36000";"Main: EURJPY_M1_UTC2/M30";"43,80";"200,00"
"95";"EURJPY_M1_UTC2";"Buy";"2020.09.23 18:16:00";"123.106";"0,01000";"2020.09.25 19:00:00";"122.662";"-2,83";"539,94";"IST";"End Of Friday (Time)";"-3,35";"0,54";"2d 0h 44m";"";"123.106";"2020.09.23 17:00:00";"122,50600";"125,10600";"Main: EURJPY_M1_UTC2/M30";"52,60";"8,40"
"100";"EURJPY_M1_UTC2";"Buy";"2020.10.23 13:01:00";"124.007";"0,01000";"2020.10.23 19:00:00";"124.078";"0,45";"540,39";"IST";"End Of Friday (Time)";"-0,40";"1,31";"5h 59m";"";"124.007";"2020.10.23 08:30:00";"123,40700";"126,00700";"Main: EURJPY_M1_UTC2/M30";"6,30";"20,50"
"102";"EURJPY_M1_UTC2";"Sell";"2020.11.03 09:07:00";"121.825";"0,01000";"2020.11.03 11:24:00";"122.435";"-3,89";"536,50";"IST";"SL";"-3,89";"0,00";"2h 17m";"";"121.825";"2020.11.03 08:30:00";"122,42500";"119,82500";"Main: EURJPY_M1_UTC2/M30";"61,00";"0,00"
"104";"EURJPY_M1_UTC2";"Sell";"2020.11.04 04:08:00";"122.098";"0,01000";"2020.11.04 05:17:00";"122.708";"-3,89";"532,62";"IST";"SL";"-3,89";"0,26";"1h 9m";"";"122.098";"2020.11.03 20:00:00";"122,69800";"120,09800";"Main: EURJPY_M1_UTC2/M30";"61,00";"4,10"
"108";"EURJPY_M1_UTC2";"Buy";"2020.11.12 11:25:00";"124.337";"0,01000";"2020.11.13 15:40:00";"123.743";"-3,79";"528,83";"IST";"TrailingStop";"-3,79";"1,04";"1d 4h 15m";"";"124.337";"2020.11.12 03:30:00";"123,73700";"126,33700";"Main: EURJPY_M1_UTC2/M30";"59,40";"16,30"
"110";"EURJPY_M1_UTC2";"Sell";"2020.11.26 10:53:00";"124.290";"0,01000";"2020.11.27 19:00:00";"124.437";"-0,94";"527,89";"IST";"End Of Friday (Time)";"-1,06";"2,30";"1d 8h 7m";"";"124.290";"2020.11.26 08:30:00";"124,89000";"122,29000";"Main: EURJPY_M1_UTC2/M30";"16,60";"36,10"
"112";"EURJPY_M1_UTC2";"Sell";"2020.12.03 10:49:00";"126.364";"0,01000";"2020.12.04 19:00:00";"126.497";"-0,85";"527,05";"IST";"End Of Friday (Time)";"-2,22";"1,95";"1d 8h 11m";"";"126.364";"2020.12.03 08:30:00";"126,96400";"124,36400";"Main: EURJPY_M1_UTC2/M30";"34,80";"30,60"
"115";"EURJPY_M1_UTC2";"Sell";"2020.12.24 17:50:00";"126.247";"0,01000";"2020.12.28 00:10:00";"126.134";"0,72";"527,77";"IST";"End Of Friday";"-1,07";"1,39";"3d 6h 20m";"";"126.247";"2020.12.24 17:00:00";"126,84700";"124,24700";"Main: EURJPY_M1_UTC2/M30";"16,80";"21,80"
