"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"7";"EURJPY_M1_UTC2";"Sell";"2020.01.07 16:01:00";"120.961";"0,01000";"2020.01.09 15:53:00";"121.721";"-4,84";"495,16";"IST";"SL";"-4,84";"4,87";"1d 23h 52m";"";"120.961";"2020.01.07 14:00:00";"121,71100";"119,16100";"Main: EURJPY_M1_UTC2/H1";"76,00";"76,40"
"37";"EURJPY_M1_UTC2";"Sell";"2020.01.30 14:01:00";"119.989";"0,01000";"2020.01.31 20:00:00";"120.202";"-1,36";"493,80";"IST";"End Of Friday (Time)";"-2,84";"1,17";"1d 5h 59m";"";"119.989";"2020.01.30 14:00:00";"120,73900";"118,18900";"Main: EURJPY_M1_UTC2/H1";"44,60";"18,40"
"51";"EURJPY_M1_UTC2";"Buy";"2020.02.10 03:44:00";"120.254";"0,01000";"2020.02.13 01:48:00";"119.494";"-4,84";"488,96";"IST";"SL";"-4,84";"0,54";"2d 22h 4m";"";"120.254";"2020.02.10 00:00:00";"119,50400";"122,05400";"Main: EURJPY_M1_UTC2/H1";"76,00";"8,40"
"65";"EURJPY_M1_UTC2";"Buy";"2020.02.19 14:24:00";"119.277";"0,01000";"2020.02.20 12:52:00";"121.077";"11,47";"500,43";"IST";"PT";"-0,27";"11,47";"22h 28m";"";"119.277";"2020.02.19 08:00:00";"118,52700";"121,07700";"Main: EURJPY_M1_UTC2/H1";"4,30";"180,00"
"66";"EURJPY_M1_UTC2";"Buy";"2020.02.24 19:00:00";"120.074";"0,01000";"2020.02.28 15:15:00";"119.314";"-4,84";"495,58";"IST";"SL";"-4,84";"6,16";"3d 20h 15m";"";"120.074";"2020.02.24 19:00:00";"119,32400";"121,87400";"Main: EURJPY_M1_UTC2/H1";"76,00";"96,60"
"71";"EURJPY_M1_UTC2";"Buy";"2020.03.03 01:57:00";"120.965";"0,01000";"2020.03.03 05:30:00";"120.205";"-4,84";"490,74";"IST";"SL";"-4,84";"0,00";"3h 33m";"";"120.965";"2020.03.02 21:00:00";"120,21500";"122,76500";"Main: EURJPY_M1_UTC2/H1";"76,00";"0,00"
"90";"EURJPY_M1_UTC2";"Buy";"2020.03.10 22:22:00";"119.470";"0,01000";"2020.03.11 01:19:00";"118.710";"-4,84";"485,90";"IST";"SL";"-4,84";"0,08";"2h 57m";"";"119.470";"2020.03.10 18:00:00";"118,72000";"121,27000";"Main: EURJPY_M1_UTC2/H1";"76,00";"1,20"
"91";"EURJPY_M1_UTC2";"Sell";"2020.03.12 04:30:00";"117.268";"0,01000";"2020.03.12 20:05:00";"118.028";"-4,84";"481,05";"IST";"SL";"-4,84";"5,93";"15h 35m";"";"117.268";"2020.03.12 00:00:00";"118,01800";"115,46800";"Main: EURJPY_M1_UTC2/H1";"76,00";"93,00"
"129";"EURJPY_M1_UTC2";"Buy";"2020.04.08 00:39:00";"118.512";"0,01000";"2020.04.10 20:00:00";"118.623";"0,71";"481,76";"IST";"End Of Friday (Time)";"-3,82";"3,11";"2d 19h 21m";"";"118.512";"2020.04.08 00:00:00";"117,76200";"120,31200";"Main: EURJPY_M1_UTC2/H1";"59,90";"48,80"
"136";"EURJPY_M1_UTC2";"Sell";"2020.04.15 15:24:00";"116.993";"0,01000";"2020.04.17 20:00:00";"116.967";"0,17";"481,93";"IST";"End Of Friday (Time)";"-3,43";"2,63";"2d 4h 36m";"";"116.993";"2020.04.15 14:00:00";"117,74300";"115,19300";"Main: EURJPY_M1_UTC2/H1";"53,80";"41,20"
