"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"3";"EURJPY_M1_UTC2";"Sell";"2020.01.29 09:10:00";"120.055";"0,01000";"2020.01.31 19:00:00";"120.281";"-1,44";"498,56";"IST";"End Of Friday (Time)";"-2,42";"1,59";"2d 9h 50m";"";"120.055";"2020.01.29 01:00:00";"120,55500";"118,80500";"Main: EURJPY_M1_UTC2/H1";"38,00";"25,00"
"6";"EURJPY_M1_UTC2";"Sell";"2020.02.12 17:17:00";"119.850";"0,01000";"2020.02.14 19:00:00";"119.020";"5,29";"503,85";"IST";"End Of Friday (Time)";"-0,66";"6,09";"2d 1h 43m";"";"119.850";"2020.02.12 11:00:00";"120,35000";"118,60000";"Main: EURJPY_M1_UTC2/H1";"10,40";"95,50"
"14";"EURJPY_M1_UTC2";"Sell";"2020.04.30 14:47:00";"115.813";"0,01000";"2020.04.30 17:46:00";"116.323";"-3,25";"500,60";"IST";"SL";"-3,25";"1,28";"2h 59m";"";"115.813";"2020.04.30 12:00:00";"116,31300";"114,56300";"Main: EURJPY_M1_UTC2/H1";"51,00";"20,10"
"20";"EURJPY_M1_UTC2";"Sell";"2020.06.16 17:40:00";"120.758";"0,01000";"2020.06.17 10:42:00";"121.268";"-3,25";"497,35";"IST";"SL";"-3,25";"1,64";"17h 2m";"";"120.758";"2020.06.16 00:00:00";"121,25800";"119,50800";"Main: EURJPY_M1_UTC2/H1";"51,00";"25,70"
"24";"EURJPY_M1_UTC2";"Buy";"2020.08.05 01:59:00";"124.829";"0,01000";"2020.08.07 19:00:00";"124.715";"-0,73";"496,62";"IST";"End Of Friday (Time)";"-2,36";"4,83";"2d 17h 1m";"";"124.829";"2020.08.04 17:00:00";"124,32900";"126,07900";"Main: EURJPY_M1_UTC2/H1";"37,10";"75,80"
"28";"EURJPY_M1_UTC2";"Sell";"2020.09.25 10:06:00";"122.789";"0,01000";"2020.09.25 19:00:00";"122.712";"0,49";"497,11";"IST";"End Of Friday (Time)";"-2,04";"0,96";"8h 54m";"";"122.789";"2020.09.24 21:00:00";"123,28900";"121,53900";"Main: EURJPY_M1_UTC2/H1";"32,00";"15,10"
"33";"EURJPY_M1_UTC2";"Buy";"2020.11.12 11:32:00";"124.384";"0,01000";"2020.11.13 03:21:00";"123.874";"-3,25";"493,86";"IST";"SL";"-3,25";"0,74";"15h 49m";"";"124.384";"2020.11.11 16:00:00";"123,88400";"125,63400";"Main: EURJPY_M1_UTC2/H1";"51,00";"11,60"
"34";"EURJPY_M1_UTC2";"Buy";"2020.11.13 10:35:00";"124.226";"0,01000";"2020.11.13 17:51:00";"123.716";"-3,25";"490,61";"IST";"SL";"-3,25";"0,47";"7h 16m";"";"124.226";"2020.11.13 05:00:00";"123,72600";"125,47600";"Main: EURJPY_M1_UTC2/H1";"51,00";"7,40"
"38";"EURJPY_M1_UTC2";"Buy";"2020.12.08 10:45:00";"126.212";"0,01000";"2020.12.11 19:00:00";"125.801";"-2,62";"487,99";"IST";"End Of Friday (Time)";"-2,73";"3,38";"3d 8h 15m";"";"126.212";"2020.12.08 02:00:00";"125,71200";"127,46200";"Main: EURJPY_M1_UTC2/H1";"42,80";"53,00"
"43";"EURJPY_M1_UTC2";"Buy";"2021.03.02 13:23:00";"128.623";"0,01000";"2021.03.05 19:00:00";"128.953";"2,10";"490,10";"IST";"End Of Friday (Time)";"-0,91";"6,47";"3d 5h 37m";"";"128.623";"2021.03.02 05:00:00";"128,12300";"129,87300";"Main: EURJPY_M1_UTC2/H1";"14,30";"101,60"
