"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"5";"EURJPY_M1_UTC2";"Sell";"2020.01.21 03:33:00";"121.954";"0,01000";"2020.01.24 19:00:00";"120.572";"8,81";"508,81";"IST";"End Of Friday (Time)";"-2,84";"9,06";"3d 15h 27m";"";"121.954";"2020.01.21 00:00:00";"122,40400";"120,40400";"Main: EURJPY_M1_UTC2/H4";"44,60";"142,10"
"8";"EURJPY_M1_UTC2";"Sell";"2020.02.13 13:24:00";"119.207";"0,01000";"2020.02.14 19:00:00";"119.020";"1,19";"510,00";"IST";"End Of Friday (Time)";"-0,59";"1,99";"1d 5h 36m";"";"119.207";"2020.02.12 00:05:00";"119,65700";"117,65700";"Main: EURJPY_M1_UTC2/H4";"9,20";"31,20"
"10";"EURJPY_M1_UTC2";"Sell";"2020.02.18 14:31:00";"118.699";"0,01000";"2020.02.19 11:18:00";"119.159";"-2,93";"507,07";"IST";"SL";"-2,93";"1,32";"20h 47m";"";"118.699";"2020.02.18 12:00:00";"119,14900";"117,14900";"Main: EURJPY_M1_UTC2/H4";"46,00";"20,70"
"28";"EURJPY_M1_UTC2";"Buy";"2020.07.06 03:39:00";"121.301";"0,01000";"2020.07.10 03:46:00";"120.841";"-2,93";"504,14";"IST";"SL";"-2,93";"4,24";"4d 0h 7m";"";"121.301";"2020.07.06 00:03:00";"120,85100";"122,85100";"Main: EURJPY_M1_UTC2/H4";"46,00";"66,50"
"31";"EURJPY_M1_UTC2";"Buy";"2020.08.11 13:10:00";"125.151";"0,01000";"2020.08.13 14:16:00";"126.701";"9,88";"514,01";"IST";"PT";"-1,77";"9,88";"2d 1h 6m";"";"125.151";"2020.08.11 00:00:00";"124,70100";"126,70100";"Main: EURJPY_M1_UTC2/H4";"27,80";"155,00"
"40";"EURJPY_M1_UTC2";"Sell";"2020.11.03 09:05:00";"121.892";"0,01000";"2020.11.03 11:16:00";"122.352";"-2,93";"511,08";"IST";"SL";"-2,93";"0,34";"2h 11m";"";"121.892";"2020.11.03 04:00:00";"122,34200";"120,34200";"Main: EURJPY_M1_UTC2/H4";"46,00";"5,30"
"45";"EURJPY_M1_UTC2";"Buy";"2020.12.04 10:13:00";"126.455";"0,01000";"2020.12.04 19:00:00";"126.447";"-0,05";"511,03";"IST";"End Of Friday (Time)";"-1,22";"1,45";"8h 47m";"";"126.455";"2020.12.04 04:00:00";"126,00500";"128,00500";"Main: EURJPY_M1_UTC2/H4";"19,10";"22,70"
"47";"EURJPY_M1_UTC2";"Buy";"2021.01.06 14:40:00";"126.991";"0,01000";"2021.01.08 19:00:00";"127.278";"1,83";"512,86";"IST";"End Of Friday (Time)";"-1,06";"3,19";"2d 4h 20m";"";"126.991";"2021.01.06 00:00:00";"126,54100";"128,54100";"Main: EURJPY_M1_UTC2/H4";"16,60";"50,10"
"52";"EURJPY_M1_UTC2";"Buy";"2021.02.10 11:52:00";"127.046";"0,01000";"2021.02.12 19:00:00";"127.243";"1,26";"514,12";"IST";"End Of Friday (Time)";"-2,19";"1,66";"2d 7h 8m";"";"127.046";"2021.02.10 00:00:00";"126,59600";"128,59599";"Main: EURJPY_M1_UTC2/H4";"34,40";"26,00"
"54";"EURJPY_M1_UTC2";"Buy";"2021.02.22 10:07:00";"128.233";"0,01000";"2021.02.22 16:34:00";"127.773";"-2,93";"511,18";"IST";"SL";"-2,93";"0,06";"6h 27m";"";"128.233";"2021.02.22 00:00:00";"127,78300";"129,78300";"Main: EURJPY_M1_UTC2/H4";"46,00";"1,00"
"55";"EURJPY_M1_UTC2";"Buy";"2021.02.24 11:19:00";"128.726";"0,01000";"2021.02.26 19:00:00";"128.943";"1,38";"512,57";"IST";"End Of Friday (Time)";"-2,16";"7,95";"2d 7h 41m";"";"128.726";"2021.02.22 20:00:00";"128,27600";"130,27600";"Main: EURJPY_M1_UTC2/H4";"33,90";"124,80"
"61";"EURJPY_M1_UTC2";"Buy";"2021.04.06 10:47:00";"130.406";"0,01000";"2021.04.06 16:15:00";"129.946";"-2,93";"509,64";"IST";"SL";"-2,93";"0,99";"5h 28m";"";"130.406";"2021.04.05 00:05:00";"129,95599";"131,95599";"Main: EURJPY_M1_UTC2/H4";"46,00";"15,50"
