"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"1";"EURJPY_M1_UTC2";"Buy";"2020.01.02 03:04:00";"122.030";"0,01000";"2020.01.02 17:20:00";"121.270";"-4,84";"495,16";"IST";"SL";"-4,84";"0,00";"14h 16m";"";"122.030";"2020.01.02 00:06:00";"121,28000";"123,93000";"Main: EURJPY_M1_UTC2/H4";"76,00";"0,00"
"3";"EURJPY_M1_UTC2";"Buy";"2020.01.08 19:11:00";"121.344";"0,01000";"2020.01.10 19:00:00";"121.742";"2,54";"497,69";"IST";"End Of Friday (Time)";"-1,60";"3,12";"1d 23h 49m";"";"121.344";"2020.01.08 00:00:00";"120,59400";"123,24400";"Main: EURJPY_M1_UTC2/H4";"25,10";"48,90"
"5";"EURJPY_M1_UTC2";"Sell";"2020.01.21 03:18:00";"122.064";"0,01000";"2020.01.24 19:00:00";"120.572";"9,51";"507,20";"IST";"End Of Friday (Time)";"-2,14";"9,76";"3d 15h 42m";"";"122.064";"2020.01.21 00:00:00";"122,81400";"120,16400";"Main: EURJPY_M1_UTC2/H4";"33,60";"153,10"
"6";"EURJPY_M1_UTC2";"Buy";"2020.01.28 22:50:00";"120.305";"0,01000";"2020.01.31 19:00:00";"120.231";"-0,47";"506,73";"IST";"End Of Friday (Time)";"-3,38";"0,72";"2d 20h 10m";"";"120.305";"2020.01.28 00:00:00";"119,55500";"122,20500";"Main: EURJPY_M1_UTC2/H4";"53,00";"11,30"
"8";"EURJPY_M1_UTC2";"Sell";"2020.02.13 01:48:00";"119.559";"0,01000";"2020.02.14 19:00:00";"119.020";"3,43";"510,16";"IST";"End Of Friday (Time)";"-0,41";"4,23";"1d 17h 12m";"";"119.559";"2020.02.12 00:05:00";"120,30900";"117,65900";"Main: EURJPY_M1_UTC2/H4";"6,40";"66,40"
"10";"EURJPY_M1_UTC2";"Sell";"2020.02.18 01:23:00";"118.974";"0,01000";"2020.02.19 17:49:00";"119.734";"-4,84";"505,32";"IST";"SL";"-4,84";"3,07";"1d 16h 26m";"";"118.974";"2020.02.18 00:00:00";"119,72400";"117,07400";"Main: EURJPY_M1_UTC2/H4";"76,00";"48,20"
"9";"EURJPY_M1_UTC2";"Buy";"2020.02.19 14:22:00";"119.253";"0,01000";"2020.02.20 16:06:00";"121.153";"12,11";"517,43";"IST";"PT";"-0,18";"12,11";"1d 1h 44m";"";"119.253";"2020.02.17 00:00:00";"118,50300";"121,15300";"Main: EURJPY_M1_UTC2/H4";"2,80";"190,00"
"11";"EURJPY_M1_UTC2";"Sell";"2020.02.24 16:06:00";"120.286";"0,01000";"2020.02.27 18:10:00";"121.046";"-4,84";"512,59";"IST";"SL";"-4,84";"5,39";"3d 2h 4m";"";"120.286";"2020.02.24 12:00:00";"121,03600";"118,38600";"Main: EURJPY_M1_UTC2/H4";"76,00";"84,60"
"13";"EURJPY_M1_UTC2";"Sell";"2020.03.05 08:46:00";"119.458";"0,01000";"2020.03.06 19:00:00";"119.238";"1,40";"513,99";"IST";"End Of Friday (Time)";"-2,08";"4,59";"1d 10h 14m";"";"119.458";"2020.03.05 00:00:00";"120,20800";"117,55800";"Main: EURJPY_M1_UTC2/H4";"32,60";"72,10"
"14";"EURJPY_M1_UTC2";"Buy";"2020.03.13 14:59:00";"119.255";"0,01000";"2020.03.13 19:00:00";"118.585";"-4,27";"509,72";"IST";"End Of Friday (Time)";"-4,44";"3,35";"4h 1m";"";"119.255";"2020.03.12 00:00:00";"118,50500";"121,15500";"Main: EURJPY_M1_UTC2/H4";"69,60";"52,60"
