"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"69177";"EURUSD_M1_UTC2";"Buy";"2021.06.04 15:32:00";"1.21592";"0,01000";"2021.06.04 20:40:00";"1.21628";"0,36";"500,36";"IST";"End Of Friday (Time)";"-2,16";"2,64";"5h 8m";"";"1.21592";"2021.06.04 15:30:00";"1,21201";"1,22070";"Main: EURUSD_M1_UTC2/M15";"21,60";"26,40"
"70666";"EURUSD_M1_UTC2";"Sell";"2021.06.16 21:01:00";"1.20638";"0,01000";"2021.06.16 21:41:00";"1.20228";"4,10";"504,46";"IST";"PT";"-0,45";"4,10";"40m 0s";"";"1.20638";"2021.06.16 21:00:00";"1,20973";"1,20228";"Main: EURUSD_M1_UTC2/M15";"4,50";"41,00"
"91086";"EURUSD_M1_UTC2";"Sell";"2021.11.17 05:42:00";"1.12653";"0,01000";"2021.11.17 06:18:00";"1.13014";"-3,61";"500,85";"IST";"SL";"-3,61";"0,00";"36m 0s";"";"1.12653";"2021.11.17 05:30:00";"1,13014";"1,12212";"Main: EURUSD_M1_UTC2/M15";"36,10";"0,00"
"126102";"EURUSD_M1_UTC2";"Sell";"2022.08.05 15:30:00";"1.01696";"0,01000";"2022.08.05 20:40:00";"1.01834";"-1,38";"499,47";"IST";"End Of Friday (Time)";"-2,51";"2,61";"5h 10m";"";"1.01696";"2022.08.05 15:30:00";"1,02239";"1,01033";"Main: EURUSD_M1_UTC2/M15";"25,10";"26,10"
"141940";"EURUSD_M1_UTC2";"Sell";"2022.12.02 15:35:00";"1.04388";"0,01000";"2022.12.02 18:39:00";"1.05143";"-7,55";"491,92";"IST";"SL";"-7,55";"0,88";"3h 4m";"";"1.04388";"2022.12.02 15:30:00";"1,05143";"1,03466";"Main: EURUSD_M1_UTC2/M15";"75,50";"8,80"
"143207";"EURUSD_M1_UTC2";"Buy";"2022.12.13 15:32:00";"1.06423";"0,01000";"2022.12.15 11:03:00";"1.06129";"-2,94";"488,98";"IST";"TrailingStop";"-3,57";"5,27";"1d 19h 31m";"";"1.06423";"2022.12.13 15:30:00";"1,05595";"1,07435";"Main: EURUSD_M1_UTC2/M15";"35,70";"52,70"
"158380";"EURUSD_M1_UTC2";"Sell";"2023.04.07 15:35:00";"1.08857";"0,01000";"2023.04.07 15:48:00";"1.09117";"-2,60";"486,38";"IST";"SL";"-2,60";"0,75";"13m 0s";"";"1.08857";"2023.04.07 15:30:00";"1,09117";"1,08540";"Main: EURUSD_M1_UTC2/M15";"26,00";"7,50"
"158927";"EURUSD_M1_UTC2";"Buy";"2023.04.12 15:31:00";"1.09793";"0,01000";"2023.04.13 09:58:00";"1.09793";"0,00";"486,38";"IST";"MoveSL2BE";"-2,13";"2,56";"18h 27m";"";"1.09793";"2023.04.12 15:30:00";"1,09351";"1,10333";"Main: EURUSD_M1_UTC2/M15";"21,30";"25,60"
"190922";"EURUSD_M1_UTC2";"Sell";"2023.12.08 15:31:00";"1.07240";"0,01000";"2023.12.08 15:43:00";"1.07671";"-4,31";"482,07";"IST";"SL";"-4,31";"0,00";"12m 0s";"";"1.07240";"2023.12.08 15:30:00";"1,07671";"1,06714";"Main: EURUSD_M1_UTC2/M15";"43,10";"0,00"
"198080";"EURUSD_M1_UTC2";"Sell";"2024.02.02 15:36:00";"1.08128";"0,01000";"2024.02.02 20:40:00";"1.07892";"2,36";"484,43";"IST";"End Of Friday (Time)";"-1,75";"3,04";"5h 4m";"";"1.08128";"2024.02.02 15:30:00";"1,08560";"1,07601";"Main: EURUSD_M1_UTC2/M15";"17,50";"30,40"
