"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"444";"EURUSD_M1_UTC2";"Buy";"2020.01.31 18:02:00";"1.10921";"0,01000";"2020.01.31 20:40:00";"1.10786";"-1,35";"498,65";"IST";"End Of Friday (Time)";"-1,74";"0,00";"2h 38m";"";"1.10921";"2020.01.31 15:00:00";"1,10691";"1,11117";"Main: EURUSD_M1_UTC2/M15";"17,40";"0,00"
"532";"EURUSD_M1_UTC2";"Sell";"2020.02.06 17:31:00";"1.09749";"0,01000";"2020.02.07 11:56:00";"1.09573";"1,76";"500,41";"IST";"PT";"-1,20";"1,76";"18h 25m";"";"1.09749";"2020.02.06 15:45:00";"1,09955";"1,09573";"Main: EURUSD_M1_UTC2/M15";"12,00";"17,60"
"1731";"EURUSD_M1_UTC2";"Buy";"2020.04.30 18:01:00";"1.09656";"0,01000";"2020.05.01 17:35:00";"1.10075";"4,19";"504,60";"IST";"PT";"-4,49";"4,19";"23h 34m";"";"1.09656";"2020.04.30 16:45:00";"1,09111";"1,10075";"Main: EURUSD_M1_UTC2/M15";"44,90";"41,90"
"1942";"EURUSD_M1_UTC2";"Buy";"2020.05.18 18:46:00";"1.09033";"0,01000";"2020.05.19 06:03:00";"1.09028";"-0,05";"504,55";"IST";"MoveSL2BE";"-0,71";"2,37";"11h 17m";"";"1.09033";"2020.05.18 16:15:00";"1,08677";"1,09358";"Main: EURUSD_M1_UTC2/M15";"7,10";"23,70"
"6258";"EURUSD_M1_UTC2";"Buy";"2021.03.17 21:01:00";"1.19582";"0,01000";"2021.03.17 21:45:00";"1.19839";"2,57";"507,12";"IST";"PT";"-3,22";"2,57";"44m 0s";"";"1.19582";"2021.03.17 18:15:00";"1,19255";"1,19839";"Main: EURUSD_M1_UTC2/M15";"32,20";"25,70"
"7576";"EURUSD_M1_UTC2";"Sell";"2021.06.16 21:00:00";"1.20681";"0,01000";"2021.06.16 21:10:00";"1.20484";"1,97";"509,09";"IST";"PT";"-0,19";"1,97";"10m 0s";"";"1.20681";"2021.06.16 20:15:00";"1,20985";"1,20484";"Main: EURUSD_M1_UTC2/M15";"1,90";"19,70"
"10907";"EURUSD_M1_UTC2";"Buy";"2022.02.03 16:02:00";"1.13791";"0,01000";"2022.02.03 16:41:00";"1.14077";"2,86";"511,95";"IST";"PT";"-0,79";"2,86";"39m 0s";"";"1.13791";"2022.02.03 15:15:00";"1,13442";"1,14077";"Main: EURUSD_M1_UTC2/M15";"7,90";"28,60"
"13640";"EURUSD_M1_UTC2";"Buy";"2022.08.10 15:37:00";"1.03305";"0,01000";"2022.08.10 18:01:00";"1.03592";"2,87";"514,82";"IST";"PT";"-2,54";"2,87";"2h 24m";"";"1.03305";"2022.08.10 14:45:00";"1,02959";"1,03592";"Main: EURUSD_M1_UTC2/M15";"25,40";"28,70"
"14147";"EURUSD_M1_UTC2";"Sell";"2022.09.13 16:05:00";"1.00195";"0,01000";"2022.09.13 21:55:00";"0.99758";"4,37";"519,19";"IST";"PT";"-2,51";"4,37";"5h 50m";"";"1.00195";"2022.09.13 13:15:00";"1,00696";"0,99758";"Main: EURUSD_M1_UTC2/M15";"25,10";"43,70"
"14730";"EURUSD_M1_UTC2";"Buy";"2022.10.25 16:57:00";"0.99653";"0,01000";"2022.10.26 10:38:00";"1.00090";"4,37";"523,56";"IST";"PT";"-3,02";"4,37";"17h 41m";"";"0.99653";"2022.10.25 16:00:00";"0,99165";"1,00090";"Main: EURUSD_M1_UTC2/M15";"30,20";"43,70"
"15384";"EURUSD_M1_UTC2";"Buy";"2022.12.13 15:32:00";"1.06476";"0,01000";"2022.12.14 22:12:00";"1.06901";"4,25";"527,81";"IST";"PT";"-4,10";"4,25";"1d 6h 40m";"";"1.06476";"2022.12.13 15:30:00";"1,05975";"1,06901";"Main: EURUSD_M1_UTC2/M15";"41,00";"42,50"
"16669";"EURUSD_M1_UTC2";"Buy";"2023.03.10 16:41:00";"1.06744";"0,01000";"2023.03.10 20:40:00";"1.06490";"-2,54";"525,27";"IST";"End Of Friday (Time)";"-2,60";"2,60";"3h 59m";"";"1.06744";"2023.03.10 14:15:00";"1,06252";"1,07127";"Main: EURUSD_M1_UTC2/M15";"26,00";"26,00"
"16797";"EURUSD_M1_UTC2";"Buy";"2023.03.21 16:30:00";"1.07904";"0,01000";"2023.03.22 21:00:00";"1.08247";"3,43";"528,70";"IST";"PT";"-3,43";"3,43";"1d 4h 30m";"";"1.07904";"2023.03.21 12:15:00";"1,07544";"1,08247";"Main: EURUSD_M1_UTC2/M15";"34,30";"34,30"
"18100";"EURUSD_M1_UTC2";"Buy";"2023.06.21 17:44:00";"1.09643";"0,01000";"2023.06.22 02:09:00";"1.09923";"2,80";"531,50";"IST";"PT";"-2,10";"2,80";"8h 25m";"";"1.09643";"2023.06.21 17:00:00";"1,09282";"1,09923";"Main: EURUSD_M1_UTC2/M15";"21,00";"28,00"
"18557";"EURUSD_M1_UTC2";"Sell";"2023.07.24 10:36:00";"1.10781";"0,01000";"2023.07.25 04:15:00";"1.10786";"-0,05";"531,45";"IST";"MoveSL2BE";"-3,30";"1,64";"17h 39m";"";"1.10781";"2023.07.24 10:15:00";"1,11130";"1,10499";"Main: EURUSD_M1_UTC2/M15";"33,00";"16,40"
"18728";"EURUSD_M1_UTC2";"Buy";"2023.08.04 16:14:00";"1.10206";"0,01000";"2023.08.04 20:40:00";"1.10315";"1,09";"532,54";"IST";"End Of Friday (Time)";"-1,83";"2,13";"4h 26m";"";"1.10206";"2023.08.04 14:30:00";"1,09891";"1,10538";"Main: EURUSD_M1_UTC2/M15";"18,30";"21,30"
"19123";"EURUSD_M1_UTC2";"Sell";"2023.09.01 18:11:00";"1.08012";"0,01000";"2023.09.01 20:41:00";"1.07906";"1,06";"533,60";"IST";"End Of Friday (Time)";"-0,07";"1,92";"2h 30m";"";"1.08012";"2023.09.01 15:45:00";"1,08386";"1,07681";"Main: EURUSD_M1_UTC2/M15";"0,70";"19,20"
"19325";"EURUSD_M1_UTC2";"Sell";"2023.09.14 15:30:00";"1.06721";"0,01000";"2023.09.14 16:15:00";"1.06987";"-2,66";"530,94";"IST";"SL";"-2,66";"1,48";"45m 0s";"";"1.06721";"2023.09.14 15:15:00";"1,06982";"1,06433";"Main: EURUSD_M1_UTC2/M15";"26,60";"14,80"
"19777";"EURUSD_M1_UTC2";"Buy";"2023.10.19 19:02:00";"1.06044";"0,01000";"2023.10.19 19:34:00";"1.05728";"-3,16";"527,78";"IST";"SL";"-3,16";"1,19";"32m 0s";"";"1.06044";"2023.10.19 14:00:00";"1,05733";"1,06325";"Main: EURUSD_M1_UTC2/M15";"31,60";"11,90"
