"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"38";"EURUSD_M1_UTC2";"Sell";"2020.01.02 18:55:00";"1.11662";"0,01000";"2020.01.03 16:34:00";"1.11517";"1,45";"501,45";"IST";"TrailingStop";"-1,42";"3,93";"21h 39m";"";"1.11662";"2020.01.02 18:00:00";"1,11973";"1,09902";"Main: EURUSD_M1_UTC2/H1";"14,20";"39,30"
"689";"EURUSD_M1_UTC2";"Buy";"2020.01.23 15:34:00";"1.11066";"0,01000";"2020.01.23 15:40:00";"1.10930";"-1,36";"500,09";"IST";"SL";"-1,36";"0,21";"6m 0s";"";"1.11066";"2020.01.23 15:00:00";"1,10930";"1,12826";"Main: EURUSD_M1_UTC2/H1";"13,60";"2,10"
"692";"EURUSD_M1_UTC2";"Sell";"2020.01.23 16:21:00";"1.10646";"0,01000";"2020.01.24 10:30:00";"1.10633";"0,13";"500,22";"IST";"TrailingStop";"-1,19";"2,64";"18h 9m";"";"1.10646";"2020.01.23 16:00:00";"1,10846";"1,08886";"Main: EURUSD_M1_UTC2/H1";"11,90";"26,40"
"1494";"EURUSD_M1_UTC2";"Sell";"2020.02.18 15:35:00";"1.07936";"0,01000";"2020.02.18 17:00:00";"1.08124";"-1,88";"498,34";"IST";"SL";"-1,88";"0,62";"1h 25m";"";"1.07936";"2020.02.18 15:00:00";"1,08124";"1,06176";"Main: EURUSD_M1_UTC2/H1";"18,80";"6,20"
"1623";"EURUSD_M1_UTC2";"Buy";"2020.02.21 10:31:00";"1.08154";"0,01000";"2020.02.21 12:04:00";"1.08061";"-0,93";"497,41";"IST";"SL";"-0,93";"0,46";"1h 33m";"";"1.08154";"2020.02.21 10:00:00";"1,08061";"1,09914";"Main: EURUSD_M1_UTC2/H1";"9,30";"4,60"
"1631";"EURUSD_M1_UTC2";"Buy";"2020.02.21 16:46:00";"1.08308";"0,01000";"2020.02.21 20:40:00";"1.08572";"2,64";"500,05";"IST";"End Of Friday (Time)";"-0,18";"3,27";"3h 54m";"";"1.08308";"2020.02.21 16:00:00";"1,08046";"1,10068";"Main: EURUSD_M1_UTC2/H1";"1,80";"32,70"
"3343";"EURUSD_M1_UTC2";"Buy";"2020.04.14 12:46:00";"1.09589";"0,01000";"2020.04.15 08:55:00";"1.09659";"0,70";"500,75";"IST";"TrailingStop";"-2,13";"3,18";"20h 9m";"";"1.09589";"2020.04.14 12:00:00";"1,09368";"1,11349";"Main: EURUSD_M1_UTC2/H1";"21,30";"31,80"
"3877";"EURUSD_M1_UTC2";"Buy";"2020.04.30 17:54:00";"1.09153";"0,01000";"2020.05.01 20:40:00";"1.09836";"6,83";"507,58";"IST";"End Of Friday (Time)";"0,00";"10,34";"1d 2h 46m";"";"1.09153";"2020.04.30 17:00:00";"1,08694";"1,10913";"Main: EURUSD_M1_UTC2/H1";"0,00";"103,40"
"4383";"EURUSD_M1_UTC2";"Buy";"2020.05.18 18:24:00";"1.08999";"0,01000";"2020.05.19 16:05:00";"1.09390";"3,91";"511,49";"IST";"TrailingStop";"-2,73";"7,60";"21h 41m";"";"1.08999";"2020.05.18 18:00:00";"1,08672";"1,10759";"Main: EURUSD_M1_UTC2/H1";"27,30";"76,00"
"6069";"EURUSD_M1_UTC2";"Buy";"2020.07.08 16:49:00";"1.13357";"0,01000";"2020.07.09 10:36:00";"1.13290";"-0,67";"510,82";"IST";"TrailingStop";"-2,08";"3,49";"17h 47m";"";"1.13357";"2020.07.08 16:00:00";"1,13046";"1,15117";"Main: EURUSD_M1_UTC2/H1";"20,80";"34,90"
