"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"736";"EURUSD_M1_UTC2";"Sell";"2020.01.23 16:21:00";"1.10620";"0,01000";"2020.01.23 21:27:00";"1.10559";"0,61";"500,61";"IST";"TrailingStop";"-1,45";"2,38";"5h 6m";"";"1.10620";"2020.01.23 16:00:00";"1,12120";"1,08180";"Main: EURUSD_M1_UTC2/H1";"14,50";"23,80"
"3297";"EURUSD_M1_UTC2";"Buy";"2020.04.09 15:56:00";"1.09044";"0,01000";"2020.04.10 20:40:00";"1.09373";"3,29";"503,90";"IST";"End Of Friday (Time)";"-0,95";"4,80";"1d 4h 44m";"";"1.09044";"2020.04.09 15:00:00";"1,07544";"1,11484";"Main: EURUSD_M1_UTC2/H1";"9,50";"48,00"
"3945";"EURUSD_M1_UTC2";"Buy";"2020.04.30 17:54:00";"1.09206";"0,01000";"2020.04.30 19:03:00";"1.09254";"0,48";"504,38";"IST";"TrailingStop";"-0,25";"5,20";"1h 9m";"";"1.09206";"2020.04.30 17:00:00";"1,07706";"1,11646";"Main: EURUSD_M1_UTC2/H1";"2,50";"52,00"
"5247";"EURUSD_M1_UTC2";"Buy";"2020.06.09 16:58:00";"1.13583";"0,01000";"2020.06.10 16:46:00";"1.13611";"0,28";"504,66";"IST";"TrailingStop";"-2,72";"3,11";"23h 48m";"";"1.13583";"2020.06.09 16:00:00";"1,12083";"1,16023";"Main: EURUSD_M1_UTC2/H1";"27,20";"31,10"
"7869";"EURUSD_M1_UTC2";"Buy";"2020.08.27 16:19:00";"1.18854";"0,01000";"2020.08.27 17:08:00";"1.17768";"-10,86";"493,80";"IST";"TrailingStop";"-10,86";"1,64";"49m 0s";"";"1.18854";"2020.08.27 16:00:00";"1,17354";"1,21294";"Main: EURUSD_M1_UTC2/H1";"108,60";"16,40"
"7870";"EURUSD_M1_UTC2";"Sell";"2020.08.27 17:12:00";"1.17655";"0,01000";"2020.08.27 18:40:00";"1.18177";"-5,22";"488,58";"IST";"TrailingStop";"-5,22";"0,12";"1h 28m";"";"1.17655";"2020.08.27 16:00:00";"1,19155";"1,15215";"Main: EURUSD_M1_UTC2/H1";"52,20";"1,20"
"8648";"EURUSD_M1_UTC2";"Sell";"2020.09.21 11:40:00";"1.17984";"0,01000";"2020.09.21 22:04:00";"1.17638";"3,46";"492,04";"IST";"TrailingStop";"-0,64";"6,47";"10h 24m";"";"1.17984";"2020.09.21 11:00:00";"1,19484";"1,15544";"Main: EURUSD_M1_UTC2/H1";"6,40";"64,70"
"9162";"EURUSD_M1_UTC2";"Sell";"2020.10.06 21:56:00";"1.17365";"0,01000";"2020.10.07 09:38:00";"1.17498";"-1,33";"490,71";"IST";"TrailingStop";"-2,59";"0,96";"11h 42m";"";"1.17365";"2020.10.06 21:00:00";"1,18865";"1,14925";"Main: EURUSD_M1_UTC2/H1";"25,90";"9,60"
"9448";"EURUSD_M1_UTC2";"Sell";"2020.10.15 11:50:00";"1.17041";"0,01000";"2020.10.15 13:44:00";"1.17239";"-1,98";"488,73";"IST";"TrailingStop";"-1,98";"0,00";"1h 54m";"";"1.17041";"2020.10.15 11:00:00";"1,18541";"1,14601";"Main: EURUSD_M1_UTC2/H1";"19,80";"0,00"
"10716";"EURUSD_M1_UTC2";"Sell";"2020.11.23 17:57:00";"1.18173";"0,01000";"2020.11.23 19:26:00";"1.18359";"-1,86";"486,87";"IST";"TrailingStop";"-1,86";"1,56";"1h 29m";"";"1.18173";"2020.11.23 17:00:00";"1,19673";"1,15733";"Main: EURUSD_M1_UTC2/H1";"18,60";"15,60"
"11495";"EURUSD_M1_UTC2";"Buy";"2020.12.16 10:34:00";"1.21984";"0,01000";"2020.12.16 14:48:00";"1.21861";"-1,23";"485,64";"IST";"TrailingStop";"-1,23";"1,37";"4h 14m";"";"1.21984";"2020.12.16 10:00:00";"1,20484";"1,24424";"Main: EURUSD_M1_UTC2/H1";"12,30";"13,70"
"12734";"EURUSD_M1_UTC2";"Sell";"2021.01.25 11:25:00";"1.21512";"0,01000";"2021.01.25 19:01:00";"1.21407";"1,05";"486,69";"IST";"TrailingStop";"-1,33";"3,34";"7h 36m";"";"1.21512";"2021.01.25 11:00:00";"1,23012";"1,19072";"Main: EURUSD_M1_UTC2/H1";"13,30";"33,40"
"13476";"EURUSD_M1_UTC2";"Sell";"2021.02.16 15:46:00";"1.21111";"0,01000";"2021.02.16 17:12:00";"1.21132";"-0,21";"486,48";"IST";"TrailingStop";"-0,67";"1,42";"1h 26m";"";"1.21111";"2021.02.16 15:00:00";"1,22611";"1,18671";"Main: EURUSD_M1_UTC2/H1";"6,70";"14,20"
"14410";"EURUSD_M1_UTC2";"Sell";"2021.03.16 16:52:00";"1.18995";"0,01000";"2021.03.17 12:17:00";"1.19090";"-0,95";"485,53";"IST";"TrailingStop";"-1,62";"1,56";"19h 25m";"";"1.18995";"2021.03.16 16:00:00";"1,20495";"1,16555";"Main: EURUSD_M1_UTC2/H1";"16,20";"15,60"
"14427";"EURUSD_M1_UTC2";"Buy";"2021.03.17 21:16:00";"1.19650";"0,01000";"2021.03.18 06:46:00";"1.19631";"-0,19";"485,34";"IST";"TrailingStop";"-1,11";"2,27";"9h 30m";"";"1.19650";"2021.03.17 21:00:00";"1,18150";"1,22090";"Main: EURUSD_M1_UTC2/H1";"11,10";"22,70"
"15813";"EURUSD_M1_UTC2";"Buy";"2021.04.28 21:41:00";"1.21319";"0,01000";"2021.04.29 06:44:00";"1.21261";"-0,58";"484,76";"IST";"TrailingStop";"-2,43";"1,79";"9h 3m";"";"1.21319";"2021.04.28 21:00:00";"1,19819";"1,23759";"Main: EURUSD_M1_UTC2/H1";"24,30";"17,90"
"17434";"EURUSD_M1_UTC2";"Sell";"2021.06.16 21:00:00";"1.20896";"0,01000";"2021.06.16 22:10:00";"1.20360";"5,36";"490,12";"IST";"TrailingStop";"0,00";"7,95";"1h 10m";"";"1.20896";"2021.06.16 21:00:00";"1,22396";"1,18456";"Main: EURUSD_M1_UTC2/H1";"0,00";"79,50"
"18308";"EURUSD_M1_UTC2";"Sell";"2021.07.13 15:59:00";"1.17948";"0,01000";"2021.07.13 16:48:00";"1.18172";"-2,24";"487,88";"IST";"TrailingStop";"-2,24";"0,11";"49m 0s";"";"1.17948";"2021.07.13 15:00:00";"1,19448";"1,15508";"Main: EURUSD_M1_UTC2/H1";"22,40";"1,10"
"19060";"EURUSD_M1_UTC2";"Sell";"2021.08.04 17:25:00";"1.18404";"0,01000";"2021.08.05 10:29:00";"1.18490";"-0,86";"487,02";"IST";"TrailingStop";"-1,07";"0,82";"17h 4m";"";"1.18404";"2021.08.04 17:00:00";"1,19904";"1,15964";"Main: EURUSD_M1_UTC2/H1";"10,70";"8,20"
"19823";"EURUSD_M1_UTC2";"Buy";"2021.08.27 17:06:00";"1.17954";"0,01000";"2021.08.27 20:40:00";"1.17988";"0,34";"487,36";"IST";"End Of Friday (Time)";"-1,29";"0,68";"3h 34m";"";"1.17954";"2021.08.27 17:00:00";"1,16454";"1,20394";"Main: EURUSD_M1_UTC2/H1";"12,90";"6,80"
"20666";"EURUSD_M1_UTC2";"Sell";"2021.09.22 21:47:00";"1.17040";"0,01000";"2021.09.22 22:19:00";"1.17108";"-0,68";"486,68";"IST";"TrailingStop";"-0,76";"1,77";"32m 0s";"";"1.17040";"2021.09.22 21:00:00";"1,18540";"1,14600";"Main: EURUSD_M1_UTC2/H1";"7,60";"17,70"
"21869";"EURUSD_M1_UTC2";"Buy";"2021.10.28 15:46:00";"1.16343";"0,01000";"2021.10.29 07:59:00";"1.16658";"3,15";"489,83";"IST";"TrailingStop";"-1,84";"5,78";"16h 13m";"";"1.16343";"2021.10.28 15:00:00";"1,14843";"1,18783";"Main: EURUSD_M1_UTC2/H1";"18,40";"57,80"
