"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"1484";"EURUSD_M1_UTC2";"Buy";"2020.04.09 16:23:00";"1.09359";"0,01000";"2020.04.09 21:15:00";"1.09358";"-0,01";"499,99";"IST";"Exit After X Bars";"-2,11";"1,57";"4h 52m";"";"1.09359";"2020.04.09 15:30:00";"1,09059";"1,10409";"Main: EURUSD_M1_UTC2/M15";"21,10";"15,70"
"1798";"EURUSD_M1_UTC2";"Buy";"2020.04.30 17:54:00";"1.09210";"0,01000";"2020.04.30 22:45:00";"1.09571";"3,61";"503,60";"IST";"Exit After X Bars";"-0,29";"5,16";"4h 51m";"";"1.09210";"2020.04.30 16:45:00";"1,08910";"1,10260";"Main: EURUSD_M1_UTC2/M15";"2,90";"51,60"
"2544";"EURUSD_M1_UTC2";"Sell";"2020.06.19 17:54:00";"1.11711";"0,01000";"2020.06.19 18:03:00";"1.12021";"-3,10";"500,50";"IST";"SL";"-3,10";"0,11";"9m 0s";"";"1.11711";"2020.06.19 17:15:00";"1,12011";"1,10661";"Main: EURUSD_M1_UTC2/M15";"31,00";"1,10"
"3439";"EURUSD_M1_UTC2";"Sell";"2020.08.19 17:41:00";"1.19080";"0,01000";"2020.08.19 22:30:00";"1.18583";"4,97";"505,47";"IST";"Exit After X Bars";"-0,68";"7,58";"4h 49m";"";"1.19080";"2020.08.19 17:15:00";"1,19380";"1,18030";"Main: EURUSD_M1_UTC2/M15";"6,80";"75,80"
"3560";"EURUSD_M1_UTC2";"Buy";"2020.08.27 16:07:00";"1.18705";"0,01000";"2020.08.27 16:09:00";"1.18395";"-3,10";"502,37";"IST";"SL";"-3,10";"0,49";"2m 0s";"";"1.18705";"2020.08.27 15:45:00";"1,18405";"1,19755";"Main: EURUSD_M1_UTC2/M15";"31,00";"4,90"
"3562";"EURUSD_M1_UTC2";"Sell";"2020.08.27 16:39:00";"1.18148";"0,01000";"2020.08.27 21:30:00";"1.18302";"-1,54";"500,83";"IST";"Exit After X Bars";"-2,21";"5,05";"4h 51m";"";"1.18148";"2020.08.27 16:30:00";"1,18448";"1,17098";"Main: EURUSD_M1_UTC2/M15";"22,10";"50,50"
"4636";"EURUSD_M1_UTC2";"Sell";"2020.11.09 17:00:00";"1.18590";"0,01000";"2020.11.09 22:00:00";"1.18353";"2,37";"503,20";"IST";"Exit After X Bars";"-1,38";"6,18";"5h 0m";"";"1.18590";"2020.11.09 16:15:00";"1,18890";"1,17540";"Main: EURUSD_M1_UTC2/M15";"13,80";"61,80"
"6525";"EURUSD_M1_UTC2";"Buy";"2021.03.17 21:00:00";"1.19408";"0,01000";"2021.03.18 02:00:00";"1.19774";"3,66";"506,86";"IST";"Exit After X Bars";"-1,48";"4,65";"5h 0m";"";"1.19408";"2021.03.17 20:30:00";"1,19108";"1,20458";"Main: EURUSD_M1_UTC2/M15";"14,80";"46,50"
"7283";"EURUSD_M1_UTC2";"Buy";"2021.05.07 15:32:00";"1.21258";"0,01000";"2021.05.07 19:00:00";"1.21637";"3,79";"510,65";"IST";"End Of Friday (Time)";"-2,39";"3,92";"3h 28m";"";"1.21258";"2021.05.07 15:30:00";"1,20958";"1,22308";"Main: EURUSD_M1_UTC2/M15";"23,90";"39,20"
"8427";"EURUSD_M1_UTC2";"Buy";"2021.07.22 16:10:00";"1.18203";"0,01000";"2021.07.22 17:11:00";"1.17893";"-3,10";"507,55";"IST";"SL";"-3,10";"1,01";"1h 1m";"";"1.18203";"2021.07.22 15:45:00";"1,17903";"1,19253";"Main: EURUSD_M1_UTC2/M15";"31,00";"10,10"
