"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"183";"EURUSD_M1_UTC2";"Sell";"2020.01.23 16:17:00";"1.10663";"0,01000";"2020.01.24 19:00:00";"1.10279";"3,84";"503,84";"IST";"End Of Friday (Time)";"-1,02";"4,48";"1d 2h 43m";"";"1.10663";"2020.01.23 16:00:00";"1,10963";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"10,20";"44,80"
"414";"EURUSD_M1_UTC2";"Buy";"2020.02.21 16:49:00";"1.08437";"0,01000";"2020.02.21 19:00:00";"1.08532";"0,95";"504,79";"IST";"End Of Friday (Time)";"-0,97";"1,98";"2h 11m";"";"1.08437";"2020.02.21 16:00:00";"1,08137";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"9,70";"19,80"
"806";"EURUSD_M1_UTC2";"Buy";"2020.04.09 15:57:00";"1.09103";"0,01000";"2020.04.10 19:00:00";"1.09471";"3,68";"508,47";"IST";"End Of Friday (Time)";"-1,54";"4,14";"1d 3h 3m";"";"1.09103";"2020.04.09 14:00:00";"1,08803";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"15,40";"41,40"
"812";"EURUSD_M1_UTC2";"Sell";"2020.04.13 11:20:00";"1.09302";"0,01000";"2020.04.14 14:47:00";"1.09612";"-3,10";"505,37";"IST";"SL";"-3,10";"3,56";"1d 3h 27m";"";"1.09302";"2020.04.13 10:00:00";"1,09602";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"31,00";"35,60"
"1031";"EURUSD_M1_UTC2";"Sell";"2020.05.11 11:41:00";"1.08090";"0,01000";"2020.05.11 16:50:00";"1.08400";"-3,10";"502,27";"IST";"SL";"-3,10";"0,00";"5h 9m";"";"1.08090";"2020.05.11 10:00:00";"1,08390";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"31,00";"0,00"
"1157";"EURUSD_M1_UTC2";"Buy";"2020.05.26 11:57:00";"1.09607";"0,01000";"2020.05.29 19:00:00";"1.11057";"14,50";"516,77";"IST";"End Of Friday (Time)";"-2,67";"18,44";"3d 7h 3m";"";"1.09607";"2020.05.26 10:00:00";"1,09307";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"26,70";"184,40"
"1849";"EURUSD_M1_UTC2";"Sell";"2020.08.21 11:36:00";"1.18099";"0,01000";"2020.08.21 19:00:00";"1.17772";"3,27";"520,04";"IST";"End Of Friday (Time)";"-1,04";"5,38";"7h 24m";"";"1.18099";"2020.08.21 10:00:00";"1,18399";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"10,40";"53,80"
"1894";"EURUSD_M1_UTC2";"Buy";"2020.08.27 16:19:00";"1.18846";"0,01000";"2020.08.27 16:32:00";"1.18536";"-3,10";"516,94";"IST";"SL";"-3,10";"1,72";"13m 0s";"";"1.18846";"2020.08.27 16:00:00";"1,18546";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"31,00";"17,20"
"2277";"EURUSD_M1_UTC2";"Sell";"2020.10.13 17:08:00";"1.17470";"0,01000";"2020.10.16 19:00:00";"1.17189";"2,81";"519,75";"IST";"End Of Friday (Time)";"-2,60";"5,66";"3d 1h 52m";"";"1.17470";"2020.10.13 16:00:00";"1,17770";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"26,00";"56,60"
"2897";"EURUSD_M1_UTC2";"Sell";"2020.12.31 17:42:00";"1.22395";"0,01000";"2021.01.04 00:00:00";"1.22426";"-0,31";"519,44";"IST";"End Of Friday";"-0,31";"2,84";"3d 6h 18m";"";"1.22395";"2020.12.31 16:00:00";"1,22695";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"3,10";"28,40"
