"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"65";"EURUSD_M1_UTC2";"Sell";"2020.01.10 13:03:00";"1.10860";"0,01000";"2020.01.10 19:00:00";"1.11209";"-3,49";"496,51";"IST";"End Of Friday (Time)";"-3,65";"0,00";"5h 57m";"";"1.10860";"2020.01.10 10:15:00";"1,11260";"1,09360";"Main: EURUSD_M1_UTC2/M15";"36,50";"0,00"
"104";"EURUSD_M1_UTC2";"Sell";"2020.01.16 17:12:00";"1.11371";"0,01000";"2020.01.17 19:00:00";"1.10947";"4,24";"500,75";"IST";"End Of Friday (Time)";"-0,76";"4,89";"1d 1h 48m";"";"1.11371";"2020.01.16 15:00:00";"1,11771";"1,09871";"Main: EURUSD_M1_UTC2/M15";"7,60";"48,90"
"144";"EURUSD_M1_UTC2";"Sell";"2020.01.23 17:17:00";"1.10570";"0,01000";"2020.01.24 19:00:00";"1.10279";"2,91";"503,66";"IST";"End Of Friday (Time)";"-0,67";"3,55";"1d 1h 43m";"";"1.10570";"2020.01.23 15:30:00";"1,10970";"1,09070";"Main: EURUSD_M1_UTC2/M15";"6,70";"35,50"
"195";"EURUSD_M1_UTC2";"Buy";"2020.01.31 18:00:00";"1.10856";"0,01000";"2020.01.31 19:00:00";"1.10806";"-0,50";"503,16";"IST";"End Of Friday (Time)";"-1,09";"0,47";"1h 0m";"";"1.10856";"2020.01.31 14:45:00";"1,10456";"1,12356";"Main: EURUSD_M1_UTC2/M15";"10,90";"4,70"
"261";"EURUSD_M1_UTC2";"Sell";"2020.02.11 15:35:00";"1.08934";"0,01000";"2020.02.14 19:00:00";"1.08421";"5,13";"508,29";"IST";"End Of Friday (Time)";"-3,41";"6,43";"3d 3h 25m";"";"1.08934";"2020.02.11 14:30:00";"1,09334";"1,07434";"Main: EURUSD_M1_UTC2/M15";"34,10";"64,30"
"281";"EURUSD_M1_UTC2";"Sell";"2020.02.18 16:11:00";"1.07931";"0,01000";"2020.02.21 16:47:00";"1.08341";"-4,10";"504,19";"IST";"SL";"-4,10";"1,33";"3d 0h 36m";"";"1.07931";"2020.02.18 14:15:00";"1,08331";"1,06431";"Main: EURUSD_M1_UTC2/M15";"41,00";"13,30"
"618";"EURUSD_M1_UTC2";"Buy";"2020.04.09 16:13:00";"1.09198";"0,01000";"2020.04.10 19:00:00";"1.09471";"2,73";"506,92";"IST";"End Of Friday (Time)";"-0,78";"3,19";"1d 2h 47m";"";"1.09198";"2020.04.09 14:45:00";"1,08798";"1,10698";"Main: EURUSD_M1_UTC2/M15";"7,80";"31,90"
"753";"EURUSD_M1_UTC2";"Buy";"2020.04.30 18:02:00";"1.09738";"0,01000";"2020.04.30 18:49:00";"1.09328";"-4,10";"502,82";"IST";"SL";"-4,10";"0,00";"47m 0s";"";"1.09738";"2020.04.30 17:30:00";"1,09338";"1,11238";"Main: EURUSD_M1_UTC2/M15";"41,00";"0,00"
"1116";"EURUSD_M1_UTC2";"Buy";"2020.06.19 15:32:00";"1.12476";"0,01000";"2020.06.19 17:40:00";"1.12066";"-4,10";"498,72";"IST";"SL";"-4,10";"0,66";"2h 8m";"";"1.12476";"2020.06.19 14:15:00";"1,12076";"1,13976";"Main: EURUSD_M1_UTC2/M15";"41,00";"6,60"
"1244";"EURUSD_M1_UTC2";"Buy";"2020.07.08 17:07:00";"1.13415";"0,01000";"2020.07.09 13:52:00";"1.13159";"-2,56";"496,16";"IST";"TrailingStop";"-2,66";"2,91";"20h 45m";"";"1.13415";"2020.07.08 13:45:00";"1,13015";"1,14915";"Main: EURUSD_M1_UTC2/M15";"26,60";"29,10"
"1537";"EURUSD_M1_UTC2";"Sell";"2020.08.19 19:07:00";"1.18885";"0,01000";"2020.08.20 18:36:00";"1.18601";"2,84";"499,00";"IST";"TrailingStop";"-0,74";"8,46";"23h 29m";"";"1.18885";"2020.08.19 17:30:00";"1,19285";"1,17385";"Main: EURUSD_M1_UTC2/M15";"7,40";"84,60"
"1587";"EURUSD_M1_UTC2";"Buy";"2020.08.27 16:06:00";"1.18516";"0,01000";"2020.08.27 16:39:00";"1.18236";"-2,80";"496,20";"IST";"TrailingStop";"-2,80";"5,02";"33m 0s";"";"1.18516";"2020.08.27 13:45:00";"1,18116";"1,20016";"Main: EURUSD_M1_UTC2/M15";"28,00";"50,20"
"1751";"EURUSD_M1_UTC2";"Sell";"2020.09.21 12:33:00";"1.17885";"0,01000";"2020.09.24 12:33:00";"1.16385";"15,00";"511,20";"IST";"PT";"-1,07";"15,00";"3d 0h 0m";"";"1.17885";"2020.09.21 09:45:00";"1,18285";"1,16385";"Main: EURUSD_M1_UTC2/M15";"10,70";"150,00"
"1892";"EURUSD_M1_UTC2";"Buy";"2020.10.14 15:30:00";"1.17627";"0,01000";"2020.10.15 11:20:00";"1.17217";"-4,10";"507,10";"IST";"SL";"-4,10";"0,83";"19h 50m";"";"1.17627";"2020.10.14 13:00:00";"1,17227";"1,19127";"Main: EURUSD_M1_UTC2/M15";"41,00";"8,30"
"1922";"EURUSD_M1_UTC2";"Buy";"2020.10.20 13:16:00";"1.18139";"0,01000";"2020.10.22 12:42:00";"1.18275";"1,36";"508,46";"IST";"TrailingStop";"-1,34";"6,68";"1d 23h 26m";"";"1.18139";"2020.10.20 10:15:00";"1,17739";"1,19639";"Main: EURUSD_M1_UTC2/M15";"13,40";"66,80"
"1983";"EURUSD_M1_UTC2";"Sell";"2020.10.30 18:57:00";"1.16479";"0,01000";"2020.10.30 19:00:00";"1.16497";"-0,18";"508,28";"IST";"End Of Friday (Time)";"-0,58";"0,39";"3m 0s";"";"1.16479";"2020.10.30 16:00:00";"1,16879";"1,14979";"Main: EURUSD_M1_UTC2/M15";"5,80";"3,90"
"2040";"EURUSD_M1_UTC2";"Sell";"2020.11.09 17:36:00";"1.18256";"0,01000";"2020.11.10 17:05:00";"1.18332";"-0,76";"507,52";"IST";"TrailingStop";"-1,96";"4,37";"23h 29m";"";"1.18256";"2020.11.09 14:15:00";"1,18656";"1,16756";"Main: EURUSD_M1_UTC2/M15";"19,60";"43,70"
"2606";"EURUSD_M1_UTC2";"Sell";"2021.02.01 12:37:00";"1.20753";"0,01000";"2021.02.05 15:35:00";"1.20071";"6,82";"514,34";"IST";"TrailingStop";"-2,61";"12,11";"4d 2h 58m";"";"1.20753";"2021.02.01 09:00:00";"1,21153";"1,19253";"Main: EURUSD_M1_UTC2/M15";"26,10";"121,10"
"2736";"EURUSD_M1_UTC2";"Sell";"2021.02.24 15:50:00";"1.21248";"0,01000";"2021.02.24 22:39:00";"1.21658";"-4,10";"510,24";"IST";"SL";"-4,10";"1,36";"6h 49m";"";"1.21248";"2021.02.24 14:30:00";"1,21648";"1,19748";"Main: EURUSD_M1_UTC2/M15";"41,00";"13,60"
"2874";"EURUSD_M1_UTC2";"Sell";"2021.03.16 16:47:00";"1.19037";"0,01000";"2021.03.17 21:00:00";"1.19383";"-3,46";"506,78";"IST";"TrailingStop";"-3,46";"1,98";"1d 4h 13m";"";"1.19037";"2021.03.16 13:30:00";"1,19437";"1,17537";"Main: EURUSD_M1_UTC2/M15";"34,60";"19,80"
"3244";"EURUSD_M1_UTC2";"Buy";"2021.05.07 15:52:00";"1.21417";"0,01000";"2021.05.07 19:00:00";"1.21637";"2,20";"508,98";"IST";"End Of Friday (Time)";"-3,98";"2,33";"3h 8m";"";"1.21417";"2021.05.07 14:45:00";"1,21017";"1,22917";"Main: EURUSD_M1_UTC2/M15";"39,80";"23,30"
"3343";"EURUSD_M1_UTC2";"Sell";"2021.05.21 15:09:00";"1.21835";"0,01000";"2021.05.21 19:00:00";"1.21802";"0,33";"509,31";"IST";"End Of Friday (Time)";"-2,85";"1,11";"3h 51m";"";"1.21835";"2021.05.21 13:30:00";"1,22235";"1,20335";"Main: EURUSD_M1_UTC2/M15";"28,50";"11,10"
"3413";"EURUSD_M1_UTC2";"Buy";"2021.06.01 17:00:00";"1.22519";"0,01000";"2021.06.01 23:54:00";"1.22109";"-4,10";"505,21";"IST";"SL";"-4,10";"0,23";"6h 54m";"";"1.22519";"2021.06.01 14:15:00";"1,22119";"1,24019";"Main: EURUSD_M1_UTC2/M15";"41,00";"2,30"
"3439";"EURUSD_M1_UTC2";"Buy";"2021.06.04 15:56:00";"1.21721";"0,01000";"2021.06.04 19:00:00";"1.21713";"-0,08";"505,13";"IST";"End Of Friday (Time)";"-1,05";"1,35";"3h 4m";"";"1.21721";"2021.06.04 13:15:00";"1,21321";"1,23221";"Main: EURUSD_M1_UTC2/M15";"10,50";"13,50"
"3505";"EURUSD_M1_UTC2";"Sell";"2021.06.15 14:57:00";"1.21062";"0,01000";"2021.06.17 10:17:00";"1.19562";"15,00";"520,13";"IST";"PT";"-3,05";"15,00";"1d 19h 20m";"";"1.21062";"2021.06.15 11:15:00";"1,21462";"1,19562";"Main: EURUSD_M1_UTC2/M15";"30,50";"150,00"
"3632";"EURUSD_M1_UTC2";"Sell";"2021.07.06 12:34:00";"1.18341";"0,01000";"2021.07.08 12:51:00";"1.18376";"-0,35";"519,78";"IST";"TrailingStop";"-1,44";"5,06";"2d 0h 17m";"";"1.18341";"2021.07.06 10:15:00";"1,18741";"1,16841";"Main: EURUSD_M1_UTC2/M15";"14,40";"50,60"
"3699";"EURUSD_M1_UTC2";"Sell";"2021.07.19 11:39:00";"1.17756";"0,01000";"2021.07.19 16:28:00";"1.18166";"-4,10";"515,68";"IST";"SL";"-4,10";"1,00";"4h 49m";"";"1.17756";"2021.07.19 08:00:00";"1,18156";"1,16256";"Main: EURUSD_M1_UTC2/M15";"41,00";"10,00"
"3733";"EURUSD_M1_UTC2";"Buy";"2021.07.22 16:10:00";"1.18215";"0,01000";"2021.07.22 18:19:00";"1.17805";"-4,10";"511,58";"IST";"SL";"-4,10";"0,89";"2h 9m";"";"1.18215";"2021.07.22 14:15:00";"1,17815";"1,19715";"Main: EURUSD_M1_UTC2/M15";"41,00";"8,90"
"3910";"EURUSD_M1_UTC2";"Sell";"2021.08.17 16:08:00";"1.17384";"0,01000";"2021.08.20 19:00:00";"1.16932";"4,52";"516,10";"IST";"End Of Friday (Time)";"-0,63";"7,26";"3d 2h 52m";"";"1.17384";"2021.08.17 13:15:00";"1,17784";"1,15884";"Main: EURUSD_M1_UTC2/M15";"6,30";"72,60"
"3959";"EURUSD_M1_UTC2";"Buy";"2021.08.27 17:12:00";"1.18003";"0,01000";"2021.08.27 19:00:00";"1.17926";"-0,77";"515,33";"IST";"End Of Friday (Time)";"-1,78";"0,19";"1h 48m";"";"1.18003";"2021.08.27 13:45:00";"1,17603";"1,19503";"Main: EURUSD_M1_UTC2/M15";"17,80";"1,90"
"4009";"EURUSD_M1_UTC2";"Buy";"2021.09.03 15:31:00";"1.19042";"0,01000";"2021.09.03 19:00:00";"1.18822";"-2,20";"513,13";"IST";"End Of Friday (Time)";"-3,87";"0,48";"3h 29m";"";"1.19042";"2021.09.03 14:30:00";"1,18642";"1,20542";"Main: EURUSD_M1_UTC2/M15";"38,70";"4,80"
"4161";"EURUSD_M1_UTC2";"Sell";"2021.09.24 15:59:00";"1.17067";"0,01000";"2021.09.24 19:00:00";"1.17167";"-1,00";"512,13";"IST";"End Of Friday (Time)";"-1,49";"0,42";"3h 1m";"";"1.17067";"2021.09.24 13:00:00";"1,17467";"1,15567";"Main: EURUSD_M1_UTC2/M15";"14,90";"4,20"
"4401";"EURUSD_M1_UTC2";"Buy";"2021.10.28 16:10:00";"1.16428";"0,01000";"2021.10.29 15:30:00";"1.16380";"-0,48";"511,65";"IST";"TrailingStop";"-1,43";"4,93";"23h 20m";"";"1.16428";"2021.10.28 13:00:00";"1,16028";"1,17928";"Main: EURUSD_M1_UTC2/M15";"14,30";"49,30"
"4432";"EURUSD_M1_UTC2";"Sell";"2021.11.03 17:00:00";"1.15650";"0,01000";"2021.11.03 21:00:00";"1.16060";"-4,10";"507,55";"IST";"SL";"-4,10";"0,08";"4h 0m";"";"1.15650";"2021.11.03 13:45:00";"1,16050";"1,14150";"Main: EURUSD_M1_UTC2/M15";"41,00";"0,80"
"4930";"EURUSD_M1_UTC2";"Buy";"2022.01.12 15:40:00";"1.14076";"0,01000";"2022.01.14 16:27:00";"1.14297";"2,21";"509,76";"IST";"TrailingStop";"-1,31";"7,51";"2d 0h 47m";"";"1.14076";"2022.01.12 15:30:00";"1,13676";"1,15576";"Main: EURUSD_M1_UTC2/M15";"13,10";"75,10"
"5068";"EURUSD_M1_UTC2";"Buy";"2022.02.03 15:59:00";"1.13668";"0,01000";"2022.02.04 15:34:00";"1.14296";"6,28";"516,04";"IST";"TrailingStop";"-0,51";"11,69";"23h 35m";"";"1.13668";"2022.02.03 15:00:00";"1,13268";"1,15168";"Main: EURUSD_M1_UTC2/M15";"5,10";"116,90"
