"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"4";"EURUSD_M1_UTC2";"Buy";"2020.01.08 02:10:00";"1.11591";"0,01000";"2020.01.10 21:00:00";"1.11176";"-4,15";"495,85";"IST";"End Of Friday (Time)";"-7,41";"0,91";"2d 18h 50m";"";"1.11591";"2020.01.08 00:00:00";"1,06741";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"74,10";"9,10"
"3";"EURUSD_M1_UTC2";"Sell";"2020.01.08 15:15:00";"1.11121";"0,01000";"2020.01.10 21:00:00";"1.11216";"-0,95";"494,90";"IST";"End Of Friday (Time)";"-2,07";"2,51";"2d 5h 45m";"";"1.11121";"2020.01.07 22:15:00";"1,15971";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"20,70";"25,10"
"6";"EURUSD_M1_UTC2";"Buy";"2020.01.15 13:01:00";"1.11434";"0,01000";"2020.01.17 21:00:00";"1.10916";"-5,18";"489,72";"IST";"End Of Friday (Time)";"-5,72";"2,93";"2d 7h 59m";"";"1.11434";"2020.01.14 22:15:00";"1,06584";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"57,20";"29,30"
"7";"EURUSD_M1_UTC2";"Buy";"2020.01.20 01:58:00";"1.10963";"0,01000";"2020.01.24 21:00:00";"1.10269";"-6,94";"482,78";"IST";"End Of Friday (Time)";"-7,68";"2,16";"4d 19h 2m";"";"1.10963";"2020.01.20 00:00:00";"1,06113";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"76,80";"21,60"
"10";"EURUSD_M1_UTC2";"Buy";"2020.01.31 16:55:00";"1.10690";"0,01000";"2020.01.31 21:00:00";"1.10791";"1,01";"483,79";"IST";"End Of Friday (Time)";"-1,33";"2,13";"4h 5m";"";"1.10690";"2020.01.30 20:30:00";"1,05840";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"13,30";"21,30"
"11";"EURUSD_M1_UTC2";"Sell";"2020.02.03 10:50:00";"1.10676";"0,01000";"2020.02.07 21:00:00";"1.09467";"12,09";"495,88";"IST";"End Of Friday (Time)";"-0,85";"12,37";"4d 10h 10m";"";"1.10676";"2020.02.03 00:00:00";"1,15526";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"8,50";"123,70"
"18";"EURUSD_M1_UTC2";"Buy";"2020.02.24 00:00:00";"1.08264";"0,01000";"2020.02.28 21:00:00";"1.09995";"17,31";"513,19";"IST";"End Of Friday (Time)";"-2,14";"22,66";"4d 21h 0m";"";"1.08264";"2020.02.24 00:00:00";"1,03414";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"21,40";"226,60"
"24";"EURUSD_M1_UTC2";"Buy";"2020.03.12 18:47:00";"1.10983";"0,01000";"2020.03.13 21:00:00";"1.10794";"-1,89";"511,30";"IST";"End Of Friday (Time)";"-4,33";"12,80";"1d 2h 13m";"";"1.10983";"2020.03.12 18:45:00";"1,06133";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"43,30";"128,00"
"23";"EURUSD_M1_UTC2";"Sell";"2020.03.12 19:03:00";"1.10745";"0,01000";"2020.03.13 21:00:00";"1.10834";"-0,89";"510,41";"IST";"End Of Friday (Time)";"-15,38";"1,75";"1d 1h 57m";"";"1.10745";"2020.03.10 22:15:00";"1,15595";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"153,80";"17,50"
"25";"EURUSD_M1_UTC2";"Buy";"2020.03.16 00:21:00";"1.11758";"0,01000";"2020.03.19 19:27:00";"1.06898";"-48,60";"461,81";"IST";"SL";"-48,60";"6,08";"3d 19h 6m";"";"1.11758";"2020.03.16 00:00:00";"1,06908";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"486,00";"60,80"
