"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"143";"EURUSD_M1_UTC2";"Buy";"2020.01.02 17:59:00";"1.12023";"0,01000";"2020.01.02 18:39:00";"1.11817";"-2,06";"497,94";"IST";"SL";"-2,06";"0,07";"40m 0s";"";"1.12023";"2020.01.02 17:45:00";"1,11827";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"20,60";"0,70"
"646";"EURUSD_M1_UTC2";"Sell";"2020.01.07 12:25:00";"1.11656";"0,01000";"2020.01.07 13:26:00";"1.11816";"-1,60";"496,34";"IST";"SL";"-1,60";"0,00";"1h 1m";"";"1.11656";"2020.01.07 12:15:00";"1,11806";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"16,00";"0,00"
"1200";"EURUSD_M1_UTC2";"Sell";"2020.01.10 10:44:00";"1.10935";"0,01000";"2020.01.10 15:30:00";"1.11095";"-1,60";"494,74";"IST";"SL";"-1,60";"0,65";"4h 46m";"";"1.10935";"2020.01.10 10:30:00";"1,11085";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"16,00";"6,50"
"1199";"EURUSD_M1_UTC2";"Buy";"2020.01.10 15:30:00";"1.11119";"0,01000";"2020.01.10 15:58:00";"1.10959";"-1,60";"493,14";"IST";"SL";"-1,60";"0,17";"28m 0s";"";"1.11119";"2020.01.10 10:30:00";"1,10969";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"16,00";"1,70"
"4023";"EURUSD_M1_UTC2";"Buy";"2020.01.31 17:59:00";"1.10823";"0,01000";"2020.01.31 21:00:00";"1.10791";"-0,32";"492,82";"IST";"End Of Friday (Time)";"-0,76";"0,80";"3h 1m";"";"1.10823";"2020.01.31 17:45:00";"1,10673";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"7,60";"8,00"
"4496";"EURUSD_M1_UTC2";"Sell";"2020.02.05 10:49:00";"1.10394";"0,01000";"2020.02.05 21:36:00";"1.09984";"4,10";"496,92";"IST";"MoveSL2BE";"-0,59";"4,37";"10h 47m";"";"1.10394";"2020.02.05 10:45:00";"1,10544";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"5,90";"43,70"
"4595";"EURUSD_M1_UTC2";"Buy";"2020.02.06 10:02:00";"1.10140";"0,01000";"2020.02.06 10:21:00";"1.09980";"-1,60";"495,32";"IST";"SL";"-1,60";"0,00";"19m 0s";"";"1.10140";"2020.02.06 10:00:00";"1,09990";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"16,00";"0,00"
"5000";"EURUSD_M1_UTC2";"Sell";"2020.02.10 15:56:00";"1.09334";"0,01000";"2020.02.14 21:00:00";"1.08466";"8,68";"504,00";"IST";"End Of Friday (Time)";"-0,68";"10,43";"4d 5h 4m";"";"1.09334";"2020.02.10 15:45:00";"1,09484";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"6,80";"104,30"
"5853";"EURUSD_M1_UTC2";"Buy";"2020.02.21 10:31:00";"1.08157";"0,01000";"2020.02.21 12:18:00";"1.07974";"-1,83";"502,17";"IST";"SL";"-1,83";"0,43";"1h 47m";"";"1.08157";"2020.02.21 10:30:00";"1,07984";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"18,30";"4,30"
"7525";"EURUSD_M1_UTC2";"Buy";"2020.03.05 11:28:00";"1.11570";"0,01000";"2020.03.05 19:05:00";"1.11980";"4,10";"506,27";"IST";"MoveSL2BE";"-0,25";"4,93";"7h 37m";"";"1.11570";"2020.03.05 11:15:00";"1,11385";"-100000000,00000";"Main: EURUSD_M1_UTC2/M15";"2,50";"49,30"
