"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"252";"EURUSD_M1_UTC2";"Sell";"2020.01.14 15:23:00";"1.11071";"0,01000";"2020.01.14 18:42:00";"1.11314";"-2,43";"497,57";"IST";"SL";"-2,43";"0,06";"3h 19m";"";"1.11071";"2020.01.14 15:00:00";"1,11304";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"24,30";"0,60"
"448";"EURUSD_M1_UTC2";"Sell";"2020.01.23 16:21:00";"1.10607";"0,01000";"2020.01.24 21:00:00";"1.10309";"2,98";"500,55";"IST";"End Of Friday (Time)";"-1,58";"3,92";"1d 4h 39m";"";"1.10607";"2020.01.23 15:30:00";"1,10851";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"15,80";"39,20"
"573";"EURUSD_M1_UTC2";"Buy";"2020.01.31 17:56:00";"1.10752";"0,01000";"2020.01.31 21:00:00";"1.10791";"0,39";"500,94";"IST";"End Of Friday (Time)";"-0,18";"1,51";"3h 4m";"";"1.10752";"2020.01.31 15:30:00";"1,10503";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"1,80";"15,10"
"682";"EURUSD_M1_UTC2";"Sell";"2020.02.06 17:16:00";"1.09824";"0,01000";"2020.02.07 15:13:00";"1.09727";"0,97";"501,91";"IST";"TrailingStop";"-0,45";"3,27";"21h 57m";"";"1.09824";"2020.02.06 17:00:00";"1,10068";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"4,50";"32,70"
"831";"EURUSD_M1_UTC2";"Sell";"2020.02.18 16:16:00";"1.07900";"0,01000";"2020.02.18 17:03:00";"1.08162";"-2,62";"499,29";"IST";"SL";"-2,62";"0,26";"47m 0s";"";"1.07900";"2020.02.18 15:30:00";"1,08152";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"26,20";"2,60"
"1109";"EURUSD_M1_UTC2";"Buy";"2020.03.05 14:16:00";"1.11975";"0,01000";"2020.03.06 17:27:00";"1.12997";"10,22";"509,51";"IST";"TrailingStop";"-3,06";"15,71";"1d 3h 11m";"";"1.11975";"2020.03.05 12:00:00";"1,11508";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"30,60";"157,10"
"1268";"EURUSD_M1_UTC2";"Sell";"2020.03.17 14:13:00";"1.10068";"0,01000";"2020.03.18 22:53:00";"1.08995";"10,73";"520,24";"IST";"TrailingStop";"-4,03";"20,32";"1d 8h 40m";"";"1.10068";"2020.03.17 11:30:00";"1,10897";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"40,30";"203,20"
"1718";"EURUSD_M1_UTC2";"Buy";"2020.04.09 15:57:00";"1.09108";"0,01000";"2020.04.10 21:00:00";"1.09316";"2,08";"522,32";"IST";"End Of Friday (Time)";"-1,59";"4,16";"1d 5h 3m";"";"1.09108";"2020.04.09 15:30:00";"1,08584";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"15,90";"41,60"
"1932";"EURUSD_M1_UTC2";"Sell";"2020.04.22 19:26:00";"1.08194";"0,01000";"2020.04.23 17:14:00";"1.08155";"0,39";"522,71";"IST";"TrailingStop";"-1,69";"6,14";"21h 48m";"";"1.08194";"2020.04.22 17:00:00";"1,08660";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"16,90";"61,40"
"2115";"EURUSD_M1_UTC2";"Buy";"2020.04.30 17:52:00";"1.09080";"0,01000";"2020.05.01 21:00:00";"1.09805";"7,25";"529,96";"IST";"End Of Friday (Time)";"-0,14";"11,07";"1d 3h 8m";"";"1.09080";"2020.04.30 17:30:00";"1,08396";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"1,40";"110,70"
"2437";"EURUSD_M1_UTC2";"Buy";"2020.05.18 16:37:00";"1.08537";"0,01000";"2020.05.19 16:30:00";"1.09281";"7,44";"537,40";"IST";"TrailingStop";"-0,31";"12,22";"23h 53m";"";"1.08537";"2020.05.18 15:30:00";"1,08157";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"3,10";"122,20"
"2736";"EURUSD_M1_UTC2";"Buy";"2020.06.02 12:00:00";"1.11769";"0,01000";"2020.06.04 09:38:00";"1.12034";"2,65";"540,05";"IST";"TrailingStop";"-2,22";"8,08";"1d 21h 38m";"";"1.11769";"2020.06.02 12:00:00";"1,11268";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"22,20";"80,80"
"3044";"EURUSD_M1_UTC2";"Sell";"2020.06.19 17:45:00";"1.11912";"0,01000";"2020.06.19 21:00:00";"1.11914";"-0,02";"540,03";"IST";"End Of Friday (Time)";"-2,60";"2,12";"3h 15m";"";"1.11912";"2020.06.19 17:30:00";"1,12413";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"26,00";"21,20"
"3657";"EURUSD_M1_UTC2";"Buy";"2020.07.16 17:24:00";"1.14416";"0,01000";"2020.07.16 20:10:00";"1.13984";"-4,32";"535,71";"IST";"SL";"-4,32";"0,01";"2h 46m";"";"1.14416";"2020.07.16 15:00:00";"1,13994";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"43,20";"0,10"
"3716";"EURUSD_M1_UTC2";"Buy";"2020.07.21 20:31:00";"1.15258";"0,01000";"2020.07.23 15:37:00";"1.15533";"2,75";"538,46";"IST";"TrailingStop";"-1,90";"7,55";"1d 19h 6m";"";"1.15258";"2020.07.21 18:00:00";"1,14618";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"19,00";"75,50"
"4356";"EURUSD_M1_UTC2";"Sell";"2020.08.21 14:52:00";"1.17774";"0,01000";"2020.08.21 21:00:00";"1.17876";"-1,02";"537,44";"IST";"End Of Friday (Time)";"-1,43";"2,13";"6h 8m";"";"1.17774";"2020.08.21 02:30:00";"1,18259";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"14,30";"21,30"
"4471";"EURUSD_M1_UTC2";"Buy";"2020.08.27 16:06:00";"1.18551";"0,01000";"2020.08.27 16:39:00";"1.18302";"-2,49";"534,95";"IST";"TrailingStop";"-2,85";"4,67";"33m 0s";"";"1.18551";"2020.08.27 16:00:00";"1,18044";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"28,50";"46,70"
"4472";"EURUSD_M1_UTC2";"Sell";"2020.08.27 17:05:00";"1.17800";"0,01000";"2020.08.28 06:55:00";"1.18603";"-8,03";"526,92";"IST";"SL";"-8,03";"1,57";"13h 50m";"";"1.17800";"2020.08.27 17:00:00";"1,18593";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"80,30";"15,70"
"4762";"EURUSD_M1_UTC2";"Buy";"2020.09.10 16:49:00";"1.19171";"0,01000";"2020.09.10 17:55:00";"1.18736";"-4,35";"522,57";"IST";"SL";"-4,35";"0,04";"1h 6m";"";"1.19171";"2020.09.10 15:30:00";"1,18746";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"43,50";"0,40"
"4843";"EURUSD_M1_UTC2";"Sell";"2020.09.16 21:33:00";"1.18063";"0,01000";"2020.09.17 10:53:00";"1.17937";"1,26";"523,83";"IST";"TrailingStop";"-3,49";"6,70";"13h 20m";"";"1.18063";"2020.09.14 13:00:00";"1,18435";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"34,90";"67,00"
"4973";"EURUSD_M1_UTC2";"Sell";"2020.09.21 11:31:00";"1.18077";"0,01000";"2020.09.22 13:50:00";"1.17682";"3,95";"527,78";"IST";"TrailingStop";"-0,29";"8,56";"1d 2h 19m";"";"1.18077";"2020.09.21 09:00:00";"1,18433";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"2,90";"85,60"
"5407";"EURUSD_M1_UTC2";"Buy";"2020.10.14 15:30:00";"1.17627";"0,01000";"2020.10.15 11:06:00";"1.17252";"-3,75";"524,03";"IST";"SL";"-3,75";"0,83";"19h 36m";"";"1.17627";"2020.10.14 14:30:00";"1,17262";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"37,50";"8,30"
"5409";"EURUSD_M1_UTC2";"Sell";"2020.10.15 11:33:00";"1.17115";"0,01000";"2020.10.16 14:22:00";"1.17309";"-1,94";"522,09";"IST";"TrailingStop";"-1,94";"2,11";"1d 2h 49m";"";"1.17115";"2020.10.14 15:30:00";"1,17494";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"19,40";"21,10"
"5809";"EURUSD_M1_UTC2";"Buy";"2020.11.05 14:51:00";"1.18447";"0,01000";"2020.11.06 21:00:00";"1.18813";"3,66";"525,75";"IST";"End Of Friday (Time)";"-5,34";"4,61";"1d 6h 9m";"";"1.18447";"2020.11.05 12:00:00";"1,17794";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"53,40";"46,10"
"6137";"EURUSD_M1_UTC2";"Sell";"2020.11.23 17:57:00";"1.18193";"0,01000";"2020.11.23 19:54:00";"1.18453";"-2,60";"523,15";"IST";"SL";"-2,60";"1,76";"1h 57m";"";"1.18193";"2020.11.23 10:00:00";"1,18443";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"26,00";"17,60"
"6442";"EURUSD_M1_UTC2";"Sell";"2020.12.09 18:05:00";"1.20740";"0,01000";"2020.12.10 06:18:00";"1.21025";"-2,85";"520,30";"IST";"TrailingStop";"-2,85";"1,33";"12h 13m";"";"1.20740";"2020.12.09 10:30:00";"1,21085";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"28,50";"13,30"
"8442";"EURUSD_M1_UTC2";"Buy";"2021.03.17 21:00:00";"1.19421";"0,01000";"2021.03.18 10:44:00";"1.19477";"0,56";"520,86";"IST";"TrailingStop";"-1,61";"4,67";"13h 44m";"";"1.19421";"2021.03.17 21:00:00";"1,19058";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"16,10";"46,70"
"8768";"EURUSD_M1_UTC2";"Sell";"2021.04.02 16:08:00";"1.17493";"0,01000";"2021.04.02 21:00:00";"1.17657";"-1,64";"519,22";"IST";"End Of Friday (Time)";"-2,17";"0,00";"4h 52m";"";"1.17493";"2021.04.02 16:00:00";"1,17815";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"21,70";"0,00"
"8793";"EURUSD_M1_UTC2";"Buy";"2021.04.05 16:43:00";"1.17890";"0,01000";"2021.04.07 21:27:00";"1.18753";"8,63";"527,85";"IST";"TrailingStop";"-0,24";"12,57";"2d 4h 44m";"";"1.17890";"2021.04.05 13:00:00";"1,17592";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"2,40";"125,70"
"8965";"EURUSD_M1_UTC2";"Buy";"2021.04.19 10:48:00";"1.20055";"0,01000";"2021.04.20 15:31:00";"1.20410";"3,55";"531,40";"IST";"TrailingStop";"-0,30";"7,42";"1d 4h 43m";"";"1.20055";"2021.04.19 07:00:00";"1,19752";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"3,00";"74,20"
"9102";"EURUSD_M1_UTC2";"Sell";"2021.04.30 17:56:00";"1.20401";"0,01000";"2021.04.30 21:00:00";"1.20250";"1,51";"532,91";"IST";"End Of Friday (Time)";"-0,79";"1,87";"3h 4m";"";"1.20401";"2021.04.27 23:30:00";"1,20725";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"7,90";"18,70"
"9317";"EURUSD_M1_UTC2";"Buy";"2021.05.07 15:32:00";"1.21300";"0,01000";"2021.05.07 21:00:00";"1.21584";"2,84";"535,75";"IST";"End Of Friday (Time)";"-2,81";"3,50";"5h 28m";"";"1.21300";"2021.05.07 15:00:00";"1,20955";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"28,10";"35,00"
"9530";"EURUSD_M1_UTC2";"Buy";"2021.05.18 11:30:00";"1.22177";"0,01000";"2021.05.19 11:38:00";"1.22109";"-0,68";"535,07";"IST";"TrailingStop";"-2,03";"2,74";"1d 0h 8m";"";"1.22177";"2021.05.18 10:00:00";"1,21892";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"20,30";"27,40"
"9756";"EURUSD_M1_UTC2";"Sell";"2021.05.28 15:10:00";"1.21426";"0,01000";"2021.05.28 17:34:00";"1.21765";"-3,39";"531,68";"IST";"SL";"-3,39";"0,81";"2h 24m";"";"1.21426";"2021.05.28 13:30:00";"1,21755";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"33,90";"8,10"
"9803";"EURUSD_M1_UTC2";"Buy";"2021.05.31 18:47:00";"1.22330";"0,01000";"2021.06.01 23:09:00";"1.22167";"-1,63";"530,05";"IST";"TrailingStop";"-1,98";"2,12";"1d 4h 22m";"";"1.22330";"2021.05.31 18:30:00";"1,21961";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"19,80";"21,20"
"10051";"EURUSD_M1_UTC2";"Buy";"2021.06.10 17:30:00";"1.21881";"0,01000";"2021.06.11 14:43:00";"1.21325";"-5,56";"524,49";"IST";"SL";"-5,56";"0,48";"21h 13m";"";"1.21881";"2021.06.10 17:30:00";"1,21335";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"55,60";"4,80"
"10049";"EURUSD_M1_UTC2";"Sell";"2021.06.11 14:59:00";"1.21306";"0,01000";"2021.06.11 21:00:00";"1.21027";"2,79";"527,28";"IST";"End Of Friday (Time)";"-0,90";"3,61";"6h 1m";"";"1.21306";"2021.06.10 16:30:00";"1,21787";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"9,00";"36,10"
"10119";"EURUSD_M1_UTC2";"Sell";"2021.06.16 21:00:00";"1.20876";"0,01000";"2021.06.18 11:28:00";"1.19261";"16,15";"543,43";"IST";"TrailingStop";"0,00";"20,03";"1d 14h 28m";"";"1.20876";"2021.06.16 21:00:00";"1,21166";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"0,00";"200,30"
"10436";"EURUSD_M1_UTC2";"Sell";"2021.07.06 11:16:00";"1.18555";"0,01000";"2021.07.07 21:02:00";"1.18184";"3,71";"547,14";"IST";"TrailingStop";"-0,27";"7,20";"1d 9h 46m";"";"1.18555";"2021.07.06 11:00:00";"1,18830";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"2,70";"72,00"
"10581";"EURUSD_M1_UTC2";"Sell";"2021.07.13 15:51:00";"1.18042";"0,01000";"2021.07.14 15:04:00";"1.18081";"-0,39";"546,75";"IST";"TrailingStop";"-3,05";"3,05";"23h 13m";"";"1.18042";"2021.07.13 14:00:00";"1,18362";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"30,50";"30,50"
"10682";"EURUSD_M1_UTC2";"Sell";"2021.07.19 11:39:00";"1.17751";"0,01000";"2021.07.19 16:22:00";"1.18034";"-2,83";"543,92";"IST";"SL";"-2,83";"0,95";"4h 43m";"";"1.17751";"2021.07.19 10:30:00";"1,18024";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"28,30";"9,50"
"10795";"EURUSD_M1_UTC2";"Sell";"2021.07.22 18:03:00";"1.17855";"0,01000";"2021.07.23 21:00:00";"1.17732";"1,23";"545,15";"IST";"End Of Friday (Time)";"-0,47";"2,91";"1d 2h 57m";"";"1.17855";"2021.07.22 18:00:00";"1,18385";"-100000000,00000";"Main: EURUSD_M1_UTC2/M30";"4,70";"29,10"
