"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"42";"EURUSD_M1_UTC2";"Sell";"2020.01.23 17:27:00";"1.10499";"0,01000";"2020.01.24 19:00:00";"1.10279";"2,20";"502,20";"IST";"End Of Friday (Time)";"-1,38";"2,84";"1d 1h 33m";"";"1.10499";"2020.01.23 10:00:00";"1,11149";"1,08749";"Main: EURUSD_M1_UTC2/M30";"13,80";"28,40"
"90";"EURUSD_M1_UTC2";"Sell";"2020.02.20 09:21:00";"1.07792";"0,01000";"2020.02.21 16:49:00";"1.08452";"-6,60";"495,60";"IST";"SL";"-6,60";"0,00";"1d 7h 28m";"";"1.07792";"2020.02.20 00:00:00";"1,08442";"1,06042";"Main: EURUSD_M1_UTC2/M30";"66,00";"0,00"
"133";"EURUSD_M1_UTC2";"Sell";"2020.03.17 15:29:00";"1.09887";"0,01000";"2020.03.18 19:53:00";"1.08137";"17,50";"513,10";"IST";"PT";"-5,84";"17,50";"1d 4h 24m";"";"1.09887";"2020.03.17 10:00:00";"1,10537";"1,08137";"Main: EURUSD_M1_UTC2/M30";"58,40";"175,00"
"167";"EURUSD_M1_UTC2";"Buy";"2020.04.07 13:21:00";"1.08937";"0,01000";"2020.04.10 19:00:00";"1.09471";"5,34";"518,44";"IST";"End Of Friday (Time)";"-6,38";"5,80";"3d 5h 39m";"";"1.08937";"2020.04.07 06:00:00";"1,08287";"1,10687";"Main: EURUSD_M1_UTC2/M30";"63,80";"58,00"
"169";"EURUSD_M1_UTC2";"Sell";"2020.04.13 18:07:00";"1.08946";"0,01000";"2020.04.14 14:47:00";"1.09606";"-6,60";"511,84";"IST";"SL";"-6,60";"0,00";"20h 40m";"";"1.08946";"2020.04.13 10:00:00";"1,09596";"1,07196";"Main: EURUSD_M1_UTC2/M30";"66,00";"0,00"
"247";"EURUSD_M1_UTC2";"Buy";"2020.05.26 12:10:00";"1.09701";"0,01000";"2020.05.29 15:19:00";"1.11451";"17,50";"529,34";"IST";"PT";"-3,61";"17,50";"3d 3h 9m";"";"1.09701";"2020.05.26 06:00:00";"1,09051";"1,11451";"Main: EURUSD_M1_UTC2/M30";"36,10";"175,00"
"400";"EURUSD_M1_UTC2";"Sell";"2020.08.21 14:37:00";"1.17814";"0,01000";"2020.08.21 19:00:00";"1.17772";"0,42";"529,76";"IST";"End Of Friday (Time)";"-1,03";"2,53";"4h 23m";"";"1.17814";"2020.08.21 10:00:00";"1,18464";"1,16064";"Main: EURUSD_M1_UTC2/M30";"10,30";"25,30"
"477";"EURUSD_M1_UTC2";"Buy";"2020.10.05 16:51:00";"1.17892";"0,01000";"2020.10.09 19:00:00";"1.18176";"2,84";"532,60";"IST";"End Of Friday (Time)";"-6,43";"3,57";"4d 2h 9m";"";"1.17892";"2020.10.05 10:00:00";"1,17242";"1,19642";"Main: EURUSD_M1_UTC2/M30";"64,30";"35,70"
"516";"EURUSD_M1_UTC2";"Buy";"2020.11.03 13:06:00";"1.17028";"0,01000";"2020.11.04 04:24:00";"1.16368";"-6,60";"526,00";"IST";"SL";"-6,60";"6,76";"15h 18m";"";"1.17028";"2020.11.03 06:00:00";"1,16378";"1,18778";"Main: EURUSD_M1_UTC2/M30";"66,00";"67,60"
"664";"EURUSD_M1_UTC2";"Sell";"2021.01.25 16:48:00";"1.21271";"0,01000";"2021.01.29 19:00:00";"1.21382";"-1,11";"524,89";"IST";"End Of Friday (Time)";"-5,07";"6,66";"4d 2h 12m";"";"1.21271";"2021.01.25 10:00:00";"1,21921";"1,19521";"Main: EURUSD_M1_UTC2/M30";"50,70";"66,60"
