"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"32";"EURUSD_M1_UTC2";"Buy";"2020.01.10 17:39:00";"1.11166";"0,01000";"2020.01.10 19:00:00";"1.11169";"0,03";"500,03";"IST";"End Of Friday (Time)";"-0,55";"0,39";"1h 21m";"";"1.11166";"2020.01.10 14:00:00";"1,10666";"1,12966";"Main: EURUSD_M1_UTC2/M30";"5,50";"3,90"
"45";"EURUSD_M1_UTC2";"Buy";"2020.01.15 16:32:00";"1.11634";"0,01000";"2020.01.17 13:01:00";"1.11124";"-5,10";"494,93";"IST";"SL";"-5,10";"0,93";"1d 20h 29m";"";"1.11634";"2020.01.15 12:00:00";"1,11134";"1,13434";"Main: EURUSD_M1_UTC2/M30";"51,00";"9,30"
"93";"EURUSD_M1_UTC2";"Buy";"2020.01.31 16:51:00";"1.10675";"0,01000";"2020.01.31 19:00:00";"1.10806";"1,31";"496,24";"IST";"End Of Friday (Time)";"-1,18";"2,28";"2h 9m";"";"1.10675";"2020.01.31 14:00:00";"1,10175";"1,12475";"Main: EURUSD_M1_UTC2/M30";"11,80";"22,80"
"120";"EURUSD_M1_UTC2";"Sell";"2020.02.10 18:18:00";"1.09174";"0,01000";"2020.02.14 19:00:00";"1.08421";"7,53";"503,77";"IST";"End Of Friday (Time)";"-1,01";"8,83";"4d 0h 42m";"";"1.09174";"2020.02.10 15:00:00";"1,09674";"1,07374";"Main: EURUSD_M1_UTC2/M30";"10,10";"88,30"
"128";"EURUSD_M1_UTC2";"Sell";"2020.02.18 15:34:00";"1.07995";"0,01000";"2020.02.21 17:04:00";"1.08505";"-5,10";"498,67";"IST";"SL";"-5,10";"1,97";"3d 1h 30m";"";"1.07995";"2020.02.18 11:00:00";"1,08495";"1,06195";"Main: EURUSD_M1_UTC2/M30";"51,00";"19,70"
"170";"EURUSD_M1_UTC2";"Buy";"2020.03.05 14:16:00";"1.11969";"0,01000";"2020.03.06 19:00:00";"1.13182";"12,13";"510,80";"IST";"End Of Friday (Time)";"-3,00";"15,77";"1d 4h 44m";"";"1.11969";"2020.03.05 10:00:00";"1,11469";"1,13769";"Main: EURUSD_M1_UTC2/M30";"30,00";"157,70"
"290";"EURUSD_M1_UTC2";"Sell";"2020.04.13 11:20:00";"1.09277";"0,01000";"2020.04.14 14:59:00";"1.09680";"-4,03";"506,77";"IST";"TrailingStop";"-4,03";"3,31";"1d 3h 39m";"";"1.09277";"2020.04.13 10:00:00";"1,09777";"1,07477";"Main: EURUSD_M1_UTC2/M30";"40,30";"33,10"
"312";"EURUSD_M1_UTC2";"Sell";"2020.04.21 05:20:00";"1.08278";"0,01000";"2020.04.21 17:23:00";"1.08788";"-5,10";"501,67";"IST";"SL";"-5,10";"0,93";"12h 3m";"";"1.08278";"2020.04.21 01:00:00";"1,08778";"1,06478";"Main: EURUSD_M1_UTC2/M30";"51,00";"9,30"
"450";"EURUSD_M1_UTC2";"Buy";"2020.06.02 12:00:00";"1.11768";"0,01000";"2020.06.04 18:05:00";"1.13568";"18,00";"519,67";"IST";"PT";"-2,21";"18,00";"2d 6h 5m";"";"1.11768";"2020.06.02 11:00:00";"1,11268";"1,13568";"Main: EURUSD_M1_UTC2/M30";"22,10";"180,00"
"560";"EURUSD_M1_UTC2";"Buy";"2020.07.08 16:45:00";"1.13308";"0,01000";"2020.07.09 17:45:00";"1.13009";"-2,99";"516,68";"IST";"TrailingStop";"-2,99";"3,98";"1d 1h 0m";"";"1.13308";"2020.07.08 12:00:00";"1,12808";"1,15108";"Main: EURUSD_M1_UTC2/M30";"29,90";"39,80"
