"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"11";"EURUSD_M1_UTC2";"Sell";"2020.01.07 15:55:00";"1.11612";"0,01000";"2020.01.10 19:00:00";"1.11209";"4,03";"504,03";"IST";"End Of Friday (Time)";"-0,90";"7,42";"3d 3h 5m";"";"1.11612";"2020.01.07 08:00:00";"1,12062";"1,09662";"Main: EURUSD_M1_UTC2/M30";"9,00";"74,20"
"16";"EURUSD_M1_UTC2";"Sell";"2020.01.14 15:04:00";"1.11166";"0,01000";"2020.01.15 16:29:00";"1.11626";"-4,60";"499,43";"IST";"SL";"-4,60";"1,01";"1d 1h 25m";"";"1.11166";"2020.01.14 08:00:00";"1,11616";"1,09216";"Main: EURUSD_M1_UTC2/M30";"46,00";"10,10"
"124";"EURUSD_M1_UTC2";"Buy";"2020.03.05 12:00:00";"1.11768";"0,01000";"2020.03.06 19:00:00";"1.13182";"14,14";"513,57";"IST";"End Of Friday (Time)";"-2,03";"17,78";"1d 7h 0m";"";"1.11768";"2020.03.05 08:00:00";"1,11318";"1,13718";"Main: EURUSD_M1_UTC2/M30";"20,30";"177,80"
"144";"EURUSD_M1_UTC2";"Sell";"2020.03.17 13:29:00";"1.10609";"0,01000";"2020.03.18 17:59:00";"1.08659";"19,50";"533,07";"IST";"PT";"-0,33";"19,50";"1d 4h 30m";"";"1.10609";"2020.03.17 08:00:00";"1,11059";"1,08659";"Main: EURUSD_M1_UTC2/M30";"3,30";"195,00"
"204";"EURUSD_M1_UTC2";"Sell";"2020.04.15 10:42:00";"1.09391";"0,01000";"2020.04.17 19:00:00";"1.08861";"5,30";"538,37";"IST";"End Of Friday (Time)";"-0,47";"12,52";"2d 8h 18m";"";"1.09391";"2020.04.15 08:00:00";"1,09841";"1,07441";"Main: EURUSD_M1_UTC2/M30";"4,70";"125,20"
"468";"EURUSD_M1_UTC2";"Sell";"2020.08.19 19:19:00";"1.18724";"0,01000";"2020.08.21 19:00:00";"1.17772";"9,52";"547,89";"IST";"End Of Friday (Time)";"-2,35";"11,63";"1d 23h 41m";"";"1.18724";"2020.08.19 16:00:00";"1,19174";"1,16774";"Main: EURUSD_M1_UTC2/M30";"23,50";"116,30"
"808";"EURUSD_M1_UTC2";"Sell";"2021.02.01 12:32:00";"1.20825";"0,01000";"2021.02.05 19:00:00";"1.20376";"4,49";"552,38";"IST";"End Of Friday (Time)";"-1,89";"12,83";"4d 6h 28m";"";"1.20825";"2021.02.01 08:00:00";"1,21275";"1,18875";"Main: EURUSD_M1_UTC2/M30";"18,90";"128,30"
"861";"EURUSD_M1_UTC2";"Sell";"2021.03.03 15:09:00";"1.20458";"0,01000";"2021.03.05 19:00:00";"1.19164";"12,94";"565,32";"IST";"End Of Friday (Time)";"-3,67";"15,06";"2d 3h 51m";"";"1.20458";"2021.03.03 08:00:00";"1,20908";"1,18508";"Main: EURUSD_M1_UTC2/M30";"36,70";"150,60"
"992";"EURUSD_M1_UTC2";"Buy";"2021.05.06 14:56:00";"1.20568";"0,01000";"2021.05.07 19:00:00";"1.21637";"10,69";"576,01";"IST";"End Of Friday (Time)";"-1,27";"10,82";"1d 4h 4m";"";"1.20568";"2021.05.06 08:00:00";"1,20118";"1,22518";"Main: EURUSD_M1_UTC2/M30";"12,70";"108,20"
"1076";"EURUSD_M1_UTC2";"Sell";"2021.06.16 21:02:00";"1.20565";"0,01000";"2021.06.18 17:04:00";"1.18615";"19,50";"595,51";"IST";"PT";"-1,12";"19,50";"1d 20h 2m";"";"1.20565";"2021.06.16 16:00:00";"1,21015";"1,18615";"Main: EURUSD_M1_UTC2/M30";"11,20";"195,00"
