"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"158";"EURUSD_M1_UTC2";"Sell";"2020.01.23 17:27:00";"1.10499";"0,01000";"2020.01.24 19:00:00";"1.10279";"2,20";"502,20";"IST";"End Of Friday (Time)";"-1,38";"2,84";"1d 1h 33m";"";"1.10499";"2020.01.23 15:00:00";"1,10899";"1,09799";"Main: EURUSD_M1_UTC2/M30";"13,80";"28,40"
"288";"EURUSD_M1_UTC2";"Sell";"2020.02.18 16:15:00";"1.07904";"0,01000";"2020.02.21 16:46:00";"1.08314";"-4,10";"498,10";"IST";"SL";"-4,10";"1,06";"3d 0h 31m";"";"1.07904";"2020.02.18 14:30:00";"1,08304";"1,07204";"Main: EURUSD_M1_UTC2/M30";"41,00";"10,60"
"649";"EURUSD_M1_UTC2";"Buy";"2020.04.09 16:23:00";"1.09309";"0,01000";"2020.04.10 19:00:00";"1.09471";"1,62";"499,72";"IST";"End Of Friday (Time)";"-1,61";"2,08";"1d 2h 37m";"";"1.09309";"2020.04.09 15:00:00";"1,08909";"1,10009";"Main: EURUSD_M1_UTC2/M30";"16,10";"20,80"
"799";"EURUSD_M1_UTC2";"Buy";"2020.04.30 17:57:00";"1.09492";"0,01000";"2020.05.01 19:00:00";"1.09967";"4,75";"504,47";"IST";"End Of Friday (Time)";"-2,85";"6,95";"1d 1h 3m";"";"1.09492";"2020.04.30 15:30:00";"1,09092";"1,10192";"Main: EURUSD_M1_UTC2/M30";"28,50";"69,50"
"901";"EURUSD_M1_UTC2";"Buy";"2020.05.18 16:41:00";"1.08671";"0,01000";"2020.05.19 09:30:00";"1.09371";"7,00";"511,47";"IST";"PT";"-1,65";"7,00";"16h 49m";"";"1.08671";"2020.05.18 14:00:00";"1,08271";"1,09371";"Main: EURUSD_M1_UTC2/M30";"16,50";"70,00"
"1091";"EURUSD_M1_UTC2";"Buy";"2020.06.09 16:46:00";"1.13481";"0,01000";"2020.06.10 21:19:00";"1.14181";"7,00";"518,47";"IST";"PT";"-2,62";"7,00";"1d 4h 33m";"";"1.13481";"2020.06.09 14:30:00";"1,13081";"1,14181";"Main: EURUSD_M1_UTC2/M30";"26,20";"70,00"
"1755";"EURUSD_M1_UTC2";"Buy";"2020.08.27 16:07:00";"1.18651";"0,01000";"2020.08.27 16:39:00";"1.18241";"-4,10";"514,37";"IST";"SL";"-4,10";"3,67";"32m 0s";"";"1.18651";"2020.08.27 15:00:00";"1,18251";"1,19351";"Main: EURUSD_M1_UTC2/M30";"41,00";"36,70"
"2087";"EURUSD_M1_UTC2";"Sell";"2020.10.13 17:11:00";"1.17434";"0,01000";"2020.10.16 19:00:00";"1.17189";"2,45";"516,82";"IST";"End Of Friday (Time)";"-2,96";"5,30";"3d 1h 49m";"";"1.17434";"2020.10.13 14:30:00";"1,17834";"1,16734";"Main: EURUSD_M1_UTC2/M30";"29,60";"53,00"
"2367";"EURUSD_M1_UTC2";"Sell";"2020.11.23 17:22:00";"1.18278";"0,01000";"2020.11.24 10:05:00";"1.18688";"-4,10";"512,72";"IST";"SL";"-4,10";"2,61";"16h 43m";"";"1.18278";"2020.11.23 14:00:00";"1,18678";"1,17578";"Main: EURUSD_M1_UTC2/M30";"41,00";"26,10"
"2578";"EURUSD_M1_UTC2";"Buy";"2020.12.16 10:34:00";"1.22019";"0,01000";"2020.12.16 21:00:00";"1.21609";"-4,10";"508,62";"IST";"SL";"-4,10";"1,02";"10h 26m";"";"1.22019";"2020.12.16 08:00:00";"1,21619";"1,22719";"Main: EURUSD_M1_UTC2/M30";"41,00";"10,20"
"3027";"EURUSD_M1_UTC2";"Sell";"2021.02.16 16:01:00";"1.21027";"0,01000";"2021.02.17 15:49:00";"1.20327";"7,00";"515,62";"IST";"PT";"-2,31";"7,00";"23h 48m";"";"1.21027";"2021.02.16 14:30:00";"1,21427";"1,20327";"Main: EURUSD_M1_UTC2/M30";"23,10";"70,00"
"3232";"EURUSD_M1_UTC2";"Buy";"2021.03.17 21:36:00";"1.19729";"0,01000";"2021.03.18 15:20:00";"1.19319";"-4,10";"511,52";"IST";"SL";"-4,10";"1,59";"17h 44m";"";"1.19729";"2021.03.17 18:30:00";"1,19329";"1,20429";"Main: EURUSD_M1_UTC2/M30";"41,00";"15,90"
"3316";"EURUSD_M1_UTC2";"Buy";"2021.04.05 16:57:00";"1.18044";"0,01000";"2021.04.06 23:08:00";"1.18744";"7,00";"518,52";"IST";"PT";"-0,93";"7,00";"1d 6h 11m";"";"1.18044";"2021.04.05 14:00:00";"1,17644";"1,18744";"Main: EURUSD_M1_UTC2/M30";"9,30";"70,00"
"3380";"EURUSD_M1_UTC2";"Buy";"2021.04.13 16:21:00";"1.19391";"0,01000";"2021.04.16 19:00:00";"1.19774";"3,83";"522,35";"IST";"End Of Friday (Time)";"-1,56";"5,55";"3d 2h 39m";"";"1.19391";"2021.04.13 14:30:00";"1,18991";"1,20091";"Main: EURUSD_M1_UTC2/M30";"15,60";"55,50"
"3388";"EURUSD_M1_UTC2";"Buy";"2021.04.19 11:18:00";"1.20266";"0,01000";"2021.04.23 19:00:00";"1.20673";"4,07";"526,42";"IST";"End Of Friday (Time)";"-3,30";"5,31";"4d 7h 42m";"";"1.20266";"2021.04.19 10:30:00";"1,19866";"1,20966";"Main: EURUSD_M1_UTC2/M30";"33,00";"53,10"
"3428";"EURUSD_M1_UTC2";"Buy";"2021.04.28 21:45:00";"1.21348";"0,01000";"2021.04.30 11:01:00";"1.20938";"-4,10";"522,32";"IST";"SL";"-4,10";"1,50";"1d 13h 16m";"";"1.21348";"2021.04.28 18:30:00";"1,20948";"1,22048";"Main: EURUSD_M1_UTC2/M30";"41,00";"15,00"
"3745";"EURUSD_M1_UTC2";"Sell";"2021.06.16 21:00:00";"1.20941";"0,01000";"2021.06.16 21:40:00";"1.20241";"7,00";"529,32";"IST";"PT";"0,00";"7,00";"40m 0s";"";"1.20941";"2021.06.16 18:00:00";"1,21341";"1,20241";"Main: EURUSD_M1_UTC2/M30";"0,00";"70,00"
"3931";"EURUSD_M1_UTC2";"Sell";"2021.07.13 15:53:00";"1.17976";"0,01000";"2021.07.14 22:22:00";"1.18386";"-4,10";"525,22";"IST";"SL";"-4,10";"2,39";"1d 6h 29m";"";"1.17976";"2021.07.13 14:30:00";"1,18376";"1,17276";"Main: EURUSD_M1_UTC2/M30";"41,00";"23,90"
"4178";"EURUSD_M1_UTC2";"Buy";"2021.08.13 17:17:00";"1.17909";"0,01000";"2021.08.13 19:00:00";"1.17948";"0,39";"525,61";"IST";"End Of Friday (Time)";"-0,94";"0,99";"1h 43m";"";"1.17909";"2021.08.13 14:30:00";"1,17509";"1,18609";"Main: EURUSD_M1_UTC2/M30";"9,40";"9,90"
"4431";"EURUSD_M1_UTC2";"Sell";"2021.09.16 11:19:00";"1.17743";"0,01000";"2021.09.17 19:00:00";"1.17366";"3,77";"529,38";"IST";"End Of Friday (Time)";"-1,65";"4,36";"1d 7h 41m";"";"1.17743";"2021.09.16 08:30:00";"1,18143";"1,17043";"Main: EURUSD_M1_UTC2/M30";"16,50";"43,60"
"4457";"EURUSD_M1_UTC2";"Sell";"2021.09.22 21:00:00";"1.17063";"0,01000";"2021.09.22 21:04:00";"1.17473";"-4,10";"525,28";"IST";"SL";"-4,10";"0,00";"4m 0s";"";"1.17063";"2021.09.22 18:00:00";"1,17463";"1,16363";"Main: EURUSD_M1_UTC2/M30";"41,00";"0,00"
"4724";"EURUSD_M1_UTC2";"Buy";"2021.10.28 15:45:00";"1.16333";"0,01000";"2021.10.29 17:36:00";"1.15923";"-4,10";"521,18";"IST";"SL";"-4,10";"5,88";"1d 1h 51m";"";"1.16333";"2021.10.28 15:30:00";"1,15933";"1,17033";"Main: EURUSD_M1_UTC2/M30";"41,00";"58,80"
"4809";"EURUSD_M1_UTC2";"Sell";"2021.11.15 19:24:00";"1.13990";"0,01000";"2021.11.16 19:15:00";"1.13290";"7,00";"528,18";"IST";"PT";"0,00";"7,00";"23h 51m";"";"1.13990";"2021.11.15 17:30:00";"1,14390";"1,13290";"Main: EURUSD_M1_UTC2/M30";"0,00";"70,00"
