"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"92";"EURUSD_M1_UTC2";"Sell";"2020.01.23 17:17:00";"1.10589";"0,01000";"2020.01.24 19:00:00";"1.10279";"3,10";"503,10";"IST";"End Of Friday (Time)";"-0,48";"3,74";"1d 1h 43m";"";"1.10589";"2020.01.23 15:30:00";"1,11189";"1,08589";"Main: EURUSD_M1_UTC2/M30";"4,80";"37,40"
"211";"EURUSD_M1_UTC2";"Sell";"2020.02.18 15:32:00";"1.08103";"0,01000";"2020.02.21 19:00:00";"1.08572";"-4,69";"498,41";"IST";"End Of Friday (Time)";"-5,52";"3,05";"3d 3h 28m";"";"1.08103";"2020.02.18 14:30:00";"1,08703";"1,06103";"Main: EURUSD_M1_UTC2/M30";"55,20";"30,50"
"329";"EURUSD_M1_UTC2";"Sell";"2020.03.17 14:09:00";"1.10138";"0,01000";"2020.03.18 19:53:00";"1.08138";"20,00";"518,41";"IST";"PT";"-3,33";"20,00";"1d 5h 44m";"";"1.10138";"2020.03.17 11:00:00";"1,10738";"1,08138";"Main: EURUSD_M1_UTC2/M30";"33,30";"200,00"
"517";"EURUSD_M1_UTC2";"Buy";"2020.04.30 17:57:00";"1.09407";"0,01000";"2020.05.01 19:00:00";"1.09967";"5,60";"524,01";"IST";"End Of Friday (Time)";"-2,00";"7,80";"1d 1h 3m";"";"1.09407";"2020.04.30 14:30:00";"1,08807";"1,11407";"Main: EURUSD_M1_UTC2/M30";"20,00";"78,00"
"594";"EURUSD_M1_UTC2";"Buy";"2020.05.18 16:23:00";"1.08495";"0,01000";"2020.05.22 19:00:00";"1.08922";"4,27";"528,28";"IST";"End Of Friday (Time)";"-0,73";"15,88";"4d 2h 37m";"";"1.08495";"2020.05.18 14:00:00";"1,07895";"1,10495";"Main: EURUSD_M1_UTC2/M30";"7,30";"158,80"
"647";"EURUSD_M1_UTC2";"Buy";"2020.06.02 12:10:00";"1.11857";"0,01000";"2020.06.05 19:00:00";"1.12946";"10,89";"539,17";"IST";"End Of Friday (Time)";"-3,10";"19,79";"3d 6h 50m";"";"1.11857";"2020.06.02 11:00:00";"1,11257";"1,13857";"Main: EURUSD_M1_UTC2/M30";"31,00";"197,90"
"659";"EURUSD_M1_UTC2";"Buy";"2020.06.09 16:57:00";"1.13543";"0,01000";"2020.06.11 22:23:00";"1.12933";"-6,10";"533,07";"IST";"SL";"-6,10";"6,81";"2d 5h 26m";"";"1.13543";"2020.06.09 14:30:00";"1,12943";"1,15543";"Main: EURUSD_M1_UTC2/M30";"61,00";"68,10"
"785";"EURUSD_M1_UTC2";"Buy";"2020.07.08 17:05:00";"1.13383";"0,01000";"2020.07.10 03:46:00";"1.12773";"-6,10";"526,97";"IST";"SL";"-6,10";"3,23";"1d 10h 41m";"";"1.13383";"2020.07.08 14:30:00";"1,12783";"1,15383";"Main: EURUSD_M1_UTC2/M30";"61,00";"32,30"
"829";"EURUSD_M1_UTC2";"Buy";"2020.07.21 18:18:00";"1.14955";"0,01000";"2020.07.24 19:00:00";"1.16333";"13,78";"540,75";"IST";"End Of Friday (Time)";"-0,89";"14,30";"3d 0h 42m";"";"1.14955";"2020.07.21 18:00:00";"1,14355";"1,16955";"Main: EURUSD_M1_UTC2/M30";"8,90";"143,00"
"988";"EURUSD_M1_UTC2";"Buy";"2020.08.28 10:04:00";"1.18821";"0,01000";"2020.08.28 19:00:00";"1.18991";"1,70";"542,45";"IST";"End Of Friday (Time)";"-1,48";"3,76";"8h 56m";"";"1.18821";"2020.08.28 07:00:00";"1,18221";"1,20821";"Main: EURUSD_M1_UTC2/M30";"14,80";"37,60"
