"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"16";"EURUSD_M1_UTC2";"Sell";"2020.01.23 17:27:00";"1.10500";"0,01000";"2020.01.24 13:00:00";"1.10404";"0,96";"500,96";"IST";"Exit After X Bars";"-1,37";"1,64";"19h 33m";"";"1.10500";"2020.01.23 03:00:00";"1,11000";"1,09150";"Main: EURUSD_M1_UTC2/H1";"13,70";"16,40"
"30";"EURUSD_M1_UTC2";"Sell";"2020.02.12 21:19:00";"1.08681";"0,01000";"2020.02.13 17:00:00";"1.08583";"0,98";"501,94";"IST";"Exit After X Bars";"-2,26";"1,85";"19h 41m";"";"1.08681";"2020.02.12 17:00:00";"1,09181";"1,07331";"Main: EURUSD_M1_UTC2/H1";"22,60";"18,50"
"33";"EURUSD_M1_UTC2";"Sell";"2020.02.18 15:34:00";"1.08008";"0,01000";"2020.02.19 11:00:00";"1.08068";"-0,60";"501,34";"IST";"Exit After X Bars";"-2,70";"1,34";"19h 26m";"";"1.08008";"2020.02.18 10:00:00";"1,08508";"1,06658";"Main: EURUSD_M1_UTC2/H1";"27,00";"13,40"
"41";"EURUSD_M1_UTC2";"Buy";"2020.02.27 10:59:00";"1.09494";"0,01000";"2020.02.28 06:00:00";"1.09861";"3,67";"505,01";"IST";"Exit After X Bars";"-1,75";"5,70";"19h 1m";"";"1.09494";"2020.02.26 20:00:00";"1,08994";"1,10844";"Main: EURUSD_M1_UTC2/H1";"17,50";"57,00"
"48";"EURUSD_M1_UTC2";"Buy";"2020.03.05 23:43:00";"1.12421";"0,01000";"2020.03.06 19:00:00";"1.13182";"7,61";"512,62";"IST";"End Of Friday (Time)";"-3,09";"11,25";"19h 17m";"";"1.12421";"2020.03.05 13:00:00";"1,11921";"1,13771";"Main: EURUSD_M1_UTC2/H1";"30,90";"112,50"
"85";"EURUSD_M1_UTC2";"Sell";"2020.04.23 10:19:00";"1.08006";"0,01000";"2020.04.24 06:00:00";"1.07741";"2,65";"515,27";"IST";"Exit After X Bars";"-4,80";"4,26";"19h 41m";"";"1.08006";"2020.04.22 20:00:00";"1,08506";"1,06656";"Main: EURUSD_M1_UTC2/H1";"48,00";"42,60"
"91";"EURUSD_M1_UTC2";"Buy";"2020.04.30 17:59:00";"1.09590";"0,01000";"2020.05.01 13:00:00";"1.09807";"2,17";"517,44";"IST";"Exit After X Bars";"-3,83";"2,84";"19h 1m";"";"1.09590";"2020.04.30 10:00:00";"1,09090";"1,10940";"Main: EURUSD_M1_UTC2/H1";"38,30";"28,40"
"105";"EURUSD_M1_UTC2";"Buy";"2020.05.18 16:41:00";"1.08659";"0,01000";"2020.05.19 12:00:00";"1.09502";"8,43";"525,87";"IST";"Exit After X Bars";"-1,53";"8,74";"19h 19m";"";"1.08659";"2020.05.18 00:02:00";"1,08159";"1,10009";"Main: EURUSD_M1_UTC2/H1";"15,30";"87,40"
"170";"EURUSD_M1_UTC2";"Buy";"2020.07.27 14:58:00";"1.17435";"0,01000";"2020.07.28 10:00:00";"1.17262";"-1,73";"524,14";"IST";"Exit After X Bars";"-2,94";"3,78";"19h 2m";"";"1.17435";"2020.07.27 00:00:00";"1,16935";"1,18785";"Main: EURUSD_M1_UTC2/H1";"29,40";"37,80"
"174";"EURUSD_M1_UTC2";"Buy";"2020.07.31 03:01:00";"1.18871";"0,01000";"2020.07.31 14:13:00";"1.18361";"-5,10";"519,04";"IST";"SL";"-5,10";"2,16";"11h 12m";"";"1.18871";"2020.07.30 13:00:00";"1,18371";"1,20221";"Main: EURUSD_M1_UTC2/H1";"51,00";"21,60"
