"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"317";"EURUSD_M1_UTC2";"Buy";"2020.01.10 17:39:00";"1.11153";"0,01000";"2020.01.10 21:00:00";"1.11176";"0,23";"500,23";"IST";"End Of Friday (Time)";"-0,42";"1,38";"3h 21m";"";"1.11153";"2020.01.10 17:00:00";"1,10853";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"4,20";"13,80"
"441";"EURUSD_M1_UTC2";"Buy";"2020.01.15 13:09:00";"1.11550";"0,01000";"2020.01.17 11:46:00";"1.11240";"-3,10";"497,13";"IST";"SL";"-3,10";"1,77";"1d 22h 37m";"";"1.11550";"2020.01.15 13:00:00";"1,11250";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"31,00";"17,70"
"635";"EURUSD_M1_UTC2";"Buy";"2020.01.23 15:34:00";"1.11093";"0,01000";"2020.01.23 16:13:00";"1.10783";"-3,10";"494,03";"IST";"SL";"-3,10";"0,00";"39m 0s";"";"1.11093";"2020.01.23 15:00:00";"1,10793";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"31,00";"0,00"
"636";"EURUSD_M1_UTC2";"Sell";"2020.01.23 16:21:00";"1.10640";"0,01000";"2020.01.24 21:00:00";"1.10309";"3,31";"497,34";"IST";"End Of Friday (Time)";"-1,25";"4,25";"1d 4h 39m";"";"1.10640";"2020.01.23 15:00:00";"1,10940";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"12,50";"42,50"
"775";"EURUSD_M1_UTC2";"Buy";"2020.01.29 21:54:00";"1.10227";"0,01000";"2020.01.31 21:00:00";"1.10791";"5,64";"502,98";"IST";"End Of Friday (Time)";"-2,11";"6,76";"1d 23h 6m";"";"1.10227";"2020.01.29 21:00:00";"1,09927";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"21,10";"67,60"
"1142";"EURUSD_M1_UTC2";"Sell";"2020.02.12 17:04:00";"1.08935";"0,01000";"2020.02.13 10:42:00";"1.08885";"0,50";"503,48";"IST";"MoveSL2BE";"-0,71";"2,63";"17h 38m";"";"1.08935";"2020.02.12 17:00:00";"1,09235";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"7,10";"26,30"
"1290";"EURUSD_M1_UTC2";"Sell";"2020.02.18 15:34:00";"1.08020";"0,01000";"2020.02.21 15:00:00";"1.07995";"0,25";"503,73";"IST";"Exit After X Bars";"-2,58";"2,22";"2d 23h 26m";"";"1.08020";"2020.02.18 15:00:00";"1,08320";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"25,80";"22,20"
"1291";"EURUSD_M1_UTC2";"Buy";"2020.02.21 16:46:00";"1.08304";"0,01000";"2020.02.21 21:00:00";"1.08554";"2,50";"506,23";"IST";"End Of Friday (Time)";"-0,14";"3,31";"4h 14m";"";"1.08304";"2020.02.21 16:00:00";"1,08004";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"1,40";"33,10"
"2763";"EURUSD_M1_UTC2";"Buy";"2020.04.07 09:57:00";"1.08612";"0,01000";"2020.04.08 03:54:00";"1.08662";"0,50";"506,73";"IST";"MoveSL2BE";"-0,95";"6,51";"17h 57m";"";"1.08612";"2020.04.07 09:00:00";"1,08195";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"9,50";"65,10"
"2837";"EURUSD_M1_UTC2";"Buy";"2020.04.09 16:21:00";"1.09257";"0,01000";"2020.04.10 21:00:00";"1.09316";"0,59";"507,32";"IST";"End Of Friday (Time)";"-1,09";"2,67";"1d 4h 39m";"";"1.09257";"2020.04.09 16:00:00";"1,08823";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"10,90";"26,70"
"3153";"EURUSD_M1_UTC2";"Buy";"2020.04.21 16:49:00";"1.08758";"0,01000";"2020.04.22 17:21:00";"1.08395";"-3,63";"503,69";"IST";"SL";"-3,63";"0,94";"1d 0h 32m";"";"1.08758";"2020.04.21 16:00:00";"1,08405";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"36,30";"9,40"
"3435";"EURUSD_M1_UTC2";"Buy";"2020.04.30 17:55:00";"1.09220";"0,01000";"2020.05.01 21:00:00";"1.09805";"5,85";"509,54";"IST";"End Of Friday (Time)";"-0,13";"9,67";"1d 3h 5m";"";"1.09220";"2020.04.30 17:00:00";"1,08822";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"1,30";"96,70"
"3937";"EURUSD_M1_UTC2";"Buy";"2020.05.18 16:37:00";"1.08551";"0,01000";"2020.05.21 16:00:00";"1.09943";"13,92";"523,46";"IST";"Exit After X Bars";"-0,45";"15,32";"2d 23h 23m";"";"1.08551";"2020.05.18 16:00:00";"1,08251";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"4,50";"153,20"
"4299";"EURUSD_M1_UTC2";"Buy";"2020.06.02 11:28:00";"1.11626";"0,01000";"2020.06.05 11:00:00";"1.13475";"18,49";"541,95";"IST";"Exit After X Bars";"-0,79";"22,10";"2d 23h 32m";"";"1.11626";"2020.06.02 11:00:00";"1,11307";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"7,90";"221,00"
"4399";"EURUSD_M1_UTC2";"Buy";"2020.06.09 16:15:00";"1.13120";"0,01000";"2020.06.10 21:01:00";"1.13247";"1,27";"543,22";"IST";"TrailingStop";"-1,28";"7,74";"1d 4h 46m";"";"1.13120";"2020.06.09 16:00:00";"1,12731";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"12,80";"77,40"
"4446";"EURUSD_M1_UTC2";"Sell";"2020.06.11 20:28:00";"1.13255";"0,01000";"2020.06.12 21:00:00";"1.12269";"9,86";"553,08";"IST";"End Of Friday (Time)";"-1,70";"11,10";"1d 0h 32m";"";"1.13255";"2020.06.11 20:00:00";"1,13791";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"17,00";"111,00"
"4674";"EURUSD_M1_UTC2";"Sell";"2020.06.19 17:57:00";"1.11697";"0,01000";"2020.06.19 18:04:00";"1.12083";"-3,86";"549,22";"IST";"SL";"-3,86";"0,00";"7m 0s";"";"1.11697";"2020.06.19 17:00:00";"1,12073";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"38,60";"0,00"
"4997";"EURUSD_M1_UTC2";"Buy";"2020.06.30 18:21:00";"1.12636";"0,01000";"2020.07.01 06:56:00";"1.12246";"-3,90";"545,32";"IST";"SL";"-3,90";"0,00";"12h 35m";"";"1.12636";"2020.06.30 18:00:00";"1,12256";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"39,00";"0,00"
"5019";"EURUSD_M1_UTC2";"Buy";"2020.07.01 17:09:00";"1.12613";"0,01000";"2020.07.02 15:59:00";"1.12663";"0,50";"545,82";"IST";"MoveSL2BE";"-1,81";"4,13";"22h 50m";"";"1.12613";"2020.07.01 17:00:00";"1,12266";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"18,10";"41,30"
"5498";"EURUSD_M1_UTC2";"Sell";"2020.07.16 20:33:00";"1.13830";"0,01000";"2020.07.17 11:57:00";"1.14193";"-3,63";"542,19";"IST";"SL";"-3,63";"1,06";"15h 24m";"";"1.13830";"2020.07.16 20:00:00";"1,14183";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"36,30";"10,60"
"5599";"EURUSD_M1_UTC2";"Buy";"2020.07.21 17:19:00";"1.14778";"0,01000";"2020.07.24 17:00:00";"1.16110";"13,32";"555,51";"IST";"Exit After X Bars";"-1,07";"14,90";"2d 23h 41m";"";"1.14778";"2020.07.21 17:00:00";"1,14382";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"10,70";"149,00"
"6719";"EURUSD_M1_UTC2";"Buy";"2020.08.27 16:06:00";"1.18536";"0,01000";"2020.08.27 16:39:00";"1.18157";"-3,79";"551,72";"IST";"SL";"-3,79";"4,82";"33m 0s";"";"1.18536";"2020.08.27 16:00:00";"1,18167";"-100000000,00000";"Main: EURUSD_M1_UTC2/H1";"37,90";"48,20"
