"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"17";"EURUSD_M1_UTC2";"Sell";"2020.01.07 17:22:00";"1.11397";"0,01000";"2020.01.08 13:00:00";"1.11304";"0,93";"500,93";"IST";"Exit After X Bars";"-3,05";"1,24";"19h 38m";"";"1.11397";"2020.01.07 12:00:00";"1,11747";"1,09797";"Main: EURUSD_M1_UTC2/H1";"30,50";"12,40"
"47";"EURUSD_M1_UTC2";"Sell";"2020.01.16 17:12:00";"1.11359";"0,01000";"2020.01.17 13:00:00";"1.11188";"1,71";"502,64";"IST";"Exit After X Bars";"-0,88";"1,82";"19h 48m";"";"1.11359";"2020.01.16 14:00:00";"1,11709";"1,09759";"Main: EURUSD_M1_UTC2/H1";"8,80";"18,20"
"112";"EURUSD_M1_UTC2";"Sell";"2020.02.06 17:27:00";"1.09798";"0,01000";"2020.02.07 13:00:00";"1.09568";"2,30";"504,94";"IST";"Exit After X Bars";"-0,71";"3,01";"19h 33m";"";"1.09798";"2020.02.06 16:00:00";"1,10148";"1,08198";"Main: EURUSD_M1_UTC2/H1";"7,10";"30,10"
"127";"EURUSD_M1_UTC2";"Sell";"2020.02.12 21:19:00";"1.08695";"0,01000";"2020.02.13 17:00:00";"1.08583";"1,12";"506,06";"IST";"Exit After X Bars";"-2,12";"1,99";"19h 41m";"";"1.08695";"2020.02.12 17:00:00";"1,09045";"1,07095";"Main: EURUSD_M1_UTC2/H1";"21,20";"19,90"
"142";"EURUSD_M1_UTC2";"Sell";"2020.02.18 15:34:00";"1.07963";"0,01000";"2020.02.19 11:00:00";"1.08068";"-1,05";"505,01";"IST";"Exit After X Bars";"-3,15";"0,89";"19h 26m";"";"1.07963";"2020.02.18 12:00:00";"1,08313";"1,06363";"Main: EURUSD_M1_UTC2/H1";"31,50";"8,90"
"481";"EURUSD_M1_UTC2";"Buy";"2020.06.04 17:53:00";"1.13430";"0,01000";"2020.06.05 13:00:00";"1.13341";"-0,89";"504,12";"IST";"Exit After X Bars";"-3,07";"4,06";"19h 7m";"";"1.13430";"2020.06.04 12:00:00";"1,13080";"1,15030";"Main: EURUSD_M1_UTC2/H1";"30,70";"40,60"
"491";"EURUSD_M1_UTC2";"Buy";"2020.06.09 16:46:00";"1.13430";"0,01000";"2020.06.10 12:00:00";"1.13680";"2,50";"506,62";"IST";"Exit After X Bars";"-1,19";"3,26";"19h 14m";"";"1.13430";"2020.06.09 12:00:00";"1,13080";"1,15030";"Main: EURUSD_M1_UTC2/H1";"11,90";"32,60"
"566";"EURUSD_M1_UTC2";"Buy";"2020.07.01 17:26:00";"1.12706";"0,01000";"2020.07.02 13:00:00";"1.12857";"1,51";"508,13";"IST";"Exit After X Bars";"-2,74";"3,20";"19h 34m";"";"1.12706";"2020.07.01 15:00:00";"1,12356";"1,14306";"Main: EURUSD_M1_UTC2/H1";"27,40";"32,00"
"717";"EURUSD_M1_UTC2";"Sell";"2020.08.19 21:07:00";"1.18610";"0,01000";"2020.08.20 17:00:00";"1.18331";"2,79";"510,92";"IST";"Exit After X Bars";"-0,96";"5,71";"19h 53m";"";"1.18610";"2020.08.19 18:00:00";"1,18960";"1,17010";"Main: EURUSD_M1_UTC2/H1";"9,60";"57,10"
"867";"EURUSD_M1_UTC2";"Sell";"2020.10.06 21:55:00";"1.17423";"0,01000";"2020.10.07 14:48:00";"1.17783";"-3,60";"507,32";"IST";"SL";"-3,60";"1,54";"16h 53m";"";"1.17423";"2020.10.06 18:00:00";"1,17773";"1,15823";"Main: EURUSD_M1_UTC2/H1";"36,00";"15,40"
