"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"7";"EURUSD_M1_UTC2";"Buy";"2020.02.20 16:04:00";"1.08149";"0,01000";"2020.02.21 19:00:00";"1.08532";"3,83";"503,83";"IST";"End Of Friday (Time)";"-3,21";"4,86";"1d 2h 56m";"";"1.08149";"2020.02.20 08:00:00";"1,07399";"1,09049";"Main: EURUSD_M1_UTC2/H4";"32,10";"48,60"
"9";"EURUSD_M1_UTC2";"Buy";"2020.08.20 10:08:00";"1.18601";"0,01000";"2020.08.21 13:27:00";"1.17907";"-6,94";"496,89";"IST";"TrailingStop";"-6,94";"2,27";"1d 3h 19m";"";"1.18601";"2020.08.20 00:00:00";"1,17851";"1,19501";"Main: EURUSD_M1_UTC2/H4";"69,40";"22,70"
"11";"EURUSD_M1_UTC2";"Buy";"2020.08.24 14:56:00";"1.18463";"0,01000";"2020.08.27 17:09:00";"1.17703";"-7,60";"489,29";"IST";"SL";"-7,60";"5,55";"3d 2h 13m";"";"1.18463";"2020.08.24 00:01:00";"1,17713";"1,19363";"Main: EURUSD_M1_UTC2/H4";"76,00";"55,50"
"15";"EURUSD_M1_UTC2";"Sell";"2020.12.11 09:51:00";"1.21301";"0,01000";"2020.12.11 19:00:00";"1.21152";"1,49";"490,78";"IST";"End Of Friday (Time)";"-0,95";"2,28";"9h 9m";"";"1.21301";"2020.12.11 00:00:00";"1,22051";"1,20401";"Main: EURUSD_M1_UTC2/H4";"9,50";"22,80"
"16";"EURUSD_M1_UTC2";"Sell";"2020.12.14 02:51:00";"1.21242";"0,01000";"2020.12.16 10:34:00";"1.22002";"-7,60";"483,18";"IST";"SL";"-7,60";"0,67";"2d 7h 43m";"";"1.21242";"2020.12.14 00:00:00";"1,21992";"1,20342";"Main: EURUSD_M1_UTC2/H4";"76,00";"6,70"
"17";"EURUSD_M1_UTC2";"Sell";"2020.12.16 21:18:00";"1.21375";"0,01000";"2020.12.17 04:55:00";"1.22135";"-7,60";"475,58";"IST";"SL";"-7,60";"1,05";"7h 37m";"";"1.21375";"2020.12.16 12:00:00";"1,22125";"1,20475";"Main: EURUSD_M1_UTC2/H4";"76,00";"10,50"
"19";"EURUSD_M1_UTC2";"Sell";"2020.12.22 10:02:00";"1.22099";"0,01000";"2020.12.28 00:06:00";"1.21890";"2,09";"477,67";"IST";"End Of Friday";"-4,91";"5,59";"5d 14h 4m";"";"1.22099";"2020.12.22 00:00:00";"1,22849";"1,21199";"Main: EURUSD_M1_UTC2/H4";"49,10";"55,90"
"21";"EURUSD_M1_UTC2";"Sell";"2020.12.31 17:38:00";"1.22436";"0,01000";"2021.01.04 00:00:00";"1.22426";"0,10";"477,77";"IST";"End Of Friday";"-0,56";"3,25";"3d 6h 22m";"";"1.22436";"2020.12.30 20:00:00";"1,23186";"1,21536";"Main: EURUSD_M1_UTC2/H4";"5,60";"32,50"
"22";"EURUSD_M1_UTC2";"Sell";"2021.01.06 18:09:00";"1.22729";"0,01000";"2021.01.08 19:00:00";"1.22549";"1,80";"479,57";"IST";"End Of Friday (Time)";"-7,34";"5,77";"2d 0h 51m";"";"1.22729";"2021.01.05 20:00:00";"1,23479";"1,21829";"Main: EURUSD_M1_UTC2/H4";"73,40";"57,70"
"23";"EURUSD_M1_UTC2";"Sell";"2021.01.26 18:52:00";"1.21416";"0,01000";"2021.01.29 19:00:00";"1.21382";"0,34";"479,91";"IST";"End Of Friday (Time)";"-3,00";"8,11";"3d 0h 8m";"";"1.21416";"2021.01.26 16:00:00";"1,22166";"1,20516";"Main: EURUSD_M1_UTC2/H4";"30,00";"81,10"
"26";"EURUSD_M1_UTC2";"Sell";"2021.02.22 09:18:00";"1.21106";"0,01000";"2021.02.25 09:56:00";"1.21866";"-7,60";"472,31";"IST";"SL";"-7,60";"1,75";"3d 0h 38m";"";"1.21106";"2021.02.22 04:00:00";"1,21856";"1,20206";"Main: EURUSD_M1_UTC2/H4";"76,00";"17,50"
"27";"EURUSD_M1_UTC2";"Buy";"2021.04.01 13:26:00";"1.17490";"0,01000";"2021.04.02 19:00:00";"1.17591";"1,01";"473,32";"IST";"End Of Friday (Time)";"-1,60";"3,76";"1d 5h 34m";"";"1.17490";"2021.04.01 00:00:00";"1,16740";"1,18390";"Main: EURUSD_M1_UTC2/H4";"16,00";"37,60"
"28";"EURUSD_M1_UTC2";"Buy";"2021.04.30 16:03:00";"1.20909";"0,01000";"2021.04.30 19:00:00";"1.20288";"-6,21";"467,11";"IST";"End Of Friday (Time)";"-6,70";"0,11";"2h 57m";"";"1.20909";"2021.04.30 16:00:00";"1,20159";"1,21809";"Main: EURUSD_M1_UTC2/H4";"67,00";"1,10"
"29";"EURUSD_M1_UTC2";"Sell";"2021.06.02 09:01:00";"1.22109";"0,01000";"2021.06.03 19:32:00";"1.21209";"9,00";"476,11";"IST";"PT";"-0,94";"9,00";"1d 10h 31m";"";"1.22109";"2021.06.01 00:00:00";"1,22859";"1,21209";"Main: EURUSD_M1_UTC2/H4";"9,40";"90,00"
"30";"EURUSD_M1_UTC2";"Sell";"2021.06.08 03:38:00";"1.21871";"0,01000";"2021.06.11 18:18:00";"1.20971";"9,00";"485,11";"IST";"PT";"-3,28";"9,00";"3d 14h 40m";"";"1.21871";"2021.06.07 20:00:00";"1,22621";"1,20971";"Main: EURUSD_M1_UTC2/H4";"32,80";"90,00"
"31";"EURUSD_M1_UTC2";"Sell";"2021.06.28 12:12:00";"1.19355";"0,01000";"2021.07.01 08:17:00";"1.18455";"9,00";"494,11";"IST";"PT";"-0,85";"9,00";"2d 20h 5m";"";"1.19355";"2021.06.28 12:00:00";"1,20105";"1,18455";"Main: EURUSD_M1_UTC2/H4";"8,50";"90,00"
"35";"EURUSD_M1_UTC2";"Buy";"2021.08.23 04:51:00";"1.17163";"0,01000";"2021.08.27 19:00:00";"1.17926";"7,63";"501,74";"IST";"End Of Friday (Time)";"-1,00";"8,59";"4d 14h 9m";"";"1.17163";"2021.08.23 00:03:00";"1,16413";"1,18063";"Main: EURUSD_M1_UTC2/H4";"10,00";"85,90"
"36";"EURUSD_M1_UTC2";"Buy";"2021.09.10 11:11:00";"1.18505";"0,01000";"2021.09.10 19:00:00";"1.18205";"-3,00";"498,74";"IST";"End Of Friday (Time)";"-3,23";"0,05";"7h 49m";"";"1.18505";"2021.09.09 00:00:00";"1,17755";"1,19405";"Main: EURUSD_M1_UTC2/H4";"32,30";"0,50"
"37";"EURUSD_M1_UTC2";"Buy";"2021.09.14 05:23:00";"1.18180";"0,01000";"2021.09.16 15:30:00";"1.17555";"-6,25";"492,49";"IST";"TrailingStop";"-6,25";"2,78";"2d 10h 7m";"";"1.18180";"2021.09.14 00:00:00";"1,17430";"1,19080";"Main: EURUSD_M1_UTC2/H4";"62,50";"27,80"
"43";"EURUSD_M1_UTC2";"Sell";"2021.11.09 14:38:00";"1.15742";"0,01000";"2021.11.10 20:08:00";"1.14842";"9,00";"501,49";"IST";"PT";"-3,65";"9,00";"1d 5h 30m";"";"1.15742";"2021.11.09 00:00:00";"1,16492";"1,14842";"Main: EURUSD_M1_UTC2/H4";"36,50";"90,00"
"48";"EURUSD_M1_UTC2";"Buy";"2022.03.09 10:30:00";"1.09532";"0,01000";"2022.03.09 16:08:00";"1.10432";"9,00";"510,49";"IST";"PT";"-1,34";"9,00";"5h 38m";"";"1.09532";"2022.03.09 00:00:00";"1,08782";"1,10432";"Main: EURUSD_M1_UTC2/H4";"13,40";"90,00"
"49";"EURUSD_M1_UTC2";"Buy";"2022.03.14 10:55:00";"1.09411";"0,01000";"2022.03.16 17:16:00";"1.10311";"9,00";"519,49";"IST";"PT";"-1,51";"9,00";"2d 6h 21m";"";"1.09411";"2022.03.14 00:00:00";"1,08661";"1,10311";"Main: EURUSD_M1_UTC2/H4";"15,10";"90,00"
"50";"EURUSD_M1_UTC2";"Buy";"2022.03.25 04:50:00";"1.10321";"0,01000";"2022.03.25 19:00:00";"1.09815";"-5,06";"514,43";"IST";"End Of Friday (Time)";"-5,06";"0,55";"14h 10m";"";"1.10321";"2022.03.24 00:00:00";"1,09571";"1,11221";"Main: EURUSD_M1_UTC2/H4";"50,60";"5,50"
