"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"6";"GBPJPY_M1_UTC2";"Sell";"2020.01.08 01:21:00";"141.877";"0,01000";"2020.01.10 20:40:00";"143.097";"-7,77";"492,23";"IST";"End Of Friday (Time)";"-10,69";"4,45";"2d 19h 19m";"";"141.877";"2020.01.08 00:00:00";"143,87700";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"167,80";"69,80"
"19";"GBPJPY_M1_UTC2";"Buy";"2020.01.21 13:08:00";"143.632";"0,01000";"2020.01.24 20:40:00";"142.906";"-4,63";"487,60";"IST";"End Of Friday (Time)";"-5,41";"6,21";"3d 7h 32m";"";"143.632";"2020.01.21 12:00:00";"141,63200";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"84,90";"97,40"
"22";"GBPJPY_M1_UTC2";"Sell";"2020.01.30 09:37:00";"141.428";"0,01000";"2020.01.31 20:40:00";"142.982";"-9,90";"477,70";"IST";"End Of Friday (Time)";"-12,21";"0,72";"1d 11h 3m";"";"141.428";"2020.01.30 08:00:00";"143,42799";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"191,60";"11,30"
"24";"GBPJPY_M1_UTC2";"Sell";"2020.02.07 02:46:00";"141.997";"0,01000";"2020.02.07 20:40:00";"141.612";"2,45";"480,15";"IST";"End Of Friday (Time)";"-2,77";"2,52";"17h 54m";"";"141.997";"2020.02.07 00:00:00";"143,99699";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"43,40";"39,60"
"28";"GBPJPY_M1_UTC2";"Buy";"2020.02.13 14:37:00";"142.968";"0,01000";"2020.02.14 20:40:00";"143.111";"0,91";"481,06";"IST";"End Of Friday (Time)";"-1,31";"3,23";"1d 6h 3m";"";"142.968";"2020.02.13 12:00:00";"140,96800";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"20,60";"50,70"
"36";"GBPJPY_M1_UTC2";"Buy";"2020.02.19 09:53:00";"143.253";"0,01000";"2020.02.21 20:40:00";"144.844";"10,14";"491,20";"IST";"End Of Friday (Time)";"-1,64";"10,86";"2d 10h 47m";"";"143.253";"2020.02.19 08:00:00";"141,25301";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"25,80";"170,40"
"43";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 18:59:00";"142.591";"0,01000";"2020.02.28 20:40:00";"137.754";"30,83";"522,02";"IST";"End Of Friday (Time)";"-0,55";"31,86";"2d 1h 41m";"";"142.591";"2020.02.26 16:00:00";"144,59100";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"8,70";"499,90"
"44";"GBPJPY_M1_UTC2";"Sell";"2020.03.02 13:26:00";"137.284";"0,01000";"2020.03.06 20:40:00";"137.120";"1,05";"523,07";"IST";"End Of Friday (Time)";"-9,25";"5,05";"4d 7h 14m";"";"137.284";"2020.03.02 12:00:00";"139,28400";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"145,20";"79,20"
"54";"GBPJPY_M1_UTC2";"Sell";"2020.03.11 22:09:00";"133.832";"0,01000";"2020.03.13 20:40:00";"133.210";"3,96";"527,03";"IST";"End Of Friday (Time)";"-5,05";"16,27";"1d 22h 31m";"";"133.832";"2020.03.11 20:00:00";"135,83200";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"79,20";"255,30"
"55";"GBPJPY_M1_UTC2";"Sell";"2020.03.16 01:17:00";"131.146";"0,01000";"2020.03.20 17:15:00";"131.146";"0,00";"527,03";"IST";"MoveSL2BE";"-9,53";"44,76";"4d 15h 58m";"";"131.146";"2020.03.16 00:05:00";"133,14600";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"149,50";"702,40"
"59";"GBPJPY_M1_UTC2";"Buy";"2020.03.24 18:53:00";"131.219";"0,01000";"2020.03.27 20:40:00";"133.834";"16,66";"543,70";"IST";"End Of Friday (Time)";"-8,72";"20,14";"3d 1h 47m";"";"131.219";"2020.03.24 16:00:00";"129,21899";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"136,90";"316,00"
"127";"GBPJPY_M1_UTC2";"Sell";"2020.05.12 23:47:00";"131.355";"0,01000";"2020.05.15 20:40:00";"130.161";"7,61";"551,31";"IST";"End Of Friday (Time)";"-4,07";"8,39";"2d 20h 53m";"";"131.355";"2020.05.11 16:00:00";"133,35500";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"63,80";"131,60"
"144";"GBPJPY_M1_UTC2";"Buy";"2020.05.26 03:14:00";"131.504";"0,01000";"2020.05.29 20:40:00";"132.760";"8,00";"559,31";"IST";"End Of Friday (Time)";"-0,64";"12,46";"3d 17h 26m";"";"131.504";"2020.05.26 00:04:00";"129,50400";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"10,10";"195,50"
"148";"GBPJPY_M1_UTC2";"Buy";"2020.06.04 17:49:00";"137.411";"0,01000";"2020.06.05 20:40:00";"138.943";"9,76";"569,07";"IST";"End Of Friday (Time)";"-1,83";"14,80";"1d 2h 51m";"";"137.411";"2020.06.04 16:00:00";"135,41100";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"28,70";"232,20"
"172";"GBPJPY_M1_UTC2";"Sell";"2020.06.17 17:18:00";"134.189";"0,01000";"2020.06.19 20:40:00";"132.175";"12,83";"581,91";"IST";"End Of Friday (Time)";"-3,25";"13,78";"2d 3h 22m";"";"134.189";"2020.06.17 16:00:00";"136,18900";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"51,00";"216,20"
"191";"GBPJPY_M1_UTC2";"Buy";"2020.07.06 04:39:00";"134.577";"0,01000";"2020.07.10 20:40:00";"135.000";"2,70";"584,60";"IST";"End Of Friday (Time)";"-3,68";"8,56";"4d 16h 1m";"";"134.577";"2020.07.06 04:00:00";"132,57700";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"57,70";"134,30"
"194";"GBPJPY_M1_UTC2";"Buy";"2020.07.13 08:05:00";"135.353";"0,01000";"2020.07.17 20:40:00";"134.386";"-6,16";"578,44";"IST";"End Of Friday (Time)";"-8,77";"0,82";"4d 12h 35m";"";"135.353";"2020.07.13 08:00:00";"133,35300";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"137,60";"12,90"
"195";"GBPJPY_M1_UTC2";"Buy";"2020.07.20 13:30:00";"135.167";"0,01000";"2020.07.24 20:40:00";"135.291";"0,79";"579,23";"IST";"End Of Friday (Time)";"-1,26";"9,28";"4d 7h 10m";"";"135.167";"2020.07.20 12:00:00";"133,16701";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"19,70";"145,60"
"213";"GBPJPY_M1_UTC2";"Buy";"2020.08.05 14:32:00";"138.994";"0,01000";"2020.08.07 20:40:00";"138.194";"-5,10";"574,13";"IST";"End Of Friday (Time)";"-7,34";"1,53";"2d 6h 8m";"";"138.994";"2020.08.05 12:00:00";"136,99400";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"115,20";"24,00"
"219";"GBPJPY_M1_UTC2";"Buy";"2020.08.11 07:23:00";"138.915";"0,01000";"2020.08.14 20:40:00";"139.485";"3,63";"577,77";"IST";"End Of Friday (Time)";"-1,78";"8,22";"3d 13h 17m";"";"138.915";"2020.08.11 04:00:00";"136,91499";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"27,90";"129,00"
"232";"GBPJPY_M1_UTC2";"Buy";"2020.08.31 17:18:00";"141.512";"0,01000";"2020.09.04 17:21:00";"140.408";"-7,04";"570,73";"IST";"TrailingStop";"-7,04";"7,65";"4d 0h 3m";"";"141.512";"2020.08.31 16:00:00";"139,51199";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"110,40";"120,00"
"238";"GBPJPY_M1_UTC2";"Sell";"2020.09.10 17:46:00";"136.908";"0,01000";"2020.09.11 20:40:00";"135.775";"7,22";"577,95";"IST";"End Of Friday (Time)";"-0,37";"8,16";"1d 2h 54m";"";"136.908";"2020.09.10 16:00:00";"138,90800";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"5,80";"128,10"
"244";"GBPJPY_M1_UTC2";"Sell";"2020.09.17 14:04:00";"135.406";"0,01000";"2020.09.18 20:40:00";"135.088";"2,03";"579,98";"IST";"End Of Friday (Time)";"-5,16";"4,98";"1d 6h 36m";"";"135.406";"2020.09.17 12:00:00";"137,40601";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"81,00";"78,10"
"261";"GBPJPY_M1_UTC2";"Buy";"2020.09.30 17:17:00";"136.304";"0,01000";"2020.10.02 20:40:00";"136.325";"0,13";"580,11";"IST";"End Of Friday (Time)";"-8,01";"4,47";"2d 3h 23m";"";"136.304";"2020.09.30 16:00:00";"134,30400";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"125,70";"70,10"
"336";"GBPJPY_M1_UTC2";"Buy";"2020.11.25 22:32:00";"139.882";"0,01000";"2020.11.27 20:40:00";"138.369";"-9,64";"570,47";"IST";"End Of Friday (Time)";"-9,98";"0,00";"1d 22h 8m";"";"139.882";"2020.11.25 20:00:00";"137,88200";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"156,60";"0,00"
"343";"GBPJPY_M1_UTC2";"Buy";"2020.12.03 13:54:00";"140.291";"0,01000";"2020.12.04 20:40:00";"140.372";"0,52";"570,99";"IST";"End Of Friday (Time)";"-5,42";"2,63";"1d 6h 46m";"";"140.291";"2020.12.03 12:00:00";"138,29100";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"85,10";"41,20"
"391";"GBPJPY_M1_UTC2";"Buy";"2021.01.12 07:32:00";"141.164";"0,01000";"2021.01.15 20:40:00";"141.048";"-0,74";"570,25";"IST";"End Of Friday (Time)";"-1,34";"6,97";"3d 13h 8m";"";"141.164";"2021.01.12 04:00:00";"139,16400";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"21,00";"109,30"
