"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"5";"GBPJPY_M1_UTC2";"Sell";"2020.01.03 04:47:00";"141.933";"0,01000";"2020.01.03 20:40:00";"141.200";"4,67";"504,67";"IST";"End Of Friday (Time)";"-1,87";"5,59";"15h 53m";"";"141.933";"2020.01.02 16:00:00";"143,85100";"137,99300";"Main: GBPJPY_M1_UTC2/H4";"29,30";"87,70"
"119";"GBPJPY_M1_UTC2";"Sell";"2020.01.30 09:36:00";"141.462";"0,01000";"2020.01.31 10:15:00";"143.236";"-11,31";"493,37";"IST";"SL";"-11,31";"0,94";"1d 0h 39m";"";"141.462";"2020.01.30 08:00:00";"143,23599";"137,52200";"Main: GBPJPY_M1_UTC2/H4";"177,40";"14,70"
"125";"GBPJPY_M1_UTC2";"Sell";"2020.02.03 18:35:00";"141.219";"0,01000";"2020.02.05 10:37:00";"143.041";"-11,61";"481,75";"IST";"TrailingStop";"-11,61";"1,52";"1d 16h 2m";"";"141.219";"2020.02.03 08:00:00";"143,09100";"137,27901";"Main: GBPJPY_M1_UTC2/H4";"182,20";"23,90"
"164";"GBPJPY_M1_UTC2";"Buy";"2020.02.13 14:18:00";"142.905";"0,01000";"2020.02.14 20:40:00";"143.111";"1,31";"483,07";"IST";"End Of Friday (Time)";"-0,92";"3,63";"1d 6h 22m";"";"142.905";"2020.02.13 12:00:00";"141,20799";"146,84500";"Main: GBPJPY_M1_UTC2/H4";"14,50";"57,00"
"179";"GBPJPY_M1_UTC2";"Buy";"2020.02.19 11:34:00";"143.493";"0,01000";"2020.02.21 20:40:00";"144.844";"8,61";"491,68";"IST";"End Of Friday (Time)";"-2,39";"9,33";"2d 9h 6m";"";"143.493";"2020.02.19 08:00:00";"142,03200";"147,43300";"Main: GBPJPY_M1_UTC2/H4";"37,50";"146,40"
"196";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 18:58:00";"142.605";"0,01000";"2020.02.28 17:34:00";"138.665";"25,11";"516,79";"IST";"PT";"-0,47";"25,11";"1d 22h 36m";"";"142.605";"2020.02.26 16:00:00";"144,54900";"138,66499";"Main: GBPJPY_M1_UTC2/H4";"7,30";"394,00"
"201";"GBPJPY_M1_UTC2";"Sell";"2020.03.02 13:26:00";"137.245";"0,01000";"2020.03.06 20:40:00";"137.120";"0,80";"517,58";"IST";"End Of Friday (Time)";"-9,50";"4,80";"4d 7h 14m";"";"137.245";"2020.03.02 12:00:00";"139,98599";"133,30499";"Main: GBPJPY_M1_UTC2/H4";"149,10";"75,30"
"219";"GBPJPY_M1_UTC2";"Sell";"2020.03.12 05:05:00";"132.509";"0,01000";"2020.03.13 20:40:00";"133.210";"-4,47";"513,12";"IST";"End Of Friday (Time)";"-11,85";"7,84";"1d 15h 35m";"";"132.509";"2020.03.11 20:00:00";"137,01199";"128,56900";"Main: GBPJPY_M1_UTC2/H4";"185,90";"123,00"
"222";"GBPJPY_M1_UTC2";"Sell";"2020.03.16 01:17:00";"131.136";"0,01000";"2020.03.18 15:27:00";"127.196";"25,11";"538,22";"IST";"PT";"-9,59";"25,11";"2d 14h 10m";"";"131.136";"2020.03.16 00:05:00";"136,25800";"127,19600";"Main: GBPJPY_M1_UTC2/H4";"150,50";"394,00"
"247";"GBPJPY_M1_UTC2";"Buy";"2020.03.25 11:23:00";"132.130";"0,01000";"2020.03.27 20:40:00";"133.834";"10,86";"549,08";"IST";"End Of Friday (Time)";"-14,53";"14,33";"2d 9h 17m";"";"132.130";"2020.03.24 16:00:00";"125,63500";"136,07001";"Main: GBPJPY_M1_UTC2/H4";"228,00";"224,90"
"326";"GBPJPY_M1_UTC2";"Sell";"2020.04.15 10:17:00";"134.482";"0,01000";"2020.04.17 20:40:00";"134.474";"0,05";"549,13";"IST";"End Of Friday (Time)";"-3,43";"5,03";"2d 10h 23m";"";"134.482";"2020.04.15 08:00:00";"136,97301";"130,54201";"Main: GBPJPY_M1_UTC2/H4";"53,80";"78,90"
"331";"GBPJPY_M1_UTC2";"Sell";"2020.04.21 05:17:00";"133.608";"0,01000";"2020.04.24 20:40:00";"132.660";"6,04";"555,18";"IST";"End Of Friday (Time)";"-0,83";"10,48";"3d 15h 23m";"";"133.608";"2020.04.20 16:00:00";"135,69600";"129,66800";"Main: GBPJPY_M1_UTC2/H4";"13,10";"164,50"
"346";"GBPJPY_M1_UTC2";"Sell";"2020.04.29 12:24:00";"132.369";"0,01000";"2020.04.30 17:35:00";"133.699";"-8,48";"546,70";"IST";"TrailingStop";"-8,48";"2,37";"1d 5h 11m";"";"132.369";"2020.04.28 20:00:00";"134,56200";"128,42900";"Main: GBPJPY_M1_UTC2/H4";"133,00";"37,20"
"415";"GBPJPY_M1_UTC2";"Sell";"2020.05.15 14:50:00";"130.098";"0,01000";"2020.05.15 20:40:00";"130.161";"-0,40";"546,30";"IST";"End Of Friday (Time)";"-2,88";"0,38";"5h 50m";"";"130.098";"2020.05.15 12:00:00";"132,37199";"126,15800";"Main: GBPJPY_M1_UTC2/H4";"45,20";"5,90"
"452";"GBPJPY_M1_UTC2";"Buy";"2020.05.26 11:51:00";"132.526";"0,01000";"2020.05.29 20:40:00";"132.760";"1,49";"547,79";"IST";"End Of Friday (Time)";"-5,73";"5,95";"3d 8h 49m";"";"132.526";"2020.05.26 00:04:00";"130,48900";"136,46600";"Main: GBPJPY_M1_UTC2/H4";"89,90";"93,30"
"477";"GBPJPY_M1_UTC2";"Buy";"2020.06.04 17:49:00";"137.411";"0,01000";"2020.06.05 20:40:00";"138.943";"9,76";"557,55";"IST";"End Of Friday (Time)";"-1,83";"14,80";"1d 2h 51m";"";"137.411";"2020.06.04 16:00:00";"134,96600";"141,35100";"Main: GBPJPY_M1_UTC2/H4";"28,70";"232,20"
"508";"GBPJPY_M1_UTC2";"Sell";"2020.06.15 08:08:00";"133.725";"0,01000";"2020.06.16 01:51:00";"135.680";"-12,46";"545,09";"IST";"TrailingStop";"-12,46";"1,06";"17h 43m";"";"133.725";"2020.06.15 00:06:00";"136,82899";"129,78500";"Main: GBPJPY_M1_UTC2/H4";"195,50";"16,70"
"520";"GBPJPY_M1_UTC2";"Sell";"2020.06.18 15:00:00";"133.447";"0,01000";"2020.06.19 20:40:00";"132.175";"8,11";"553,20";"IST";"End Of Friday (Time)";"-0,51";"9,05";"1d 5h 40m";"";"133.447";"2020.06.17 16:00:00";"136,53500";"129,50700";"Main: GBPJPY_M1_UTC2/H4";"8,00";"142,00"
"563";"GBPJPY_M1_UTC2";"Buy";"2020.06.30 21:18:00";"133.633";"0,01000";"2020.07.01 07:07:00";"133.146";"-3,10";"550,10";"IST";"TrailingStop";"-3,10";"2,01";"9h 49m";"";"133.633";"2020.06.30 04:00:00";"131,43600";"137,57300";"Main: GBPJPY_M1_UTC2/H4";"48,70";"31,50"
"585";"GBPJPY_M1_UTC2";"Buy";"2020.07.06 09:02:00";"134.719";"0,01000";"2020.07.10 20:40:00";"135.000";"1,79";"551,89";"IST";"End Of Friday (Time)";"-4,58";"7,65";"4d 11h 38m";"";"134.719";"2020.07.06 04:00:00";"132,89000";"138,65900";"Main: GBPJPY_M1_UTC2/H4";"71,90";"120,10"
"594";"GBPJPY_M1_UTC2";"Sell";"2020.07.14 10:41:00";"134.254";"0,01000";"2020.07.17 20:40:00";"134.446";"-1,22";"550,66";"IST";"End Of Friday (Time)";"-6,22";"1,38";"3d 9h 59m";"";"134.254";"2020.07.14 04:00:00";"135,83099";"130,31400";"Main: GBPJPY_M1_UTC2/H4";"97,60";"21,70"
"599";"GBPJPY_M1_UTC2";"Buy";"2020.07.20 13:31:00";"135.191";"0,01000";"2020.07.24 16:58:00";"135.016";"-1,12";"549,55";"IST";"TrailingStop";"-1,41";"9,13";"4d 3h 27m";"";"135.191";"2020.07.20 12:00:00";"133,56000";"139,13100";"Main: GBPJPY_M1_UTC2/H4";"22,10";"143,20"
"646";"GBPJPY_M1_UTC2";"Buy";"2020.08.06 11:32:00";"139.220";"0,01000";"2020.08.07 20:40:00";"138.194";"-6,54";"543,01";"IST";"End Of Friday (Time)";"-8,78";"0,09";"1d 9h 8m";"";"139.220";"2020.08.05 12:00:00";"137,32500";"143,16000";"Main: GBPJPY_M1_UTC2/H4";"137,80";"1,40"
"659";"GBPJPY_M1_UTC2";"Buy";"2020.08.11 14:50:00";"139.249";"0,01000";"2020.08.14 20:40:00";"139.485";"1,50";"544,51";"IST";"End Of Friday (Time)";"-2,54";"6,09";"3d 5h 50m";"";"139.249";"2020.08.11 04:00:00";"137,37100";"143,18900";"Main: GBPJPY_M1_UTC2/H4";"39,80";"95,60"
"677";"GBPJPY_M1_UTC2";"Sell";"2020.08.20 10:07:00";"138.563";"0,01000";"2020.08.20 12:05:00";"138.975";"-2,63";"541,89";"IST";"TrailingStop";"-2,68";"0,00";"1h 58m";"";"138.563";"2020.08.19 12:00:00";"140,10699";"134,62300";"Main: GBPJPY_M1_UTC2/H4";"42,00";"0,00"
"688";"GBPJPY_M1_UTC2";"Sell";"2020.08.21 16:00:00";"138.526";"0,01000";"2020.08.21 20:40:00";"138.544";"-0,11";"541,77";"IST";"End Of Friday (Time)";"-2,96";"1,40";"4h 40m";"";"138.526";"2020.08.21 12:00:00";"140,23100";"134,58600";"Main: GBPJPY_M1_UTC2/H4";"46,40";"21,90"
"698";"GBPJPY_M1_UTC2";"Buy";"2020.08.25 16:07:00";"139.977";"0,01000";"2020.08.28 20:40:00";"140.514";"3,42";"545,20";"IST";"End Of Friday (Time)";"-2,29";"10,42";"3d 4h 33m";"";"139.977";"2020.08.25 08:00:00";"138,23399";"143,91701";"Main: GBPJPY_M1_UTC2/H4";"36,00";"163,50"
