"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"19";"GBPJPY_M1_UTC2";"Sell";"2020.01.30 09:37:00";"141.426";"0,01000";"2020.01.30 14:26:00";"142.553";"-7,18";"492,82";"IST";"SL";"-7,18";"0,71";"4h 49m";"";"141.426";"2020.01.30 08:00:00";"142,55299";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"112,70";"11,10"
"20";"GBPJPY_M1_UTC2";"Sell";"2020.02.07 02:46:00";"141.998";"0,01000";"2020.02.07 20:40:00";"141.612";"2,46";"495,28";"IST";"End Of Friday (Time)";"-2,76";"2,53";"17h 54m";"";"141.998";"2020.02.07 00:00:00";"143,26700";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"43,30";"39,70"
"22";"GBPJPY_M1_UTC2";"Buy";"2020.02.13 14:37:00";"142.968";"0,01000";"2020.02.14 20:40:00";"143.111";"0,91";"496,19";"IST";"End Of Friday (Time)";"-1,31";"3,23";"1d 6h 3m";"";"142.968";"2020.02.13 12:00:00";"141,81400";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"20,60";"50,70"
"23";"GBPJPY_M1_UTC2";"Sell";"2020.02.18 02:55:00";"142.609";"0,01000";"2020.02.19 15:42:00";"143.746";"-7,25";"488,94";"IST";"SL";"-7,25";"1,50";"1d 12h 47m";"";"142.609";"2020.02.18 00:00:00";"143,74600";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"113,70";"23,50"
"28";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 18:59:00";"142.591";"0,01000";"2020.02.28 20:40:00";"137.754";"30,83";"519,77";"IST";"End Of Friday (Time)";"-0,55";"31,86";"2d 1h 41m";"";"142.591";"2020.02.26 16:00:00";"143,76801";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"8,70";"499,90"
"29";"GBPJPY_M1_UTC2";"Sell";"2020.03.02 13:26:00";"137.284";"0,01000";"2020.03.05 16:00:00";"138.077";"-5,05";"514,71";"IST";"Exit After X Bars";"-9,25";"1,84";"3d 2h 34m";"";"137.284";"2020.03.02 12:00:00";"138,78799";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"145,20";"28,90"
"32";"GBPJPY_M1_UTC2";"Sell";"2020.03.06 07:59:00";"137.021";"0,01000";"2020.03.06 20:40:00";"137.120";"-0,63";"514,08";"IST";"End Of Friday (Time)";"-4,89";"3,37";"12h 41m";"";"137.021";"2020.03.06 04:00:00";"138,75200";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"76,70";"52,90"
"40";"GBPJPY_M1_UTC2";"Sell";"2020.03.11 22:09:00";"133.834";"0,01000";"2020.03.13 20:40:00";"133.210";"3,98";"518,06";"IST";"End Of Friday (Time)";"-5,03";"16,28";"1d 22h 31m";"";"133.834";"2020.03.11 20:00:00";"136,37199";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"79,00";"255,50"
"41";"GBPJPY_M1_UTC2";"Sell";"2020.03.16 01:17:00";"131.148";"0,01000";"2020.03.19 04:00:00";"125.884";"33,55";"551,61";"IST";"Exit After X Bars";"-9,51";"44,77";"3d 2h 43m";"";"131.148";"2020.03.16 00:05:00";"134,09700";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"149,30";"702,60"
"53";"GBPJPY_M1_UTC2";"Buy";"2020.03.24 18:53:00";"131.216";"0,01000";"2020.03.27 20:00:00";"134.026";"17,91";"569,51";"IST";"Exit After X Bars";"-8,71";"20,16";"3d 1h 7m";"";"131.216";"2020.03.24 16:00:00";"127,06900";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"136,60";"316,30"
"59";"GBPJPY_M1_UTC2";"Sell";"2020.04.01 09:01:00";"132.862";"0,01000";"2020.04.03 20:40:00";"132.824";"0,24";"569,76";"IST";"End Of Friday (Time)";"-8,16";"2,90";"2d 11h 39m";"";"132.862";"2020.04.01 08:00:00";"136,61700";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"128,00";"45,50"
