"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"21";"GBPJPY_M1_UTC2";"Sell";"2020.01.03 03:54:00";"142.229";"0,01000";"2020.01.03 21:00:00";"141.449";"4,97";"504,97";"IST";"End Of Friday (Time)";"-0,42";"7,48";"17h 6m";"";"142.229";"2020.01.02 05:00:00";"143,03900";"137,67900";"Main: GBPJPY_M1_UTC2/M15";"6,60";"117,30"
"257";"GBPJPY_M1_UTC2";"Buy";"2020.01.16 17:51:00";"143.861";"0,01000";"2020.01.17 21:00:00";"143.366";"-3,15";"501,82";"IST";"End Of Friday (Time)";"-3,21";"4,23";"1d 3h 9m";"";"143.861";"2020.01.15 15:45:00";"143,00301";"148,41100";"Main: GBPJPY_M1_UTC2/M15";"50,30";"66,40"
"405";"GBPJPY_M1_UTC2";"Sell";"2020.01.24 17:33:00";"142.987";"0,01000";"2020.01.24 21:00:00";"142.933";"0,34";"502,16";"IST";"End Of Friday (Time)";"-0,69";"0,92";"3h 27m";"";"142.987";"2020.01.24 11:45:00";"143,92599";"138,43700";"Main: GBPJPY_M1_UTC2/M15";"10,90";"14,40"
"438";"GBPJPY_M1_UTC2";"Buy";"2020.01.30 15:14:00";"142.593";"0,01000";"2020.01.31 21:00:00";"142.923";"2,10";"504,26";"IST";"End Of Friday (Time)";"-3,24";"4,40";"1d 5h 46m";"";"142.593";"2020.01.30 09:15:00";"141,95900";"147,14301";"Main: GBPJPY_M1_UTC2/M15";"50,80";"69,10"
"518";"GBPJPY_M1_UTC2";"Buy";"2020.02.05 11:30:00";"143.256";"0,01000";"2020.02.05 15:47:00";"142.662";"-3,79";"500,48";"IST";"SL";"-3,79";"0,75";"4h 17m";"";"143.256";"2020.02.05 09:15:00";"142,67200";"147,80600";"Main: GBPJPY_M1_UTC2/M15";"59,40";"11,70"
"641";"GBPJPY_M1_UTC2";"Buy";"2020.02.13 16:37:00";"143.180";"0,01000";"2020.02.14 21:00:00";"143.060";"-0,76";"499,71";"IST";"End Of Friday (Time)";"-2,66";"1,88";"1d 4h 23m";"";"143.180";"2020.02.13 11:00:00";"142,42200";"147,73000";"Main: GBPJPY_M1_UTC2/M15";"41,80";"29,50"
"768";"GBPJPY_M1_UTC2";"Buy";"2020.02.21 13:30:00";"144.631";"0,01000";"2020.02.21 21:00:00";"144.863";"1,48";"501,19";"IST";"End Of Friday (Time)";"-1,99";"2,08";"7h 30m";"";"144.631";"2020.02.21 09:45:00";"143,84399";"149,18100";"Main: GBPJPY_M1_UTC2/M15";"31,30";"32,60"
"778";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 20:44:00";"142.262";"0,01000";"2020.02.28 17:58:00";"137.712";"29,00";"530,19";"IST";"PT";"-2,65";"29,00";"1d 21h 14m";"";"142.262";"2020.02.26 05:45:00";"143,20500";"137,71201";"Main: GBPJPY_M1_UTC2/M15";"41,60";"455,00"
"830";"GBPJPY_M1_UTC2";"Sell";"2020.03.06 12:09:00";"136.495";"0,01000";"2020.03.06 17:05:00";"137.397";"-5,75";"524,44";"IST";"SL";"-5,75";"0,02";"4h 56m";"";"136.495";"2020.03.05 10:30:00";"137,38699";"131,94501";"Main: GBPJPY_M1_UTC2/M15";"90,20";"0,30"
"893";"GBPJPY_M1_UTC2";"Sell";"2020.03.12 15:26:00";"131.547";"0,01000";"2020.03.13 13:12:00";"134.163";"-16,67";"507,77";"IST";"SL";"-16,67";"1,71";"21h 46m";"";"131.547";"2020.03.11 13:00:00";"134,15300";"126,99700";"Main: GBPJPY_M1_UTC2/M15";"261,60";"26,80"
"1125";"GBPJPY_M1_UTC2";"Buy";"2020.03.26 19:53:00";"133.394";"0,01000";"2020.03.27 21:00:00";"134.038";"4,10";"511,87";"IST";"End Of Friday (Time)";"-8,20";"6,28";"1d 1h 7m";"";"133.394";"2020.03.26 10:00:00";"131,31400";"137,94400";"Main: GBPJPY_M1_UTC2/M15";"128,70";"98,50"
"1181";"GBPJPY_M1_UTC2";"Buy";"2020.04.06 10:29:00";"134.318";"0,01000";"2020.04.10 21:00:00";"135.175";"5,46";"517,33";"IST";"End Of Friday (Time)";"-8,88";"9,09";"4d 10h 31m";"";"134.318";"2020.04.06 00:06:00";"132,87900";"138,86800";"Main: GBPJPY_M1_UTC2/M15";"139,40";"142,60"
"1222";"GBPJPY_M1_UTC2";"Sell";"2020.04.15 10:33:00";"134.294";"0,01000";"2020.04.17 21:00:00";"134.518";"-1,43";"515,91";"IST";"End Of Friday (Time)";"-4,63";"3,83";"2d 10h 27m";"";"134.294";"2020.04.14 23:45:00";"135,33600";"129,74400";"Main: GBPJPY_M1_UTC2/M15";"72,60";"60,10"
"1223";"GBPJPY_M1_UTC2";"Sell";"2020.04.21 05:17:00";"133.612";"0,01000";"2020.04.24 21:00:00";"132.741";"5,55";"521,46";"IST";"End Of Friday (Time)";"-0,81";"10,51";"3d 15h 43m";"";"133.612";"2020.04.20 04:00:00";"134,48801";"129,06200";"Main: GBPJPY_M1_UTC2/M15";"12,70";"164,90"
"1362";"GBPJPY_M1_UTC2";"Sell";"2020.05.06 11:21:00";"131.931";"0,01000";"2020.05.08 17:43:00";"132.716";"-5,00";"516,45";"IST";"SL";"-5,00";"7,75";"2d 6h 22m";"";"131.931";"2020.05.05 11:30:00";"132,70599";"127,38100";"Main: GBPJPY_M1_UTC2/M15";"78,50";"121,60"
"1470";"GBPJPY_M1_UTC2";"Buy";"2020.05.19 09:18:00";"131.470";"0,01000";"2020.05.22 10:40:00";"130.671";"-5,09";"511,36";"IST";"SL";"-5,09";"6,59";"3d 1h 22m";"";"131.470";"2020.05.18 07:45:00";"130,68100";"136,02000";"Main: GBPJPY_M1_UTC2/M15";"79,90";"103,40"
"1676";"GBPJPY_M1_UTC2";"Buy";"2020.05.29 17:20:00";"133.270";"0,01000";"2020.05.29 21:00:00";"132.753";"-3,29";"508,07";"IST";"End Of Friday (Time)";"-5,07";"1,20";"3h 40m";"";"133.270";"2020.05.29 10:15:00";"132,42999";"137,82001";"Main: GBPJPY_M1_UTC2/M15";"79,50";"18,90"
"1893";"GBPJPY_M1_UTC2";"Buy";"2020.06.04 21:03:00";"137.715";"0,01000";"2020.06.05 21:00:00";"138.888";"7,48";"515,54";"IST";"End Of Friday (Time)";"-2,85";"12,86";"23h 57m";"";"137.715";"2020.06.04 16:45:00";"136,12601";"142,26500";"Main: GBPJPY_M1_UTC2/M15";"44,70";"201,80"
"2049";"GBPJPY_M1_UTC2";"Sell";"2020.06.19 14:11:00";"132.243";"0,01000";"2020.06.19 21:00:00";"132.095";"0,94";"516,49";"IST";"End Of Friday (Time)";"-2,97";"1,38";"6h 49m";"";"132.243";"2020.06.19 09:45:00";"133,12500";"127,69300";"Main: GBPJPY_M1_UTC2/M15";"46,60";"21,60"
"2170";"GBPJPY_M1_UTC2";"Sell";"2020.06.26 17:41:00";"132.057";"0,01000";"2020.06.26 21:00:00";"132.307";"-1,59";"514,89";"IST";"End Of Friday (Time)";"-2,47";"0,00";"3h 19m";"";"132.057";"2020.06.25 15:45:00";"133,29500";"127,50700";"Main: GBPJPY_M1_UTC2/M15";"38,70";"0,00"
"2191";"GBPJPY_M1_UTC2";"Buy";"2020.06.30 18:14:00";"133.531";"0,01000";"2020.07.03 21:00:00";"134.063";"3,39";"518,28";"IST";"End Of Friday (Time)";"-3,75";"7,45";"3d 2h 46m";"";"133.531";"2020.06.30 12:15:00";"132,70900";"138,08099";"Main: GBPJPY_M1_UTC2/M15";"58,80";"116,90"
"2229";"GBPJPY_M1_UTC2";"Buy";"2020.07.07 14:15:00";"134.800";"0,01000";"2020.07.10 21:00:00";"135.031";"1,47";"519,76";"IST";"End Of Friday (Time)";"-3,32";"7,14";"3d 6h 45m";"";"134.800";"2020.07.06 21:15:00";"134,02000";"139,35001";"Main: GBPJPY_M1_UTC2/M15";"52,10";"112,00"
"2482";"GBPJPY_M1_UTC2";"Buy";"2020.07.22 17:47:00";"136.506";"0,01000";"2020.07.24 06:26:00";"135.723";"-4,99";"514,77";"IST";"SL";"-4,99";"0,75";"1d 12h 39m";"";"136.506";"2020.07.22 10:30:00";"135,73300";"141,05600";"Main: GBPJPY_M1_UTC2/M15";"78,30";"11,70"
"2508";"GBPJPY_M1_UTC2";"Buy";"2020.07.28 19:03:00";"136.108";"0,01000";"2020.07.31 21:00:00";"138.696";"16,49";"531,26";"IST";"End Of Friday (Time)";"-2,77";"19,69";"3d 1h 57m";"";"136.108";"2020.07.28 16:00:00";"135,23000";"140,65800";"Main: GBPJPY_M1_UTC2/M15";"43,50";"308,90"
"2752";"GBPJPY_M1_UTC2";"Buy";"2020.08.19 09:07:00";"140.003";"0,01000";"2020.08.19 12:52:00";"139.382";"-3,96";"527,30";"IST";"SL";"-3,96";"0,00";"3h 45m";"";"140.003";"2020.08.18 09:15:00";"139,39200";"144,55299";"Main: GBPJPY_M1_UTC2/M15";"62,10";"0,00"
"2896";"GBPJPY_M1_UTC2";"Sell";"2020.08.21 16:00:00";"138.465";"0,01000";"2020.08.21 21:00:00";"138.506";"-0,26";"527,04";"IST";"End Of Friday (Time)";"-3,35";"1,01";"5h 0m";"";"138.465";"2020.08.21 09:30:00";"139,08800";"133,91499";"Main: GBPJPY_M1_UTC2/M15";"52,50";"15,80"
"3257";"GBPJPY_M1_UTC2";"Sell";"2020.09.10 19:08:00";"136.213";"0,01000";"2020.09.11 21:00:00";"135.820";"2,50";"529,54";"IST";"End Of Friday (Time)";"-2,79";"3,73";"1d 1h 52m";"";"136.213";"2020.09.10 12:15:00";"137,19299";"131,66299";"Main: GBPJPY_M1_UTC2/M15";"43,80";"58,60"
"3306";"GBPJPY_M1_UTC2";"Buy";"2020.09.16 15:14:00";"136.510";"0,01000";"2020.09.17 03:21:00";"135.808";"-4,47";"525,07";"IST";"SL";"-4,47";"0,00";"12h 7m";"";"136.510";"2020.09.16 03:15:00";"135,81799";"141,06000";"Main: GBPJPY_M1_UTC2/M15";"70,20";"0,00"
"3314";"GBPJPY_M1_UTC2";"Sell";"2020.09.17 14:42:00";"134.907";"0,01000";"2020.09.17 17:30:00";"135.930";"-6,52";"518,55";"IST";"SL";"-6,52";"1,80";"2h 48m";"";"134.907";"2020.09.16 15:00:00";"135,92000";"130,35699";"Main: GBPJPY_M1_UTC2/M15";"102,30";"28,20"
"3363";"GBPJPY_M1_UTC2";"Buy";"2020.09.25 10:14:00";"134.853";"0,01000";"2020.09.25 14:01:00";"133.880";"-6,20";"512,35";"IST";"SL";"-6,20";"0,00";"3h 47m";"";"134.853";"2020.09.24 10:30:00";"133,89000";"139,40300";"Main: GBPJPY_M1_UTC2/M15";"97,30";"0,00"
"3459";"GBPJPY_M1_UTC2";"Buy";"2020.09.30 17:21:00";"136.416";"0,01000";"2020.10.01 11:49:00";"135.390";"-6,54";"505,81";"IST";"SL";"-6,54";"1,40";"18h 28m";"";"136.416";"2020.09.30 12:00:00";"135,39999";"140,96600";"Main: GBPJPY_M1_UTC2/M15";"102,60";"21,90"
"3663";"GBPJPY_M1_UTC2";"Sell";"2020.10.13 21:00:00";"136.454";"0,01000";"2020.10.14 15:33:00";"137.219";"-4,88";"500,94";"IST";"SL";"-4,88";"4,68";"18h 33m";"";"136.454";"2020.10.13 12:00:00";"137,20900";"131,90401";"Main: GBPJPY_M1_UTC2/M15";"76,50";"73,40"
"3768";"GBPJPY_M1_UTC2";"Buy";"2020.10.21 16:56:00";"137.342";"0,01000";"2020.10.23 17:17:00";"136.580";"-4,86";"496,08";"IST";"SL";"-4,86";"2,05";"2d 0h 21m";"";"137.342";"2020.10.20 22:15:00";"136,59000";"141,89200";"Main: GBPJPY_M1_UTC2/M15";"76,20";"32,10"
"3835";"GBPJPY_M1_UTC2";"Sell";"2020.10.29 16:40:00";"134.716";"0,01000";"2020.10.29 21:26:00";"135.355";"-4,07";"492,01";"IST";"SL";"-4,07";"0,08";"4h 46m";"";"134.716";"2020.10.29 09:45:00";"135,34500";"130,16600";"Main: GBPJPY_M1_UTC2/M15";"63,90";"1,30"
"3863";"GBPJPY_M1_UTC2";"Buy";"2020.11.03 11:47:00";"136.110";"0,01000";"2020.11.05 00:55:00";"135.220";"-5,67";"486,34";"IST";"SL";"-5,67";"8,08";"1d 13h 8m";"";"136.110";"2020.11.02 10:15:00";"135,23000";"140,66000";"Main: GBPJPY_M1_UTC2/M15";"89,00";"126,80"
"4272";"GBPJPY_M1_UTC2";"Buy";"2020.11.25 22:32:00";"139.875";"0,01000";"2020.11.26 15:55:00";"139.009";"-5,52";"480,82";"IST";"SL";"-5,52";"0,00";"17h 23m";"";"139.875";"2020.11.25 16:30:00";"139,01900";"144,42500";"Main: GBPJPY_M1_UTC2/M15";"86,60";"0,00"
"4353";"GBPJPY_M1_UTC2";"Buy";"2020.12.01 18:07:00";"140.130";"0,01000";"2020.12.02 15:47:00";"139.053";"-6,86";"473,95";"IST";"SL";"-6,86";"2,00";"21h 40m";"";"140.130";"2020.12.01 14:30:00";"139,06300";"144,67999";"Main: GBPJPY_M1_UTC2/M15";"107,70";"31,40"
"4533";"GBPJPY_M1_UTC2";"Buy";"2020.12.16 13:41:00";"139.891";"0,01000";"2020.12.18 21:00:00";"139.579";"-1,99";"471,97";"IST";"End Of Friday (Time)";"-3,56";"3,53";"2d 7h 19m";"";"139.891";"2020.12.15 11:30:00";"138,88499";"144,44099";"Main: GBPJPY_M1_UTC2/M15";"55,90";"55,40"
"4954";"GBPJPY_M1_UTC2";"Buy";"2021.01.12 11:16:00";"141.426";"0,01000";"2021.01.15 21:00:00";"141.094";"-2,12";"469,85";"IST";"End Of Friday (Time)";"-3,01";"5,30";"3d 9h 44m";"";"141.426";"2021.01.11 14:00:00";"140,67999";"145,97600";"Main: GBPJPY_M1_UTC2/M15";"47,20";"83,10"
"5188";"GBPJPY_M1_UTC2";"Buy";"2021.01.26 17:31:00";"142.348";"0,01000";"2021.01.29 21:00:00";"143.552";"7,67";"477,52";"IST";"End Of Friday (Time)";"-1,03";"10,23";"3d 3h 29m";"";"142.348";"2021.01.26 06:45:00";"141,87500";"146,89799";"Main: GBPJPY_M1_UTC2/M15";"16,20";"160,50"
"5225";"GBPJPY_M1_UTC2";"Sell";"2021.02.04 07:02:00";"143.001";"0,01000";"2021.02.04 14:01:00";"143.521";"-3,31";"474,21";"IST";"SL";"-3,31";"0,68";"6h 59m";"";"143.001";"2021.02.03 10:00:00";"143,51100";"138,45100";"Main: GBPJPY_M1_UTC2/M15";"52,00";"10,70"
"5231";"GBPJPY_M1_UTC2";"Buy";"2021.02.04 15:13:00";"143.976";"0,01000";"2021.02.05 21:00:00";"144.606";"4,01";"478,22";"IST";"End Of Friday (Time)";"-0,65";"5,81";"1d 5h 47m";"";"143.976";"2021.02.04 06:45:00";"143,46500";"148,52600";"Main: GBPJPY_M1_UTC2/M15";"10,20";"91,10"
"5316";"GBPJPY_M1_UTC2";"Buy";"2021.02.12 14:41:00";"145.027";"0,01000";"2021.02.12 21:00:00";"145.440";"2,63";"480,86";"IST";"End Of Friday (Time)";"-0,92";"2,70";"6h 19m";"";"145.027";"2021.02.12 06:30:00";"144,61501";"149,57700";"Main: GBPJPY_M1_UTC2/M15";"14,50";"42,40"
"5492";"GBPJPY_M1_UTC2";"Buy";"2021.02.18 15:40:00";"147.844";"0,01000";"2021.02.19 21:00:00";"147.902";"0,37";"481,23";"IST";"End Of Friday (Time)";"-3,59";"1,98";"1d 5h 20m";"";"147.844";"2021.02.18 04:15:00";"147,21201";"152,39400";"Main: GBPJPY_M1_UTC2/M15";"56,30";"31,00"
"5541";"GBPJPY_M1_UTC2";"Buy";"2021.02.23 11:53:00";"148.343";"0,01000";"2021.02.26 09:51:00";"147.685";"-4,19";"477,03";"IST";"SL";"-4,19";"13,36";"2d 21h 58m";"";"148.343";"2021.02.22 23:45:00";"147,69501";"152,89301";"Main: GBPJPY_M1_UTC2/M15";"65,80";"209,60"
"5583";"GBPJPY_M1_UTC2";"Buy";"2021.03.03 11:18:00";"149.514";"0,01000";"2021.03.05 21:00:00";"149.818";"1,94";"478,97";"IST";"End Of Friday (Time)";"-3,11";"7,74";"2d 9h 42m";"";"149.514";"2021.03.02 11:15:00";"148,49800";"154,06400";"Main: GBPJPY_M1_UTC2/M15";"48,80";"121,40"
"5917";"GBPJPY_M1_UTC2";"Buy";"2021.03.18 03:15:00";"152.285";"0,01000";"2021.03.18 22:40:00";"151.487";"-5,09";"473,88";"IST";"SL";"-5,09";"1,68";"19h 25m";"";"152.285";"2021.03.17 21:00:00";"151,49699";"156,83501";"Main: GBPJPY_M1_UTC2/M15";"79,80";"26,30"
"5956";"GBPJPY_M1_UTC2";"Sell";"2021.03.23 11:29:00";"150.146";"0,01000";"2021.03.26 11:30:00";"150.814";"-4,26";"469,63";"IST";"SL";"-4,26";"9,96";"3d 0h 1m";"";"150.146";"2021.03.23 00:00:00";"150,80400";"145,59599";"Main: GBPJPY_M1_UTC2/M15";"66,80";"156,30"
"6010";"GBPJPY_M1_UTC2";"Buy";"2021.03.29 11:28:00";"151.640";"0,01000";"2021.04.02 21:00:00";"152.966";"8,45";"478,08";"IST";"End Of Friday (Time)";"-4,01";"9,93";"4d 9h 32m";"";"151.640";"2021.03.29 06:15:00";"150,83900";"156,19000";"Main: GBPJPY_M1_UTC2/M15";"63,00";"155,80"
"6031";"GBPJPY_M1_UTC2";"Sell";"2021.04.06 14:52:00";"152.578";"0,01000";"2021.04.09 21:00:00";"150.518";"13,13";"491,21";"IST";"End Of Friday (Time)";"-0,85";"18,68";"3d 6h 8m";"";"152.578";"2021.04.06 06:15:00";"153,13800";"148,02800";"Main: GBPJPY_M1_UTC2/M15";"13,40";"293,20"
"6086";"GBPJPY_M1_UTC2";"Buy";"2021.04.16 20:54:00";"150.550";"0,01000";"2021.04.16 21:00:00";"150.459";"-0,58";"490,63";"IST";"End Of Friday (Time)";"-0,58";"0,00";"6m 0s";"";"150.550";"2021.04.16 09:30:00";"149,95500";"155,10001";"Main: GBPJPY_M1_UTC2/M15";"9,10";"0,00"
"6123";"GBPJPY_M1_UTC2";"Buy";"2021.04.19 15:57:00";"150.935";"0,01000";"2021.04.21 16:15:00";"150.061";"-5,57";"485,06";"IST";"SL";"-5,57";"6,65";"2d 0h 18m";"";"150.935";"2021.04.19 11:15:00";"150,07100";"155,48500";"Main: GBPJPY_M1_UTC2/M15";"87,40";"104,30"
"6370";"GBPJPY_M1_UTC2";"Buy";"2021.05.05 04:45:00";"152.106";"0,01000";"2021.05.07 21:00:00";"152.024";"-0,52";"484,53";"IST";"End Of Friday (Time)";"-5,49";"0,79";"2d 16h 15m";"";"152.106";"2021.05.04 15:15:00";"151,19701";"156,65601";"Main: GBPJPY_M1_UTC2/M15";"86,10";"12,40"
"6537";"GBPJPY_M1_UTC2";"Buy";"2021.05.18 06:21:00";"154.796";"0,01000";"2021.05.19 16:10:00";"154.030";"-4,88";"479,65";"IST";"SL";"-4,88";"0,20";"1d 9h 49m";"";"154.796";"2021.05.17 15:15:00";"154,03999";"159,34599";"Main: GBPJPY_M1_UTC2/M15";"76,60";"3,20"
"6683";"GBPJPY_M1_UTC2";"Buy";"2021.05.27 14:07:00";"154.424";"0,01000";"2021.05.28 21:00:00";"155.808";"8,82";"488,47";"IST";"End Of Friday (Time)";"-0,15";"10,51";"1d 6h 53m";"";"154.424";"2021.05.27 06:30:00";"153,91299";"158,97400";"Main: GBPJPY_M1_UTC2/M15";"2,30";"164,90"
"6717";"GBPJPY_M1_UTC2";"Sell";"2021.06.01 17:16:00";"155.073";"0,01000";"2021.06.03 11:31:00";"155.724";"-4,15";"484,32";"IST";"SL";"-4,15";"1,63";"1d 18h 15m";"";"155.073";"2021.06.01 10:15:00";"155,71400";"150,52299";"Main: GBPJPY_M1_UTC2/M15";"65,10";"25,50"
"6769";"GBPJPY_M1_UTC2";"Sell";"2021.06.10 10:12:00";"154.367";"0,01000";"2021.06.10 15:39:00";"154.968";"-3,83";"480,49";"IST";"SL";"-3,83";"1,15";"5h 27m";"";"154.367";"2021.06.09 13:45:00";"154,95799";"149,81700";"Main: GBPJPY_M1_UTC2/M15";"60,10";"18,00"
"6844";"GBPJPY_M1_UTC2";"Buy";"2021.06.14 17:58:00";"155.341";"0,01000";"2021.06.15 14:22:00";"154.719";"-3,96";"476,53";"IST";"SL";"-3,96";"0,90";"20h 24m";"";"155.341";"2021.06.14 11:15:00";"154,72900";"159,89101";"Main: GBPJPY_M1_UTC2/M15";"62,20";"14,10"
"6866";"GBPJPY_M1_UTC2";"Sell";"2021.06.17 15:49:00";"154.110";"0,01000";"2021.06.18 21:00:00";"152.313";"11,45";"487,98";"IST";"End Of Friday (Time)";"-0,63";"12,24";"1d 5h 11m";"";"154.110";"2021.06.16 15:00:00";"154,65401";"149,56000";"Main: GBPJPY_M1_UTC2/M15";"9,90";"192,00"
"6954";"GBPJPY_M1_UTC2";"Buy";"2021.06.22 17:31:00";"154.053";"0,01000";"2021.06.25 21:00:00";"153.955";"-0,62";"487,36";"IST";"End Of Friday (Time)";"-2,93";"7,01";"3d 3h 29m";"";"154.053";"2021.06.22 11:15:00";"153,12100";"158,60300";"Main: GBPJPY_M1_UTC2/M15";"45,90";"110,00"
"6983";"GBPJPY_M1_UTC2";"Sell";"2021.06.29 03:37:00";"153.301";"0,01000";"2021.07.02 21:00:00";"153.630";"-2,10";"485,26";"IST";"End Of Friday (Time)";"-4,63";"4,03";"3d 17h 23m";"";"153.301";"2021.06.28 17:15:00";"154,20300";"148,75101";"Main: GBPJPY_M1_UTC2/M15";"72,70";"63,30"
"7012";"GBPJPY_M1_UTC2";"Sell";"2021.07.06 17:15:00";"152.802";"0,01000";"2021.07.09 21:00:00";"152.986";"-1,17";"484,09";"IST";"End Of Friday (Time)";"-2,73";"13,26";"3d 3h 45m";"";"152.802";"2021.07.06 10:30:00";"153,40199";"148,25200";"Main: GBPJPY_M1_UTC2/M15";"42,80";"208,10"
"7051";"GBPJPY_M1_UTC2";"Buy";"2021.07.13 06:23:00";"153.528";"0,01000";"2021.07.13 14:27:00";"152.571";"-6,10";"477,99";"IST";"SL";"-6,10";"0,00";"8h 4m";"";"153.528";"2021.07.12 15:00:00";"152,58099";"158,07800";"Main: GBPJPY_M1_UTC2/M15";"95,70";"0,00"
