"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"45";"GBPJPY_M1_UTC2";"Buy";"2020.01.24 11:30:00";"144.304";"0,01000";"2020.01.24 11:51:00";"143.744";"-3,57";"496,43";"IST";"SL";"-3,57";"0,69";"21m 0s";"";"144.304";"2020.01.24 08:30:00";"143,75400";"146,30400";"Main: GBPJPY_M1_UTC2/M30";"56,00";"10,90"
"113";"GBPJPY_M1_UTC2";"Sell";"2020.02.27 16:32:00";"141.420";"0,01000";"2020.02.27 19:14:00";"141.980";"-3,57";"492,86";"IST";"SL";"-3,57";"0,00";"2h 42m";"";"141.420";"2020.02.27 10:00:00";"141,97000";"139,42000";"Main: GBPJPY_M1_UTC2/M30";"56,00";"0,00"
"131";"GBPJPY_M1_UTC2";"Sell";"2020.03.09 04:50:00";"133.853";"0,01000";"2020.03.09 04:51:00";"134.413";"-3,57";"489,29";"IST";"SL";"-3,57";"3,44";"1m 0s";"";"133.853";"2020.03.09 00:04:00";"134,40300";"131,85300";"Main: GBPJPY_M1_UTC2/M30";"56,00";"54,00"
"152";"GBPJPY_M1_UTC2";"Sell";"2020.03.18 19:37:00";"126.762";"0,01000";"2020.03.18 19:53:00";"124.762";"12,75";"502,04";"IST";"PT";"-0,35";"12,75";"16m 0s";"";"126.762";"2020.03.18 11:30:00";"127,31200";"124,76200";"Main: GBPJPY_M1_UTC2/M30";"5,50";"200,00"
"204";"GBPJPY_M1_UTC2";"Buy";"2020.04.14 06:07:00";"135.308";"0,01000";"2020.04.14 12:26:00";"134.748";"-3,57";"498,47";"IST";"SL";"-3,57";"0,63";"6h 19m";"";"135.308";"2020.04.14 01:30:00";"134,75800";"137,30800";"Main: GBPJPY_M1_UTC2/M30";"56,00";"9,90"
"304";"GBPJPY_M1_UTC2";"Buy";"2020.06.02 16:30:00";"136.246";"0,01000";"2020.06.05 09:00:00";"138.246";"12,75";"511,22";"IST";"PT";"-1,89";"12,75";"2d 16h 30m";"";"136.246";"2020.06.02 10:00:00";"135,69600";"138,24600";"Main: GBPJPY_M1_UTC2/M30";"29,70";"200,00"
"331";"GBPJPY_M1_UTC2";"Sell";"2020.06.18 17:31:00";"132.526";"0,01000";"2020.06.19 02:34:00";"133.086";"-3,57";"507,65";"IST";"SL";"-3,57";"0,49";"9h 3m";"";"132.526";"2020.06.18 13:00:00";"133,07600";"130,52600";"Main: GBPJPY_M1_UTC2/M30";"56,00";"7,70"
"365";"GBPJPY_M1_UTC2";"Buy";"2020.07.07 16:51:00";"135.287";"0,01000";"2020.07.08 11:33:00";"134.727";"-3,57";"504,08";"IST";"SL";"-3,57";"0,78";"18h 42m";"";"135.287";"2020.07.07 10:00:00";"134,73700";"137,28700";"Main: GBPJPY_M1_UTC2/M30";"56,00";"12,30"
"368";"GBPJPY_M1_UTC2";"Buy";"2020.07.09 12:48:00";"135.915";"0,01000";"2020.07.09 17:19:00";"135.355";"-3,57";"500,51";"IST";"SL";"-3,57";"0,03";"4h 31m";"";"135.915";"2020.07.09 05:00:00";"135,36501";"137,91499";"Main: GBPJPY_M1_UTC2/M30";"56,00";"0,50"
"410";"GBPJPY_M1_UTC2";"Buy";"2020.07.30 16:29:00";"137.071";"0,01000";"2020.07.31 16:55:00";"139.071";"12,75";"513,26";"IST";"PT";"-1,82";"12,75";"1d 0h 26m";"";"137.071";"2020.07.30 08:30:00";"136,52100";"139,07100";"Main: GBPJPY_M1_UTC2/M30";"28,60";"200,00"
"435";"GBPJPY_M1_UTC2";"Buy";"2020.08.13 14:16:00";"140.209";"0,01000";"2020.08.13 21:23:00";"139.649";"-3,57";"509,69";"IST";"SL";"-3,57";"0,00";"7h 7m";"";"140.209";"2020.08.13 11:30:00";"139,65900";"142,20900";"Main: GBPJPY_M1_UTC2/M30";"56,00";"0,00"
"462";"GBPJPY_M1_UTC2";"Buy";"2020.08.27 19:15:00";"140.855";"0,01000";"2020.08.28 12:21:00";"140.295";"-3,57";"506,12";"IST";"SL";"-3,57";"4,82";"17h 6m";"";"140.855";"2020.08.27 12:30:00";"140,30499";"142,85500";"Main: GBPJPY_M1_UTC2/M30";"56,00";"75,70"
"482";"GBPJPY_M1_UTC2";"Sell";"2020.09.08 15:39:00";"138.240";"0,01000";"2020.09.10 19:09:00";"136.240";"12,75";"518,86";"IST";"PT";"-1,28";"12,75";"2d 3h 30m";"";"138.240";"2020.09.08 10:00:00";"138,78999";"136,24001";"Main: GBPJPY_M1_UTC2/M30";"20,10";"200,00"
"500";"GBPJPY_M1_UTC2";"Sell";"2020.09.21 10:38:00";"134.434";"0,01000";"2020.09.25 19:00:00";"134.220";"1,36";"520,23";"IST";"End Of Friday (Time)";"-2,85";"8,53";"4d 8h 22m";"";"134.434";"2020.09.21 08:30:00";"134,98399";"132,43401";"Main: GBPJPY_M1_UTC2/M30";"44,70";"133,90"
"502";"GBPJPY_M1_UTC2";"Buy";"2020.09.28 13:48:00";"135.983";"0,01000";"2020.09.28 21:59:00";"135.423";"-3,57";"516,66";"IST";"SL";"-3,57";"1,56";"8h 11m";"";"135.983";"2020.09.28 08:30:00";"135,43300";"137,98300";"Main: GBPJPY_M1_UTC2/M30";"56,00";"24,50"
"537";"GBPJPY_M1_UTC2";"Sell";"2020.10.15 14:12:00";"136.035";"0,01000";"2020.10.16 19:00:00";"136.356";"-2,05";"514,61";"IST";"End Of Friday (Time)";"-2,79";"3,83";"1d 4h 48m";"";"136.035";"2020.10.15 08:30:00";"136,58501";"134,03500";"Main: GBPJPY_M1_UTC2/M30";"43,80";"60,10"
"578";"GBPJPY_M1_UTC2";"Buy";"2020.11.09 16:45:00";"138.735";"0,01000";"2020.11.10 05:37:00";"138.175";"-3,57";"511,04";"IST";"SL";"-3,57";"1,10";"12h 52m";"";"138.735";"2020.11.09 08:30:00";"138,18500";"140,73500";"Main: GBPJPY_M1_UTC2/M30";"56,00";"17,30"
"627";"GBPJPY_M1_UTC2";"Buy";"2020.12.04 15:59:00";"140.362";"0,01000";"2020.12.04 19:00:00";"140.423";"0,39";"511,43";"IST";"End Of Friday (Time)";"-0,80";"2,17";"3h 1m";"";"140.362";"2020.12.04 10:00:00";"139,81200";"142,36200";"Main: GBPJPY_M1_UTC2/M30";"12,50";"34,10"
"640";"GBPJPY_M1_UTC2";"Sell";"2020.12.11 14:31:00";"137.088";"0,01000";"2020.12.11 17:43:00";"137.648";"-3,57";"507,86";"IST";"SL";"-3,57";"1,55";"3h 12m";"";"137.088";"2020.12.11 06:30:00";"137,63800";"135,08800";"Main: GBPJPY_M1_UTC2/M30";"56,00";"24,30"
"717";"GBPJPY_M1_UTC2";"Buy";"2021.01.20 12:41:00";"142.274";"0,01000";"2021.01.20 16:47:00";"141.714";"-3,57";"504,30";"IST";"SL";"-3,57";"0,40";"4h 6m";"";"142.274";"2021.01.20 09:00:00";"141,72400";"144,27400";"Main: GBPJPY_M1_UTC2/M30";"56,00";"6,20"
"749";"GBPJPY_M1_UTC2";"Buy";"2021.02.05 15:05:00";"144.892";"0,01000";"2021.02.05 19:00:00";"144.579";"-1,99";"502,30";"IST";"End Of Friday (Time)";"-2,09";"0,00";"3h 55m";"";"144.892";"2021.02.05 12:00:00";"144,34200";"146,89200";"Main: GBPJPY_M1_UTC2/M30";"32,80";"0,00"
"766";"GBPJPY_M1_UTC2";"Buy";"2021.02.16 03:32:00";"147.137";"0,01000";"2021.02.16 12:07:00";"146.577";"-3,57";"498,73";"IST";"SL";"-3,57";"1,06";"8h 35m";"";"147.137";"2021.02.16 01:30:00";"146,58701";"149,13699";"Main: GBPJPY_M1_UTC2/M30";"56,00";"16,70"
"772";"GBPJPY_M1_UTC2";"Buy";"2021.02.18 13:23:00";"147.374";"0,01000";"2021.02.19 19:00:00";"148.049";"4,30";"503,03";"IST";"End Of Friday (Time)";"-0,73";"4,97";"1d 5h 37m";"";"147.374";"2021.02.18 07:00:00";"146,82401";"149,37399";"Main: GBPJPY_M1_UTC2/M30";"11,40";"78,00"
"864";"GBPJPY_M1_UTC2";"Sell";"2021.04.07 16:41:00";"150.931";"0,01000";"2021.04.09 19:00:00";"150.621";"1,98";"505,01";"IST";"End Of Friday (Time)";"-2,40";"8,19";"2d 2h 19m";"";"150.931";"2021.04.07 08:30:00";"151,48100";"148,93100";"Main: GBPJPY_M1_UTC2/M30";"37,70";"128,50"
"927";"GBPJPY_M1_UTC2";"Buy";"2021.05.12 18:19:00";"154.453";"0,01000";"2021.05.13 10:06:00";"153.893";"-3,57";"501,44";"IST";"SL";"-3,57";"0,00";"15h 47m";"";"154.453";"2021.05.12 11:30:00";"153,90300";"156,45300";"Main: GBPJPY_M1_UTC2/M30";"56,00";"0,00"
"995";"GBPJPY_M1_UTC2";"Sell";"2021.06.17 15:45:00";"154.229";"0,01000";"2021.06.18 17:41:00";"152.229";"12,75";"514,19";"IST";"PT";"-0,40";"12,75";"1d 1h 56m";"";"154.229";"2021.06.17 09:30:00";"154,77901";"152,22900";"Main: GBPJPY_M1_UTC2/M30";"6,30";"200,00"
"1033";"GBPJPY_M1_UTC2";"Sell";"2021.07.08 15:08:00";"150.740";"0,01000";"2021.07.08 16:34:00";"151.300";"-3,57";"510,62";"IST";"SL";"-3,57";"0,12";"1h 26m";"";"150.740";"2021.07.08 08:00:00";"151,28999";"148,74001";"Main: GBPJPY_M1_UTC2/M30";"56,00";"1,90"
"1054";"GBPJPY_M1_UTC2";"Sell";"2021.07.19 16:49:00";"149.659";"0,01000";"2021.07.21 15:16:00";"150.219";"-3,57";"507,05";"IST";"SL";"-3,57";"7,28";"1d 22h 27m";"";"149.659";"2021.07.19 08:30:00";"150,20900";"147,65900";"Main: GBPJPY_M1_UTC2/M30";"56,00";"114,20"
"1071";"GBPJPY_M1_UTC2";"Buy";"2021.07.29 11:03:00";"153.328";"0,01000";"2021.07.29 23:59:00";"152.768";"-3,57";"503,48";"IST";"SL";"-3,57";"0,72";"12h 56m";"";"153.328";"2021.07.29 04:30:00";"152,77800";"155,32800";"Main: GBPJPY_M1_UTC2/M30";"56,00";"11,30"
"1099";"GBPJPY_M1_UTC2";"Sell";"2021.08.13 11:30:00";"152.096";"0,01000";"2021.08.13 19:00:00";"152.146";"-0,32";"503,16";"IST";"End Of Friday (Time)";"-2,76";"0,00";"7h 30m";"";"152.096";"2021.08.13 06:30:00";"152,64600";"150,09599";"Main: GBPJPY_M1_UTC2/M30";"43,30";"0,00"
"1109";"GBPJPY_M1_UTC2";"Sell";"2021.08.19 12:01:00";"149.789";"0,01000";"2021.08.19 13:34:00";"150.349";"-3,57";"499,59";"IST";"SL";"-3,57";"0,63";"1h 33m";"";"149.789";"2021.08.19 04:30:00";"150,33900";"147,78900";"Main: GBPJPY_M1_UTC2/M30";"56,00";"9,90"
"1137";"GBPJPY_M1_UTC2";"Buy";"2021.09.02 16:58:00";"152.051";"0,01000";"2021.09.03 19:00:00";"151.971";"-0,51";"499,08";"IST";"End Of Friday (Time)";"-1,79";"1,52";"1d 2h 2m";"";"152.051";"2021.09.02 09:00:00";"151,50101";"154,05099";"Main: GBPJPY_M1_UTC2/M30";"28,10";"23,90"
"1211";"GBPJPY_M1_UTC2";"Buy";"2021.10.12 14:53:00";"154.559";"0,01000";"2021.10.15 10:16:00";"156.559";"12,75";"511,83";"IST";"PT";"-2,88";"12,75";"2d 19h 23m";"";"154.559";"2021.10.12 10:00:00";"154,00900";"156,55901";"Main: GBPJPY_M1_UTC2/M30";"45,20";"200,00"
"1252";"GBPJPY_M1_UTC2";"Sell";"2021.11.04 17:24:00";"153.591";"0,01000";"2021.11.05 19:00:00";"153.116";"3,03";"514,85";"IST";"End Of Friday (Time)";"-1,56";"4,61";"1d 1h 36m";"";"153.591";"2021.11.04 13:00:00";"154,14101";"151,59100";"Main: GBPJPY_M1_UTC2/M30";"24,50";"72,30"
"1331";"GBPJPY_M1_UTC2";"Buy";"2021.12.16 14:00:00";"152.225";"0,01000";"2021.12.16 16:52:00";"151.665";"-3,57";"511,29";"IST";"SL";"-3,57";"2,59";"2h 52m";"";"152.225";"2021.12.16 10:00:00";"151,67500";"154,22501";"Main: GBPJPY_M1_UTC2/M30";"56,00";"40,60"
"1342";"GBPJPY_M1_UTC2";"Buy";"2021.12.22 12:21:00";"152.105";"0,01000";"2021.12.24 19:00:00";"153.140";"6,60";"517,88";"IST";"End Of Friday (Time)";"-1,11";"10,20";"2d 6h 39m";"";"152.105";"2021.12.22 09:00:00";"151,55499";"154,10500";"Main: GBPJPY_M1_UTC2/M30";"17,40";"160,00"
