"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"67";"GBPJPY_M1_UTC2";"Sell";"2020.01.24 17:40:00";"142.864";"0,01000";"2020.01.24 19:00:00";"142.949";"-0,54";"499,46";"IST";"End Of Friday (Time)";"-1,48";"0,04";"1h 20m";"";"142.864";"2020.01.24 16:30:00";"143,41400";"140,86400";"Main: GBPJPY_M1_UTC2/M30";"23,20";"0,70"
"84";"GBPJPY_M1_UTC2";"Buy";"2020.01.31 02:47:00";"142.809";"0,01000";"2020.01.31 19:00:00";"143.148";"2,16";"501,62";"IST";"End Of Friday (Time)";"-0,85";"3,03";"16h 13m";"";"142.809";"2020.01.30 23:30:00";"142,25900";"144,80901";"Main: GBPJPY_M1_UTC2/M30";"13,30";"47,50"
"144";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 19:01:00";"142.536";"0,01000";"2020.02.28 05:25:00";"140.536";"12,75";"514,36";"IST";"PT";"-0,90";"12,75";"1d 10h 24m";"";"142.536";"2020.02.26 19:00:00";"143,08600";"140,53600";"Main: GBPJPY_M1_UTC2/M30";"14,20";"200,00"
"227";"GBPJPY_M1_UTC2";"Buy";"2020.04.06 10:20:00";"134.214";"0,01000";"2020.04.06 17:59:00";"133.654";"-3,57";"510,80";"IST";"SL";"-3,57";"1,97";"7h 39m";"";"134.214";"2020.04.06 09:00:00";"133,66400";"136,21400";"Main: GBPJPY_M1_UTC2/M30";"56,00";"30,90"
"325";"GBPJPY_M1_UTC2";"Sell";"2020.05.15 15:00:00";"130.061";"0,01000";"2020.05.15 19:00:00";"130.175";"-0,73";"510,07";"IST";"End Of Friday (Time)";"-3,12";"0,11";"4h 0m";"";"130.061";"2020.05.15 12:00:00";"130,61099";"128,06100";"Main: GBPJPY_M1_UTC2/M30";"48,90";"1,70"
"352";"GBPJPY_M1_UTC2";"Buy";"2020.05.29 17:11:00";"133.086";"0,01000";"2020.05.29 19:00:00";"132.725";"-2,30";"507,77";"IST";"End Of Friday (Time)";"-2,45";"2,38";"1h 49m";"";"133.086";"2020.05.29 16:30:00";"132,53600";"135,08600";"Main: GBPJPY_M1_UTC2/M30";"38,50";"37,30"
"371";"GBPJPY_M1_UTC2";"Buy";"2020.06.04 20:49:00";"137.538";"0,01000";"2020.06.05 17:38:00";"139.538";"12,75";"520,51";"IST";"PT";"-1,72";"12,75";"20h 49m";"";"137.538";"2020.06.04 20:30:00";"136,98801";"139,53799";"Main: GBPJPY_M1_UTC2/M30";"27,00";"200,00"
"490";"GBPJPY_M1_UTC2";"Buy";"2020.07.22 20:00:00";"136.591";"0,01000";"2020.07.23 14:42:00";"136.031";"-3,57";"516,95";"IST";"SL";"-3,57";"0,20";"18h 42m";"";"136.591";"2020.07.22 19:30:00";"136,04100";"138,59100";"Main: GBPJPY_M1_UTC2/M30";"56,00";"3,20"
"551";"GBPJPY_M1_UTC2";"Sell";"2020.08.21 16:06:00";"138.366";"0,01000";"2020.08.21 17:31:00";"138.926";"-3,57";"513,38";"IST";"SL";"-3,57";"0,38";"1h 25m";"";"138.366";"2020.08.21 15:00:00";"138,91600";"136,36600";"Main: GBPJPY_M1_UTC2/M30";"56,00";"5,90"
"634";"GBPJPY_M1_UTC2";"Buy";"2020.09.30 17:11:00";"136.247";"0,01000";"2020.10.01 11:33:00";"135.687";"-3,57";"509,81";"IST";"SL";"-3,57";"2,47";"18h 22m";"";"136.247";"2020.09.30 14:00:00";"135,69701";"138,24699";"Main: GBPJPY_M1_UTC2/M30";"56,00";"38,80"
"764";"GBPJPY_M1_UTC2";"Buy";"2020.11.25 22:12:00";"139.823";"0,01000";"2020.11.26 10:58:00";"139.263";"-3,57";"506,24";"IST";"SL";"-3,57";"0,20";"12h 46m";"";"139.823";"2020.11.25 21:30:00";"139,27299";"141,82300";"Main: GBPJPY_M1_UTC2/M30";"56,00";"3,10"
"785";"GBPJPY_M1_UTC2";"Buy";"2020.12.04 15:59:00";"140.475";"0,01000";"2020.12.04 19:00:00";"140.423";"-0,33";"505,91";"IST";"End Of Friday (Time)";"-1,52";"1,45";"3h 1m";"";"140.475";"2020.12.04 15:30:00";"139,92500";"142,47501";"Main: GBPJPY_M1_UTC2/M30";"23,80";"22,80"
"905";"GBPJPY_M1_UTC2";"Buy";"2021.01.26 17:30:00";"142.336";"0,01000";"2021.01.29 19:00:00";"143.592";"8,00";"513,91";"IST";"End Of Friday (Time)";"-0,96";"10,30";"3d 1h 30m";"";"142.336";"2021.01.26 16:00:00";"141,78600";"144,33600";"Main: GBPJPY_M1_UTC2/M30";"15,00";"161,70"
"917";"GBPJPY_M1_UTC2";"Buy";"2021.02.04 15:37:00";"144.124";"0,01000";"2021.02.05 19:00:00";"144.579";"2,90";"516,81";"IST";"End Of Friday (Time)";"-1,26";"4,86";"1d 3h 23m";"";"144.124";"2021.02.04 15:00:00";"143,57401";"146,12399";"Main: GBPJPY_M1_UTC2/M30";"19,70";"76,30"
"933";"GBPJPY_M1_UTC2";"Buy";"2021.02.12 16:12:00";"145.103";"0,01000";"2021.02.12 19:00:00";"145.388";"1,82";"518,63";"IST";"End Of Friday (Time)";"-0,76";"1,98";"2h 48m";"";"145.103";"2021.02.12 14:00:00";"144,55299";"147,10300";"Main: GBPJPY_M1_UTC2/M30";"12,00";"31,10"
"1072";"GBPJPY_M1_UTC2";"Sell";"2021.04.06 15:57:00";"152.082";"0,01000";"2021.04.08 16:32:00";"150.082";"12,75";"531,37";"IST";"PT";"-1,34";"12,75";"2d 0h 35m";"";"152.082";"2021.04.06 13:30:00";"152,63200";"150,08200";"Main: GBPJPY_M1_UTC2/M30";"21,00";"200,00"
"1224";"GBPJPY_M1_UTC2";"Sell";"2021.06.09 16:51:00";"154.539";"0,01000";"2021.06.10 15:43:00";"155.099";"-3,57";"527,80";"IST";"SL";"-3,57";"2,24";"22h 52m";"";"154.539";"2021.06.09 14:30:00";"155,08900";"152,53900";"Main: GBPJPY_M1_UTC2/M30";"56,00";"35,20"
"1290";"GBPJPY_M1_UTC2";"Sell";"2021.07.06 17:04:00";"153.022";"0,01000";"2021.07.08 15:01:00";"151.022";"12,75";"540,55";"IST";"PT";"-1,33";"12,75";"1d 21h 57m";"";"153.022";"2021.07.06 14:00:00";"153,57201";"151,02200";"Main: GBPJPY_M1_UTC2/M30";"20,80";"200,00"
"1565";"GBPJPY_M1_UTC2";"Sell";"2021.11.04 15:00:00";"154.693";"0,01000";"2021.11.05 19:00:00";"153.116";"10,05";"550,60";"IST";"End Of Friday (Time)";"-0,55";"11,63";"1d 4h 0m";"";"154.693";"2021.11.04 12:00:00";"155,24300";"152,69299";"Main: GBPJPY_M1_UTC2/M30";"8,70";"182,50"
"1606";"GBPJPY_M1_UTC2";"Sell";"2021.11.19 12:04:00";"152.864";"0,01000";"2021.11.19 16:15:00";"153.424";"-3,57";"547,03";"IST";"SL";"-3,57";"1,85";"4h 11m";"";"152.864";"2021.11.19 10:30:00";"153,41400";"150,86400";"Main: GBPJPY_M1_UTC2/M30";"56,00";"29,00"
"1685";"GBPJPY_M1_UTC2";"Buy";"2021.12.27 10:01:00";"153.611";"0,01000";"2021.12.30 17:18:00";"155.611";"12,75";"559,78";"IST";"PT";"-0,65";"12,75";"3d 7h 17m";"";"153.611";"2021.12.27 09:30:00";"153,06100";"155,61099";"Main: GBPJPY_M1_UTC2/M30";"10,20";"200,00"
"1705";"GBPJPY_M1_UTC2";"Sell";"2022.01.10 16:48:00";"156.064";"0,01000";"2022.01.11 01:45:00";"156.624";"-3,57";"556,21";"IST";"SL";"-3,57";"0,39";"8h 57m";"";"156.064";"2022.01.10 16:00:00";"156,61400";"154,06400";"Main: GBPJPY_M1_UTC2/M30";"56,00";"6,10"
"1723";"GBPJPY_M1_UTC2";"Sell";"2022.01.18 17:03:00";"155.487";"0,01000";"2022.01.19 03:00:00";"156.047";"-3,57";"552,64";"IST";"SL";"-3,57";"0,00";"9h 57m";"";"155.487";"2022.01.18 14:00:00";"156,03700";"153,48700";"Main: GBPJPY_M1_UTC2/M30";"56,00";"0,00"
"1801";"GBPJPY_M1_UTC2";"Sell";"2022.02.24 02:29:00";"155.501";"0,01000";"2022.02.24 16:26:00";"153.501";"12,75";"565,38";"IST";"PT";"-2,82";"12,75";"13h 57m";"";"155.501";"2022.02.23 23:30:00";"156,05099";"153,50101";"Main: GBPJPY_M1_UTC2/M30";"44,30";"200,00"
"1907";"GBPJPY_M1_UTC2";"Buy";"2022.04.08 01:41:00";"162.263";"0,01000";"2022.04.08 04:11:00";"161.703";"-3,57";"561,82";"IST";"SL";"-3,57";"0,56";"2h 30m";"";"162.263";"2022.04.07 22:00:00";"161,71300";"164,26300";"Main: GBPJPY_M1_UTC2/M30";"56,00";"8,80"
"1912";"GBPJPY_M1_UTC2";"Buy";"2022.04.11 03:54:00";"162.313";"0,01000";"2022.04.13 19:22:00";"164.313";"12,75";"574,56";"IST";"PT";"-0,89";"12,75";"2d 15h 28m";"";"162.313";"2022.04.11 00:05:00";"161,76300";"164,31300";"Main: GBPJPY_M1_UTC2/M30";"14,00";"200,00"
"1968";"GBPJPY_M1_UTC2";"Sell";"2022.05.05 14:08:00";"161.997";"0,01000";"2022.05.06 19:00:00";"160.990";"6,42";"580,98";"IST";"End Of Friday (Time)";"-0,40";"10,37";"1d 4h 52m";"";"161.997";"2022.05.05 10:30:00";"162,54700";"159,99699";"Main: GBPJPY_M1_UTC2/M30";"6,30";"162,70"
"2040";"GBPJPY_M1_UTC2";"Buy";"2022.06.06 10:52:00";"164.026";"0,01000";"2022.06.07 04:22:00";"166.026";"12,75";"593,72";"IST";"PT";"-0,78";"12,75";"17h 30m";"";"164.026";"2022.06.06 09:00:00";"163,47600";"166,02600";"Main: GBPJPY_M1_UTC2/M30";"12,30";"200,00"
"2070";"GBPJPY_M1_UTC2";"Sell";"2022.06.16 11:25:00";"161.464";"0,01000";"2022.06.16 11:42:00";"162.024";"-3,57";"590,16";"IST";"SL";"-3,57";"0,31";"17m 0s";"";"161.464";"2022.06.16 10:30:00";"162,01401";"159,46400";"Main: GBPJPY_M1_UTC2/M30";"56,00";"4,90"
