"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"16";"GBPJPY_M1_UTC2";"Buy";"2020.01.09 07:51:00";"143.392";"0,01000";"2020.01.10 20:40:00";"143.037";"-2,26";"497,74";"IST";"End Of Friday (Time)";"-6,19";"0,66";"1d 12h 49m";"";"143.392";"2020.01.08 03:00:00";"142,27400";"145,78200";"Main: GBPJPY_M1_UTC2/H1";"97,20";"10,30"
"23";"GBPJPY_M1_UTC2";"Buy";"2020.01.16 10:31:00";"143.640";"0,01000";"2020.01.17 12:29:00";"143.640";"0,00";"497,74";"IST";"MoveSL2BE";"-1,52";"5,64";"1d 1h 58m";"";"143.640";"2020.01.15 12:00:00";"142,86000";"146,03000";"Main: GBPJPY_M1_UTC2/H1";"23,80";"88,50"
"28";"GBPJPY_M1_UTC2";"Buy";"2020.01.21 13:06:00";"143.610";"0,01000";"2020.01.24 17:33:00";"142.948";"-4,22";"493,52";"IST";"SL";"-4,22";"6,35";"3d 4h 27m";"";"143.610";"2020.01.21 09:00:00";"142,94800";"146,00000";"Main: GBPJPY_M1_UTC2/H1";"66,20";"99,60"
"40";"GBPJPY_M1_UTC2";"Buy";"2020.01.30 14:00:00";"142.399";"0,01000";"2020.01.31 20:40:00";"142.922";"3,33";"496,85";"IST";"End Of Friday (Time)";"-2,00";"5,64";"1d 6h 40m";"";"142.399";"2020.01.30 11:00:00";"141,65401";"144,78900";"Main: GBPJPY_M1_UTC2/H1";"31,40";"88,50"
"65";"GBPJPY_M1_UTC2";"Buy";"2020.02.13 16:40:00";"143.234";"0,01000";"2020.02.14 20:40:00";"143.111";"-0,78";"496,07";"IST";"End Of Friday (Time)";"-3,01";"1,54";"1d 4h 0m";"";"143.234";"2020.02.13 06:00:00";"142,56799";"145,62399";"Main: GBPJPY_M1_UTC2/H1";"47,20";"24,10"
"71";"GBPJPY_M1_UTC2";"Buy";"2020.02.19 15:22:00";"143.678";"0,01000";"2020.02.21 20:40:00";"144.844";"7,43";"503,50";"IST";"End Of Friday (Time)";"-1,96";"8,15";"2d 5h 18m";"";"143.678";"2020.02.18 05:00:00";"143,06700";"146,06799";"Main: GBPJPY_M1_UTC2/H1";"30,70";"127,90"
"82";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 19:06:00";"142.499";"0,01000";"2020.02.28 09:50:00";"140.109";"15,23";"518,73";"IST";"PT";"-1,14";"15,23";"1d 14h 44m";"";"142.499";"2020.02.26 05:00:00";"143,54700";"140,10899";"Main: GBPJPY_M1_UTC2/H1";"17,90";"239,00"
"95";"GBPJPY_M1_UTC2";"Sell";"2020.03.06 11:56:00";"136.681";"0,01000";"2020.03.06 20:40:00";"137.120";"-2,80";"515,93";"IST";"End Of Friday (Time)";"-7,05";"1,20";"8h 44m";"";"136.681";"2020.03.05 02:00:00";"138,12000";"134,29100";"Main: GBPJPY_M1_UTC2/H1";"110,70";"18,90"
"172";"GBPJPY_M1_UTC2";"Sell";"2020.04.15 10:33:00";"134.298";"0,01000";"2020.04.17 20:40:00";"134.474";"-1,12";"514,81";"IST";"End Of Friday (Time)";"-4,60";"3,86";"2d 10h 7m";"";"134.298";"2020.04.14 08:00:00";"135,12399";"131,90800";"Main: GBPJPY_M1_UTC2/H1";"72,20";"60,50"
"194";"GBPJPY_M1_UTC2";"Sell";"2020.04.29 11:02:00";"132.464";"0,01000";"2020.04.30 12:27:00";"133.317";"-5,44";"509,37";"IST";"SL";"-5,44";"2,98";"1d 1h 25m";"";"132.464";"2020.04.28 11:00:00";"133,31700";"130,07401";"Main: GBPJPY_M1_UTC2/H1";"85,30";"46,70"
"198";"GBPJPY_M1_UTC2";"Buy";"2020.04.30 17:35:00";"133.650";"0,01000";"2020.05.01 20:40:00";"133.515";"-0,86";"508,51";"IST";"End Of Friday (Time)";"-1,36";"11,46";"1d 3h 5m";"";"133.650";"2020.04.29 11:00:00";"132,86900";"136,03999";"Main: GBPJPY_M1_UTC2/H1";"21,30";"179,90"
"203";"GBPJPY_M1_UTC2";"Sell";"2020.05.06 11:05:00";"132.058";"0,01000";"2020.05.07 10:15:00";"132.058";"0,00";"508,51";"IST";"MoveSL2BE";"-0,61";"8,56";"23h 10m";"";"132.058";"2020.05.05 11:00:00";"133,03700";"129,66800";"Main: GBPJPY_M1_UTC2/H1";"9,50";"134,30"
"227";"GBPJPY_M1_UTC2";"Buy";"2020.05.19 09:32:00";"131.710";"0,01000";"2020.05.22 20:40:00";"130.925";"-5,00";"503,51";"IST";"End Of Friday (Time)";"-6,62";"5,06";"3d 11h 8m";"";"131.710";"2020.05.18 01:00:00";"130,60800";"134,10001";"Main: GBPJPY_M1_UTC2/H1";"103,90";"79,40"
"250";"GBPJPY_M1_UTC2";"Buy";"2020.05.29 17:21:00";"133.331";"0,01000";"2020.05.29 20:40:00";"132.760";"-3,64";"499,87";"IST";"End Of Friday (Time)";"-5,46";"0,82";"3h 19m";"";"133.331";"2020.05.29 13:00:00";"132,35500";"135,72099";"Main: GBPJPY_M1_UTC2/H1";"85,60";"12,80"
"305";"GBPJPY_M1_UTC2";"Sell";"2020.06.26 17:41:00";"132.053";"0,01000";"2020.06.26 20:40:00";"132.365";"-1,99";"497,88";"IST";"End Of Friday (Time)";"-2,49";"0,00";"2h 59m";"";"132.053";"2020.06.25 14:00:00";"133,24600";"129,66299";"Main: GBPJPY_M1_UTC2/H1";"39,10";"0,00"
"322";"GBPJPY_M1_UTC2";"Buy";"2020.07.07 14:31:00";"134.843";"0,01000";"2020.07.10 03:49:00";"134.843";"0,00";"497,88";"IST";"MoveSL2BE";"-1,71";"6,86";"2d 13h 18m";"";"134.843";"2020.07.06 22:00:00";"134,12601";"137,23300";"Main: GBPJPY_M1_UTC2/H1";"26,80";"107,70"
"357";"GBPJPY_M1_UTC2";"Buy";"2020.07.29 13:09:00";"136.232";"0,01000";"2020.07.31 16:20:00";"138.622";"15,23";"513,12";"IST";"PT";"-1,09";"15,23";"2d 3h 11m";"";"136.232";"2020.07.28 16:00:00";"135,32201";"138,62199";"Main: GBPJPY_M1_UTC2/H1";"17,10";"239,00"
"377";"GBPJPY_M1_UTC2";"Sell";"2020.08.07 16:17:00";"138.016";"0,01000";"2020.08.07 20:40:00";"138.254";"-1,52";"511,60";"IST";"End Of Friday (Time)";"-2,18";"0,73";"4h 23m";"";"138.016";"2020.08.06 13:00:00";"138,83400";"135,62601";"Main: GBPJPY_M1_UTC2/H1";"34,20";"11,40"
"406";"GBPJPY_M1_UTC2";"Buy";"2020.08.21 07:45:00";"139.963";"0,01000";"2020.08.21 11:41:00";"139.170";"-5,05";"506,54";"IST";"SL";"-5,05";"0,00";"3h 56m";"";"139.963";"2020.08.19 22:00:00";"139,17000";"142,35300";"Main: GBPJPY_M1_UTC2/H1";"79,30";"0,00"
"412";"GBPJPY_M1_UTC2";"Sell";"2020.08.21 16:06:00";"138.380";"0,01000";"2020.08.21 20:40:00";"138.544";"-1,05";"505,50";"IST";"End Of Friday (Time)";"-3,89";"0,47";"4h 34m";"";"138.380";"2020.08.20 23:00:00";"139,24300";"135,99001";"Main: GBPJPY_M1_UTC2/H1";"61,00";"7,30"
"445";"GBPJPY_M1_UTC2";"Sell";"2020.09.04 17:21:00";"140.373";"0,01000";"2020.09.04 20:40:00";"140.889";"-3,29";"502,21";"IST";"End Of Friday (Time)";"-3,58";"1,28";"3h 19m";"";"140.373";"2020.09.04 12:00:00";"141,27901";"137,98300";"Main: GBPJPY_M1_UTC2/H1";"56,10";"20,10"
"460";"GBPJPY_M1_UTC2";"Sell";"2020.09.10 18:57:00";"136.359";"0,01000";"2020.09.11 20:40:00";"135.775";"3,72";"505,93";"IST";"End Of Friday (Time)";"-1,86";"4,66";"1d 1h 43m";"";"136.359";"2020.09.09 20:00:00";"137,50700";"133,96899";"Main: GBPJPY_M1_UTC2/H1";"29,20";"73,20"
"471";"GBPJPY_M1_UTC2";"Sell";"2020.09.17 14:04:00";"135.371";"0,01000";"2020.09.18 20:40:00";"135.088";"1,80";"507,74";"IST";"End Of Friday (Time)";"-5,38";"4,75";"1d 6h 36m";"";"135.371";"2020.09.16 15:00:00";"136,25800";"132,98100";"Main: GBPJPY_M1_UTC2/H1";"84,50";"74,60"
"497";"GBPJPY_M1_UTC2";"Buy";"2020.09.30 17:30:00";"136.472";"0,01000";"2020.10.01 11:48:00";"135.445";"-6,54";"501,19";"IST";"SL";"-6,54";"1,04";"18h 18m";"";"136.472";"2020.09.30 11:00:00";"135,44501";"138,86200";"Main: GBPJPY_M1_UTC2/H1";"102,70";"16,30"
"523";"GBPJPY_M1_UTC2";"Sell";"2020.10.15 14:19:00";"135.889";"0,01000";"2020.10.16 20:40:00";"136.224";"-2,13";"499,06";"IST";"End Of Friday (Time)";"-3,72";"2,90";"1d 6h 21m";"";"135.889";"2020.10.14 17:00:00";"136,72701";"133,49899";"Main: GBPJPY_M1_UTC2/H1";"58,40";"45,50"
"550";"GBPJPY_M1_UTC2";"Sell";"2020.10.28 06:04:00";"135.923";"0,01000";"2020.10.30 20:40:00";"135.505";"2,66";"501,72";"IST";"End Of Friday (Time)";"-1,87";"9,33";"2d 14h 36m";"";"135.923";"2020.10.26 15:00:00";"136,67900";"133,53300";"Main: GBPJPY_M1_UTC2/H1";"29,40";"146,40"
