"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"2";"GBPJPY_M1_UTC2";"Buy";"2020.01.06 12:14:00";"142.117";"0,01000";"2020.01.07 10:30:00";"143.167";"6,69";"506,69";"IST";"PT";"-0,90";"6,69";"22h 16m";"";"142.117";"2020.01.06 10:00:00";"141,41701";"143,16701";"Main: GBPJPY_M1_UTC2/H1";"14,20";"105,00"
"5";"GBPJPY_M1_UTC2";"Buy";"2020.01.14 02:12:00";"143.080";"0,01000";"2020.01.16 19:06:00";"144.130";"6,69";"513,38";"IST";"PT";"-4,03";"6,69";"2d 16h 54m";"";"143.080";"2020.01.13 18:00:00";"142,38000";"144,13000";"Main: GBPJPY_M1_UTC2/H1";"63,20";"105,00"
"11";"GBPJPY_M1_UTC2";"Sell";"2020.02.13 01:55:00";"142.248";"0,01000";"2020.02.13 14:18:00";"142.958";"-4,52";"508,86";"IST";"SL";"-4,52";"0,31";"12h 23m";"";"142.248";"2020.02.12 23:00:00";"142,94800";"141,19800";"Main: GBPJPY_M1_UTC2/H1";"71,00";"4,90"
"13";"GBPJPY_M1_UTC2";"Buy";"2020.02.18 12:24:00";"142.942";"0,01000";"2020.02.19 18:38:00";"143.992";"6,69";"515,55";"IST";"PT";"-1,22";"6,69";"1d 6h 14m";"";"142.942";"2020.02.18 10:00:00";"142,24200";"143,99200";"Main: GBPJPY_M1_UTC2/H1";"19,10";"105,00"
"16";"GBPJPY_M1_UTC2";"Sell";"2020.03.06 04:14:00";"137.181";"0,01000";"2020.03.06 17:27:00";"137.567";"-2,46";"513,09";"IST";"TrailingStop";"-2,46";"4,39";"13h 13m";"";"137.181";"2020.03.05 20:00:00";"137,88100";"136,13100";"Main: GBPJPY_M1_UTC2/H1";"38,60";"68,90"
"24";"GBPJPY_M1_UTC2";"Buy";"2020.03.12 20:05:00";"133.775";"0,01000";"2020.03.12 20:12:00";"133.065";"-4,52";"508,56";"IST";"SL";"-4,52";"0,00";"7m 0s";"";"133.775";"2020.03.12 19:00:00";"133,07500";"134,82500";"Main: GBPJPY_M1_UTC2/H1";"71,00";"0,00"
"37";"GBPJPY_M1_UTC2";"Buy";"2020.04.14 06:07:00";"135.304";"0,01000";"2020.04.14 13:32:00";"134.594";"-4,52";"504,04";"IST";"SL";"-4,52";"0,66";"7h 25m";"";"135.304";"2020.04.13 23:00:00";"134,60400";"136,35400";"Main: GBPJPY_M1_UTC2/H1";"71,00";"10,30"
"48";"GBPJPY_M1_UTC2";"Sell";"2020.05.15 14:39:00";"130.253";"0,01000";"2020.05.15 19:00:00";"130.175";"0,50";"504,54";"IST";"End Of Friday (Time)";"-1,89";"1,33";"4h 21m";"";"130.253";"2020.05.15 12:00:00";"130,95300";"129,20300";"Main: GBPJPY_M1_UTC2/H1";"29,70";"20,90"
"54";"GBPJPY_M1_UTC2";"Buy";"2020.05.29 16:46:00";"132.828";"0,01000";"2020.05.29 19:00:00";"132.725";"-0,66";"503,88";"IST";"End Of Friday (Time)";"-0,81";"4,02";"2h 14m";"";"132.828";"2020.05.29 12:00:00";"132,12801";"133,87801";"Main: GBPJPY_M1_UTC2/H1";"12,70";"63,10"
"66";"GBPJPY_M1_UTC2";"Sell";"2020.07.06 17:38:00";"134.169";"0,01000";"2020.07.07 14:41:00";"134.879";"-4,52";"499,36";"IST";"SL";"-4,52";"0,69";"21h 3m";"";"134.169";"2020.07.06 12:00:00";"134,86900";"133,11900";"Main: GBPJPY_M1_UTC2/H1";"71,00";"10,90"
"71";"GBPJPY_M1_UTC2";"Buy";"2020.07.16 15:32:00";"134.716";"0,01000";"2020.07.17 15:37:00";"134.192";"-3,34";"496,02";"IST";"TrailingStop";"-3,34";"2,89";"1d 0h 5m";"";"134.716";"2020.07.16 13:00:00";"134,01601";"135,76601";"Main: GBPJPY_M1_UTC2/H1";"52,40";"45,40"
"85";"GBPJPY_M1_UTC2";"Buy";"2020.10.28 21:57:00";"135.634";"0,01000";"2020.10.29 14:06:00";"135.021";"-3,91";"492,11";"IST";"TrailingStop";"-3,91";"1,98";"16h 9m";"";"135.634";"2020.10.28 20:00:00";"134,93401";"136,68401";"Main: GBPJPY_M1_UTC2/H1";"61,30";"31,00"
"93";"GBPJPY_M1_UTC2";"Buy";"2020.11.19 12:31:00";"137.730";"0,01000";"2020.11.20 19:00:00";"137.989";"1,65";"493,76";"IST";"End Of Friday (Time)";"-3,15";"2,06";"1d 6h 29m";"";"137.730";"2020.11.19 10:00:00";"137,03000";"138,78000";"Main: GBPJPY_M1_UTC2/H1";"49,40";"32,40"
"103";"GBPJPY_M1_UTC2";"Sell";"2021.01.25 18:05:00";"141.756";"0,01000";"2021.01.26 16:32:00";"142.275";"-3,31";"490,45";"IST";"TrailingStop";"-3,31";"2,67";"22h 27m";"";"141.756";"2021.01.25 15:00:00";"142,45599";"140,70599";"Main: GBPJPY_M1_UTC2/H1";"51,90";"41,90"
"104";"GBPJPY_M1_UTC2";"Buy";"2021.01.26 19:02:00";"142.440";"0,01000";"2021.01.29 13:24:00";"143.490";"6,69";"497,15";"IST";"PT";"-1,62";"6,69";"2d 18h 22m";"";"142.440";"2021.01.26 19:00:00";"141,74001";"143,49001";"Main: GBPJPY_M1_UTC2/H1";"25,40";"105,00"
"107";"GBPJPY_M1_UTC2";"Buy";"2021.02.04 14:06:00";"143.688";"0,01000";"2021.02.05 14:31:00";"144.738";"6,69";"503,84";"IST";"PT";"-1,45";"6,69";"1d 0h 25m";"";"143.688";"2021.02.04 06:00:00";"142,98801";"144,73801";"Main: GBPJPY_M1_UTC2/H1";"22,70";"105,00"
"109";"GBPJPY_M1_UTC2";"Buy";"2021.02.09 21:09:00";"144.481";"0,01000";"2021.02.12 19:00:00";"145.388";"5,78";"509,62";"IST";"End Of Friday (Time)";"-0,74";"5,95";"2d 21h 51m";"";"144.481";"2021.02.09 18:00:00";"143,78101";"145,53101";"Main: GBPJPY_M1_UTC2/H1";"11,60";"93,30"
"113";"GBPJPY_M1_UTC2";"Buy";"2021.03.02 18:04:00";"148.998";"0,01000";"2021.03.04 15:46:00";"150.048";"6,69";"516,31";"IST";"PT";"-1,38";"6,69";"1d 21h 42m";"";"148.998";"2021.03.02 15:00:00";"148,29800";"150,04800";"Main: GBPJPY_M1_UTC2/H1";"21,70";"105,00"
"122";"GBPJPY_M1_UTC2";"Buy";"2021.04.09 15:56:00";"150.764";"0,01000";"2021.04.09 19:00:00";"150.541";"-1,42";"514,89";"IST";"End Of Friday (Time)";"-2,85";"1,08";"3h 4m";"";"150.764";"2021.04.09 10:00:00";"150,06400";"151,81400";"Main: GBPJPY_M1_UTC2/H1";"44,80";"16,90"
"124";"GBPJPY_M1_UTC2";"Buy";"2021.04.16 14:58:00";"150.174";"0,01000";"2021.04.16 19:00:00";"150.388";"1,36";"516,25";"IST";"End Of Friday (Time)";"-0,62";"1,78";"4h 2m";"";"150.174";"2021.04.16 13:00:00";"149,47400";"151,22400";"Main: GBPJPY_M1_UTC2/H1";"9,80";"27,90"
"142";"GBPJPY_M1_UTC2";"Sell";"2021.05.25 18:03:00";"153.878";"0,01000";"2021.05.27 14:09:00";"154.588";"-4,52";"511,73";"IST";"SL";"-4,52";"0,31";"1d 20h 6m";"";"153.878";"2021.05.25 16:00:00";"154,57800";"152,82800";"Main: GBPJPY_M1_UTC2/H1";"71,00";"4,80"
"150";"GBPJPY_M1_UTC2";"Sell";"2021.07.26 09:45:00";"151.488";"0,01000";"2021.07.26 12:26:00";"152.198";"-4,52";"507,20";"IST";"SL";"-4,52";"0,18";"2h 41m";"";"151.488";"2021.07.26 02:00:00";"152,18800";"150,43800";"Main: GBPJPY_M1_UTC2/H1";"71,00";"2,80"
"154";"GBPJPY_M1_UTC2";"Sell";"2021.07.29 22:06:00";"152.865";"0,01000";"2021.07.30 19:00:00";"152.715";"0,96";"508,16";"IST";"End Of Friday (Time)";"-2,58";"2,36";"20h 54m";"";"152.865";"2021.07.29 19:00:00";"153,56500";"151,81500";"Main: GBPJPY_M1_UTC2/H1";"40,50";"37,00"
"162";"GBPJPY_M1_UTC2";"Sell";"2021.09.17 17:40:00";"151.243";"0,01000";"2021.09.17 19:00:00";"151.290";"-0,30";"507,86";"IST";"End Of Friday (Time)";"-0,53";"0,73";"1h 20m";"";"151.243";"2021.09.17 16:00:00";"151,94299";"150,19299";"Main: GBPJPY_M1_UTC2/H1";"8,30";"11,50"
