"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"9";"GBPJPY_M1_UTC2";"Buy";"2020.01.14 19:46:00";"143.413";"0,01000";"2020.01.17 21:00:00";"143.366";"-0,30";"499,70";"IST";"End Of Friday (Time)";"-4,78";"7,09";"3d 1h 14m";"";"143.413";"2020.01.14 19:00:00";"142,52699";"148,31300";"Main: GBPJPY_M1_UTC2/H1";"75,00";"111,20"
"11";"GBPJPY_M1_UTC2";"Buy";"2020.01.21 13:08:00";"143.647";"0,01000";"2020.01.24 17:33:00";"142.940";"-4,51";"495,19";"IST";"SL";"-4,51";"6,11";"3d 4h 25m";"";"143.647";"2020.01.21 11:00:00";"142,95000";"148,54700";"Main: GBPJPY_M1_UTC2/H1";"70,70";"95,90"
"15";"GBPJPY_M1_UTC2";"Sell";"2020.01.30 09:20:00";"141.481";"0,01000";"2020.01.30 13:59:00";"142.268";"-5,02";"490,18";"IST";"SL";"-5,02";"1,06";"4h 39m";"";"141.481";"2020.01.30 04:00:00";"142,25800";"136,58099";"Main: GBPJPY_M1_UTC2/H1";"78,70";"16,60"
"16";"GBPJPY_M1_UTC2";"Buy";"2020.01.30 14:00:00";"142.420";"0,01000";"2020.01.31 21:00:00";"142.923";"3,21";"493,39";"IST";"End Of Friday (Time)";"-2,13";"5,51";"1d 7h 0m";"";"142.420";"2020.01.30 08:00:00";"141,66701";"147,32001";"Main: GBPJPY_M1_UTC2/H1";"33,50";"86,40"
"20";"GBPJPY_M1_UTC2";"Sell";"2020.02.06 17:30:00";"142.192";"0,01000";"2020.02.07 21:00:00";"141.570";"3,96";"497,35";"IST";"End Of Friday (Time)";"-1,52";"4,04";"1d 3h 30m";"";"142.192";"2020.02.06 13:00:00";"143,10300";"137,29201";"Main: GBPJPY_M1_UTC2/H1";"23,90";"63,40"
"22";"GBPJPY_M1_UTC2";"Buy";"2020.02.11 11:30:00";"142.198";"0,01000";"2020.02.14 21:00:00";"143.060";"5,49";"502,84";"IST";"End Of Friday (Time)";"-1,99";"8,14";"3d 9h 30m";"";"142.198";"2020.02.11 05:00:00";"141,43500";"147,09801";"Main: GBPJPY_M1_UTC2/H1";"31,20";"127,70"
"27";"GBPJPY_M1_UTC2";"Buy";"2020.02.19 09:55:00";"143.263";"0,01000";"2020.02.21 21:00:00";"144.863";"10,20";"513,04";"IST";"End Of Friday (Time)";"-1,71";"10,80";"2d 11h 5m";"";"143.263";"2020.02.19 06:00:00";"142,59500";"148,16299";"Main: GBPJPY_M1_UTC2/H1";"26,80";"169,40"
"29";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 11:05:00";"142.807";"0,01000";"2020.02.28 17:57:00";"137.907";"31,23";"544,27";"IST";"PT";"-2,56";"31,23";"2d 6h 52m";"";"142.807";"2020.02.26 02:00:00";"143,85800";"137,90700";"Main: GBPJPY_M1_UTC2/H1";"40,20";"490,00"
"31";"GBPJPY_M1_UTC2";"Sell";"2020.03.03 20:27:00";"137.174";"0,01000";"2020.03.06 21:00:00";"137.197";"-0,15";"544,12";"IST";"End Of Friday (Time)";"-9,95";"4,35";"3d 0h 33m";"";"137.174";"2020.03.03 09:00:00";"138,90300";"132,27400";"Main: GBPJPY_M1_UTC2/H1";"156,20";"68,20"
"36";"GBPJPY_M1_UTC2";"Sell";"2020.03.11 22:09:00";"133.835";"0,01000";"2020.03.13 21:00:00";"132.989";"5,39";"549,51";"IST";"End Of Friday (Time)";"-5,03";"16,29";"1d 22h 51m";"";"133.835";"2020.03.11 21:00:00";"136,62801";"128,93500";"Main: GBPJPY_M1_UTC2/H1";"78,90";"255,60"
"38";"GBPJPY_M1_UTC2";"Sell";"2020.03.18 14:15:00";"128.208";"0,01000";"2020.03.20 17:10:00";"130.995";"-17,76";"531,75";"IST";"SL";"-17,76";"26,04";"2d 2h 55m";"";"128.208";"2020.03.18 07:00:00";"130,98500";"123,30800";"Main: GBPJPY_M1_UTC2/H1";"278,70";"408,60"
"42";"GBPJPY_M1_UTC2";"Buy";"2020.03.26 19:52:00";"133.346";"0,01000";"2020.03.27 21:00:00";"134.038";"4,41";"536,16";"IST";"End Of Friday (Time)";"-7,90";"6,58";"1d 1h 8m";"";"133.346";"2020.03.26 11:00:00";"130,46201";"138,24600";"Main: GBPJPY_M1_UTC2/H1";"123,90";"103,30"
"51";"GBPJPY_M1_UTC2";"Buy";"2020.04.07 14:50:00";"134.594";"0,01000";"2020.04.10 21:00:00";"135.175";"3,70";"539,86";"IST";"End Of Friday (Time)";"-5,77";"7,33";"3d 6h 10m";"";"134.594";"2020.04.07 10:00:00";"132,93600";"139,49400";"Main: GBPJPY_M1_UTC2/H1";"90,50";"115,00"
"54";"GBPJPY_M1_UTC2";"Buy";"2020.04.14 23:35:00";"135.507";"0,01000";"2020.04.15 10:20:00";"134.447";"-6,76";"533,11";"IST";"SL";"-6,76";"0,00";"10h 45m";"";"135.507";"2020.04.14 23:00:00";"134,45700";"140,40700";"Main: GBPJPY_M1_UTC2/H1";"106,00";"0,00"
"56";"GBPJPY_M1_UTC2";"Sell";"2020.04.16 17:17:00";"134.034";"0,01000";"2020.04.17 21:00:00";"134.518";"-3,08";"530,02";"IST";"End Of Friday (Time)";"-6,28";"1,68";"1d 3h 43m";"";"134.034";"2020.04.16 17:00:00";"135,09100";"129,13400";"Main: GBPJPY_M1_UTC2/H1";"98,60";"26,40"
"66";"GBPJPY_M1_UTC2";"Sell";"2020.05.06 03:10:00";"132.275";"0,01000";"2020.05.08 21:00:00";"132.448";"-1,10";"528,92";"IST";"End Of Friday (Time)";"-2,96";"9,94";"2d 17h 50m";"";"132.275";"2020.05.05 16:00:00";"133,25200";"127,37500";"Main: GBPJPY_M1_UTC2/H1";"46,50";"156,00"
