"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"4";"GBPJPY_M1_UTC2";"Buy";"2020.01.16 10:31:00";"143.752";"0,01000";"2020.01.17 11:37:00";"143.742";"-0,06";"499,94";"IST";"MoveSL2BE";"-2,23";"4,93";"1d 1h 6m";"";"143.752";"2020.01.13 03:00:00";"142,66701";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"35,00";"77,30"
"7";"GBPJPY_M1_UTC2";"Buy";"2020.01.21 13:08:00";"143.640";"0,01000";"2020.01.23 16:15:00";"143.630";"-0,06";"499,87";"IST";"MoveSL2BE";"-2,91";"6,16";"2d 3h 7m";"";"143.640";"2020.01.21 10:00:00";"142,80299";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"45,60";"96,60"
"6";"GBPJPY_M1_UTC2";"Sell";"2020.01.24 17:37:00";"142.882";"0,01000";"2020.01.24 21:00:00";"142.933";"-0,33";"499,55";"IST";"End Of Friday (Time)";"-1,36";"0,25";"3h 23m";"";"142.882";"2020.01.21 06:00:00";"143,70100";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"21,40";"3,90"
"9";"GBPJPY_M1_UTC2";"Buy";"2020.01.30 14:00:00";"142.419";"0,01000";"2020.01.31 21:00:00";"142.923";"3,21";"502,76";"IST";"End Of Friday (Time)";"-2,13";"5,51";"1d 7h 0m";"";"142.419";"2020.01.29 17:00:00";"141,42500";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"33,40";"86,50"
"10";"GBPJPY_M1_UTC2";"Buy";"2020.02.05 11:32:00";"143.306";"0,01000";"2020.02.07 11:57:00";"141.938";"-8,72";"494,04";"IST";"SL";"-8,72";"0,43";"2d 0h 25m";"";"143.306";"2020.02.03 14:00:00";"141,94800";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"136,80";"6,70"
"13";"GBPJPY_M1_UTC2";"Buy";"2020.02.11 11:30:00";"142.216";"0,01000";"2020.02.13 07:28:00";"142.206";"-0,06";"493,98";"IST";"MoveSL2BE";"-2,10";"4,26";"1d 19h 58m";"";"142.216";"2020.02.11 04:00:00";"141,28101";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"33,00";"66,80"
"14";"GBPJPY_M1_UTC2";"Buy";"2020.02.13 14:37:00";"143.077";"0,01000";"2020.02.14 21:00:00";"143.060";"-0,11";"493,87";"IST";"End Of Friday (Time)";"-2,01";"2,54";"1d 6h 23m";"";"143.077";"2020.02.13 10:00:00";"142,14900";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"31,50";"39,80"
"15";"GBPJPY_M1_UTC2";"Sell";"2020.02.18 10:12:00";"142.415";"0,01000";"2020.02.18 17:09:00";"143.289";"-5,57";"488,30";"IST";"SL";"-5,57";"0,26";"6h 57m";"";"142.415";"2020.02.17 08:00:00";"143,27901";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"87,40";"4,10"
"16";"GBPJPY_M1_UTC2";"Buy";"2020.02.19 14:29:00";"143.591";"0,01000";"2020.02.21 21:00:00";"144.863";"8,11";"496,41";"IST";"End Of Friday (Time)";"-1,40";"8,71";"2d 6h 31m";"";"143.591";"2020.02.17 21:00:00";"142,80200";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"22,00";"136,60"
"19";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 11:05:00";"142.808";"0,01000";"2020.02.28 21:00:00";"137.895";"31,31";"527,72";"IST";"End Of Friday (Time)";"-2,56";"33,24";"2d 9h 55m";"";"142.808";"2020.02.26 01:00:00";"144,17000";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H1";"40,10";"521,60"
