"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"3";"GBPJPY_M1_UTC2";"Buy";"2020.01.08 19:12:00";"143.089";"0,01000";"2020.01.10 21:00:00";"142.990";"-0,63";"499,37";"IST";"End Of Friday (Time)";"-4,26";"2,59";"2d 1h 48m";"";"143.089";"2020.01.07 21:00:00";"142,18900";"145,25000";"Main: GBPJPY_M1_UTC2/H1";"66,90";"40,60"
"4";"GBPJPY_M1_UTC2";"Buy";"2020.01.16 18:54:00";"144.117";"0,01000";"2020.01.17 21:00:00";"143.366";"-4,79";"494,58";"IST";"End Of Friday (Time)";"-4,84";"2,60";"1d 2h 6m";"";"144.117";"2020.01.13 01:00:00";"143,21700";"145,99699";"Main: GBPJPY_M1_UTC2/H1";"75,90";"40,80"
"7";"GBPJPY_M1_UTC2";"Buy";"2020.01.21 11:41:00";"143.404";"0,01000";"2020.01.23 16:33:00";"143.394";"-0,06";"494,52";"IST";"MoveSL2BE";"-1,40";"7,66";"2d 4h 52m";"";"143.404";"2020.01.21 08:00:00";"142,50400";"144,69800";"Main: GBPJPY_M1_UTC2/H1";"22,00";"120,20"
"10";"GBPJPY_M1_UTC2";"Buy";"2020.01.30 14:00:00";"142.515";"0,01000";"2020.01.31 21:00:00";"142.923";"2,60";"497,12";"IST";"End Of Friday (Time)";"-2,74";"4,90";"1d 7h 0m";"";"142.515";"2020.01.29 15:00:00";"141,61501";"144,05800";"Main: GBPJPY_M1_UTC2/H1";"43,00";"76,90"
"11";"GBPJPY_M1_UTC2";"Buy";"2020.02.05 11:32:00";"143.332";"0,01000";"2020.02.05 16:39:00";"142.422";"-5,80";"491,32";"IST";"SL";"-5,80";"0,26";"5h 7m";"";"143.332";"2020.02.03 12:00:00";"142,43201";"145,13300";"Main: GBPJPY_M1_UTC2/H1";"91,00";"4,10"
"15";"GBPJPY_M1_UTC2";"Buy";"2020.02.11 11:22:00";"142.073";"0,01000";"2020.02.14 21:00:00";"143.060";"6,29";"497,61";"IST";"End Of Friday (Time)";"-1,19";"8,93";"3d 9h 38m";"";"142.073";"2020.02.11 02:00:00";"141,17300";"143,55299";"Main: GBPJPY_M1_UTC2/H1";"18,70";"140,20"
"17";"GBPJPY_M1_UTC2";"Buy";"2020.02.19 14:28:00";"143.577";"0,01000";"2020.02.21 13:59:00";"144.882";"8,32";"505,93";"IST";"PT";"-1,31";"8,32";"1d 23h 31m";"";"143.577";"2020.02.17 19:00:00";"142,67700";"144,88200";"Main: GBPJPY_M1_UTC2/H1";"20,60";"130,50"
"19";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 20:34:00";"142.420";"0,01000";"2020.02.28 05:32:00";"140.419";"12,75";"518,68";"IST";"PT";"-1,64";"12,75";"1d 8h 58m";"";"142.420";"2020.02.25 23:00:00";"143,32001";"140,41901";"Main: GBPJPY_M1_UTC2/H1";"25,80";"200,10"
"21";"GBPJPY_M1_UTC2";"Buy";"2020.03.05 01:59:00";"138.670";"0,01000";"2020.03.05 18:45:00";"137.760";"-5,80";"512,88";"IST";"SL";"-5,80";"0,04";"16h 46m";"";"138.670";"2020.03.03 10:00:00";"137,77000";"141,89101";"Main: GBPJPY_M1_UTC2/H1";"91,00";"0,60"
"26";"GBPJPY_M1_UTC2";"Sell";"2020.03.18 14:15:00";"128.212";"0,01000";"2020.03.19 17:13:00";"128.222";"-0,06";"512,82";"IST";"MoveSL2BE";"-1,07";"26,06";"1d 2h 58m";"";"128.212";"2020.03.18 04:00:00";"129,11200";"123,21200";"Main: GBPJPY_M1_UTC2/H1";"16,80";"409,00"
