"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"3";"GBPJPY_M1_UTC2";"Buy";"2020.01.16 00:16:00";"143.495";"0,01000";"2020.01.17 21:00:00";"143.366";"-0,82";"499,18";"IST";"End Of Friday (Time)";"-1,64";"6,56";"1d 20h 44m";"";"143.495";"2020.01.13 12:00:00";"141,44501";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"25,80";"103,00"
"4";"GBPJPY_M1_UTC2";"Buy";"2020.01.22 15:07:00";"144.479";"0,01000";"2020.01.24 21:00:00";"142.853";"-10,36";"488,82";"IST";"End Of Friday (Time)";"-10,81";"0,81";"2d 5h 53m";"";"144.479";"2020.01.20 00:00:00";"142,42900";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"169,60";"12,70"
"5";"GBPJPY_M1_UTC2";"Sell";"2020.01.24 17:49:00";"142.821";"0,01000";"2020.01.24 21:00:00";"142.933";"-0,71";"488,10";"IST";"End Of Friday (Time)";"-1,75";"0,00";"3h 11m";"";"142.821";"2020.01.21 20:00:00";"144,87100";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"27,50";"0,00"
"7";"GBPJPY_M1_UTC2";"Sell";"2020.01.30 09:30:00";"141.476";"0,01000";"2020.01.31 21:00:00";"143.003";"-9,73";"478,37";"IST";"End Of Friday (Time)";"-11,90";"1,03";"1d 11h 30m";"";"141.476";"2020.01.30 00:00:00";"143,52600";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"186,80";"16,10"
"8";"GBPJPY_M1_UTC2";"Buy";"2020.02.05 11:32:00";"143.284";"0,01000";"2020.02.05 16:31:00";"142.464";"-5,23";"473,15";"IST";"TrailingStop";"-5,23";"0,57";"4h 59m";"";"143.284";"2020.02.03 12:00:00";"141,23399";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"82,00";"8,90"
"11";"GBPJPY_M1_UTC2";"Buy";"2020.02.13 14:37:00";"143.051";"0,01000";"2020.02.14 21:00:00";"143.060";"0,06";"473,20";"IST";"End Of Friday (Time)";"-1,84";"2,70";"1d 6h 23m";"";"143.051";"2020.02.10 00:03:00";"141,00101";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"28,90";"42,40"
"13";"GBPJPY_M1_UTC2";"Buy";"2020.02.19 11:34:00";"143.475";"0,01000";"2020.02.21 21:00:00";"144.863";"8,85";"482,05";"IST";"End Of Friday (Time)";"-2,28";"9,44";"2d 9h 26m";"";"143.475";"2020.02.18 04:00:00";"141,42500";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"35,70";"148,20"
"15";"GBPJPY_M1_UTC2";"Sell";"2020.02.26 18:56:00";"142.629";"0,01000";"2020.02.28 21:00:00";"137.895";"30,17";"512,22";"IST";"End Of Friday (Time)";"-0,59";"32,10";"2d 2h 4m";"";"142.629";"2020.02.26 08:00:00";"144,67900";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"9,30";"503,70"
"16";"GBPJPY_M1_UTC2";"Sell";"2020.03.02 13:17:00";"137.384";"0,01000";"2020.03.04 20:04:00";"138.084";"-4,46";"507,76";"IST";"TrailingStop";"-7,90";"2,48";"2d 6h 47m";"";"137.384";"2020.03.02 12:00:00";"139,43401";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"124,00";"38,90"
"17";"GBPJPY_M1_UTC2";"Sell";"2020.03.06 11:47:00";"136.935";"0,01000";"2020.03.06 17:27:00";"137.517";"-3,71";"504,05";"IST";"TrailingStop";"-3,71";"2,82";"5h 40m";"";"136.935";"2020.03.05 04:00:00";"138,98500";"-100000000,00000";"Main: GBPJPY_M1_UTC2/H4";"58,20";"44,30"
