"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"4";"GBPJPY_M1_UTC2";"Sell";"2020.01.03 04:49:00";"141.809";"0,01000";"2020.01.03 20:40:00";"141.210";"3,82";"503,82";"IST";"End Of Friday (Time)";"-2,66";"4,80";"15h 51m";"";"141.809";"2020.01.02 16:00:00";"142,80901";"139,55901";"Main: GBPJPY_M1_UTC2/H4";"41,70";"75,30"
"7";"GBPJPY_M1_UTC2";"Buy";"2020.01.06 21:46:00";"142.834";"0,01000";"2020.01.08 01:22:00";"141.824";"-6,44";"497,38";"IST";"SL";"-6,44";"2,91";"1d 3h 36m";"";"142.834";"2020.01.06 08:00:00";"141,83400";"145,08400";"Main: GBPJPY_M1_UTC2/H4";"101,00";"45,70"
"57";"GBPJPY_M1_UTC2";"Buy";"2020.01.22 16:10:00";"144.603";"0,01000";"2020.01.23 16:15:00";"143.593";"-6,44";"490,94";"IST";"SL";"-6,44";"0,02";"1d 0h 5m";"";"144.603";"2020.01.22 00:00:00";"143,60300";"146,85300";"Main: GBPJPY_M1_UTC2/H4";"101,00";"0,30"
"83";"GBPJPY_M1_UTC2";"Buy";"2020.01.31 03:04:00";"143.059";"0,01000";"2020.01.31 20:40:00";"142.912";"-0,94";"490,01";"IST";"End Of Friday (Time)";"-2,44";"1,43";"17h 36m";"";"143.059";"2020.01.30 12:00:00";"142,05901";"145,30901";"Main: GBPJPY_M1_UTC2/H4";"38,30";"22,50"
"88";"GBPJPY_M1_UTC2";"Sell";"2020.02.03 12:01:00";"141.769";"0,01000";"2020.02.04 20:05:00";"142.779";"-6,44";"483,57";"IST";"SL";"-6,44";"5,03";"1d 8h 4m";"";"141.769";"2020.02.03 04:00:00";"142,76900";"139,51900";"Main: GBPJPY_M1_UTC2/H4";"101,00";"78,90"
"146";"GBPJPY_M1_UTC2";"Sell";"2020.02.24 16:54:00";"143.036";"0,01000";"2020.02.28 05:07:00";"140.786";"14,34";"497,91";"IST";"PT";"-4,72";"14,34";"3d 12h 13m";"";"143.036";"2020.02.24 08:00:00";"144,03600";"140,78600";"Main: GBPJPY_M1_UTC2/H4";"74,10";"225,00"
"165";"GBPJPY_M1_UTC2";"Sell";"2020.03.06 11:58:00";"136.583";"0,01000";"2020.03.06 17:27:00";"137.593";"-6,44";"491,47";"IST";"SL";"-6,44";"0,58";"5h 29m";"";"136.583";"2020.03.05 16:00:00";"137,58299";"134,33299";"Main: GBPJPY_M1_UTC2/H4";"101,00";"9,10"
"170";"GBPJPY_M1_UTC2";"Buy";"2020.03.10 08:05:00";"136.492";"0,01000";"2020.03.10 15:44:00";"135.482";"-6,44";"485,04";"IST";"SL";"-6,44";"4,56";"7h 39m";"";"136.492";"2020.03.10 04:00:00";"135,49200";"138,74200";"Main: GBPJPY_M1_UTC2/H4";"101,00";"71,60"
"172";"GBPJPY_M1_UTC2";"Sell";"2020.03.10 18:35:00";"134.215";"0,01000";"2020.03.10 20:34:00";"135.225";"-6,44";"478,60";"IST";"SL";"-6,44";"0,69";"1h 59m";"";"134.215";"2020.03.10 16:00:00";"135,21500";"131,96500";"Main: GBPJPY_M1_UTC2/H4";"101,00";"10,90"
"176";"GBPJPY_M1_UTC2";"Sell";"2020.03.12 04:27:00";"133.414";"0,01000";"2020.03.13 20:40:00";"133.220";"1,24";"479,84";"IST";"End Of Friday (Time)";"-6,08";"13,61";"1d 16h 13m";"";"133.414";"2020.03.11 08:00:00";"134,41400";"131,16400";"Main: GBPJPY_M1_UTC2/H4";"95,40";"213,50"
"181";"GBPJPY_M1_UTC2";"Sell";"2020.03.16 12:24:00";"130.226";"0,01000";"2020.03.16 18:20:00";"131.236";"-6,44";"473,40";"IST";"SL";"-6,44";"8,11";"5h 56m";"";"130.226";"2020.03.16 04:00:00";"131,22600";"127,97600";"Main: GBPJPY_M1_UTC2/H4";"101,00";"127,30"
"191";"GBPJPY_M1_UTC2";"Sell";"2020.03.18 14:15:00";"128.333";"0,01000";"2020.03.18 19:50:00";"126.083";"14,34";"487,74";"IST";"PT";"-0,30";"14,34";"5h 35m";"";"128.333";"2020.03.18 04:00:00";"129,33299";"126,08300";"Main: GBPJPY_M1_UTC2/H4";"4,70";"225,00"
"195";"GBPJPY_M1_UTC2";"Buy";"2020.03.19 15:26:00";"127.517";"0,01000";"2020.03.20 00:16:00";"126.507";"-6,44";"481,30";"IST";"SL";"-6,44";"13,03";"8h 50m";"";"127.517";"2020.03.19 12:00:00";"126,51700";"129,76700";"Main: GBPJPY_M1_UTC2/H4";"101,00";"204,40"
"206";"GBPJPY_M1_UTC2";"Buy";"2020.03.24 13:37:00";"130.061";"0,01000";"2020.03.25 11:27:00";"132.311";"14,34";"495,64";"IST";"PT";"-2,68";"14,34";"21h 50m";"";"130.061";"2020.03.24 04:00:00";"129,06100";"132,31100";"Main: GBPJPY_M1_UTC2/H4";"42,00";"225,00"
"214";"GBPJPY_M1_UTC2";"Buy";"2020.03.26 22:52:00";"133.550";"0,01000";"2020.03.27 04:07:00";"132.540";"-6,44";"489,20";"IST";"SL";"-6,44";"1,68";"5h 15m";"";"133.550";"2020.03.26 16:00:00";"132,55000";"135,80000";"Main: GBPJPY_M1_UTC2/H4";"101,00";"26,40"
"338";"GBPJPY_M1_UTC2";"Buy";"2020.04.30 22:10:00";"135.271";"0,01000";"2020.05.01 10:35:00";"134.261";"-6,44";"482,77";"IST";"SL";"-6,44";"1,13";"12h 25m";"";"135.271";"2020.04.30 00:00:00";"134,27100";"137,52100";"Main: GBPJPY_M1_UTC2/H4";"101,00";"17,80"
"461";"GBPJPY_M1_UTC2";"Buy";"2020.06.05 10:19:00";"138.572";"0,01000";"2020.06.05 20:40:00";"138.933";"2,30";"485,07";"IST";"End Of Friday (Time)";"-4,64";"7,40";"10h 21m";"";"138.572";"2020.06.04 16:00:00";"137,57201";"140,82201";"Main: GBPJPY_M1_UTC2/H4";"72,80";"116,10"
"464";"GBPJPY_M1_UTC2";"Sell";"2020.06.09 10:18:00";"136.937";"0,01000";"2020.06.11 19:15:00";"134.687";"14,34";"499,41";"IST";"PT";"-3,42";"14,34";"2d 8h 57m";"";"136.937";"2020.06.08 12:00:00";"137,93700";"134,68700";"Main: GBPJPY_M1_UTC2/H4";"53,70";"225,00"
"480";"GBPJPY_M1_UTC2";"Sell";"2020.06.17 17:20:00";"134.155";"0,01000";"2020.06.19 20:40:00";"132.185";"12,55";"511,96";"IST";"End Of Friday (Time)";"-3,47";"13,56";"2d 3h 20m";"";"134.155";"2020.06.16 16:00:00";"135,15500";"131,90500";"Main: GBPJPY_M1_UTC2/H4";"54,40";"212,80"
"582";"GBPJPY_M1_UTC2";"Buy";"2020.07.21 03:32:00";"135.978";"0,01000";"2020.07.24 20:40:00";"135.281";"-4,44";"507,52";"IST";"End Of Friday (Time)";"-6,27";"4,11";"3d 17h 8m";"";"135.978";"2020.07.20 08:00:00";"134,97800";"138,22800";"Main: GBPJPY_M1_UTC2/H4";"98,40";"64,50"
"696";"GBPJPY_M1_UTC2";"Buy";"2020.08.28 06:36:00";"141.657";"0,01000";"2020.08.28 11:13:00";"140.647";"-6,44";"501,08";"IST";"SL";"-6,44";"0,00";"4h 37m";"";"141.657";"2020.08.27 16:00:00";"140,65700";"143,90700";"Main: GBPJPY_M1_UTC2/H4";"101,00";"0,00"
"725";"GBPJPY_M1_UTC2";"Sell";"2020.09.07 16:27:00";"139.630";"0,01000";"2020.09.09 01:09:00";"137.380";"14,34";"515,42";"IST";"PT";"-3,17";"14,34";"1d 8h 42m";"";"139.630";"2020.09.07 04:00:00";"140,63000";"137,38000";"Main: GBPJPY_M1_UTC2/H4";"49,70";"225,00"
"736";"GBPJPY_M1_UTC2";"Sell";"2020.09.10 19:08:00";"136.223";"0,01000";"2020.09.11 20:40:00";"135.785";"2,79";"518,21";"IST";"End Of Friday (Time)";"-2,73";"3,80";"1d 1h 32m";"";"136.223";"2020.09.10 16:00:00";"137,22301";"133,97301";"Main: GBPJPY_M1_UTC2/H4";"42,80";"59,60"
"754";"GBPJPY_M1_UTC2";"Buy";"2020.09.17 17:30:00";"135.977";"0,01000";"2020.09.18 20:17:00";"134.967";"-6,44";"511,78";"IST";"SL";"-6,44";"1,14";"1d 2h 47m";"";"135.977";"2020.09.17 16:00:00";"134,97701";"138,22701";"Main: GBPJPY_M1_UTC2/H4";"101,00";"17,90"
"779";"GBPJPY_M1_UTC2";"Buy";"2020.09.28 13:11:00";"135.815";"0,01000";"2020.10.02 20:40:00";"136.315";"3,19";"514,96";"IST";"End Of Friday (Time)";"-4,89";"7,58";"4d 7h 29m";"";"135.815";"2020.09.28 08:00:00";"134,81500";"138,06500";"Main: GBPJPY_M1_UTC2/H4";"76,80";"119,00"
"815";"GBPJPY_M1_UTC2";"Sell";"2020.10.14 10:06:00";"135.940";"0,01000";"2020.10.14 15:28:00";"136.950";"-6,44";"508,53";"IST";"SL";"-6,44";"1,40";"5h 22m";"";"135.940";"2020.10.13 16:00:00";"136,94000";"133,69000";"Main: GBPJPY_M1_UTC2/H4";"101,00";"22,00"
"863";"GBPJPY_M1_UTC2";"Sell";"2020.10.28 13:02:00";"135.112";"0,01000";"2020.10.30 20:40:00";"135.515";"-2,57";"505,96";"IST";"End Of Friday (Time)";"-5,68";"4,16";"2d 7h 38m";"";"135.112";"2020.10.27 20:00:00";"136,11200";"132,86200";"Main: GBPJPY_M1_UTC2/H4";"89,20";"65,30"
"874";"GBPJPY_M1_UTC2";"Buy";"2020.11.04 00:55:00";"136.761";"0,01000";"2020.11.04 09:38:00";"135.751";"-6,44";"499,52";"IST";"SL";"-6,44";"3,93";"8h 43m";"";"136.761";"2020.11.03 08:00:00";"135,76100";"139,01100";"Main: GBPJPY_M1_UTC2/H4";"101,00";"61,70"
"893";"GBPJPY_M1_UTC2";"Buy";"2020.11.09 14:11:00";"137.416";"0,01000";"2020.11.10 12:48:00";"139.666";"14,34";"513,86";"IST";"PT";"-1,12";"14,34";"22h 37m";"";"137.416";"2020.11.09 00:00:00";"136,41600";"139,66600";"Main: GBPJPY_M1_UTC2/H4";"17,60";"225,00"
"898";"GBPJPY_M1_UTC2";"Sell";"2020.11.12 17:27:00";"138.266";"0,01000";"2020.11.13 20:40:00";"137.979";"1,83";"515,69";"IST";"End Of Friday (Time)";"-1,94";"4,26";"1d 3h 13m";"";"138.266";"2020.11.11 16:00:00";"139,26601";"136,01601";"Main: GBPJPY_M1_UTC2/H4";"30,40";"66,80"
"975";"GBPJPY_M1_UTC2";"Sell";"2020.12.07 10:27:00";"138.236";"0,01000";"2020.12.07 21:11:00";"139.246";"-6,44";"509,25";"IST";"SL";"-6,44";"1,76";"10h 44m";"";"138.236";"2020.12.07 08:00:00";"139,23599";"135,98599";"Main: GBPJPY_M1_UTC2/H4";"101,00";"27,60"
"989";"GBPJPY_M1_UTC2";"Sell";"2020.12.11 09:56:00";"138.110";"0,01000";"2020.12.11 20:40:00";"137.532";"3,68";"512,94";"IST";"End Of Friday (Time)";"-1,45";"8,06";"10h 44m";"";"138.110";"2020.12.10 08:00:00";"139,11000";"135,86000";"Main: GBPJPY_M1_UTC2/H4";"22,80";"126,50"
"1004";"GBPJPY_M1_UTC2";"Buy";"2020.12.16 15:12:00";"140.040";"0,01000";"2020.12.18 20:40:00";"139.565";"-3,03";"509,91";"IST";"End Of Friday (Time)";"-4,51";"2,58";"2d 5h 28m";"";"140.040";"2020.12.15 12:00:00";"139,03999";"142,28999";"Main: GBPJPY_M1_UTC2/H4";"70,80";"40,50"
