"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"18";"GBPUSD_M1_UTC2";"Sell";"2020.01.24 11:53:00";"1.31120";"0,01000";"2020.01.24 19:00:00";"1.30733";"3,87";"503,87";"IST";"End Of Friday (Time)";"-0,88";"5,25";"7h 7m";"";"1.31120";"2020.01.24 11:30:00";"1,31670";"1,30220";"Main: GBPUSD_M1_UTC2/M30";"8,80";"52,50"
"22";"GBPUSD_M1_UTC2";"Buy";"2020.01.30 12:05:00";"1.30268";"0,01000";"2020.01.31 09:17:00";"1.31168";"9,00";"512,87";"IST";"PT";"-1,90";"9,00";"21h 12m";"";"1.30268";"2020.01.30 10:30:00";"1,29718";"1,31168";"Main: GBPUSD_M1_UTC2/M30";"19,00";"90,00"
"66";"GBPUSD_M1_UTC2";"Sell";"2020.04.02 16:13:00";"1.23791";"0,01000";"2020.04.03 11:55:00";"1.22891";"9,00";"521,87";"IST";"PT";"-4,23";"9,00";"19h 42m";"";"1.23791";"2020.04.02 13:00:00";"1,24341";"1,22891";"Main: GBPUSD_M1_UTC2/M30";"42,30";"90,00"
"188";"GBPUSD_M1_UTC2";"Buy";"2020.08.04 18:25:00";"1.30667";"0,01000";"2020.08.05 17:14:00";"1.31567";"9,00";"530,87";"IST";"PT";"-2,19";"9,00";"22h 49m";"";"1.30667";"2020.08.04 16:00:00";"1,30117";"1,31567";"Main: GBPUSD_M1_UTC2/M30";"21,90";"90,00"
"211";"GBPUSD_M1_UTC2";"Sell";"2020.08.27 16:38:00";"1.32082";"0,01000";"2020.08.28 08:07:00";"1.32642";"-5,60";"525,27";"IST";"SL";"-5,60";"4,46";"15h 29m";"";"1.32082";"2020.08.27 16:30:00";"1,32632";"1,31182";"Main: GBPUSD_M1_UTC2/M30";"56,00";"44,60"
"232";"GBPUSD_M1_UTC2";"Buy";"2020.09.17 17:30:00";"1.29863";"0,01000";"2020.09.18 19:00:00";"1.29470";"-3,93";"521,34";"IST";"End Of Friday (Time)";"-5,42";"1,33";"1d 1h 30m";"";"1.29863";"2020.09.17 15:30:00";"1,29313";"1,30763";"Main: GBPUSD_M1_UTC2/M30";"54,20";"13,30"
"238";"GBPUSD_M1_UTC2";"Sell";"2020.09.25 12:51:00";"1.27302";"0,01000";"2020.09.25 19:00:00";"1.27087";"2,15";"523,49";"IST";"End Of Friday (Time)";"-2,41";"4,01";"6h 9m";"";"1.27302";"2020.09.25 10:30:00";"1,27852";"1,26402";"Main: GBPUSD_M1_UTC2/M30";"24,10";"40,10"
"243";"GBPUSD_M1_UTC2";"Buy";"2020.09.30 17:30:00";"1.29165";"0,01000";"2020.10.01 11:20:00";"1.28611";"-5,54";"517,95";"IST";"TrailingStop";"-5,54";"3,35";"17h 50m";"";"1.29165";"2020.09.30 15:00:00";"1,28615";"1,30065";"Main: GBPUSD_M1_UTC2/M30";"55,40";"33,50"
"332";"GBPUSD_M1_UTC2";"Sell";"2021.01.08 17:23:00";"1.35497";"0,01000";"2021.01.08 19:00:00";"1.35862";"-3,65";"514,30";"IST";"End Of Friday (Time)";"-5,25";"0,00";"1h 37m";"";"1.35497";"2021.01.08 16:30:00";"1,36047";"1,34597";"Main: GBPUSD_M1_UTC2/M30";"52,50";"0,00"
"355";"GBPUSD_M1_UTC2";"Buy";"2021.01.26 17:43:00";"1.37389";"0,01000";"2021.01.27 15:36:00";"1.36829";"-5,60";"508,70";"IST";"SL";"-5,60";"1,96";"21h 53m";"";"1.37389";"2021.01.26 12:30:00";"1,36839";"1,38289";"Main: GBPUSD_M1_UTC2/M30";"56,00";"19,60"
"360";"GBPUSD_M1_UTC2";"Buy";"2021.02.04 15:37:00";"1.36891";"0,01000";"2021.02.05 19:00:00";"1.37125";"2,34";"511,04";"IST";"End Of Friday (Time)";"-3,85";"5,06";"1d 3h 23m";"";"1.36891";"2021.02.04 14:00:00";"1,36341";"1,37791";"Main: GBPUSD_M1_UTC2/M30";"38,50";"50,60"
"433";"GBPUSD_M1_UTC2";"Buy";"2021.04.16 13:10:00";"1.37849";"0,01000";"2021.04.16 19:00:00";"1.38235";"3,86";"514,90";"IST";"End Of Friday (Time)";"-0,84";"4,17";"5h 50m";"";"1.37849";"2021.04.16 10:00:00";"1,37299";"1,38749";"Main: GBPUSD_M1_UTC2/M30";"8,40";"41,70"
"438";"GBPUSD_M1_UTC2";"Sell";"2021.04.22 15:47:00";"1.38616";"0,01000";"2021.04.23 19:00:00";"1.38473";"1,43";"516,33";"IST";"End Of Friday (Time)";"-3,66";"3,52";"1d 3h 13m";"";"1.38616";"2021.04.22 12:00:00";"1,39166";"1,37716";"Main: GBPUSD_M1_UTC2/M30";"36,60";"35,20"
