"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"99";"GBPUSD_M1_UTC2";"Buy";"2020.07.23 18:36:00";"1.27576";"0,01000";"2020.07.24 19:00:00";"1.27881";"3,05";"503,05";"IST";"End Of Friday (Time)";"-4,08";"3,72";"1d 0h 24m";"";"1.27576";"2020.07.23 16:00:00";"1,26976";"1,29476";"Main: GBPUSD_M1_UTC2/H1";"40,80";"37,20"
"163";"GBPUSD_M1_UTC2";"Sell";"2020.12.10 00:23:00";"1.33270";"0,01000";"2020.12.10 02:39:00";"1.33880";"-6,10";"496,95";"IST";"SL";"-6,10";"0,05";"2h 16m";"";"1.33270";"2020.12.09 12:00:00";"1,33870";"1,31370";"Main: GBPUSD_M1_UTC2/H1";"61,00";"0,50"
"186";"GBPUSD_M1_UTC2";"Buy";"2021.01.26 16:10:00";"1.37201";"0,01000";"2021.01.27 15:37:00";"1.36823";"-3,78";"493,17";"IST";"TrailingStop";"-3,78";"3,84";"23h 27m";"";"1.37201";"2021.01.26 10:00:00";"1,36601";"1,39101";"Main: GBPUSD_M1_UTC2/H1";"37,80";"38,40"
"191";"GBPUSD_M1_UTC2";"Buy";"2021.02.04 15:36:00";"1.36860";"0,01000";"2021.02.05 19:00:00";"1.37125";"2,65";"495,82";"IST";"End Of Friday (Time)";"-3,54";"5,37";"1d 3h 24m";"";"1.36860";"2021.02.04 10:00:00";"1,36260";"1,38760";"Main: GBPUSD_M1_UTC2/H1";"35,40";"53,70"
"192";"GBPUSD_M1_UTC2";"Buy";"2021.02.09 04:25:00";"1.37757";"0,01000";"2021.02.12 10:47:00";"1.37834";"0,77";"496,59";"IST";"TrailingStop";"-1,48";"9,01";"3d 6h 22m";"";"1.37757";"2021.02.08 14:00:00";"1,37157";"1,39657";"Main: GBPUSD_M1_UTC2/H1";"14,80";"90,10"
"195";"GBPUSD_M1_UTC2";"Sell";"2021.02.16 15:33:00";"1.38923";"0,01000";"2021.02.18 11:01:00";"1.39197";"-2,74";"493,85";"IST";"TrailingStop";"-4,48";"5,99";"1d 19h 28m";"";"1.38923";"2021.02.16 05:00:00";"1,39523";"1,37023";"Main: GBPUSD_M1_UTC2/H1";"44,80";"59,90"
"199";"GBPUSD_M1_UTC2";"Sell";"2021.02.24 18:28:00";"1.40898";"0,01000";"2021.02.25 01:56:00";"1.41508";"-6,10";"487,75";"IST";"SL";"-6,10";"0,49";"7h 28m";"";"1.40898";"2021.02.24 04:00:00";"1,41498";"1,38998";"Main: GBPUSD_M1_UTC2/H1";"61,00";"4,90"
"214";"GBPUSD_M1_UTC2";"Sell";"2021.03.29 21:24:00";"1.37628";"0,01000";"2021.03.31 11:55:00";"1.37841";"-2,13";"485,62";"IST";"TrailingStop";"-2,33";"5,40";"1d 14h 31m";"";"1.37628";"2021.03.29 15:00:00";"1,38228";"1,35728";"Main: GBPUSD_M1_UTC2/H1";"23,30";"54,00"
"222";"GBPUSD_M1_UTC2";"Buy";"2021.04.16 13:13:00";"1.37881";"0,01000";"2021.04.16 19:00:00";"1.38235";"3,54";"489,16";"IST";"End Of Friday (Time)";"-1,16";"3,85";"5h 47m";"";"1.37881";"2021.04.16 10:00:00";"1,37281";"1,39781";"Main: GBPUSD_M1_UTC2/H1";"11,60";"38,50"
"240";"GBPUSD_M1_UTC2";"Sell";"2021.05.25 16:33:00";"1.41230";"0,01000";"2021.05.27 14:13:00";"1.41752";"-5,22";"483,94";"IST";"TrailingStop";"-5,58";"2,87";"1d 21h 40m";"";"1.41230";"2021.05.25 10:00:00";"1,41830";"1,39330";"Main: GBPUSD_M1_UTC2/H1";"55,80";"28,70"
"253";"GBPUSD_M1_UTC2";"Sell";"2021.06.16 21:13:00";"1.40333";"0,01000";"2021.06.18 16:36:00";"1.38433";"19,00";"502,94";"IST";"PT";"-0,90";"19,00";"1d 19h 23m";"";"1.40333";"2021.06.16 11:00:00";"1,40933";"1,38433";"Main: GBPUSD_M1_UTC2/H1";"9,00";"190,00"
"263";"GBPUSD_M1_UTC2";"Sell";"2021.07.06 17:25:00";"1.38098";"0,01000";"2021.07.09 15:12:00";"1.38341";"-2,43";"500,51";"IST";"TrailingStop";"-3,46";"6,54";"2d 21h 47m";"";"1.38098";"2021.07.06 07:00:00";"1,38698";"1,36198";"Main: GBPUSD_M1_UTC2/H1";"34,60";"65,40"
"291";"GBPUSD_M1_UTC2";"Sell";"2021.08.31 18:04:00";"1.37537";"0,01000";"2021.09.02 16:44:00";"1.38091";"-5,54";"494,97";"IST";"TrailingStop";"-5,54";"1,98";"1d 22h 40m";"";"1.37537";"2021.08.31 09:00:00";"1,38137";"1,35637";"Main: GBPUSD_M1_UTC2/H1";"55,40";"19,80"
"299";"GBPUSD_M1_UTC2";"Sell";"2021.09.14 21:35:00";"1.38175";"0,01000";"2021.09.17 19:00:00";"1.37583";"5,92";"500,89";"IST";"End Of Friday (Time)";"-3,91";"7,36";"2d 21h 25m";"";"1.38175";"2021.09.14 11:00:00";"1,38775";"1,36275";"Main: GBPUSD_M1_UTC2/H1";"39,10";"73,60"
