"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"132";"GBPUSD_M1_UTC2";"Sell";"2020.01.09 11:52:00";"1.30248";"0,01000";"2020.01.09 15:48:00";"1.30598";"-3,50";"496,50";"IST";"SL";"-3,50";"0,92";"3h 56m";"";"1.30248";"2020.01.09 11:00:00";"1,30598";"1,27618";"Main: GBPUSD_M1_UTC2/H1";"35,00";"9,20"
"900";"GBPUSD_M1_UTC2";"Buy";"2020.02.25 11:55:00";"1.29969";"0,01000";"2020.02.25 13:15:00";"1.29619";"-3,50";"493,00";"IST";"SL";"-3,50";"0,00";"1h 20m";"";"1.29969";"2020.02.24 15:00:00";"1,29619";"1,32599";"Main: GBPUSD_M1_UTC2/H1";"35,00";"0,00"
"971";"GBPUSD_M1_UTC2";"Sell";"2020.02.28 17:53:00";"1.28030";"0,01000";"2020.03.02 05:46:00";"1.28380";"-3,50";"489,50";"IST";"SL";"-3,50";"7,45";"2d 11h 53m";"";"1.28030";"2020.02.27 16:00:00";"1,28380";"1,25400";"Main: GBPUSD_M1_UTC2/H1";"35,00";"74,50"
"1051";"GBPUSD_M1_UTC2";"Buy";"2020.03.04 19:26:00";"1.28567";"0,01000";"2020.03.05 16:00:00";"1.29184";"6,17";"495,67";"IST";"Exit After X Bars";"-1,79";"7,94";"20h 34m";"";"1.28567";"2020.03.04 12:00:00";"1,28217";"1,31197";"Main: GBPUSD_M1_UTC2/H1";"17,90";"79,40"
"1523";"GBPUSD_M1_UTC2";"Buy";"2020.04.02 13:23:00";"1.24713";"0,01000";"2020.04.02 14:01:00";"1.24363";"-3,50";"492,17";"IST";"SL";"-3,50";"0,38";"38m 0s";"";"1.24713";"2020.04.02 01:00:00";"1,24363";"1,27343";"Main: GBPUSD_M1_UTC2/H1";"35,00";"3,80"
"1917";"GBPUSD_M1_UTC2";"Buy";"2020.04.27 04:31:00";"1.23894";"0,01000";"2020.04.28 01:00:00";"1.24264";"3,70";"495,87";"IST";"Exit After X Bars";"-0,92";"6,49";"20h 29m";"";"1.23894";"2020.04.24 12:00:00";"1,23544";"1,26524";"Main: GBPUSD_M1_UTC2/H1";"9,20";"64,90"
"1982";"GBPUSD_M1_UTC2";"Buy";"2020.04.30 17:31:00";"1.25405";"0,01000";"2020.05.01 14:00:00";"1.25523";"1,18";"497,05";"IST";"Exit After X Bars";"-0,73";"10,24";"20h 29m";"";"1.25405";"2020.04.30 02:00:00";"1,25055";"1,28035";"Main: GBPUSD_M1_UTC2/H1";"7,30";"102,40"
"2406";"GBPUSD_M1_UTC2";"Sell";"2020.05.27 16:53:00";"1.22458";"0,01000";"2020.05.28 09:16:00";"1.22808";"-3,50";"493,55";"IST";"SL";"-3,50";"3,85";"16h 23m";"";"1.22458";"2020.05.26 15:00:00";"1,22808";"1,19828";"Main: GBPUSD_M1_UTC2/H1";"35,00";"38,50"
"2571";"GBPUSD_M1_UTC2";"Buy";"2020.06.05 10:19:00";"1.26686";"0,01000";"2020.06.05 11:52:00";"1.26336";"-3,50";"490,05";"IST";"SL";"-3,50";"2,17";"1h 33m";"";"1.26686";"2020.06.05 05:00:00";"1,26336";"1,29316";"Main: GBPUSD_M1_UTC2/H1";"35,00";"21,70"
"2677";"GBPUSD_M1_UTC2";"Sell";"2020.06.12 03:11:00";"1.25591";"0,01000";"2020.06.12 08:49:00";"1.25941";"-3,50";"486,55";"IST";"SL";"-3,50";"1,12";"5h 38m";"";"1.25591";"2020.06.11 16:00:00";"1,25941";"1,22961";"Main: GBPUSD_M1_UTC2/H1";"35,00";"11,20"
"3268";"GBPUSD_M1_UTC2";"Buy";"2020.07.16 18:38:00";"1.26171";"0,01000";"2020.07.16 20:07:00";"1.25821";"-3,50";"483,05";"IST";"SL";"-3,50";"0,77";"1h 29m";"";"1.26171";"2020.07.16 12:00:00";"1,25821";"1,28801";"Main: GBPUSD_M1_UTC2/H1";"35,00";"7,70"
"3586";"GBPUSD_M1_UTC2";"Buy";"2020.08.05 16:42:00";"1.31536";"0,01000";"2020.08.05 19:39:00";"1.31186";"-3,50";"479,55";"IST";"SL";"-3,50";"0,76";"2h 57m";"";"1.31536";"2020.08.04 20:00:00";"1,31186";"1,34166";"Main: GBPUSD_M1_UTC2/H1";"35,00";"7,60"
"3963";"GBPUSD_M1_UTC2";"Buy";"2020.08.26 17:23:00";"1.32014";"0,01000";"2020.08.27 14:00:00";"1.31828";"-1,86";"477,69";"IST";"Exit After X Bars";"-2,10";"2,80";"20h 37m";"";"1.32014";"2020.08.26 16:00:00";"1,31664";"1,34644";"Main: GBPUSD_M1_UTC2/H1";"21,00";"28,00"
"4368";"GBPUSD_M1_UTC2";"Sell";"2020.09.21 10:54:00";"1.29001";"0,01000";"2020.09.22 07:00:00";"1.28236";"7,65";"485,34";"IST";"Exit After X Bars";"-0,67";"12,21";"20h 6m";"";"1.29001";"2020.09.21 10:00:00";"1,29351";"1,26371";"Main: GBPUSD_M1_UTC2/H1";"6,70";"122,10"
"4543";"GBPUSD_M1_UTC2";"Buy";"2020.10.01 14:16:00";"1.29199";"0,01000";"2020.10.01 16:46:00";"1.28849";"-3,50";"481,84";"IST";"SL";"-3,50";"5,83";"2h 30m";"";"1.29199";"2020.10.01 14:00:00";"1,28849";"1,31829";"Main: GBPUSD_M1_UTC2/H1";"35,00";"58,30"
"4601";"GBPUSD_M1_UTC2";"Sell";"2020.10.06 21:55:00";"1.28935";"0,01000";"2020.10.06 22:34:00";"1.29285";"-3,50";"478,34";"IST";"SL";"-3,50";"0,52";"39m 0s";"";"1.28935";"2020.10.06 02:00:00";"1,29285";"1,26305";"Main: GBPUSD_M1_UTC2/H1";"35,00";"5,20"
"4637";"GBPUSD_M1_UTC2";"Buy";"2020.10.08 11:15:00";"1.29664";"0,01000";"2020.10.08 12:38:00";"1.29314";"-3,50";"474,84";"IST";"SL";"-3,50";"0,36";"1h 23m";"";"1.29664";"2020.10.07 15:00:00";"1,29314";"1,32294";"Main: GBPUSD_M1_UTC2/H1";"35,00";"3,60"
"4847";"GBPUSD_M1_UTC2";"Buy";"2020.10.21 10:14:00";"1.30175";"0,01000";"2020.10.22 07:00:00";"1.31246";"10,71";"485,55";"IST";"Exit After X Bars";"-1,64";"15,91";"20h 46m";"";"1.30175";"2020.10.20 10:00:00";"1,29825";"1,32805";"Main: GBPUSD_M1_UTC2/H1";"16,40";"159,10"
"5048";"GBPUSD_M1_UTC2";"Buy";"2020.11.03 16:52:00";"1.30215";"0,01000";"2020.11.04 04:24:00";"1.29865";"-3,50";"482,05";"IST";"SL";"-3,50";"11,82";"11h 32m";"";"1.30215";"2020.11.02 16:00:00";"1,29865";"1,32845";"Main: GBPUSD_M1_UTC2/H1";"35,00";"118,20"
"5072";"GBPUSD_M1_UTC2";"Sell";"2020.11.04 04:43:00";"1.29375";"0,01000";"2020.11.04 04:47:00";"1.29725";"-3,50";"478,55";"IST";"SL";"-3,50";"0,11";"4m 0s";"";"1.29375";"2020.11.03 16:00:00";"1,29725";"1,26745";"Main: GBPUSD_M1_UTC2/H1";"35,00";"1,10"
"5395";"GBPUSD_M1_UTC2";"Sell";"2020.11.23 17:57:00";"1.32973";"0,01000";"2020.11.23 22:05:00";"1.33323";"-3,50";"475,05";"IST";"SL";"-3,50";"3,10";"4h 8m";"";"1.32973";"2020.11.23 15:00:00";"1,33323";"1,30343";"Main: GBPUSD_M1_UTC2/H1";"35,00";"31,00"
"5489";"GBPUSD_M1_UTC2";"Sell";"2020.11.27 18:48:00";"1.32970";"0,01000";"2020.11.30 00:00:00";"1.33320";"-3,50";"471,55";"IST";"SL";"-3,50";"0,65";"2d 5h 12m";"";"1.32970";"2020.11.27 18:00:00";"1,33320";"1,30340";"Main: GBPUSD_M1_UTC2/H1";"35,00";"6,50"
"5524";"GBPUSD_M1_UTC2";"Sell";"2020.12.01 11:41:00";"1.33525";"0,01000";"2020.12.01 18:06:00";"1.33875";"-3,50";"468,05";"IST";"SL";"-3,50";"3,42";"6h 25m";"";"1.33525";"2020.12.01 11:00:00";"1,33875";"1,30895";"Main: GBPUSD_M1_UTC2/H1";"35,00";"34,20"
"6827";"GBPUSD_M1_UTC2";"Buy";"2021.02.18 10:43:00";"1.39094";"0,01000";"2021.02.19 07:00:00";"1.39642";"5,48";"473,53";"IST";"Exit After X Bars";"-0,47";"7,65";"20h 17m";"";"1.39094";"2021.02.17 16:00:00";"1,38744";"1,41724";"Main: GBPUSD_M1_UTC2/H1";"4,70";"76,50"
"6913";"GBPUSD_M1_UTC2";"Buy";"2021.02.24 03:23:00";"1.42310";"0,01000";"2021.02.24 03:25:00";"1.41960";"-3,50";"470,03";"IST";"SL";"-3,50";"1,05";"2m 0s";"";"1.42310";"2021.02.24 03:00:00";"1,41960";"1,44940";"Main: GBPUSD_M1_UTC2/H1";"35,00";"10,50"
"6956";"GBPUSD_M1_UTC2";"Sell";"2021.02.26 06:53:00";"1.39476";"0,01000";"2021.02.26 17:56:00";"1.39826";"-3,50";"466,53";"IST";"SL";"-3,50";"5,70";"11h 3m";"";"1.39476";"2021.02.25 22:00:00";"1,39826";"1,36846";"Main: GBPUSD_M1_UTC2/H1";"35,00";"57,00"
"7062";"GBPUSD_M1_UTC2";"Sell";"2021.03.04 19:56:00";"1.39288";"0,01000";"2021.03.05 16:00:00";"1.38284";"10,04";"476,57";"IST";"Exit After X Bars";"-1,23";"14,74";"20h 4m";"";"1.39288";"2021.03.04 19:00:00";"1,39638";"1,36658";"Main: GBPUSD_M1_UTC2/H1";"12,30";"147,40"
"7241";"GBPUSD_M1_UTC2";"Buy";"2021.03.18 03:21:00";"1.39804";"0,01000";"2021.03.18 05:06:00";"1.39454";"-3,50";"473,07";"IST";"SL";"-3,50";"0,00";"1h 45m";"";"1.39804";"2021.03.17 03:00:00";"1,39454";"1,42434";"Main: GBPUSD_M1_UTC2/H1";"35,00";"0,00"
"7549";"GBPUSD_M1_UTC2";"Buy";"2021.04.05 16:57:00";"1.39031";"0,01000";"2021.04.06 11:09:00";"1.38681";"-3,50";"469,57";"IST";"SL";"-3,50";"1,55";"18h 12m";"";"1.39031";"2021.04.05 01:00:00";"1,38681";"1,41661";"Main: GBPUSD_M1_UTC2/H1";"35,00";"15,50"
"7658";"GBPUSD_M1_UTC2";"Buy";"2021.04.12 13:46:00";"1.37639";"0,01000";"2021.04.13 07:52:00";"1.37289";"-3,50";"466,07";"IST";"SL";"-3,50";"1,27";"18h 6m";"";"1.37639";"2021.04.12 09:00:00";"1,37289";"1,40269";"Main: GBPUSD_M1_UTC2/H1";"35,00";"12,70"
"7736";"GBPUSD_M1_UTC2";"Sell";"2021.04.16 09:58:00";"1.37244";"0,01000";"2021.04.16 10:57:00";"1.37594";"-3,50";"462,57";"IST";"SL";"-3,50";"0,55";"59m 0s";"";"1.37244";"2021.04.16 09:00:00";"1,37594";"1,34614";"Main: GBPUSD_M1_UTC2/H1";"35,00";"5,50"
"8076";"GBPUSD_M1_UTC2";"Sell";"2021.05.06 14:02:00";"1.38593";"0,01000";"2021.05.06 14:03:00";"1.38943";"-3,50";"459,07";"IST";"SL";"-3,50";"0,00";"1m 0s";"";"1.38593";"2021.05.06 14:00:00";"1,38943";"1,35963";"Main: GBPUSD_M1_UTC2/H1";"35,00";"0,00"
"8102";"GBPUSD_M1_UTC2";"Sell";"2021.05.07 16:07:00";"1.39233";"0,01000";"2021.05.07 17:11:00";"1.39583";"-3,50";"455,57";"IST";"SL";"-3,50";"0,22";"1h 4m";"";"1.39233";"2021.05.07 16:00:00";"1,39583";"1,36603";"Main: GBPUSD_M1_UTC2/H1";"35,00";"2,20"
"8303";"GBPUSD_M1_UTC2";"Buy";"2021.05.21 01:15:00";"1.41965";"0,01000";"2021.05.21 17:38:00";"1.41615";"-3,50";"452,07";"IST";"SL";"-3,50";"3,71";"16h 23m";"";"1.41965";"2021.05.20 02:00:00";"1,41615";"1,44595";"Main: GBPUSD_M1_UTC2/H1";"35,00";"37,10"
"8636";"GBPUSD_M1_UTC2";"Sell";"2021.06.09 15:57:00";"1.41388";"0,01000";"2021.06.10 12:00:00";"1.40906";"4,82";"456,89";"IST";"Exit After X Bars";"-2,37";"6,28";"20h 3m";"";"1.41388";"2021.06.09 15:00:00";"1,41738";"1,38758";"Main: GBPUSD_M1_UTC2/H1";"23,70";"62,80"
"8741";"GBPUSD_M1_UTC2";"Sell";"2021.06.16 21:00:00";"1.40645";"0,01000";"2021.06.17 18:00:00";"1.39526";"11,19";"468,08";"IST";"Exit After X Bars";"-0,04";"14,17";"21h 0m";"";"1.40645";"2021.06.16 21:00:00";"1,40995";"1,38015";"Main: GBPUSD_M1_UTC2/H1";"0,40";"141,70"
"9044";"GBPUSD_M1_UTC2";"Sell";"2021.07.06 18:13:00";"1.37943";"0,01000";"2021.07.07 14:06:00";"1.38293";"-3,50";"464,58";"IST";"SL";"-3,50";"1,86";"19h 53m";"";"1.37943";"2021.07.06 09:00:00";"1,38293";"1,35313";"Main: GBPUSD_M1_UTC2/H1";"35,00";"18,60"
"9372";"GBPUSD_M1_UTC2";"Buy";"2021.07.27 18:00:00";"1.38873";"0,01000";"2021.07.28 15:00:00";"1.38793";"-0,80";"463,78";"IST";"Exit After X Bars";"-2,56";"0,76";"21h 0m";"";"1.38873";"2021.07.26 21:00:00";"1,38523";"1,41503";"Main: GBPUSD_M1_UTC2/H1";"25,60";"7,60"
"9515";"GBPUSD_M1_UTC2";"Sell";"2021.08.04 17:24:00";"1.39119";"0,01000";"2021.08.05 14:00:00";"1.39246";"-1,27";"462,51";"IST";"Exit After X Bars";"-1,98";"3,70";"20h 36m";"";"1.39119";"2021.08.04 17:00:00";"1,39469";"1,36489";"Main: GBPUSD_M1_UTC2/H1";"19,80";"37,00"
"10338";"GBPUSD_M1_UTC2";"Buy";"2021.09.23 14:30:00";"1.37123";"0,01000";"2021.09.24 11:00:00";"1.37085";"-0,38";"462,13";"IST";"Exit After X Bars";"-1,00";"3,82";"20h 30m";"";"1.37123";"2021.09.22 21:00:00";"1,36773";"1,39753";"Main: GBPUSD_M1_UTC2/H1";"10,00";"38,20"
"10407";"GBPUSD_M1_UTC2";"Sell";"2021.09.28 15:42:00";"1.35309";"0,01000";"2021.09.29 12:00:00";"1.35049";"2,60";"464,73";"IST";"Exit After X Bars";"-3,38";"2,82";"20h 18m";"";"1.35309";"2021.09.28 15:00:00";"1,35659";"1,32679";"Main: GBPUSD_M1_UTC2/H1";"33,80";"28,20"
