"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"264";"GBPUSD_M1_UTC2";"Sell";"2020.01.09 11:52:00";"1.30220";"0,01000";"2020.01.09 15:47:00";"1.30580";"-3,60";"496,40";"IST";"SL";"-3,60";"0,64";"3h 55m";"";"1.30220";"2020.01.09 11:00:00";"1,30580";"1,27670";"Main: GBPUSD_M1_UTC2/H1";"36,00";"6,40"
"979";"GBPUSD_M1_UTC2";"Buy";"2020.01.30 13:59:00";"1.30668";"0,01000";"2020.01.30 19:00:00";"1.31058";"3,90";"500,30";"IST";"Exit After X Bars";"-1,17";"4,31";"5h 1m";"";"1.30668";"2020.01.30 13:00:00";"1,30308";"1,33218";"Main: GBPUSD_M1_UTC2/H1";"11,70";"43,10"
"1449";"GBPUSD_M1_UTC2";"Buy";"2020.02.13 14:38:00";"1.30442";"0,01000";"2020.02.13 20:00:00";"1.30562";"1,20";"501,50";"IST";"Exit After X Bars";"-3,08";"2,51";"5h 22m";"";"1.30442";"2020.02.13 14:00:00";"1,30082";"1,32992";"Main: GBPUSD_M1_UTC2/H1";"30,80";"25,10"
"4083";"GBPUSD_M1_UTC2";"Buy";"2020.04.30 17:47:00";"1.25702";"0,01000";"2020.04.30 23:00:00";"1.25933";"2,31";"503,81";"IST";"Exit After X Bars";"-0,90";"7,27";"5h 13m";"";"1.25702";"2020.04.30 17:00:00";"1,25342";"1,28252";"Main: GBPUSD_M1_UTC2/H1";"9,00";"72,70"
"9195";"GBPUSD_M1_UTC2";"Buy";"2020.09.28 11:43:00";"1.28451";"0,01000";"2020.09.28 17:00:00";"1.28677";"2,26";"506,07";"IST";"Exit After X Bars";"-2,28";"8,47";"5h 17m";"";"1.28451";"2020.09.28 11:00:00";"1,28091";"1,31001";"Main: GBPUSD_M1_UTC2/H1";"22,80";"84,70"
"9333";"GBPUSD_M1_UTC2";"Buy";"2020.10.01 14:28:00";"1.29342";"0,01000";"2020.10.01 16:05:00";"1.28982";"-3,60";"502,47";"IST";"SL";"-3,60";"4,40";"1h 37m";"";"1.29342";"2020.10.01 14:00:00";"1,28982";"1,31892";"Main: GBPUSD_M1_UTC2/H1";"36,00";"44,00"
"10458";"GBPUSD_M1_UTC2";"Sell";"2020.11.04 02:59:00";"1.30148";"0,01000";"2020.11.04 03:04:00";"1.30508";"-3,60";"498,87";"IST";"SL";"-3,60";"1,33";"5m 0s";"";"1.30148";"2020.11.04 02:00:00";"1,30508";"1,27598";"Main: GBPUSD_M1_UTC2/H1";"36,00";"13,30"
"11304";"GBPUSD_M1_UTC2";"Sell";"2020.11.27 18:48:00";"1.32996";"0,01000";"2020.11.30 00:00:00";"1.33340";"-3,44";"495,43";"IST";"Exit After X Bars";"-3,44";"0,91";"2d 5h 12m";"";"1.32996";"2020.11.27 18:00:00";"1,33356";"1,30446";"Main: GBPUSD_M1_UTC2/H1";"34,40";"9,10"
"11338";"GBPUSD_M1_UTC2";"Sell";"2020.11.30 17:49:00";"1.33204";"0,01000";"2020.11.30 18:01:00";"1.33564";"-3,60";"491,83";"IST";"SL";"-3,60";"0,02";"12m 0s";"";"1.33204";"2020.11.30 17:00:00";"1,33564";"1,30654";"Main: GBPUSD_M1_UTC2/H1";"36,00";"0,20"
"11385";"GBPUSD_M1_UTC2";"Buy";"2020.12.01 18:07:00";"1.34042";"0,01000";"2020.12.02 00:00:00";"1.34199";"1,57";"493,40";"IST";"Exit After X Bars";"-1,61";"3,78";"5h 53m";"";"1.34042";"2020.12.01 18:00:00";"1,33682";"1,36592";"Main: GBPUSD_M1_UTC2/H1";"16,10";"37,80"
"11550";"GBPUSD_M1_UTC2";"Sell";"2020.12.07 10:27:00";"1.32756";"0,01000";"2020.12.07 15:50:00";"1.33116";"-3,60";"489,80";"IST";"SL";"-3,60";"4,83";"5h 23m";"";"1.32756";"2020.12.07 10:00:00";"1,33116";"1,30206";"Main: GBPUSD_M1_UTC2/H1";"36,00";"48,30"
