"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"1";"GBPUSD_M1_UTC2";"Sell";"2020.01.03 11:58:00";"1.30691";"0,01000";"2020.01.03 21:00:00";"1.30881";"-1,90";"498,10";"IST";"End Of Friday (Time)";"-4,32";"1,30";"9h 2m";"";"1.30691";"2020.01.02 00:02:00";"1,31391";"1,29391";"Main: GBPUSD_M1_UTC2/H1";"43,20";"13,00"
"11";"GBPUSD_M1_UTC2";"Sell";"2020.01.09 11:45:00";"1.30327";"0,01000";"2020.01.10 21:00:00";"1.30589";"-2,62";"495,48";"IST";"End Of Friday (Time)";"-6,71";"1,71";"1d 9h 15m";"";"1.30327";"2020.01.06 19:00:00";"1,31027";"1,29027";"Main: GBPUSD_M1_UTC2/H1";"67,10";"17,10"
"17";"GBPUSD_M1_UTC2";"Buy";"2020.01.21 12:03:00";"1.30494";"0,01000";"2020.01.24 21:00:00";"1.30751";"2,57";"498,05";"IST";"End Of Friday (Time)";"-1,51";"12,45";"3d 8h 57m";"";"1.30494";"2020.01.20 10:00:00";"1,29794";"1,31794";"Main: GBPUSD_M1_UTC2/H1";"15,10";"124,50"
"22";"GBPUSD_M1_UTC2";"Buy";"2020.01.30 14:00:00";"1.30837";"0,01000";"2020.01.31 21:00:00";"1.31832";"9,95";"508,00";"IST";"End Of Friday (Time)";"-2,72";"11,59";"1d 7h 0m";"";"1.30837";"2020.01.28 16:00:00";"1,30137";"1,32137";"Main: GBPUSD_M1_UTC2/H1";"27,20";"115,90"
"26";"GBPUSD_M1_UTC2";"Buy";"2020.02.05 10:47:00";"1.30549";"0,01000";"2020.02.05 16:24:00";"1.29839";"-7,10";"500,90";"IST";"SL";"-7,10";"1,48";"5h 37m";"";"1.30549";"2020.02.04 10:00:00";"1,29849";"1,31849";"Main: GBPUSD_M1_UTC2/H1";"71,00";"14,80"
"45";"GBPUSD_M1_UTC2";"Sell";"2020.02.19 11:15:00";"1.29766";"0,01000";"2020.02.21 21:00:00";"1.29824";"-0,58";"500,32";"IST";"End Of Friday (Time)";"-4,93";"12,48";"2d 9h 45m";"";"1.29766";"2020.02.18 14:00:00";"1,30466";"1,28466";"Main: GBPUSD_M1_UTC2/H1";"49,30";"124,80"
"47";"GBPUSD_M1_UTC2";"Buy";"2020.02.25 11:41:00";"1.29908";"0,01000";"2020.02.26 14:29:00";"1.29198";"-7,10";"493,22";"IST";"SL";"-7,10";"2,71";"1d 2h 48m";"";"1.29908";"2020.02.24 16:00:00";"1,29208";"1,31208";"Main: GBPUSD_M1_UTC2/H1";"71,00";"27,10"
"48";"GBPUSD_M1_UTC2";"Sell";"2020.02.26 20:49:00";"1.29011";"0,01000";"2020.02.28 17:58:00";"1.27711";"13,00";"506,22";"IST";"PT";"-4,81";"13,00";"1d 21h 9m";"";"1.29011";"2020.02.25 11:00:00";"1,29711";"1,27711";"Main: GBPUSD_M1_UTC2/H1";"48,10";"130,00"
"64";"GBPUSD_M1_UTC2";"Sell";"2020.03.10 18:54:00";"1.29686";"0,01000";"2020.03.11 10:01:00";"1.28386";"13,00";"519,22";"IST";"PT";"0,00";"13,00";"15h 7m";"";"1.29686";"2020.03.09 11:00:00";"1,30386";"1,28386";"Main: GBPUSD_M1_UTC2/H1";"0,00";"130,00"
"82";"GBPUSD_M1_UTC2";"Sell";"2020.03.25 18:24:00";"1.16782";"0,01000";"2020.03.25 18:57:00";"1.17492";"-7,10";"512,12";"IST";"SL";"-7,10";"3,69";"33m 0s";"";"1.16782";"2020.03.25 13:00:00";"1,17482";"1,15482";"Main: GBPUSD_M1_UTC2/H1";"71,00";"36,90"
"105";"GBPUSD_M1_UTC2";"Sell";"2020.04.15 13:35:00";"1.24979";"0,01000";"2020.04.15 21:22:00";"1.25689";"-7,10";"505,02";"IST";"SL";"-7,10";"5,84";"7h 47m";"";"1.24979";"2020.04.14 21:00:00";"1,25679";"1,23679";"Main: GBPUSD_M1_UTC2/H1";"71,00";"58,40"
"125";"GBPUSD_M1_UTC2";"Buy";"2020.04.30 12:24:00";"1.24930";"0,01000";"2020.04.30 18:01:00";"1.26230";"13,00";"518,02";"IST";"PT";"-1,78";"13,00";"5h 37m";"";"1.24930";"2020.04.29 15:00:00";"1,24230";"1,26230";"Main: GBPUSD_M1_UTC2/H1";"17,80";"130,00"
"140";"GBPUSD_M1_UTC2";"Buy";"2020.05.08 17:25:00";"1.24416";"0,01000";"2020.05.08 21:00:00";"1.24164";"-2,52";"515,50";"IST";"End Of Friday (Time)";"-2,68";"2,51";"3h 35m";"";"1.24416";"2020.05.07 04:00:00";"1,23716";"1,25716";"Main: GBPUSD_M1_UTC2/H1";"26,80";"25,10"
"143";"GBPUSD_M1_UTC2";"Buy";"2020.05.19 09:32:00";"1.22644";"0,01000";"2020.05.21 05:07:00";"1.21934";"-7,10";"508,40";"IST";"SL";"-7,10";"3,17";"1d 19h 35m";"";"1.22644";"2020.05.18 00:00:00";"1,21944";"1,23944";"Main: GBPUSD_M1_UTC2/H1";"71,00";"31,70"
"164";"GBPUSD_M1_UTC2";"Buy";"2020.05.29 14:52:00";"1.23683";"0,01000";"2020.05.29 19:17:00";"1.22973";"-7,10";"501,30";"IST";"SL";"-7,10";"2,56";"4h 25m";"";"1.23683";"2020.05.27 18:00:00";"1,22983";"1,24983";"Main: GBPUSD_M1_UTC2/H1";"71,00";"25,60"
