"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"27";"GBPUSD_M1_UTC2";"Sell";"2020.04.02 16:14:00";"1.23744";"0,01000";"2020.04.03 19:00:00";"1.22282";"14,62";"514,62";"IST";"End Of Friday (Time)";"-4,70";"16,63";"1d 2h 46m";"";"1.23744";"2020.04.02 13:00:00";"1,24444";"1,21794";"Main: GBPUSD_M1_UTC2/H1";"47,00";"166,30"
"28";"GBPUSD_M1_UTC2";"Buy";"2020.04.07 15:27:00";"1.23733";"0,01000";"2020.04.07 17:54:00";"1.23023";"-7,10";"507,52";"IST";"SL";"-7,10";"1,06";"2h 27m";"";"1.23733";"2020.04.07 02:00:00";"1,23033";"1,25683";"Main: GBPUSD_M1_UTC2/H1";"71,00";"10,60"
"32";"GBPUSD_M1_UTC2";"Sell";"2020.04.15 10:37:00";"1.25315";"0,01000";"2020.04.15 17:52:00";"1.25163";"1,52";"509,04";"IST";"TrailingStop";"-0,87";"9,20";"7h 15m";"";"1.25315";"2020.04.14 21:00:00";"1,26015";"1,23365";"Main: GBPUSD_M1_UTC2/H1";"8,70";"92,00"
"45";"GBPUSD_M1_UTC2";"Buy";"2020.06.05 10:43:00";"1.26926";"0,01000";"2020.06.05 11:54:00";"1.26216";"-7,10";"501,94";"IST";"SL";"-7,10";"0,00";"1h 11m";"";"1.26926";"2020.06.04 21:00:00";"1,26226";"1,28876";"Main: GBPUSD_M1_UTC2/H1";"71,00";"0,00"
"82";"GBPUSD_M1_UTC2";"Buy";"2020.09.17 17:30:00";"1.29870";"0,01000";"2020.09.18 19:00:00";"1.29470";"-4,00";"497,94";"IST";"End Of Friday (Time)";"-5,49";"1,26";"1d 1h 30m";"";"1.29870";"2020.09.17 16:00:00";"1,29170";"1,31820";"Main: GBPUSD_M1_UTC2/H1";"54,90";"12,60"
"91";"GBPUSD_M1_UTC2";"Sell";"2020.10.28 11:10:00";"1.30111";"0,01000";"2020.10.28 17:01:00";"1.30104";"0,07";"498,01";"IST";"TrailingStop";"-0,72";"9,19";"5h 51m";"";"1.30111";"2020.10.27 19:00:00";"1,30811";"1,28161";"Main: GBPUSD_M1_UTC2/H1";"7,20";"91,90"
"101";"GBPUSD_M1_UTC2";"Sell";"2020.11.23 17:57:00";"1.32974";"0,01000";"2020.11.24 10:05:00";"1.33627";"-6,53";"491,48";"IST";"TrailingStop";"-6,53";"3,11";"16h 8m";"";"1.32974";"2020.11.23 11:00:00";"1,33674";"1,31024";"Main: GBPUSD_M1_UTC2/H1";"65,30";"31,10"
"103";"GBPUSD_M1_UTC2";"Sell";"2020.12.01 11:41:00";"1.33529";"0,01000";"2020.12.01 18:07:00";"1.33965";"-4,36";"487,12";"IST";"TrailingStop";"-4,36";"3,46";"6h 26m";"";"1.33529";"2020.12.01 11:00:00";"1,34229";"1,31579";"Main: GBPUSD_M1_UTC2/H1";"43,60";"34,60"
"104";"GBPUSD_M1_UTC2";"Sell";"2020.12.02 10:58:00";"1.33403";"0,01000";"2020.12.02 23:24:00";"1.33734";"-3,31";"483,81";"IST";"TrailingStop";"-4,00";"5,01";"12h 26m";"";"1.33403";"2020.12.01 19:00:00";"1,34103";"1,31453";"Main: GBPUSD_M1_UTC2/H1";"40,00";"50,10"
"106";"GBPUSD_M1_UTC2";"Buy";"2020.12.07 19:14:00";"1.33710";"0,01000";"2020.12.07 20:41:00";"1.33000";"-7,10";"476,71";"IST";"SL";"-7,10";"0,15";"1h 27m";"";"1.33710";"2020.12.07 11:00:00";"1,33010";"1,35660";"Main: GBPUSD_M1_UTC2/H1";"71,00";"1,50"
