"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"76";"GBPUSD_M1_UTC2";"Sell";"2020.02.03 13:10:00";"1.30544";"0,01000";"2020.02.04 09:00:00";"1.29992";"5,52";"505,52";"IST";"Exit After X Bars";"-1,90";"7,05";"19h 50m";"";"1.30544";"2020.02.03 10:00:00";"1,30944";"1,29194";"Main: GBPUSD_M1_UTC2/H1";"19,00";"70,50"
"312";"GBPUSD_M1_UTC2";"Buy";"2020.04.30 18:01:00";"1.26254";"0,01000";"2020.04.30 19:04:00";"1.25844";"-4,10";"501,42";"IST";"SL";"-4,10";"1,75";"1h 3m";"";"1.26254";"2020.04.30 15:00:00";"1,25854";"1,27604";"Main: GBPUSD_M1_UTC2/H1";"41,00";"17,50"
"334";"GBPUSD_M1_UTC2";"Sell";"2020.05.11 14:56:00";"1.22998";"0,01000";"2020.05.11 16:12:00";"1.23408";"-4,10";"497,32";"IST";"SL";"-4,10";"1,40";"1h 16m";"";"1.22998";"2020.05.11 10:00:00";"1,23398";"1,21648";"Main: GBPUSD_M1_UTC2/H1";"41,00";"14,00"
"383";"GBPUSD_M1_UTC2";"Sell";"2020.05.27 18:04:00";"1.22048";"0,01000";"2020.05.27 19:08:00";"1.22458";"-4,10";"493,22";"IST";"SL";"-4,10";"0,00";"1h 4m";"";"1.22048";"2020.05.27 15:00:00";"1,22448";"1,20698";"Main: GBPUSD_M1_UTC2/H1";"41,00";"0,00"
"531";"GBPUSD_M1_UTC2";"Buy";"2020.07.20 14:09:00";"1.26190";"0,01000";"2020.07.21 10:00:00";"1.26912";"7,22";"500,44";"IST";"Exit After X Bars";"-0,61";"8,15";"19h 51m";"";"1.26190";"2020.07.20 10:00:00";"1,25790";"1,27540";"Main: GBPUSD_M1_UTC2/H1";"6,10";"81,50"
"723";"GBPUSD_M1_UTC2";"Sell";"2020.09.21 11:32:00";"1.28428";"0,01000";"2020.09.22 07:00:00";"1.28246";"1,82";"502,26";"IST";"Exit After X Bars";"-3,14";"6,48";"19h 28m";"";"1.28428";"2020.09.21 10:00:00";"1,28828";"1,27078";"Main: GBPUSD_M1_UTC2/H1";"31,40";"64,80"
"776";"GBPUSD_M1_UTC2";"Buy";"2020.10.14 14:38:00";"1.29899";"0,01000";"2020.10.15 10:00:00";"1.29996";"0,97";"503,23";"IST";"Exit After X Bars";"-2,27";"7,42";"19h 22m";"";"1.29899";"2020.10.14 10:00:00";"1,29499";"1,31249";"Main: GBPUSD_M1_UTC2/H1";"22,70";"74,20"
"824";"GBPUSD_M1_UTC2";"Sell";"2020.11.04 04:39:00";"1.29525";"0,01000";"2020.11.04 05:03:00";"1.29935";"-4,10";"499,13";"IST";"SL";"-4,10";"1,61";"24m 0s";"";"1.29525";"2020.11.04 00:00:00";"1,29925";"1,28175";"Main: GBPUSD_M1_UTC2/H1";"41,00";"16,10"
"884";"GBPUSD_M1_UTC2";"Sell";"2020.11.23 17:56:00";"1.33060";"0,01000";"2020.11.24 08:22:00";"1.33470";"-4,10";"495,03";"IST";"SL";"-4,10";"3,97";"14h 26m";"";"1.33060";"2020.11.23 15:00:00";"1,33460";"1,31710";"Main: GBPUSD_M1_UTC2/H1";"41,00";"39,70"
"908";"GBPUSD_M1_UTC2";"Sell";"2020.12.02 09:59:00";"1.33623";"0,01000";"2020.12.03 05:00:00";"1.33802";"-1,79";"493,24";"IST";"Exit After X Bars";"-2,62";"7,21";"19h 1m";"";"1.33623";"2020.12.02 06:00:00";"1,34023";"1,32273";"Main: GBPUSD_M1_UTC2/H1";"26,20";"72,10"
"910";"GBPUSD_M1_UTC2";"Buy";"2020.12.03 13:53:00";"1.34470";"0,01000";"2020.12.04 09:00:00";"1.34655";"1,85";"495,09";"IST";"Exit After X Bars";"-1,94";"5,27";"19h 7m";"";"1.34470";"2020.12.03 10:00:00";"1,34070";"1,35820";"Main: GBPUSD_M1_UTC2/H1";"19,40";"52,70"
