"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"2";"GBPUSD_M1_UTC2";"Sell";"2020.01.08 17:57:00";"1.30884";"0,01000";"2020.01.10 21:00:00";"1.30589";"2,95";"502,95";"IST";"End Of Friday (Time)";"-3,79";"7,28";"2d 3h 3m";"";"1.30884";"2020.01.08 17:00:00";"1,32334";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"37,90";"72,80"
"6";"GBPUSD_M1_UTC2";"Buy";"2020.01.31 09:21:00";"1.31224";"0,01000";"2020.01.31 21:00:00";"1.31832";"6,08";"509,03";"IST";"End Of Friday (Time)";"-2,25";"7,72";"11h 39m";"";"1.31224";"2020.01.27 15:00:00";"1,29774";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"22,50";"77,20"
"8";"GBPUSD_M1_UTC2";"Sell";"2020.02.05 16:39:00";"1.29743";"0,01000";"2020.02.07 21:00:00";"1.28972";"7,71";"516,74";"IST";"End Of Friday (Time)";"-3,86";"8,11";"2d 4h 21m";"";"1.29743";"2020.02.04 13:00:00";"1,31193";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"38,60";"81,10"
"11";"GBPUSD_M1_UTC2";"Sell";"2020.02.24 11:49:00";"1.28903";"0,01000";"2020.02.28 21:00:00";"1.27587";"13,16";"529,90";"IST";"End Of Friday (Time)";"-13,06";"16,18";"4d 9h 11m";"";"1.28903";"2020.02.24 02:00:00";"1,30353";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"130,60";"161,80"
"14";"GBPUSD_M1_UTC2";"Sell";"2020.03.23 18:59:00";"1.14796";"0,01000";"2020.03.24 04:09:00";"1.16256";"-14,60";"515,30";"IST";"SL";"-14,60";"3,04";"9h 10m";"";"1.14796";"2020.03.23 00:01:00";"1,16246";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"146,00";"30,40"
"15";"GBPUSD_M1_UTC2";"Buy";"2020.03.25 19:22:00";"1.18005";"0,01000";"2020.03.27 21:00:00";"1.24107";"61,02";"576,32";"IST";"End Of Friday (Time)";"-2,53";"63,90";"2d 1h 38m";"";"1.18005";"2020.03.25 17:00:00";"1,16555";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"25,30";"639,00"
"18";"GBPUSD_M1_UTC2";"Sell";"2020.04.21 05:20:00";"1.24004";"0,01000";"2020.04.24 21:00:00";"1.23521";"4,83";"581,15";"IST";"End Of Friday (Time)";"-2,42";"15,05";"3d 15h 40m";"";"1.24004";"2020.04.20 01:00:00";"1,25454";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"24,20";"150,50"
"19";"GBPUSD_M1_UTC2";"Buy";"2020.04.30 00:36:00";"1.24733";"0,01000";"2020.05.01 21:00:00";"1.24889";"1,56";"582,71";"IST";"End Of Friday (Time)";"-4,49";"16,96";"1d 20h 24m";"";"1.24733";"2020.04.30 00:00:00";"1,23283";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"44,90";"169,60"
"21";"GBPUSD_M1_UTC2";"Sell";"2020.05.11 14:10:00";"1.23062";"0,01000";"2020.05.15 21:00:00";"1.21221";"18,41";"601,12";"IST";"End Of Friday (Time)";"-7,46";"18,96";"4d 6h 50m";"";"1.23062";"2020.05.11 00:08:00";"1,24512";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"74,60";"189,60"
"23";"GBPUSD_M1_UTC2";"Buy";"2020.05.20 12:56:00";"1.22636";"0,01000";"2020.05.22 21:00:00";"1.21769";"-8,67";"592,45";"IST";"End Of Friday (Time)";"-10,23";"2,38";"2d 8h 4m";"";"1.22636";"2020.05.20 12:00:00";"1,21186";"-100000000,00000";"Main: GBPUSD_M1_UTC2/H1";"102,30";"23,80"
