"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"14";"USDJPY_M1_UTC2";"Sell";"2020.01.02 17:48:00";"108.243";"0,01000";"2020.01.03 01:30:00";"108.653";"-2,61";"497,39";"IST";"SL";"-2,61";"0,01";"7h 42m";"";"108.243";"2020.01.02 16:30:00";"108,64300";"107,44300";"Main: USDJPY_M1_UTC2/M15";"41,00";"0,20"
"121";"USDJPY_M1_UTC2";"Buy";"2020.01.13 12:28:00";"109.944";"0,01000";"2020.01.17 19:00:00";"110.151";"1,32";"498,71";"IST";"End Of Friday (Time)";"-0,99";"2,20";"4d 6h 32m";"";"109.944";"2020.01.13 11:00:00";"109,54400";"110,74400";"Main: USDJPY_M1_UTC2/M15";"15,60";"34,60"
"142";"USDJPY_M1_UTC2";"Sell";"2020.01.21 03:19:00";"110.045";"0,01000";"2020.01.24 19:00:00";"109.365";"4,33";"503,04";"IST";"End Of Friday (Time)";"-0,67";"4,77";"3d 15h 41m";"";"110.045";"2020.01.21 00:45:00";"110,44500";"109,24500";"Main: USDJPY_M1_UTC2/M15";"10,50";"74,90"
"353";"USDJPY_M1_UTC2";"Buy";"2020.02.12 10:44:00";"110.147";"0,01000";"2020.02.13 09:22:00";"109.737";"-2,61";"500,43";"IST";"SL";"-2,61";"0,00";"22h 38m";"";"110.147";"2020.02.12 09:45:00";"109,74700";"110,94700";"Main: USDJPY_M1_UTC2/M15";"41,00";"0,00"
"1285";"USDJPY_M1_UTC2";"Buy";"2020.04.30 17:56:00";"107.129";"0,01000";"2020.05.01 14:53:00";"106.719";"-2,61";"497,81";"IST";"SL";"-2,61";"2,36";"20h 57m";"";"107.129";"2020.04.30 16:00:00";"106,72900";"107,92900";"Main: USDJPY_M1_UTC2/M15";"41,00";"37,00"
"1655";"USDJPY_M1_UTC2";"Buy";"2020.06.02 15:16:00";"108.253";"0,01000";"2020.06.04 07:24:00";"109.053";"5,10";"502,91";"IST";"PT";"-0,24";"5,10";"1d 16h 8m";"";"108.253";"2020.06.02 14:30:00";"107,85300";"109,05300";"Main: USDJPY_M1_UTC2/M15";"3,70";"80,00"
"1871";"USDJPY_M1_UTC2";"Buy";"2020.06.23 05:24:00";"107.151";"0,01000";"2020.06.23 15:44:00";"106.741";"-2,61";"500,30";"IST";"SL";"-2,61";"0,45";"10h 20m";"";"107.151";"2020.06.23 03:30:00";"106,75100";"107,95100";"Main: USDJPY_M1_UTC2/M15";"41,00";"7,00"
"1874";"USDJPY_M1_UTC2";"Sell";"2020.06.23 17:17:00";"106.181";"0,01000";"2020.06.24 03:34:00";"106.591";"-2,61";"497,69";"IST";"SL";"-2,61";"0,50";"10h 17m";"";"106.181";"2020.06.23 15:45:00";"106,58100";"105,38100";"Main: USDJPY_M1_UTC2/M15";"41,00";"7,90"
"2007";"USDJPY_M1_UTC2";"Buy";"2020.07.06 04:05:00";"107.720";"0,01000";"2020.07.06 21:38:00";"107.310";"-2,61";"495,07";"IST";"SL";"-2,61";"0,33";"17h 33m";"";"107.720";"2020.07.06 02:45:00";"107,32000";"108,52000";"Main: USDJPY_M1_UTC2/M15";"41,00";"5,20"
"2120";"USDJPY_M1_UTC2";"Sell";"2020.07.15 11:56:00";"106.918";"0,01000";"2020.07.16 20:35:00";"107.328";"-2,61";"492,46";"IST";"SL";"-2,61";"1,41";"1d 8h 39m";"";"106.918";"2020.07.15 09:45:00";"107,31800";"106,11800";"Main: USDJPY_M1_UTC2/M15";"41,00";"22,20"
