"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"12";"USDJPY_M1_UTC2";"Sell";"2020.01.02 17:48:00";"108.249";"0,01000";"2020.01.03 19:00:00";"107.986";"1,68";"501,68";"IST";"End Of Friday (Time)";"-2,62";"1,94";"1d 1h 12m";"";"108.249";"2020.01.02 15:00:00";"108,69900";"106,29900";"Main: USDJPY_M1_UTC2/M15";"41,10";"30,40"
"46";"USDJPY_M1_UTC2";"Sell";"2020.01.08 01:39:00";"107.984";"0,01000";"2020.01.08 04:40:00";"108.444";"-2,93";"498,74";"IST";"SL";"-2,93";"1,93";"3h 1m";"";"107.984";"2020.01.08 00:00:00";"108,43400";"106,03400";"Main: USDJPY_M1_UTC2/M15";"46,00";"30,30"
"186";"USDJPY_M1_UTC2";"Sell";"2020.01.21 03:16:00";"110.117";"0,01000";"2020.01.24 19:00:00";"109.365";"4,79";"503,54";"IST";"End Of Friday (Time)";"-0,21";"5,23";"3d 15h 44m";"";"110.117";"2020.01.21 03:00:00";"110,56700";"108,16700";"Main: USDJPY_M1_UTC2/M15";"3,30";"82,10"
"1048";"USDJPY_M1_UTC2";"Sell";"2020.04.13 04:16:00";"108.040";"0,01000";"2020.04.15 16:20:00";"107.779";"1,66";"505,20";"IST";"TrailingStop";"-1,06";"6,91";"2d 12h 4m";"";"108.040";"2020.04.13 03:00:00";"108,49000";"106,09000";"Main: USDJPY_M1_UTC2/M15";"16,60";"108,40"
"1219";"USDJPY_M1_UTC2";"Buy";"2020.04.30 17:50:00";"107.066";"0,01000";"2020.05.01 14:53:00";"106.690";"-2,40";"502,80";"IST";"TrailingStop";"-2,40";"2,76";"21h 3m";"";"107.066";"2020.04.30 15:00:00";"106,61600";"109,01600";"Main: USDJPY_M1_UTC2/M15";"37,60";"43,30"
"1477";"USDJPY_M1_UTC2";"Buy";"2020.05.26 04:08:00";"107.874";"0,01000";"2020.05.26 15:01:00";"107.414";"-2,93";"499,87";"IST";"SL";"-2,93";"0,31";"10h 53m";"";"107.874";"2020.05.26 03:00:00";"107,42400";"109,82400";"Main: USDJPY_M1_UTC2/M15";"46,00";"4,80"
"1557";"USDJPY_M1_UTC2";"Buy";"2020.06.02 15:36:00";"108.482";"0,01000";"2020.06.05 19:00:00";"109.672";"7,58";"507,46";"IST";"End Of Friday (Time)";"-1,44";"8,71";"3d 3h 24m";"";"108.482";"2020.06.02 15:00:00";"108,03200";"110,43200";"Main: USDJPY_M1_UTC2/M15";"22,60";"136,70"
"1570";"USDJPY_M1_UTC2";"Sell";"2020.06.08 17:35:00";"108.639";"0,01000";"2020.06.11 17:09:00";"106.689";"12,43";"519,88";"IST";"PT";"-0,90";"12,43";"2d 23h 34m";"";"108.639";"2020.06.08 15:00:00";"109,08900";"106,68900";"Main: USDJPY_M1_UTC2/M15";"14,10";"195,00"
"1685";"USDJPY_M1_UTC2";"Buy";"2020.06.23 05:24:00";"107.148";"0,01000";"2020.06.23 15:44:00";"106.688";"-2,93";"516,95";"IST";"SL";"-2,93";"0,47";"10h 20m";"";"107.148";"2020.06.23 03:00:00";"106,69800";"109,09800";"Main: USDJPY_M1_UTC2/M15";"46,00";"7,30"
"1749";"USDJPY_M1_UTC2";"Buy";"2020.06.29 17:04:00";"107.664";"0,01000";"2020.07.01 15:06:00";"107.368";"-1,89";"515,07";"IST";"TrailingStop";"-1,89";"3,19";"1d 22h 2m";"";"107.664";"2020.06.29 15:00:00";"107,21400";"109,61400";"Main: USDJPY_M1_UTC2/M15";"29,60";"50,00"
