"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"30";"USDJPY_M1_UTC2";"Sell";"2020.01.08 02:31:00";"107.655";"0,01000";"2020.01.08 03:40:00";"108.015";"-2,29";"497,71";"IST";"SL";"-2,29";"0,00";"1h 9m";"";"107.655";"2020.01.08 02:15:00";"108,00500";"105,70500";"Main: USDJPY_M1_UTC2/M15";"36,00";"0,00"
"66";"USDJPY_M1_UTC2";"Sell";"2020.01.21 03:19:00";"110.040";"0,01000";"2020.01.24 19:00:00";"109.365";"4,30";"502,01";"IST";"End Of Friday (Time)";"-0,70";"4,74";"3d 15h 41m";"";"110.040";"2020.01.21 00:30:00";"110,39000";"108,09000";"Main: USDJPY_M1_UTC2/M15";"11,00";"74,40"
"365";"USDJPY_M1_UTC2";"Sell";"2020.04.09 20:12:00";"108.285";"0,01000";"2020.04.10 19:00:00";"108.433";"-0,94";"501,06";"IST";"End Of Friday (Time)";"-2,12";"0,31";"22h 48m";"";"108.285";"2020.04.09 17:30:00";"108,63500";"106,33500";"Main: USDJPY_M1_UTC2/M15";"33,20";"4,80"
"417";"USDJPY_M1_UTC2";"Buy";"2020.04.30 17:55:00";"107.074";"0,01000";"2020.05.01 14:53:00";"106.714";"-2,29";"498,77";"IST";"SL";"-2,29";"2,71";"20h 58m";"";"107.074";"2020.04.30 17:15:00";"106,72400";"109,02400";"Main: USDJPY_M1_UTC2/M15";"36,00";"42,50"
"519";"USDJPY_M1_UTC2";"Buy";"2020.06.02 15:15:00";"108.239";"0,01000";"2020.06.05 19:00:00";"109.672";"9,13";"507,90";"IST";"End Of Friday (Time)";"-0,36";"10,26";"3d 3h 45m";"";"108.239";"2020.06.02 13:00:00";"107,88900";"110,18900";"Main: USDJPY_M1_UTC2/M15";"5,70";"161,00"
"524";"USDJPY_M1_UTC2";"Sell";"2020.06.08 19:55:00";"108.344";"0,01000";"2020.06.12 19:00:00";"107.409";"5,96";"513,86";"IST";"End Of Friday (Time)";"-1,45";"11,11";"3d 23h 5m";"";"108.344";"2020.06.08 16:45:00";"108,69400";"106,39400";"Main: USDJPY_M1_UTC2/M15";"22,80";"174,30"
"589";"USDJPY_M1_UTC2";"Buy";"2020.07.06 03:57:00";"107.696";"0,01000";"2020.07.06 21:34:00";"107.336";"-2,29";"511,57";"IST";"SL";"-2,29";"0,48";"17h 37m";"";"107.696";"2020.07.06 01:00:00";"107,34600";"109,64600";"Main: USDJPY_M1_UTC2/M15";"36,00";"7,60"
"639";"USDJPY_M1_UTC2";"Sell";"2020.07.21 17:45:00";"106.842";"0,01000";"2020.07.22 16:45:00";"107.202";"-2,29";"509,27";"IST";"SL";"-2,29";"0,83";"23h 0m";"";"106.842";"2020.07.21 16:30:00";"107,19200";"104,89200";"Main: USDJPY_M1_UTC2/M15";"36,00";"13,10"
"681";"USDJPY_M1_UTC2";"Buy";"2020.08.07 17:06:00";"105.972";"0,01000";"2020.08.07 19:00:00";"105.907";"-0,41";"508,86";"IST";"End Of Friday (Time)";"-1,22";"0,53";"1h 54m";"";"105.972";"2020.08.07 14:30:00";"105,62200";"107,92200";"Main: USDJPY_M1_UTC2/M15";"19,20";"8,30"
"764";"USDJPY_M1_UTC2";"Sell";"2020.09.08 16:54:00";"105.928";"0,01000";"2020.09.09 15:22:00";"106.288";"-2,29";"506,56";"IST";"SL";"-2,29";"0,69";"22h 28m";"";"105.928";"2020.09.08 16:00:00";"106,27800";"103,97800";"Main: USDJPY_M1_UTC2/M15";"36,00";"10,80"
"826";"USDJPY_M1_UTC2";"Sell";"2020.10.02 08:33:00";"105.211";"0,01000";"2020.10.02 19:00:00";"105.401";"-1,21";"505,35";"IST";"End Of Friday (Time)";"-1,36";"1,52";"10h 27m";"";"105.211";"2020.10.02 08:15:00";"105,56100";"103,26100";"Main: USDJPY_M1_UTC2/M15";"21,30";"23,90"
"845";"USDJPY_M1_UTC2";"Buy";"2020.10.07 11:42:00";"106.013";"0,01000";"2020.10.09 17:49:00";"105.653";"-2,29";"503,06";"IST";"SL";"-2,29";"0,60";"2d 6h 7m";"";"106.013";"2020.10.07 09:45:00";"105,66300";"107,96300";"Main: USDJPY_M1_UTC2/M15";"36,00";"9,40"
"961";"USDJPY_M1_UTC2";"Buy";"2020.11.04 04:38:00";"105.173";"0,01000";"2020.11.04 06:32:00";"104.813";"-2,29";"500,76";"IST";"SL";"-2,29";"1,09";"1h 54m";"";"105.173";"2020.11.04 04:00:00";"104,82300";"107,12300";"Main: USDJPY_M1_UTC2/M15";"36,00";"17,10"
"981";"USDJPY_M1_UTC2";"Buy";"2020.11.09 13:59:00";"104.245";"0,01000";"2020.11.13 19:00:00";"104.600";"2,26";"503,03";"IST";"End Of Friday (Time)";"-0,71";"9,12";"4d 5h 1m";"";"104.245";"2020.11.09 11:45:00";"103,89500";"106,19500";"Main: USDJPY_M1_UTC2/M15";"11,10";"143,10"
"1177";"USDJPY_M1_UTC2";"Sell";"2021.01.12 21:32:00";"103.827";"0,01000";"2021.01.14 04:31:00";"104.187";"-2,29";"500,73";"IST";"SL";"-2,29";"1,73";"1d 6h 59m";"";"103.827";"2021.01.12 19:45:00";"104,17700";"101,87700";"Main: USDJPY_M1_UTC2/M15";"36,00";"27,20"
"1191";"USDJPY_M1_UTC2";"Buy";"2021.01.19 04:56:00";"104.061";"0,01000";"2021.01.20 16:36:00";"103.701";"-2,29";"498,44";"IST";"SL";"-2,29";"0,15";"1d 11h 40m";"";"104.061";"2021.01.19 04:00:00";"103,71100";"106,01100";"Main: USDJPY_M1_UTC2/M15";"36,00";"2,40"
"1221";"USDJPY_M1_UTC2";"Buy";"2021.01.27 15:49:00";"104.058";"0,01000";"2021.01.29 19:00:00";"104.636";"3,68";"502,12";"IST";"End Of Friday (Time)";"-0,65";"5,62";"2d 3h 11m";"";"104.058";"2021.01.27 13:00:00";"103,70800";"106,00800";"Main: USDJPY_M1_UTC2/M15";"10,20";"88,20"
"1358";"USDJPY_M1_UTC2";"Sell";"2021.03.16 16:19:00";"108.834";"0,01000";"2021.03.17 04:18:00";"109.194";"-2,29";"499,83";"IST";"SL";"-2,29";"0,21";"11h 59m";"";"108.834";"2021.03.16 15:00:00";"109,18400";"106,88400";"Main: USDJPY_M1_UTC2/M15";"36,00";"3,30"
"1435";"USDJPY_M1_UTC2";"Sell";"2021.04.05 17:09:00";"110.057";"0,01000";"2021.04.06 06:09:00";"110.417";"-2,29";"497,53";"IST";"SL";"-2,29";"0,43";"13h 0m";"";"110.057";"2021.04.05 16:45:00";"110,40700";"108,10700";"Main: USDJPY_M1_UTC2/M15";"36,00";"6,80"
"1480";"USDJPY_M1_UTC2";"Sell";"2021.04.19 10:53:00";"108.215";"0,01000";"2021.04.20 10:08:00";"108.575";"-2,29";"495,24";"IST";"SL";"-2,29";"1,37";"23h 15m";"";"108.215";"2021.04.19 08:15:00";"108,56500";"106,26500";"Main: USDJPY_M1_UTC2/M15";"36,00";"21,50"
"1550";"USDJPY_M1_UTC2";"Sell";"2021.05.07 15:51:00";"108.495";"0,01000";"2021.05.07 16:35:00";"108.855";"-2,29";"492,95";"IST";"SL";"-2,29";"0,82";"44m 0s";"";"108.495";"2021.05.07 15:45:00";"108,84500";"106,54500";"Main: USDJPY_M1_UTC2/M15";"36,00";"12,80"
"1559";"USDJPY_M1_UTC2";"Sell";"2021.05.11 16:02:00";"108.444";"0,01000";"2021.05.12 03:35:00";"108.804";"-2,29";"490,65";"IST";"SL";"-2,29";"0,41";"11h 33m";"";"108.444";"2021.05.11 13:30:00";"108,79400";"106,49400";"Main: USDJPY_M1_UTC2/M15";"36,00";"6,50"
"1645";"USDJPY_M1_UTC2";"Buy";"2021.06.03 18:37:00";"110.299";"0,01000";"2021.06.04 15:30:00";"109.939";"-2,29";"488,36";"IST";"SL";"-2,29";"0,19";"20h 53m";"";"110.299";"2021.06.03 15:30:00";"109,94900";"112,24900";"Main: USDJPY_M1_UTC2/M15";"36,00";"3,00"
"1687";"USDJPY_M1_UTC2";"Buy";"2021.06.16 21:04:00";"110.368";"0,01000";"2021.06.18 08:51:00";"110.008";"-2,29";"486,06";"IST";"SL";"-2,29";"2,89";"1d 11h 47m";"";"110.368";"2021.06.16 20:15:00";"110,01800";"112,31800";"Main: USDJPY_M1_UTC2/M15";"36,00";"45,40"
"1714";"USDJPY_M1_UTC2";"Buy";"2021.06.30 17:23:00";"110.867";"0,01000";"2021.07.02 19:00:00";"111.282";"2,64";"488,71";"IST";"End Of Friday (Time)";"-0,31";"5,03";"2d 1h 37m";"";"110.867";"2021.06.30 15:45:00";"110,51700";"112,81700";"Main: USDJPY_M1_UTC2/M15";"4,80";"79,00"
"1737";"USDJPY_M1_UTC2";"Sell";"2021.07.08 10:06:00";"110.072";"0,01000";"2021.07.09 19:00:00";"110.222";"-0,96";"487,75";"IST";"End Of Friday (Time)";"-1,37";"3,24";"1d 8h 54m";"";"110.072";"2021.07.08 08:30:00";"110,42200";"108,12200";"Main: USDJPY_M1_UTC2/M15";"21,50";"50,90"
"1840";"USDJPY_M1_UTC2";"Buy";"2021.08.04 17:25:00";"109.578";"0,01000";"2021.08.06 19:00:00";"110.226";"4,13";"491,88";"IST";"End Of Friday (Time)";"-1,12";"4,96";"2d 1h 35m";"";"109.578";"2021.08.04 16:30:00";"109,22800";"111,52800";"Main: USDJPY_M1_UTC2/M15";"17,50";"77,80"
"1867";"USDJPY_M1_UTC2";"Sell";"2021.08.13 18:02:00";"109.808";"0,01000";"2021.08.13 19:00:00";"109.795";"0,08";"491,96";"IST";"End Of Friday (Time)";"-0,30";"0,29";"58m 0s";"";"109.808";"2021.08.13 16:45:00";"110,15800";"107,85800";"Main: USDJPY_M1_UTC2/M15";"4,70";"4,60"
"1955";"USDJPY_M1_UTC2";"Sell";"2021.09.14 17:17:00";"109.730";"0,01000";"2021.09.17 16:01:00";"110.090";"-2,29";"489,67";"IST";"SL";"-2,29";"3,75";"2d 22h 44m";"";"109.730";"2021.09.14 16:00:00";"110,08000";"107,78000";"Main: USDJPY_M1_UTC2/M15";"36,00";"58,80"
"2137";"USDJPY_M1_UTC2";"Buy";"2021.11.10 17:37:00";"113.853";"0,01000";"2021.11.12 19:00:00";"113.890";"0,24";"489,91";"IST";"End Of Friday (Time)";"-0,78";"2,85";"2d 1h 23m";"";"113.853";"2021.11.10 14:45:00";"113,50300";"115,80300";"Main: USDJPY_M1_UTC2/M15";"12,20";"44,70"
"2157";"USDJPY_M1_UTC2";"Sell";"2021.11.19 14:02:00";"113.721";"0,01000";"2021.11.19 16:18:00";"114.081";"-2,29";"487,61";"IST";"SL";"-2,29";"0,68";"2h 16m";"";"113.721";"2021.11.19 11:45:00";"114,07100";"111,77100";"Main: USDJPY_M1_UTC2/M15";"36,00";"10,60"
