"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"88";"USDJPY_M1_UTC2";"Sell";"2020.05.26 14:58:00";"107.486";"0,01000";"2020.05.29 19:00:00";"107.807";"-2,05";"497,95";"IST";"End Of Friday (Time)";"-3,13";"2,40";"3d 4h 2m";"";"107.486";"2020.05.26 14:00:00";"108,13600";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"49,10";"37,70"
"112";"USDJPY_M1_UTC2";"Buy";"2020.08.07 15:30:00";"105.870";"0,01000";"2020.08.07 19:00:00";"105.907";"0,24";"498,19";"IST";"End Of Friday (Time)";"-2,03";"1,18";"3h 30m";"";"105.870";"2020.08.07 13:15:00";"105,22000";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"31,80";"18,50"
"152";"USDJPY_M1_UTC2";"Buy";"2020.08.19 21:08:00";"105.902";"0,01000";"2020.08.21 19:00:00";"105.866";"-0,23";"497,96";"IST";"End Of Friday (Time)";"-2,94";"1,99";"1d 21h 52m";"";"105.902";"2020.08.19 18:30:00";"105,25200";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"46,10";"31,30"
"160";"USDJPY_M1_UTC2";"Buy";"2020.08.25 13:25:00";"106.423";"0,01000";"2020.08.27 16:14:00";"105.763";"-4,21";"493,75";"IST";"SL";"-4,21";"0,98";"2d 2h 49m";"";"106.423";"2020.08.25 09:15:00";"105,77300";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"66,00";"15,40"
"265";"USDJPY_M1_UTC2";"Buy";"2020.09.25 16:56:00";"105.638";"0,01000";"2020.09.25 19:00:00";"105.582";"-0,36";"493,40";"IST";"End Of Friday (Time)";"-0,40";"0,40";"2h 4m";"";"105.638";"2020.09.25 13:15:00";"104,98800";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"6,30";"6,20"
"303";"USDJPY_M1_UTC2";"Buy";"2020.10.07 10:40:00";"105.955";"0,01000";"2020.10.09 19:00:00";"105.705";"-1,59";"491,80";"IST";"End Of Friday (Time)";"-2,20";"0,97";"2d 8h 20m";"";"105.955";"2020.10.07 09:00:00";"105,30500";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"34,50";"15,20"
"392";"USDJPY_M1_UTC2";"Sell";"2020.11.04 14:32:00";"104.163";"0,01000";"2020.11.06 19:00:00";"103.362";"5,10";"496,91";"IST";"End Of Friday (Time)";"-3,11";"6,10";"2d 4h 28m";"";"104.163";"2020.11.04 13:45:00";"104,81300";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"48,80";"95,70"
"464";"USDJPY_M1_UTC2";"Sell";"2020.11.27 07:46:00";"103.907";"0,01000";"2020.11.27 19:00:00";"104.105";"-1,26";"495,65";"IST";"End Of Friday (Time)";"-2,13";"0,00";"11h 14m";"";"103.907";"2020.11.27 03:45:00";"104,55700";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"33,50";"0,00"
"478";"USDJPY_M1_UTC2";"Buy";"2020.12.02 10:59:00";"104.676";"0,01000";"2020.12.03 15:27:00";"104.016";"-4,21";"491,44";"IST";"SL";"-4,21";"0,48";"1d 4h 28m";"";"104.676";"2020.12.02 09:15:00";"104,02600";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"66,00";"7,50"
"499";"USDJPY_M1_UTC2";"Buy";"2020.12.09 19:14:00";"104.395";"0,01000";"2020.12.11 19:00:00";"103.859";"-3,42";"488,03";"IST";"End Of Friday (Time)";"-3,65";"1,17";"1d 23h 46m";"";"104.395";"2020.12.09 18:30:00";"103,74500";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"57,30";"18,40"
"551";"USDJPY_M1_UTC2";"Buy";"2020.12.28 17:45:00";"103.813";"0,01000";"2020.12.30 12:25:00";"103.153";"-4,21";"483,82";"IST";"SL";"-4,21";"0,54";"1d 18h 40m";"";"103.813";"2020.12.28 14:15:00";"103,16300";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"66,00";"8,50"
"616";"USDJPY_M1_UTC2";"Buy";"2021.01.19 04:44:00";"103.988";"0,01000";"2021.01.21 07:24:00";"103.328";"-4,21";"479,61";"IST";"SL";"-4,21";"0,62";"2d 2h 40m";"";"103.988";"2021.01.19 04:30:00";"103,33800";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"66,00";"9,70"
"638";"USDJPY_M1_UTC2";"Buy";"2021.01.27 16:33:00";"104.072";"0,01000";"2021.01.29 19:00:00";"104.636";"3,59";"483,21";"IST";"End Of Friday (Time)";"-0,28";"5,53";"2d 2h 27m";"";"104.072";"2021.01.27 13:45:00";"103,42200";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"4,40";"86,80"
"655";"USDJPY_M1_UTC2";"Buy";"2021.02.04 07:25:00";"105.189";"0,01000";"2021.02.05 19:00:00";"105.427";"1,52";"484,72";"IST";"End Of Friday (Time)";"-0,31";"3,70";"1d 11h 35m";"";"105.189";"2021.02.04 04:00:00";"104,53900";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"4,90";"58,00"
"729";"USDJPY_M1_UTC2";"Buy";"2021.02.26 17:46:00";"106.623";"0,01000";"2021.02.26 19:00:00";"106.634";"0,07";"484,79";"IST";"End Of Friday (Time)";"-0,98";"0,40";"1h 14m";"";"106.623";"2021.02.26 13:15:00";"105,97300";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"15,40";"6,20"
"993";"USDJPY_M1_UTC2";"Buy";"2021.05.12 18:08:00";"109.471";"0,01000";"2021.05.14 19:00:00";"109.362";"-0,69";"484,10";"IST";"End Of Friday (Time)";"-1,82";"1,99";"2d 0h 52m";"";"109.471";"2021.05.12 13:45:00";"108,82100";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"28,50";"31,30"
"1008";"USDJPY_M1_UTC2";"Buy";"2021.05.19 21:08:00";"109.198";"0,01000";"2021.05.21 19:00:00";"108.927";"-1,73";"482,37";"IST";"End Of Friday (Time)";"-3,75";"0,70";"1d 21h 52m";"";"109.198";"2021.05.19 18:30:00";"108,54800";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"58,90";"11,00"
"1067";"USDJPY_M1_UTC2";"Sell";"2021.07.08 09:51:00";"110.164";"0,01000";"2021.07.09 19:00:00";"110.222";"-0,37";"482,00";"IST";"End Of Friday (Time)";"-0,78";"3,83";"1d 9h 9m";"";"110.164";"2021.07.08 08:45:00";"110,81400";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"12,30";"60,10"
"1096";"USDJPY_M1_UTC2";"Sell";"2021.07.19 16:53:00";"109.089";"0,01000";"2021.07.20 11:30:00";"109.749";"-4,21";"477,80";"IST";"SL";"-4,21";"0,00";"18h 37m";"";"109.089";"2021.07.19 14:15:00";"109,73900";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"66,00";"0,00"
"1142";"USDJPY_M1_UTC2";"Sell";"2021.08.02 18:19:00";"109.214";"0,01000";"2021.08.06 03:15:00";"109.874";"-4,21";"473,59";"IST";"SL";"-4,21";"2,95";"3d 8h 56m";"";"109.214";"2021.08.02 14:15:00";"109,86400";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"66,00";"46,30"
"1170";"USDJPY_M1_UTC2";"Sell";"2021.08.13 17:05:00";"110.036";"0,01000";"2021.08.13 19:00:00";"109.795";"1,54";"475,13";"IST";"End Of Friday (Time)";"-0,08";"1,75";"1h 55m";"";"110.036";"2021.08.13 13:15:00";"110,68600";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"1,20";"27,40"
