"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"72";"USDJPY_M1_UTC2";"Sell";"2020.01.21 03:19:00";"110.043";"0,01000";"2020.01.24 19:00:00";"109.365";"4,32";"504,32";"IST";"End Of Friday (Time)";"-0,68";"4,76";"3d 15h 41m";"";"110.043";"2020.01.21 03:00:00";"110,34300";"108,54300";"Main: USDJPY_M1_UTC2/M15";"10,70";"74,70"
"366";"USDJPY_M1_UTC2";"Sell";"2020.04.09 20:39:00";"108.215";"0,01000";"2020.04.09 22:03:00";"108.525";"-1,98";"502,35";"IST";"SL";"-1,98";"0,00";"1h 24m";"";"108.215";"2020.04.09 18:15:00";"108,51500";"106,71500";"Main: USDJPY_M1_UTC2/M15";"31,00";"0,00"
"505";"USDJPY_M1_UTC2";"Buy";"2020.06.02 15:16:00";"108.253";"0,01000";"2020.06.05 17:01:00";"109.753";"9,56";"511,90";"IST";"PT";"-0,24";"9,56";"3d 1h 45m";"";"108.253";"2020.06.02 15:00:00";"107,95300";"109,75300";"Main: USDJPY_M1_UTC2/M15";"3,70";"150,00"
"512";"USDJPY_M1_UTC2";"Sell";"2020.06.08 17:37:00";"108.506";"0,01000";"2020.06.11 01:41:00";"107.006";"9,56";"521,46";"IST";"PT";"-1,75";"9,56";"2d 8h 4m";"";"108.506";"2020.06.08 16:15:00";"108,80600";"107,00600";"Main: USDJPY_M1_UTC2/M15";"27,40";"150,00"
"532";"USDJPY_M1_UTC2";"Sell";"2020.06.23 16:16:00";"106.397";"0,01000";"2020.06.24 15:16:00";"106.707";"-1,98";"519,49";"IST";"SL";"-1,98";"1,88";"23h 0m";"";"106.397";"2020.06.23 14:15:00";"106,69700";"104,89700";"Main: USDJPY_M1_UTC2/M15";"31,00";"29,50"
"543";"USDJPY_M1_UTC2";"Buy";"2020.06.29 17:05:00";"107.776";"0,01000";"2020.07.01 11:24:00";"107.466";"-1,98";"517,51";"IST";"SL";"-1,98";"2,47";"1d 18h 19m";"";"107.776";"2020.06.29 16:45:00";"107,47600";"109,27600";"Main: USDJPY_M1_UTC2/M15";"31,00";"38,80"
"550";"USDJPY_M1_UTC2";"Buy";"2020.07.06 04:35:00";"107.763";"0,01000";"2020.07.06 15:46:00";"107.453";"-1,98";"515,54";"IST";"SL";"-1,98";"0,06";"11h 11m";"";"107.763";"2020.07.06 03:45:00";"107,46300";"109,26300";"Main: USDJPY_M1_UTC2/M15";"31,00";"0,90"
"576";"USDJPY_M1_UTC2";"Sell";"2020.07.15 11:59:00";"106.898";"0,01000";"2020.07.16 13:25:00";"107.208";"-1,98";"513,56";"IST";"SL";"-1,98";"1,29";"1d 1h 26m";"";"106.898";"2020.07.15 11:00:00";"107,19800";"105,39800";"Main: USDJPY_M1_UTC2/M15";"31,00";"20,20"
"652";"USDJPY_M1_UTC2";"Buy";"2020.08.07 15:31:00";"105.900";"0,01000";"2020.08.07 15:43:00";"105.590";"-1,98";"511,59";"IST";"SL";"-1,98";"0,00";"12m 0s";"";"105.900";"2020.08.07 13:30:00";"105,60000";"107,40000";"Main: USDJPY_M1_UTC2/M15";"31,00";"0,00"
"653";"USDJPY_M1_UTC2";"Buy";"2020.08.07 17:05:00";"105.940";"0,01000";"2020.08.07 19:00:00";"105.907";"-0,21";"511,38";"IST";"End Of Friday (Time)";"-1,02";"0,73";"1h 55m";"";"105.940";"2020.08.07 15:45:00";"105,64000";"107,44000";"Main: USDJPY_M1_UTC2/M15";"16,00";"11,50"
"715";"USDJPY_M1_UTC2";"Sell";"2020.09.08 16:54:00";"105.936";"0,01000";"2020.09.09 15:02:00";"106.246";"-1,98";"509,40";"IST";"SL";"-1,98";"0,74";"22h 8m";"";"105.936";"2020.09.08 16:00:00";"106,23600";"104,43600";"Main: USDJPY_M1_UTC2/M15";"31,00";"11,60"
"722";"USDJPY_M1_UTC2";"Sell";"2020.09.14 17:15:00";"105.625";"0,01000";"2020.09.18 19:00:00";"104.484";"7,27";"516,67";"IST";"End Of Friday (Time)";"-1,40";"8,43";"4d 1h 45m";"";"105.625";"2020.09.14 15:45:00";"105,92500";"104,12500";"Main: USDJPY_M1_UTC2/M15";"21,90";"132,30"
"745";"USDJPY_M1_UTC2";"Sell";"2020.10.02 08:34:00";"105.195";"0,01000";"2020.10.02 19:00:00";"105.401";"-1,31";"515,36";"IST";"End Of Friday (Time)";"-1,46";"1,42";"10h 26m";"";"105.195";"2020.10.02 08:15:00";"105,49500";"103,69500";"Main: USDJPY_M1_UTC2/M15";"22,90";"22,30"
"768";"USDJPY_M1_UTC2";"Buy";"2020.10.07 10:35:00";"105.931";"0,01000";"2020.10.09 17:57:00";"105.621";"-1,98";"513,38";"IST";"SL";"-1,98";"1,12";"2d 7h 22m";"";"105.931";"2020.10.07 08:30:00";"105,63100";"107,43100";"Main: USDJPY_M1_UTC2/M15";"31,00";"17,60"
"824";"USDJPY_M1_UTC2";"Sell";"2020.10.21 11:22:00";"104.913";"0,01000";"2020.10.23 19:00:00";"104.818";"0,61";"513,99";"IST";"End Of Friday (Time)";"-0,55";"3,45";"2d 7h 38m";"";"104.913";"2020.10.21 09:00:00";"105,21300";"103,41300";"Main: USDJPY_M1_UTC2/M15";"8,60";"54,20"
"877";"USDJPY_M1_UTC2";"Buy";"2020.11.04 04:38:00";"105.140";"0,01000";"2020.11.04 06:32:00";"104.830";"-1,98";"512,01";"IST";"SL";"-1,98";"1,30";"1h 54m";"";"105.140";"2020.11.04 03:45:00";"104,84000";"106,64000";"Main: USDJPY_M1_UTC2/M15";"31,00";"20,40"
