"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"123";"USDJPY_M1_UTC2";"Buy";"2020.01.13 10:40:00";"109.709";"0,01000";"2020.01.17 20:00:00";"110.129";"2,68";"502,68";"IST";"End Of Friday (Time)";"-0,27";"3,70";"4d 9h 20m";"";"109.709";"2020.01.13 10:30:00";"109,20900";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"4,20";"58,10"
"137";"USDJPY_M1_UTC2";"Sell";"2020.01.21 03:17:00";"110.095";"0,01000";"2020.01.24 20:00:00";"109.359";"4,69";"507,37";"IST";"End Of Friday (Time)";"-0,35";"5,22";"3d 16h 43m";"";"110.095";"2020.01.21 03:15:00";"110,59500";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"5,50";"81,90"
"138";"USDJPY_M1_UTC2";"Sell";"2020.01.27 00:15:00";"108.976";"0,01000";"2020.01.31 20:00:00";"108.463";"3,27";"510,64";"IST";"End Of Friday (Time)";"-2,03";"4,05";"4d 19h 45m";"";"108.976";"2020.01.27 00:15:00";"109,47600";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"31,90";"63,50"
"207";"USDJPY_M1_UTC2";"Buy";"2020.02.03 17:00:00";"108.782";"0,01000";"2020.02.07 20:00:00";"109.795";"6,46";"517,09";"IST";"End Of Friday (Time)";"-1,66";"7,90";"4d 3h 0m";"";"108.782";"2020.02.03 17:00:00";"108,28200";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"26,10";"123,90"
"250";"USDJPY_M1_UTC2";"Buy";"2020.02.12 10:32:00";"110.008";"0,01000";"2020.02.14 20:00:00";"109.723";"-1,82";"515,28";"IST";"End Of Friday (Time)";"-2,48";"0,80";"2d 9h 28m";"";"110.008";"2020.02.12 10:30:00";"109,50800";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"38,90";"12,50"
"1035";"USDJPY_M1_UTC2";"Buy";"2020.03.17 04:08:00";"106.919";"0,01000";"2020.03.17 05:19:00";"106.409";"-3,25";"512,03";"IST";"SL";"-3,25";"1,71";"1h 11m";"";"106.919";"2020.03.17 04:00:00";"106,41900";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"51,00";"26,90"
"1334";"USDJPY_M1_UTC2";"Sell";"2020.03.26 12:04:00";"109.959";"0,01000";"2020.03.27 20:00:00";"108.033";"12,27";"524,30";"IST";"End Of Friday (Time)";"-1,54";"13,15";"1d 7h 56m";"";"109.959";"2020.03.26 12:00:00";"110,45900";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"24,10";"206,30"
"1503";"USDJPY_M1_UTC2";"Sell";"2020.03.31 18:07:00";"107.767";"0,01000";"2020.04.03 10:26:00";"108.277";"-3,25";"521,05";"IST";"SL";"-3,25";"5,24";"2d 16h 19m";"";"107.767";"2020.03.31 18:00:00";"108,26700";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"51,00";"82,20"
"1835";"USDJPY_M1_UTC2";"Buy";"2020.04.15 10:57:00";"107.429";"0,01000";"2020.04.17 20:00:00";"107.589";"1,02";"522,07";"IST";"End Of Friday (Time)";"-1,70";"4,17";"2d 9h 3m";"";"107.429";"2020.04.15 10:45:00";"106,92900";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"26,60";"65,40"
"1976";"USDJPY_M1_UTC2";"Sell";"2020.04.23 11:05:00";"107.566";"0,01000";"2020.04.23 16:39:00";"108.076";"-3,25";"518,82";"IST";"SL";"-3,25";"1,20";"5h 34m";"";"107.566";"2020.04.23 11:00:00";"108,06600";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"51,00";"18,90"
"2068";"USDJPY_M1_UTC2";"Buy";"2020.04.29 15:31:00";"106.780";"0,01000";"2020.05.01 20:00:00";"106.769";"-0,07";"518,75";"IST";"End Of Friday (Time)";"-2,39";"4,58";"2d 4h 29m";"";"106.780";"2020.04.29 15:30:00";"106,28000";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"37,50";"71,90"
"2082";"USDJPY_M1_UTC2";"Sell";"2020.05.05 03:29:00";"106.532";"0,01000";"2020.05.08 20:00:00";"106.654";"-0,78";"517,97";"IST";"End Of Friday (Time)";"-2,50";"3,29";"3d 16h 31m";"";"106.532";"2020.05.05 03:15:00";"107,03200";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"39,20";"51,60"
"2436";"USDJPY_M1_UTC2";"Buy";"2020.05.19 16:20:00";"108.112";"0,01000";"2020.05.20 11:49:00";"107.602";"-3,25";"514,72";"IST";"SL";"-3,25";"0,00";"19h 29m";"";"108.112";"2020.05.19 16:15:00";"107,61200";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"51,00";"0,00"
"3122";"USDJPY_M1_UTC2";"Buy";"2020.06.12 07:28:00";"107.290";"0,01000";"2020.06.12 20:00:00";"107.486";"1,25";"515,97";"IST";"End Of Friday (Time)";"-1,45";"1,67";"12h 32m";"";"107.290";"2020.06.12 07:15:00";"106,79000";"-100000000,00000";"Main: USDJPY_M1_UTC2/M15";"22,70";"26,20"
