"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"70";"USDJPY_M1_UTC2";"Sell";"2020.01.21 03:54:00";"109.924";"0,01000";"2020.01.24 19:00:00";"109.365";"3,56";"503,56";"IST";"End Of Friday (Time)";"-1,44";"4,00";"3d 15h 6m";"";"109.924";"2020.01.20 22:00:00";"110,42400";"108,02400";"Main: USDJPY_M1_UTC2/M30";"22,60";"62,80"
"153";"USDJPY_M1_UTC2";"Buy";"2020.02.19 15:17:00";"110.572";"0,01000";"2020.02.21 19:00:00";"111.732";"7,39";"510,95";"IST";"End Of Friday (Time)";"-0,25";"10,53";"2d 3h 43m";"";"110.572";"2020.02.19 09:30:00";"110,07200";"112,47200";"Main: USDJPY_M1_UTC2/M30";"4,00";"165,20"
"158";"USDJPY_M1_UTC2";"Sell";"2020.02.24 17:32:00";"110.531";"0,01000";"2020.02.25 03:09:00";"111.041";"-3,25";"507,70";"IST";"SL";"-3,25";"1,08";"9h 37m";"";"110.531";"2020.02.24 16:30:00";"111,03100";"108,63100";"Main: USDJPY_M1_UTC2/M30";"51,00";"16,90"
"203";"USDJPY_M1_UTC2";"Sell";"2020.03.09 05:14:00";"101.627";"0,01000";"2020.03.09 05:20:00";"102.137";"-3,25";"504,45";"IST";"SL";"-3,25";"0,28";"6m 0s";"";"101.627";"2020.03.09 05:00:00";"102,12700";"99,72700";"Main: USDJPY_M1_UTC2/M30";"51,00";"4,40"
"327";"USDJPY_M1_UTC2";"Sell";"2020.04.13 04:15:00";"108.052";"0,01000";"2020.04.17 19:00:00";"107.561";"3,13";"507,58";"IST";"End Of Friday (Time)";"-0,98";"6,98";"4d 14h 45m";"";"108.052";"2020.04.13 00:00:00";"108,55200";"106,15200";"Main: USDJPY_M1_UTC2/M30";"15,40";"109,60"
"374";"USDJPY_M1_UTC2";"Buy";"2020.04.30 22:10:00";"107.304";"0,01000";"2020.05.01 12:26:00";"106.794";"-3,25";"504,33";"IST";"SL";"-3,25";"1,24";"14h 16m";"";"107.304";"2020.04.30 16:30:00";"106,80400";"109,20400";"Main: USDJPY_M1_UTC2/M30";"51,00";"19,50"
"433";"USDJPY_M1_UTC2";"Buy";"2020.05.19 15:21:00";"107.877";"0,01000";"2020.05.20 18:26:00";"107.367";"-3,25";"501,08";"IST";"SL";"-3,25";"1,34";"1d 3h 5m";"";"107.877";"2020.05.19 13:00:00";"107,37700";"109,77700";"Main: USDJPY_M1_UTC2/M30";"51,00";"21,10"
"473";"USDJPY_M1_UTC2";"Buy";"2020.06.02 15:16:00";"108.263";"0,01000";"2020.06.05 19:00:00";"109.672";"8,98";"510,06";"IST";"End Of Friday (Time)";"-0,30";"10,11";"3d 3h 44m";"";"108.263";"2020.06.02 14:30:00";"107,76300";"110,16300";"Main: USDJPY_M1_UTC2/M30";"4,70";"158,60"
"514";"USDJPY_M1_UTC2";"Sell";"2020.06.18 02:40:00";"106.890";"0,01000";"2020.06.19 19:00:00";"106.938";"-0,31";"509,76";"IST";"End Of Friday (Time)";"-1,71";"1,22";"1d 16h 20m";"";"106.890";"2020.06.17 21:00:00";"107,39000";"104,99000";"Main: USDJPY_M1_UTC2/M30";"26,80";"19,20"
"522";"USDJPY_M1_UTC2";"Buy";"2020.06.23 06:16:00";"107.242";"0,01000";"2020.06.23 15:44:00";"106.732";"-3,25";"506,51";"IST";"SL";"-3,25";"0,00";"9h 28m";"";"107.242";"2020.06.23 02:30:00";"106,74200";"109,14200";"Main: USDJPY_M1_UTC2/M30";"51,00";"0,00"
"565";"USDJPY_M1_UTC2";"Buy";"2020.07.06 03:40:00";"107.686";"0,01000";"2020.07.09 03:18:00";"107.176";"-3,25";"503,26";"IST";"SL";"-3,25";"0,66";"2d 23h 38m";"";"107.686";"2020.07.06 01:30:00";"107,18600";"109,58600";"Main: USDJPY_M1_UTC2/M30";"51,00";"10,40"
"670";"USDJPY_M1_UTC2";"Buy";"2020.08.07 17:23:00";"106.041";"0,01000";"2020.08.07 19:00:00";"105.907";"-0,85";"502,40";"IST";"End Of Friday (Time)";"-1,66";"0,09";"1h 37m";"";"106.041";"2020.08.07 17:00:00";"105,54100";"107,94100";"Main: USDJPY_M1_UTC2/M30";"26,10";"1,40"
"753";"USDJPY_M1_UTC2";"Buy";"2020.09.03 15:11:00";"106.562";"0,01000";"2020.09.03 18:17:00";"106.052";"-3,25";"499,15";"IST";"SL";"-3,25";"0,00";"3h 6m";"";"106.562";"2020.09.03 13:00:00";"106,06200";"108,46200";"Main: USDJPY_M1_UTC2/M30";"51,00";"0,00"
"769";"USDJPY_M1_UTC2";"Sell";"2020.09.08 15:42:00";"105.949";"0,01000";"2020.09.11 19:00:00";"106.211";"-1,67";"497,48";"IST";"End Of Friday (Time)";"-2,44";"0,82";"3d 3h 18m";"";"105.949";"2020.09.08 15:00:00";"106,44900";"104,04900";"Main: USDJPY_M1_UTC2/M30";"38,30";"12,90"
"773";"USDJPY_M1_UTC2";"Sell";"2020.09.14 16:45:00";"105.674";"0,01000";"2020.09.18 19:00:00";"104.484";"7,58";"505,07";"IST";"End Of Friday (Time)";"-1,08";"8,74";"4d 2h 15m";"";"105.674";"2020.09.14 15:30:00";"106,17400";"103,77400";"Main: USDJPY_M1_UTC2/M30";"17,00";"137,20"
"822";"USDJPY_M1_UTC2";"Sell";"2020.10.02 08:43:00";"105.065";"0,01000";"2020.10.02 19:00:00";"105.401";"-2,14";"502,93";"IST";"End Of Friday (Time)";"-2,29";"0,59";"10h 17m";"";"105.065";"2020.10.02 08:00:00";"105,56500";"103,16500";"Main: USDJPY_M1_UTC2/M30";"35,90";"9,30"
"924";"USDJPY_M1_UTC2";"Buy";"2020.11.04 04:40:00";"105.316";"0,01000";"2020.11.04 06:32:00";"104.806";"-3,25";"499,67";"IST";"SL";"-3,25";"0,18";"1h 52m";"";"105.316";"2020.11.04 03:00:00";"104,81600";"107,21600";"Main: USDJPY_M1_UTC2/M30";"51,00";"2,80"
"941";"USDJPY_M1_UTC2";"Buy";"2020.11.09 14:02:00";"104.304";"0,01000";"2020.11.13 19:00:00";"104.600";"1,89";"501,56";"IST";"End Of Friday (Time)";"-0,76";"8,74";"4d 4h 58m";"";"104.304";"2020.11.09 11:00:00";"103,80400";"106,20400";"Main: USDJPY_M1_UTC2/M30";"12,00";"137,20"
"968";"USDJPY_M1_UTC2";"Buy";"2020.11.23 17:02:00";"104.139";"0,01000";"2020.11.27 19:00:00";"104.055";"-0,54";"501,03";"IST";"End Of Friday (Time)";"-1,48";"3,96";"4d 1h 58m";"";"104.139";"2020.11.23 15:30:00";"103,63900";"106,03900";"Main: USDJPY_M1_UTC2/M30";"23,30";"62,20"
"1008";"USDJPY_M1_UTC2";"Buy";"2020.12.09 19:16:00";"104.410";"0,01000";"2020.12.11 17:15:00";"103.900";"-3,25";"497,78";"IST";"SL";"-3,25";"1,08";"1d 21h 59m";"";"104.410";"2020.12.09 14:30:00";"103,91000";"106,31000";"Main: USDJPY_M1_UTC2/M30";"51,00";"16,90"
"1160";"USDJPY_M1_UTC2";"Buy";"2021.01.27 16:43:00";"104.175";"0,01000";"2021.01.29 19:00:00";"104.636";"2,94";"500,71";"IST";"End Of Friday (Time)";"-0,94";"4,88";"2d 2h 17m";"";"104.175";"2021.01.27 11:00:00";"103,67500";"106,07500";"Main: USDJPY_M1_UTC2/M30";"14,70";"76,50"
"1178";"USDJPY_M1_UTC2";"Buy";"2021.02.04 16:38:00";"105.412";"0,01000";"2021.02.05 19:00:00";"105.427";"0,10";"500,81";"IST";"End Of Friday (Time)";"-0,50";"2,28";"1d 2h 22m";"";"105.412";"2021.02.04 11:00:00";"104,91200";"107,31200";"Main: USDJPY_M1_UTC2/M30";"7,80";"35,70"
"1203";"USDJPY_M1_UTC2";"Buy";"2021.02.12 11:17:00";"105.204";"0,01000";"2021.02.12 19:00:00";"104.941";"-1,68";"499,13";"IST";"End Of Friday (Time)";"-1,87";"0,00";"7h 43m";"";"105.204";"2021.02.12 08:30:00";"104,70400";"107,10400";"Main: USDJPY_M1_UTC2/M30";"29,40";"0,00"
"1210";"USDJPY_M1_UTC2";"Buy";"2021.02.16 19:37:00";"105.984";"0,01000";"2021.02.19 10:33:00";"105.474";"-3,25";"495,88";"IST";"SL";"-3,25";"1,53";"2d 14h 56m";"";"105.984";"2021.02.16 14:30:00";"105,48400";"107,88400";"Main: USDJPY_M1_UTC2/M30";"51,00";"24,00"
"1211";"USDJPY_M1_UTC2";"Sell";"2021.02.19 14:56:00";"105.251";"0,01000";"2021.02.19 19:00:00";"105.620";"-2,35";"493,53";"IST";"End Of Friday (Time)";"-2,86";"0,00";"4h 4m";"";"105.251";"2021.02.19 11:00:00";"105,75100";"103,35100";"Main: USDJPY_M1_UTC2/M30";"44,90";"0,00"
"1225";"USDJPY_M1_UTC2";"Buy";"2021.02.24 15:49:00";"106.123";"0,01000";"2021.02.26 19:00:00";"106.634";"3,26";"496,79";"IST";"End Of Friday (Time)";"-1,91";"3,58";"2d 3h 11m";"";"106.123";"2021.02.24 10:00:00";"105,62300";"108,02300";"Main: USDJPY_M1_UTC2/M30";"30,00";"56,20"
"1245";"USDJPY_M1_UTC2";"Buy";"2021.03.04 20:23:00";"107.908";"0,01000";"2021.03.05 19:00:00";"108.238";"2,10";"498,89";"IST";"End Of Friday (Time)";"-0,85";"4,69";"22h 37m";"";"107.908";"2021.03.04 15:30:00";"107,40800";"109,80800";"Main: USDJPY_M1_UTC2/M30";"13,30";"73,60"
"1396";"USDJPY_M1_UTC2";"Sell";"2021.04.19 11:03:00";"108.187";"0,01000";"2021.04.23 19:00:00";"107.987";"1,27";"500,17";"IST";"End Of Friday (Time)";"-2,49";"4,34";"4d 7h 57m";"";"108.187";"2021.04.19 09:00:00";"108,68700";"106,28700";"Main: USDJPY_M1_UTC2/M30";"39,10";"68,10"
"1443";"USDJPY_M1_UTC2";"Sell";"2021.05.07 15:36:00";"108.560";"0,01000";"2021.05.07 19:00:00";"108.560";"0,00";"500,17";"IST";"End Of Friday (Time)";"-2,26";"1,23";"3h 24m";"";"108.560";"2021.05.07 12:00:00";"109,06000";"106,66000";"Main: USDJPY_M1_UTC2/M30";"35,50";"19,30"
"1455";"USDJPY_M1_UTC2";"Buy";"2021.05.12 19:50:00";"109.655";"0,01000";"2021.05.14 19:00:00";"109.362";"-1,87";"498,30";"IST";"End Of Friday (Time)";"-2,99";"0,82";"1d 23h 10m";"";"109.655";"2021.05.12 16:00:00";"109,15500";"111,55500";"Main: USDJPY_M1_UTC2/M30";"46,90";"12,90"
"1561";"USDJPY_M1_UTC2";"Buy";"2021.06.16 22:56:00";"110.641";"0,01000";"2021.06.18 08:47:00";"110.131";"-3,25";"495,05";"IST";"SL";"-3,25";"1,15";"1d 9h 51m";"";"110.641";"2021.06.16 21:30:00";"110,14100";"112,54100";"Main: USDJPY_M1_UTC2/M30";"51,00";"18,10"
"1604";"USDJPY_M1_UTC2";"Buy";"2021.06.30 17:57:00";"111.043";"0,01000";"2021.07.02 19:00:00";"111.282";"1,52";"496,57";"IST";"End Of Friday (Time)";"-0,89";"3,91";"2d 1h 3m";"";"111.043";"2021.06.30 14:30:00";"110,54300";"112,94300";"Main: USDJPY_M1_UTC2/M30";"13,90";"61,40"
"1621";"USDJPY_M1_UTC2";"Sell";"2021.07.08 10:18:00";"109.995";"0,01000";"2021.07.09 19:00:00";"110.222";"-1,45";"495,12";"IST";"End Of Friday (Time)";"-1,86";"2,75";"1d 8h 42m";"";"109.995";"2021.07.08 08:30:00";"110,49500";"108,09500";"Main: USDJPY_M1_UTC2/M30";"29,20";"43,20"
"1645";"USDJPY_M1_UTC2";"Sell";"2021.07.19 16:50:00";"109.101";"0,01000";"2021.07.19 18:31:00";"109.611";"-3,25";"491,87";"IST";"SL";"-3,25";"0,05";"1h 41m";"";"109.101";"2021.07.19 11:00:00";"109,60100";"107,20100";"Main: USDJPY_M1_UTC2/M30";"51,00";"0,80"
"1741";"USDJPY_M1_UTC2";"Sell";"2021.08.13 17:07:00";"110.003";"0,01000";"2021.08.13 19:00:00";"109.795";"1,33";"493,20";"IST";"End Of Friday (Time)";"-0,18";"1,54";"1h 53m";"";"110.003";"2021.08.13 14:30:00";"110,50300";"108,10300";"Main: USDJPY_M1_UTC2/M30";"2,80";"24,10"
