"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"41";"USDJPY_M1_UTC2";"Buy";"2020.01.13 11:11:00";"109.904";"0,01000";"2020.01.17 19:00:00";"110.151";"1,57";"501,57";"IST";"End Of Friday (Time)";"-0,74";"2,46";"4d 7h 49m";"";"109.904";"2020.01.13 07:30:00";"109,40400";"111,60400";"Main: USDJPY_M1_UTC2/M30";"11,60";"38,60"
"50";"USDJPY_M1_UTC2";"Sell";"2020.01.21 03:20:00";"109.987";"0,01000";"2020.01.24 19:00:00";"109.365";"3,96";"505,54";"IST";"End Of Friday (Time)";"-1,04";"4,40";"3d 15h 40m";"";"109.987";"2020.01.20 22:30:00";"110,48700";"108,28700";"Main: USDJPY_M1_UTC2/M30";"16,30";"69,10"
"161";"USDJPY_M1_UTC2";"Buy";"2020.02.19 16:55:00";"110.889";"0,01000";"2020.02.21 19:00:00";"111.732";"5,37";"510,91";"IST";"End Of Friday (Time)";"-0,76";"8,51";"2d 2h 5m";"";"110.889";"2020.02.19 12:00:00";"110,38900";"112,58900";"Main: USDJPY_M1_UTC2/M30";"12,00";"133,50"
"288";"USDJPY_M1_UTC2";"Sell";"2020.04.09 19:26:00";"108.346";"0,01000";"2020.04.10 19:00:00";"108.433";"-0,55";"510,36";"IST";"End Of Friday (Time)";"-1,73";"0,69";"23h 34m";"";"108.346";"2020.04.09 12:00:00";"108,84600";"106,64600";"Main: USDJPY_M1_UTC2/M30";"27,10";"10,90"
"388";"USDJPY_M1_UTC2";"Sell";"2020.05.05 03:29:00";"106.536";"0,01000";"2020.05.08 19:00:00";"106.552";"-0,10";"510,25";"IST";"End Of Friday (Time)";"-2,47";"3,31";"3d 15h 31m";"";"106.536";"2020.05.04 22:30:00";"107,03600";"104,83600";"Main: USDJPY_M1_UTC2/M30";"38,80";"52,00"
"429";"USDJPY_M1_UTC2";"Buy";"2020.05.19 16:20:00";"108.091";"0,01000";"2020.05.20 14:00:00";"107.581";"-3,25";"507,00";"IST";"SL";"-3,25";"0,00";"21h 40m";"";"108.091";"2020.05.19 13:30:00";"107,59100";"109,79100";"Main: USDJPY_M1_UTC2/M30";"51,00";"0,00"
"456";"USDJPY_M1_UTC2";"Sell";"2020.05.26 15:00:00";"107.461";"0,01000";"2020.05.27 16:09:00";"107.971";"-3,25";"503,75";"IST";"SL";"-3,25";"0,42";"1d 1h 9m";"";"107.461";"2020.05.26 13:30:00";"107,96100";"105,76100";"Main: USDJPY_M1_UTC2/M30";"51,00";"6,60"
"481";"USDJPY_M1_UTC2";"Buy";"2020.06.02 15:34:00";"108.427";"0,01000";"2020.06.05 19:00:00";"109.672";"7,93";"511,69";"IST";"End Of Friday (Time)";"-1,09";"9,06";"3d 3h 26m";"";"108.427";"2020.06.02 13:30:00";"107,92700";"110,12700";"Main: USDJPY_M1_UTC2/M30";"17,10";"142,20"
"530";"USDJPY_M1_UTC2";"Sell";"2020.06.18 02:40:00";"106.891";"0,01000";"2020.06.19 19:00:00";"106.938";"-0,30";"511,39";"IST";"End Of Friday (Time)";"-1,70";"1,23";"1d 16h 20m";"";"106.891";"2020.06.17 19:30:00";"107,39100";"105,19100";"Main: USDJPY_M1_UTC2/M30";"26,70";"19,30"
"537";"USDJPY_M1_UTC2";"Buy";"2020.06.23 05:24:00";"107.109";"0,01000";"2020.06.23 15:46:00";"106.599";"-3,25";"508,14";"IST";"SL";"-3,25";"0,71";"10h 22m";"";"107.109";"2020.06.22 22:30:00";"106,60900";"108,80900";"Main: USDJPY_M1_UTC2/M30";"51,00";"11,20"
"540";"USDJPY_M1_UTC2";"Sell";"2020.06.23 16:14:00";"106.443";"0,01000";"2020.06.24 17:06:00";"106.953";"-3,25";"504,89";"IST";"SL";"-3,25";"2,17";"1d 0h 52m";"";"106.443";"2020.06.23 16:00:00";"106,94300";"104,74300";"Main: USDJPY_M1_UTC2/M30";"51,00";"34,10"
"559";"USDJPY_M1_UTC2";"Buy";"2020.06.29 17:05:00";"107.766";"0,01000";"2020.07.03 19:00:00";"107.514";"-1,61";"503,28";"IST";"End Of Friday (Time)";"-2,78";"2,54";"4d 1h 55m";"";"107.766";"2020.06.29 15:00:00";"107,26600";"109,46600";"Main: USDJPY_M1_UTC2/M30";"43,60";"39,80"
"561";"USDJPY_M1_UTC2";"Buy";"2020.07.06 05:02:00";"107.790";"0,01000";"2020.07.06 21:40:00";"107.280";"-3,25";"500,03";"IST";"SL";"-3,25";"0,00";"16h 38m";"";"107.790";"2020.07.06 00:00:00";"107,29000";"109,49000";"Main: USDJPY_M1_UTC2/M30";"51,00";"0,00"
"606";"USDJPY_M1_UTC2";"Sell";"2020.07.15 15:35:00";"106.817";"0,01000";"2020.07.16 20:35:00";"107.327";"-3,25";"496,78";"IST";"SL";"-3,25";"0,77";"1d 5h 0m";"";"106.817";"2020.07.15 12:00:00";"107,31700";"105,11700";"Main: USDJPY_M1_UTC2/M30";"51,00";"12,10"
"697";"USDJPY_M1_UTC2";"Buy";"2020.08.07 17:06:00";"105.998";"0,01000";"2020.08.07 19:00:00";"105.907";"-0,58";"496,20";"IST";"End Of Friday (Time)";"-1,39";"0,36";"1h 54m";"";"105.998";"2020.08.07 10:30:00";"105,49800";"107,69800";"Main: USDJPY_M1_UTC2/M30";"21,80";"5,70"
"749";"USDJPY_M1_UTC2";"Buy";"2020.08.19 22:50:00";"106.066";"0,01000";"2020.08.21 08:19:00";"105.556";"-3,25";"492,95";"IST";"SL";"-3,25";"0,95";"1d 9h 29m";"";"106.066";"2020.08.19 19:30:00";"105,56600";"107,76600";"Main: USDJPY_M1_UTC2/M30";"51,00";"14,90"
"826";"USDJPY_M1_UTC2";"Sell";"2020.09.08 15:42:00";"105.951";"0,01000";"2020.09.11 19:00:00";"106.211";"-1,66";"491,29";"IST";"End Of Friday (Time)";"-2,43";"0,83";"3d 3h 18m";"";"105.951";"2020.09.08 13:30:00";"106,45100";"104,25100";"Main: USDJPY_M1_UTC2/M30";"38,10";"13,10"
"832";"USDJPY_M1_UTC2";"Sell";"2020.09.14 17:22:00";"105.567";"0,01000";"2020.09.18 19:00:00";"104.484";"6,90";"498,20";"IST";"End Of Friday (Time)";"-1,77";"8,06";"4d 1h 38m";"";"105.567";"2020.09.14 15:00:00";"106,06700";"103,86700";"Main: USDJPY_M1_UTC2/M30";"27,70";"126,50"
"892";"USDJPY_M1_UTC2";"Sell";"2020.10.02 08:35:00";"105.158";"0,01000";"2020.10.02 19:00:00";"105.401";"-1,55";"496,65";"IST";"End Of Friday (Time)";"-1,70";"1,19";"10h 25m";"";"105.158";"2020.10.02 01:30:00";"105,65800";"103,45800";"Main: USDJPY_M1_UTC2/M30";"26,60";"18,60"
"907";"USDJPY_M1_UTC2";"Buy";"2020.10.07 10:32:00";"105.894";"0,01000";"2020.10.09 19:00:00";"105.705";"-1,20";"495,44";"IST";"End Of Friday (Time)";"-1,81";"1,36";"2d 8h 28m";"";"105.894";"2020.10.07 04:30:00";"105,39400";"107,59400";"Main: USDJPY_M1_UTC2/M30";"28,40";"21,30"
"956";"USDJPY_M1_UTC2";"Sell";"2020.10.21 11:22:00";"104.908";"0,01000";"2020.10.23 19:00:00";"104.818";"0,57";"496,02";"IST";"End Of Friday (Time)";"-0,58";"3,42";"2d 7h 38m";"";"104.908";"2020.10.21 04:30:00";"105,40800";"103,20800";"Main: USDJPY_M1_UTC2/M30";"9,10";"53,70"
"981";"USDJPY_M1_UTC2";"Buy";"2020.10.29 18:35:00";"104.675";"0,01000";"2020.10.30 08:40:00";"104.165";"-3,25";"492,77";"IST";"SL";"-3,25";"0,34";"14h 5m";"";"104.675";"2020.10.29 18:00:00";"104,17500";"106,37500";"Main: USDJPY_M1_UTC2/M30";"51,00";"5,30"
"1015";"USDJPY_M1_UTC2";"Buy";"2020.11.09 13:58:00";"104.165";"0,01000";"2020.11.13 19:00:00";"104.600";"2,77";"495,54";"IST";"End Of Friday (Time)";"-0,26";"9,63";"4d 5h 2m";"";"104.165";"2020.11.09 07:30:00";"103,66500";"105,86500";"Main: USDJPY_M1_UTC2/M30";"4,10";"151,10"
