"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"57";"USDJPY_M1_UTC2";"Buy";"2020.02.12 10:44:00";"110.154";"0,01000";"2020.02.13 12:09:00";"109.644";"-3,25";"496,75";"IST";"SL";"-3,25";"0,00";"1d 1h 25m";"";"110.154";"2020.02.12 06:00:00";"109,65400";"112,00400";"Main: USDJPY_M1_UTC2/M30";"51,00";"0,00"
"68";"USDJPY_M1_UTC2";"Sell";"2020.02.24 19:23:00";"110.437";"0,01000";"2020.02.25 02:03:00";"110.947";"-3,25";"493,50";"IST";"SL";"-3,25";"0,48";"6h 40m";"";"110.437";"2020.02.24 13:30:00";"110,93700";"108,58700";"Main: USDJPY_M1_UTC2/M30";"51,00";"7,50"
"95";"USDJPY_M1_UTC2";"Sell";"2020.03.05 12:14:00";"106.813";"0,01000";"2020.03.06 19:00:00";"105.345";"9,36";"502,85";"IST";"End Of Friday (Time)";"-1,58";"11,41";"1d 6h 46m";"";"106.813";"2020.03.05 07:00:00";"107,31300";"104,96300";"Main: USDJPY_M1_UTC2/M30";"24,80";"179,00"
"96";"USDJPY_M1_UTC2";"Sell";"2020.03.09 04:49:00";"102.135";"0,01000";"2020.03.09 04:51:00";"102.645";"-3,25";"499,60";"IST";"SL";"-3,25";"3,16";"2m 0s";"";"102.135";"2020.03.09 02:30:00";"102,63500";"100,28500";"Main: USDJPY_M1_UTC2/M30";"51,00";"49,60"
"157";"USDJPY_M1_UTC2";"Sell";"2020.04.13 04:15:00";"108.068";"0,01000";"2020.04.17 19:00:00";"107.561";"3,23";"502,84";"IST";"End Of Friday (Time)";"-0,88";"7,09";"4d 14h 45m";"";"108.068";"2020.04.13 02:00:00";"108,56800";"106,21800";"Main: USDJPY_M1_UTC2/M30";"13,80";"111,20"
"169";"USDJPY_M1_UTC2";"Buy";"2020.04.23 16:38:00";"108.046";"0,01000";"2020.04.23 17:52:00";"107.536";"-3,25";"499,59";"IST";"SL";"-3,25";"0,00";"1h 14m";"";"108.046";"2020.04.23 15:00:00";"107,54600";"109,89600";"Main: USDJPY_M1_UTC2/M30";"51,00";"0,00"
"176";"USDJPY_M1_UTC2";"Sell";"2020.04.28 12:19:00";"106.852";"0,01000";"2020.04.30 22:16:00";"107.362";"-3,25";"496,34";"IST";"SL";"-3,25";"2,96";"2d 9h 57m";"";"106.852";"2020.04.28 11:30:00";"107,35200";"105,00200";"Main: USDJPY_M1_UTC2/M30";"51,00";"46,50"
"254";"USDJPY_M1_UTC2";"Sell";"2020.06.18 03:04:00";"106.812";"0,01000";"2020.06.19 19:00:00";"106.938";"-0,80";"495,53";"IST";"End Of Friday (Time)";"-2,20";"0,73";"1d 15h 56m";"";"106.812";"2020.06.17 20:00:00";"107,31200";"104,96200";"Main: USDJPY_M1_UTC2/M30";"34,60";"11,40"
"259";"USDJPY_M1_UTC2";"Buy";"2020.06.23 05:27:00";"107.166";"0,01000";"2020.06.23 15:45:00";"106.656";"-3,25";"492,28";"IST";"SL";"-3,25";"0,35";"10h 18m";"";"107.166";"2020.06.22 23:00:00";"106,66600";"109,01600";"Main: USDJPY_M1_UTC2/M30";"51,00";"5,50"
"343";"USDJPY_M1_UTC2";"Buy";"2020.08.07 15:30:00";"105.865";"0,01000";"2020.08.07 19:00:00";"105.907";"0,27";"492,55";"IST";"End Of Friday (Time)";"-1,99";"1,21";"3h 30m";"";"105.865";"2020.08.07 10:00:00";"105,36500";"107,71500";"Main: USDJPY_M1_UTC2/M30";"31,30";"19,00"
