"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"2";"USDJPY_M1_UTC2";"Sell";"2020.02.21 03:28:00";"112.027";"0,01000";"2020.02.21 19:00:00";"111.782";"1,56";"501,56";"IST";"End Of Friday (Time)";"-0,54";"3,35";"15h 32m";"";"112.027";"2020.02.21 02:30:00";"112,67700";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"8,40";"52,50"
"5";"USDJPY_M1_UTC2";"Buy";"2020.02.26 03:34:00";"110.230";"0,01000";"2020.02.27 10:32:00";"109.879";"-2,24";"499,32";"IST";"TrailingStop";"-2,24";"3,00";"1d 6h 58m";"";"110.230";"2020.02.26 03:30:00";"109,58000";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"35,10";"47,10"
"9";"USDJPY_M1_UTC2";"Sell";"2020.04.22 01:51:00";"107.753";"0,01000";"2020.04.24 19:00:00";"107.483";"1,72";"501,05";"IST";"End Of Friday (Time)";"-2,03";"2,40";"2d 17h 9m";"";"107.753";"2020.04.22 01:30:00";"108,40300";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"31,90";"37,60"
"10";"USDJPY_M1_UTC2";"Buy";"2020.06.12 01:52:00";"106.788";"0,01000";"2020.06.12 19:00:00";"107.359";"3,64";"504,68";"IST";"End Of Friday (Time)";"-1,30";"4,87";"17h 8m";"";"106.788";"2020.06.12 01:30:00";"106,13800";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"20,40";"76,40"
"12";"USDJPY_M1_UTC2";"Buy";"2020.07.27 02:07:00";"106.057";"0,01000";"2020.07.27 09:45:00";"105.397";"-4,21";"500,48";"IST";"SL";"-4,21";"0,00";"7h 38m";"";"106.057";"2020.07.27 01:30:00";"105,40700";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"66,00";"0,00"
"15";"USDJPY_M1_UTC2";"Sell";"2020.09.04 03:50:00";"106.099";"0,01000";"2020.09.04 19:00:00";"106.387";"-1,84";"498,64";"IST";"End Of Friday (Time)";"-2,77";"0,00";"15h 10m";"";"106.099";"2020.09.04 03:30:00";"106,74900";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"43,50";"0,00"
"16";"USDJPY_M1_UTC2";"Buy";"2020.09.21 00:47:00";"104.591";"0,01000";"2020.09.25 19:00:00";"105.582";"6,32";"504,96";"IST";"End Of Friday (Time)";"-3,77";"7,07";"4d 18h 13m";"";"104.591";"2020.09.21 00:00:00";"103,94100";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"59,20";"110,90"
"17";"USDJPY_M1_UTC2";"Buy";"2020.11.18 03:47:00";"104.176";"0,01000";"2020.11.20 19:00:00";"103.806";"-2,36";"502,60";"IST";"End Of Friday (Time)";"-3,35";"0,25";"2d 15h 13m";"";"104.176";"2020.11.18 02:30:00";"103,52600";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"52,50";"4,00"
"18";"USDJPY_M1_UTC2";"Sell";"2020.12.22 04:59:00";"103.347";"0,01000";"2020.12.28 00:00:00";"103.551";"-1,30";"501,30";"IST";"End Of Friday";"-2,87";"0,00";"5d 19h 1m";"";"103.347";"2020.12.22 04:00:00";"103,99700";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"45,00";"0,00"
"20";"USDJPY_M1_UTC2";"Sell";"2021.01.12 00:23:00";"104.171";"0,01000";"2021.01.15 19:00:00";"103.841";"2,10";"503,40";"IST";"End Of Friday (Time)";"-1,22";"3,93";"3d 18h 37m";"";"104.171";"2021.01.12 00:00:00";"104,82100";"-100000000,00000";"Main: USDJPY_M1_UTC2/M30";"19,10";"61,60"
