"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"2";"USDJPY_M1_UTC2";"Sell";"2020.01.02 17:31:00";"108.320";"0,01000";"2020.01.03 19:00:00";"107.986";"2,13";"502,13";"IST";"End Of Friday (Time)";"-2,17";"2,39";"1d 1h 29m";"";"108.320";"2020.01.02 10:30:00";"108,72000";"106,32000";"Main: USDJPY_M1_UTC2/M30";"34,00";"37,50"
"80";"USDJPY_M1_UTC2";"Sell";"2020.02.24 16:53:00";"110.773";"0,01000";"2020.02.28 10:35:00";"108.773";"12,75";"514,87";"IST";"PT";"-1,90";"12,75";"3d 17h 42m";"";"110.773";"2020.02.24 10:30:00";"111,17300";"108,77300";"Main: USDJPY_M1_UTC2/M30";"29,80";"200,00"
"94";"USDJPY_M1_UTC2";"Sell";"2020.03.09 04:49:00";"103.036";"0,01000";"2020.03.10 03:57:00";"103.446";"-2,61";"512,26";"IST";"SL";"-2,61";"11,64";"23h 8m";"";"103.036";"2020.03.09 01:00:00";"103,43600";"101,03600";"Main: USDJPY_M1_UTC2/M30";"41,00";"182,60"
"141";"USDJPY_M1_UTC2";"Sell";"2020.04.13 04:14:00";"108.104";"0,01000";"2020.04.17 19:00:00";"107.561";"3,46";"515,72";"IST";"End Of Friday (Time)";"-0,65";"7,32";"4d 14h 46m";"";"108.104";"2020.04.13 01:30:00";"108,50400";"106,10400";"Main: USDJPY_M1_UTC2/M30";"10,20";"114,80"
"148";"USDJPY_M1_UTC2";"Buy";"2020.04.23 16:39:00";"108.063";"0,01000";"2020.04.23 17:05:00";"107.653";"-2,61";"513,11";"IST";"SL";"-2,61";"0,00";"26m 0s";"";"108.063";"2020.04.23 14:30:00";"107,66300";"110,06300";"Main: USDJPY_M1_UTC2/M30";"41,00";"0,00"
"181";"USDJPY_M1_UTC2";"Buy";"2020.05.19 15:19:00";"107.845";"0,01000";"2020.05.20 17:09:00";"107.435";"-2,61";"510,50";"IST";"SL";"-2,61";"1,55";"1d 1h 50m";"";"107.845";"2020.05.19 10:30:00";"107,44500";"109,84500";"Main: USDJPY_M1_UTC2/M30";"41,00";"24,30"
"191";"USDJPY_M1_UTC2";"Buy";"2020.05.26 04:34:00";"107.936";"0,01000";"2020.05.26 14:34:00";"107.526";"-2,61";"507,88";"IST";"SL";"-2,61";"0,00";"10h 0m";"";"107.936";"2020.05.26 00:30:00";"107,53600";"109,93600";"Main: USDJPY_M1_UTC2/M30";"41,00";"0,00"
"222";"USDJPY_M1_UTC2";"Buy";"2020.06.23 05:35:00";"107.187";"0,01000";"2020.06.23 15:35:00";"106.777";"-2,61";"505,27";"IST";"SL";"-2,61";"0,22";"10h 0m";"";"107.187";"2020.06.23 00:30:00";"106,78700";"109,18700";"Main: USDJPY_M1_UTC2/M30";"41,00";"3,40"
"224";"USDJPY_M1_UTC2";"Sell";"2020.06.23 16:16:00";"106.393";"0,01000";"2020.06.24 15:41:00";"106.803";"-2,61";"502,66";"IST";"SL";"-2,61";"1,85";"23h 25m";"";"106.393";"2020.06.23 16:00:00";"106,79300";"104,39300";"Main: USDJPY_M1_UTC2/M30";"41,00";"29,10"
"271";"USDJPY_M1_UTC2";"Sell";"2020.07.31 04:48:00";"104.261";"0,01000";"2020.07.31 11:29:00";"104.671";"-2,61";"500,04";"IST";"SL";"-2,61";"0,29";"6h 41m";"";"104.261";"2020.07.30 23:30:00";"104,66100";"102,26100";"Main: USDJPY_M1_UTC2/M30";"41,00";"4,50"
"295";"USDJPY_M1_UTC2";"Buy";"2020.08.25 13:50:00";"106.521";"0,01000";"2020.08.26 17:44:00";"106.111";"-2,61";"497,43";"IST";"SL";"-2,61";"0,36";"1d 3h 54m";"";"106.521";"2020.08.25 05:30:00";"106,12100";"108,52100";"Main: USDJPY_M1_UTC2/M30";"41,00";"5,60"
"426";"USDJPY_M1_UTC2";"Buy";"2020.11.23 16:49:00";"104.014";"0,01000";"2020.11.27 19:00:00";"104.055";"0,26";"497,69";"IST";"End Of Friday (Time)";"-0,69";"4,76";"4d 2h 11m";"";"104.014";"2020.11.23 13:30:00";"103,61400";"106,01400";"Main: USDJPY_M1_UTC2/M30";"10,80";"74,70"
"521";"USDJPY_M1_UTC2";"Buy";"2021.02.01 15:26:00";"105.002";"0,01000";"2021.02.05 19:00:00";"105.427";"2,71";"500,40";"IST";"End Of Friday (Time)";"-1,11";"4,89";"4d 3h 34m";"";"105.002";"2021.02.01 11:30:00";"104,60200";"107,00200";"Main: USDJPY_M1_UTC2/M30";"17,40";"76,70"
"553";"USDJPY_M1_UTC2";"Buy";"2021.03.04 17:19:00";"107.552";"0,01000";"2021.03.05 19:00:00";"108.238";"4,37";"504,77";"IST";"End Of Friday (Time)";"-0,25";"6,96";"1d 1h 41m";"";"107.552";"2021.03.04 10:30:00";"107,15200";"109,55200";"Main: USDJPY_M1_UTC2/M30";"3,90";"109,20"
