"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"4";"USDJPY_M1_UTC2";"Sell";"2020.01.03 04:15:00";"108.126";"0,01000";"2020.01.03 19:00:00";"107.986";"0,89";"500,89";"IST";"End Of Friday (Time)";"-1,09";"1,15";"14h 45m";"";"108.126";"2020.01.02 17:00:00";"108,62600";"107,37600";"Main: USDJPY_M1_UTC2/H1";"17,10";"18,10"
"8";"USDJPY_M1_UTC2";"Sell";"2020.01.08 01:39:00";"107.992";"0,01000";"2020.01.08 09:40:00";"108.502";"-3,25";"497,64";"IST";"SL";"-3,25";"1,98";"8h 1m";"";"107.992";"2020.01.07 17:00:00";"108,49200";"107,24200";"Main: USDJPY_M1_UTC2/H1";"51,00";"31,10"
"26";"USDJPY_M1_UTC2";"Sell";"2020.01.21 03:33:00";"109.943";"0,01000";"2020.01.24 19:00:00";"109.365";"3,68";"501,33";"IST";"End Of Friday (Time)";"-1,32";"4,12";"3d 15h 27m";"";"109.943";"2020.01.20 17:00:00";"110,44300";"109,19300";"Main: USDJPY_M1_UTC2/H1";"20,70";"64,70"
"61";"USDJPY_M1_UTC2";"Buy";"2020.02.19 13:29:00";"110.445";"0,01000";"2020.02.19 18:35:00";"111.195";"4,78";"506,11";"IST";"PT";"-0,41";"4,78";"5h 6m";"";"110.445";"2020.02.19 00:00:00";"109,94500";"111,19500";"Main: USDJPY_M1_UTC2/H1";"6,40";"75,00"
"78";"USDJPY_M1_UTC2";"Sell";"2020.02.28 10:55:00";"108.657";"0,01000";"2020.02.28 17:57:00";"107.907";"4,78";"510,88";"IST";"PT";"-1,54";"4,78";"7h 2m";"";"108.657";"2020.02.28 00:00:00";"109,15700";"107,90700";"Main: USDJPY_M1_UTC2/H1";"24,10";"75,00"
"140";"USDJPY_M1_UTC2";"Sell";"2020.04.13 07:50:00";"107.871";"0,01000";"2020.04.14 18:51:00";"107.121";"4,78";"515,66";"IST";"PT";"-1,57";"4,78";"1d 11h 1m";"";"107.871";"2020.04.13 00:00:00";"108,37100";"107,12100";"Main: USDJPY_M1_UTC2/H1";"24,60";"75,00"
"169";"USDJPY_M1_UTC2";"Buy";"2020.04.30 22:10:00";"107.282";"0,01000";"2020.05.01 12:29:00";"106.772";"-3,25";"512,41";"IST";"SL";"-3,25";"1,38";"14h 19m";"";"107.282";"2020.04.30 17:00:00";"106,78200";"108,03200";"Main: USDJPY_M1_UTC2/H1";"51,00";"21,70"
"208";"USDJPY_M1_UTC2";"Sell";"2020.05.26 14:58:00";"107.468";"0,01000";"2020.05.27 16:09:00";"107.978";"-3,25";"509,16";"IST";"SL";"-3,25";"0,47";"1d 1h 11m";"";"107.468";"2020.05.26 00:00:00";"107,96800";"106,71800";"Main: USDJPY_M1_UTC2/H1";"51,00";"7,30"
"212";"USDJPY_M1_UTC2";"Sell";"2020.05.29 07:35:00";"107.262";"0,01000";"2020.05.29 17:49:00";"107.751";"-3,12";"506,05";"IST";"TrailingStop";"-3,12";"0,98";"10h 14m";"";"107.262";"2020.05.28 17:00:00";"107,76200";"106,51200";"Main: USDJPY_M1_UTC2/H1";"48,90";"15,30"
"217";"USDJPY_M1_UTC2";"Buy";"2020.06.02 15:18:00";"108.290";"0,01000";"2020.06.04 02:29:00";"109.040";"4,78";"510,83";"IST";"PT";"-0,33";"4,78";"1d 11h 11m";"";"108.290";"2020.06.02 10:00:00";"107,79000";"109,04000";"Main: USDJPY_M1_UTC2/H1";"5,10";"75,00"
"246";"USDJPY_M1_UTC2";"Sell";"2020.06.23 15:51:00";"106.574";"0,01000";"2020.06.24 16:56:00";"106.876";"-1,92";"508,90";"IST";"TrailingStop";"-1,92";"3,01";"1d 1h 5m";"";"106.574";"2020.06.23 00:00:00";"107,07400";"105,82400";"Main: USDJPY_M1_UTC2/H1";"30,20";"47,20"
"247";"USDJPY_M1_UTC2";"Buy";"2020.06.24 23:04:00";"107.064";"0,01000";"2020.06.26 14:18:00";"106.794";"-1,72";"507,18";"IST";"TrailingStop";"-1,72";"2,47";"1d 15h 14m";"";"107.064";"2020.06.24 17:00:00";"106,56400";"107,81400";"Main: USDJPY_M1_UTC2/H1";"27,00";"38,70"
"261";"USDJPY_M1_UTC2";"Buy";"2020.07.06 03:06:00";"107.671";"0,01000";"2020.07.09 16:46:00";"107.161";"-3,25";"503,93";"IST";"SL";"-3,25";"0,76";"3d 13h 40m";"";"107.671";"2020.07.06 00:00:00";"107,17100";"108,42100";"Main: USDJPY_M1_UTC2/H1";"51,00";"11,90"
"264";"USDJPY_M1_UTC2";"Sell";"2020.07.10 11:41:00";"106.773";"0,01000";"2020.07.10 19:00:00";"106.811";"-0,24";"503,69";"IST";"End Of Friday (Time)";"-0,89";"0,67";"7h 19m";"";"106.773";"2020.07.10 00:00:00";"107,27300";"106,02300";"Main: USDJPY_M1_UTC2/H1";"14,00";"10,50"
"297";"USDJPY_M1_UTC2";"Buy";"2020.07.31 16:55:00";"105.774";"0,01000";"2020.07.31 19:00:00";"105.754";"-0,13";"503,56";"IST";"End Of Friday (Time)";"-1,84";"0,39";"2h 5m";"";"105.774";"2020.07.31 00:00:00";"105,27400";"106,52400";"Main: USDJPY_M1_UTC2/H1";"28,90";"6,10"
"320";"USDJPY_M1_UTC2";"Sell";"2020.08.14 16:50:00";"106.498";"0,01000";"2020.08.14 19:00:00";"106.533";"-0,22";"503,34";"IST";"End Of Friday (Time)";"-1,17";"0,20";"2h 10m";"";"106.498";"2020.08.14 10:00:00";"106,99800";"105,74800";"Main: USDJPY_M1_UTC2/H1";"18,40";"3,20"
"360";"USDJPY_M1_UTC2";"Sell";"2020.09.08 15:42:00";"105.976";"0,01000";"2020.09.11 19:00:00";"106.211";"-1,50";"501,84";"IST";"End Of Friday (Time)";"-2,27";"0,99";"3d 3h 18m";"";"105.976";"2020.09.08 10:00:00";"106,47600";"105,22600";"Main: USDJPY_M1_UTC2/H1";"35,60";"15,60"
"362";"USDJPY_M1_UTC2";"Sell";"2020.09.14 16:34:00";"105.781";"0,01000";"2020.09.16 13:56:00";"105.031";"4,78";"506,62";"IST";"PT";"-0,40";"4,78";"1d 21h 22m";"";"105.781";"2020.09.14 00:00:00";"106,28100";"105,03100";"Main: USDJPY_M1_UTC2/H1";"6,30";"75,00"
"393";"USDJPY_M1_UTC2";"Buy";"2020.10.07 12:07:00";"106.082";"0,01000";"2020.10.09 19:00:00";"105.705";"-2,40";"504,22";"IST";"End Of Friday (Time)";"-3,01";"0,16";"2d 6h 53m";"";"106.082";"2020.10.07 10:00:00";"105,58200";"106,83200";"Main: USDJPY_M1_UTC2/H1";"47,20";"2,50"
"414";"USDJPY_M1_UTC2";"Sell";"2020.10.21 11:22:00";"104.896";"0,01000";"2020.10.23 19:00:00";"104.818";"0,50";"504,72";"IST";"End Of Friday (Time)";"-0,66";"3,35";"2d 7h 38m";"";"104.896";"2020.10.21 00:00:00";"105,39600";"104,14600";"Main: USDJPY_M1_UTC2/H1";"10,30";"52,50"
"431";"USDJPY_M1_UTC2";"Buy";"2020.11.04 04:41:00";"105.357";"0,01000";"2020.11.04 06:32:00";"104.847";"-3,25";"501,47";"IST";"SL";"-3,25";"0,00";"1h 51m";"";"105.357";"2020.11.04 00:00:00";"104,85700";"106,10700";"Main: USDJPY_M1_UTC2/H1";"51,00";"0,00"
"437";"USDJPY_M1_UTC2";"Buy";"2020.11.09 14:45:00";"104.570";"0,01000";"2020.11.09 16:59:00";"105.320";"4,78";"506,25";"IST";"PT";"-0,06";"4,78";"2h 14m";"";"104.570";"2020.11.09 00:00:00";"104,07000";"105,32000";"Main: USDJPY_M1_UTC2/H1";"1,00";"75,00"
"459";"USDJPY_M1_UTC2";"Buy";"2020.11.23 16:51:00";"104.081";"0,01000";"2020.11.27 03:06:00";"104.074";"-0,04";"506,20";"IST";"TrailingStop";"-0,45";"4,33";"3d 10h 15m";"";"104.081";"2020.11.23 00:00:00";"103,58100";"104,83100";"Main: USDJPY_M1_UTC2/H1";"7,00";"68,00"
"530";"USDJPY_M1_UTC2";"Sell";"2021.01.12 22:13:00";"103.756";"0,01000";"2021.01.14 04:34:00";"104.202";"-2,84";"503,36";"IST";"TrailingStop";"-2,84";"1,28";"1d 6h 21m";"";"103.756";"2021.01.12 17:00:00";"104,25600";"103,00600";"Main: USDJPY_M1_UTC2/H1";"44,60";"20,10"
"537";"USDJPY_M1_UTC2";"Buy";"2021.01.19 04:56:00";"104.061";"0,01000";"2021.01.20 17:14:00";"103.551";"-3,25";"500,11";"IST";"SL";"-3,25";"0,15";"1d 12h 18m";"";"104.061";"2021.01.19 00:00:00";"103,56100";"104,81100";"Main: USDJPY_M1_UTC2/H1";"51,00";"2,40"
"547";"USDJPY_M1_UTC2";"Buy";"2021.01.27 16:48:00";"104.195";"0,01000";"2021.01.29 19:00:00";"104.636";"2,81";"502,92";"IST";"End Of Friday (Time)";"-1,06";"4,75";"2d 2h 12m";"";"104.195";"2021.01.27 00:00:00";"103,69500";"104,94500";"Main: USDJPY_M1_UTC2/H1";"16,70";"74,50"
"644";"USDJPY_M1_UTC2";"Sell";"2021.04.08 15:04:00";"109.171";"0,01000";"2021.04.09 11:44:00";"109.681";"-3,25";"499,67";"IST";"SL";"-3,25";"0,92";"20h 40m";"";"109.171";"2021.04.08 00:00:00";"109,67100";"108,42100";"Main: USDJPY_M1_UTC2/H1";"51,00";"14,40"
"658";"USDJPY_M1_UTC2";"Sell";"2021.04.19 10:48:00";"108.318";"0,01000";"2021.04.23 15:39:00";"107.568";"4,78";"504,45";"IST";"PT";"-1,66";"4,78";"4d 4h 51m";"";"108.318";"2021.04.19 00:00:00";"108,81800";"107,56800";"Main: USDJPY_M1_UTC2/H1";"26,00";"75,00"
"772";"USDJPY_M1_UTC2";"Sell";"2021.07.08 11:36:00";"109.760";"0,01000";"2021.07.09 16:57:00";"110.212";"-2,88";"501,57";"IST";"TrailingStop";"-2,88";"1,26";"1d 5h 21m";"";"109.760";"2021.07.08 00:00:00";"110,26000";"109,01000";"Main: USDJPY_M1_UTC2/H1";"45,20";"19,70"
"802";"USDJPY_M1_UTC2";"Sell";"2021.07.27 18:28:00";"109.663";"0,01000";"2021.07.28 15:24:00";"110.173";"-3,25";"498,32";"IST";"SL";"-3,25";"0,32";"20h 56m";"";"109.663";"2021.07.27 10:00:00";"110,16300";"108,91300";"Main: USDJPY_M1_UTC2/H1";"51,00";"5,00"
"828";"USDJPY_M1_UTC2";"Sell";"2021.08.13 17:00:00";"110.084";"0,01000";"2021.08.13 19:00:00";"109.795";"1,84";"500,16";"IST";"End Of Friday (Time)";"-0,09";"2,05";"2h 0m";"";"110.084";"2021.08.13 10:00:00";"110,58400";"109,33400";"Main: USDJPY_M1_UTC2/H1";"1,40";"32,20"
"833";"USDJPY_M1_UTC2";"Buy";"2021.08.18 07:13:00";"109.699";"0,01000";"2021.08.19 11:36:00";"109.561";"-0,88";"499,28";"IST";"TrailingStop";"-1,04";"3,37";"1d 4h 23m";"";"109.699";"2021.08.17 17:00:00";"109,19900";"110,44900";"Main: USDJPY_M1_UTC2/H1";"16,30";"52,90"
"907";"USDJPY_M1_UTC2";"Buy";"2021.10.08 04:24:00";"111.830";"0,01000";"2021.10.08 19:00:00";"112.143";"1,99";"501,27";"IST";"End Of Friday (Time)";"-2,04";"2,21";"14h 36m";"";"111.830";"2021.10.07 17:00:00";"111,33000";"112,58000";"Main: USDJPY_M1_UTC2/H1";"32,00";"34,70"
