"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"2";"USDJPY_M1_UTC2";"Sell";"2020.01.03 03:51:00";"108.262";"0,01000";"2020.01.03 19:00:00";"107.986";"1,76";"501,76";"IST";"End Of Friday (Time)";"-0,24";"2,02";"15h 9m";"";"108.262";"2020.01.02 19:00:00";"108,91200";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"3,80";"31,70"
"5";"USDJPY_M1_UTC2";"Buy";"2020.01.08 18:53:00";"109.115";"0,01000";"2020.01.10 19:00:00";"109.492";"2,40";"504,16";"IST";"End Of Friday (Time)";"-0,73";"3,66";"2d 0h 7m";"";"109.115";"2020.01.08 11:00:00";"108,46500";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"11,40";"57,40"
"6";"USDJPY_M1_UTC2";"Buy";"2020.01.14 02:12:00";"110.133";"0,01000";"2020.01.17 19:00:00";"110.151";"0,11";"504,28";"IST";"End Of Friday (Time)";"-2,20";"1,00";"3d 16h 48m";"";"110.133";"2020.01.14 01:00:00";"109,48300";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"34,50";"15,70"
"8";"USDJPY_M1_UTC2";"Sell";"2020.01.23 07:11:00";"109.568";"0,01000";"2020.01.24 19:00:00";"109.365";"1,29";"505,57";"IST";"End Of Friday (Time)";"-0,73";"1,73";"1d 11h 49m";"";"109.568";"2020.01.22 19:00:00";"110,21800";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"11,50";"27,20"
"11";"USDJPY_M1_UTC2";"Sell";"2020.01.31 18:01:00";"108.356";"0,01000";"2020.01.31 19:00:00";"108.545";"-1,20";"504,37";"IST";"End Of Friday (Time)";"-1,24";"0,10";"59m 0s";"";"108.356";"2020.01.31 03:00:00";"109,00600";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"19,40";"1,50"
"13";"USDJPY_M1_UTC2";"Buy";"2020.02.05 10:36:00";"109.589";"0,01000";"2020.02.07 19:00:00";"109.795";"1,31";"505,68";"IST";"End Of Friday (Time)";"-0,39";"2,75";"2d 8h 24m";"";"109.589";"2020.02.04 23:00:00";"108,93900";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"6,10";"43,20"
"18";"USDJPY_M1_UTC2";"Sell";"2020.02.24 16:53:00";"110.739";"0,01000";"2020.02.28 19:00:00";"108.177";"16,33";"522,01";"IST";"End Of Friday (Time)";"-2,12";"18,84";"4d 2h 7m";"";"110.739";"2020.02.24 01:00:00";"111,38900";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"33,20";"295,70"
"30";"USDJPY_M1_UTC2";"Buy";"2020.03.19 04:15:00";"109.054";"0,01000";"2020.03.20 19:00:00";"111.289";"14,24";"536,25";"IST";"End Of Friday (Time)";"-3,85";"14,92";"1d 14h 45m";"";"109.054";"2020.03.18 18:00:00";"108,40400";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"60,40";"234,10"
"32";"USDJPY_M1_UTC2";"Sell";"2020.03.27 04:16:00";"108.686";"0,01000";"2020.03.27 19:00:00";"108.199";"3,10";"539,35";"IST";"End Of Friday (Time)";"-2,63";"5,03";"14h 44m";"";"108.686";"2020.03.27 01:00:00";"109,33600";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"41,30";"79,00"
"78";"USDJPY_M1_UTC2";"Sell";"2020.07.06 21:42:00";"107.266";"0,01000";"2020.07.10 19:00:00";"106.811";"2,90";"542,25";"IST";"End Of Friday (Time)";"-3,53";"3,81";"3d 21h 18m";"";"107.266";"2020.07.06 18:00:00";"107,91600";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"55,40";"59,80"
"86";"USDJPY_M1_UTC2";"Buy";"2020.07.31 16:51:00";"105.625";"0,01000";"2020.07.31 19:00:00";"105.754";"0,82";"543,07";"IST";"End Of Friday (Time)";"-0,89";"1,34";"2h 9m";"";"105.625";"2020.07.31 05:00:00";"104,97500";"-100000000,00000";"Main: USDJPY_M1_UTC2/H1";"14,00";"21,00"
