"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"105";"USDJPY_M1_UTC2";"Buy";"2020.02.19 13:10:00";"110.398";"0,01000";"2020.02.20 12:30:00";"112.048";"10,52";"510,52";"IST";"PT";"-0,26";"10,52";"23h 20m";"";"110.398";"2020.02.19 12:00:00";"109,59800";"112,04800";"Main: USDJPY_M1_UTC2/H1";"4,10";"165,00"
"112";"USDJPY_M1_UTC2";"Sell";"2020.02.24 17:40:00";"110.488";"0,01000";"2020.02.28 08:14:00";"108.838";"10,52";"521,03";"IST";"PT";"-3,72";"10,52";"3d 14h 34m";"";"110.488";"2020.02.24 10:00:00";"111,28800";"108,83800";"Main: USDJPY_M1_UTC2/H1";"58,30";"165,00"
"126";"USDJPY_M1_UTC2";"Sell";"2020.03.06 12:20:00";"105.044";"0,01000";"2020.03.06 19:00:00";"105.345";"-1,92";"519,11";"IST";"End Of Friday (Time)";"-4,60";"0,13";"6h 40m";"";"105.044";"2020.03.06 10:00:00";"105,84400";"103,39400";"Main: USDJPY_M1_UTC2/H1";"72,20";"2,10"
"127";"USDJPY_M1_UTC2";"Sell";"2020.03.09 01:50:00";"103.826";"0,01000";"2020.03.09 04:49:00";"102.176";"10,52";"529,63";"IST";"PT";"-2,99";"10,52";"2h 59m";"";"103.826";"2020.03.09 00:00:00";"104,62600";"102,17600";"Main: USDJPY_M1_UTC2/H1";"46,90";"165,00"
"128";"USDJPY_M1_UTC2";"Sell";"2020.03.09 05:13:00";"102.161";"0,01000";"2020.03.09 06:20:00";"102.971";"-5,16";"524,47";"IST";"SL";"-5,16";"3,68";"1h 7m";"";"102.161";"2020.03.09 05:00:00";"102,96100";"100,51100";"Main: USDJPY_M1_UTC2/H1";"81,00";"57,80"
"129";"USDJPY_M1_UTC2";"Sell";"2020.03.09 16:36:00";"101.667";"0,01000";"2020.03.09 16:46:00";"102.477";"-5,16";"519,30";"IST";"SL";"-5,16";"2,91";"10m 0s";"";"101.667";"2020.03.09 07:00:00";"102,46700";"100,01700";"Main: USDJPY_M1_UTC2/H1";"81,00";"45,70"
"171";"USDJPY_M1_UTC2";"Sell";"2020.03.27 03:55:00";"108.928";"0,01000";"2020.03.27 19:00:00";"108.199";"4,65";"523,95";"IST";"End Of Friday (Time)";"-1,16";"6,58";"15h 5m";"";"108.928";"2020.03.26 18:00:00";"109,72800";"107,27800";"Main: USDJPY_M1_UTC2/H1";"18,20";"103,20"
"211";"USDJPY_M1_UTC2";"Sell";"2020.04.13 18:24:00";"107.619";"0,01000";"2020.04.17 19:00:00";"107.561";"0,37";"524,32";"IST";"End Of Friday (Time)";"-3,15";"4,23";"4d 0h 36m";"";"107.619";"2020.04.13 10:00:00";"108,41900";"105,96900";"Main: USDJPY_M1_UTC2/H1";"49,40";"66,30"
"286";"USDJPY_M1_UTC2";"Buy";"2020.05.19 16:13:00";"108.035";"0,01000";"2020.05.22 19:00:00";"107.501";"-3,40";"520,92";"IST";"End Of Friday (Time)";"-4,54";"0,34";"3d 2h 47m";"";"108.035";"2020.05.19 16:00:00";"107,23500";"109,68500";"Main: USDJPY_M1_UTC2/H1";"71,30";"5,30"
"307";"USDJPY_M1_UTC2";"Buy";"2020.06.02 17:31:00";"108.671";"0,01000";"2020.06.05 19:00:00";"109.672";"6,38";"527,29";"IST";"End Of Friday (Time)";"-1,59";"7,51";"3d 1h 29m";"";"108.671";"2020.06.02 16:00:00";"107,87100";"110,32100";"Main: USDJPY_M1_UTC2/H1";"24,90";"117,80"
"314";"USDJPY_M1_UTC2";"Sell";"2020.06.09 03:54:00";"108.090";"0,01000";"2020.06.12 19:00:00";"107.409";"4,34";"531,63";"IST";"End Of Friday (Time)";"-1,19";"9,49";"3d 15h 6m";"";"108.090";"2020.06.08 20:00:00";"108,89000";"106,44000";"Main: USDJPY_M1_UTC2/H1";"18,70";"148,90"
"336";"USDJPY_M1_UTC2";"Sell";"2020.06.23 16:57:00";"106.247";"0,01000";"2020.06.24 22:57:00";"107.057";"-5,16";"526,47";"IST";"SL";"-5,16";"0,92";"1d 6h 0m";"";"106.247";"2020.06.23 16:00:00";"107,04700";"104,59700";"Main: USDJPY_M1_UTC2/H1";"81,00";"14,50"
"344";"USDJPY_M1_UTC2";"Buy";"2020.06.29 17:34:00";"107.858";"0,01000";"2020.07.03 19:00:00";"107.514";"-2,19";"524,28";"IST";"End Of Friday (Time)";"-3,36";"1,95";"4d 1h 26m";"";"107.858";"2020.06.29 10:00:00";"107,05800";"109,50800";"Main: USDJPY_M1_UTC2/H1";"52,80";"30,60"
"365";"USDJPY_M1_UTC2";"Sell";"2020.07.10 12:10:00";"106.732";"0,01000";"2020.07.10 19:00:00";"106.811";"-0,50";"523,78";"IST";"End Of Friday (Time)";"-1,15";"0,41";"6h 50m";"";"106.732";"2020.07.10 06:00:00";"107,53200";"105,08200";"Main: USDJPY_M1_UTC2/H1";"18,10";"6,40"
"404";"USDJPY_M1_UTC2";"Sell";"2020.07.24 10:02:00";"106.289";"0,01000";"2020.07.24 19:00:00";"105.832";"2,91";"526,69";"IST";"End Of Friday (Time)";"-1,11";"3,17";"8h 58m";"";"106.289";"2020.07.24 04:00:00";"107,08900";"104,63900";"Main: USDJPY_M1_UTC2/H1";"17,40";"49,70"
"465";"USDJPY_M1_UTC2";"Sell";"2020.08.17 17:21:00";"106.042";"0,01000";"2020.08.21 19:00:00";"105.916";"0,80";"527,49";"IST";"End Of Friday (Time)";"-1,29";"5,81";"4d 1h 39m";"";"106.042";"2020.08.17 10:00:00";"106,84200";"104,39200";"Main: USDJPY_M1_UTC2/H1";"20,30";"91,10"
"539";"USDJPY_M1_UTC2";"Sell";"2020.09.14 16:35:00";"105.735";"0,01000";"2020.09.18 19:00:00";"104.484";"7,97";"535,46";"IST";"End Of Friday (Time)";"-0,69";"9,13";"4d 2h 25m";"";"105.735";"2020.09.14 10:00:00";"106,53500";"104,08500";"Main: USDJPY_M1_UTC2/H1";"10,90";"143,30"
"570";"USDJPY_M1_UTC2";"Sell";"2020.10.02 08:50:00";"105.004";"0,01000";"2020.10.02 19:00:00";"105.401";"-2,53";"532,93";"IST";"End Of Friday (Time)";"-2,68";"0,20";"10h 10m";"";"105.004";"2020.10.02 04:00:00";"105,80400";"103,35400";"Main: USDJPY_M1_UTC2/H1";"42,00";"3,20"
"598";"USDJPY_M1_UTC2";"Sell";"2020.10.12 17:53:00";"105.291";"0,01000";"2020.10.16 19:00:00";"105.455";"-1,05";"531,89";"IST";"End Of Friday (Time)";"-2,33";"1,43";"4d 1h 7m";"";"105.291";"2020.10.12 10:00:00";"106,09100";"103,64100";"Main: USDJPY_M1_UTC2/H1";"36,60";"22,50"
"610";"USDJPY_M1_UTC2";"Sell";"2020.10.21 11:15:00";"104.976";"0,01000";"2020.10.23 19:00:00";"104.818";"1,01";"532,90";"IST";"End Of Friday (Time)";"-0,17";"3,86";"2d 7h 45m";"";"104.976";"2020.10.21 02:00:00";"105,77600";"103,32600";"Main: USDJPY_M1_UTC2/H1";"2,60";"60,50"
"645";"USDJPY_M1_UTC2";"Buy";"2020.11.09 16:45:00";"105.137";"0,01000";"2020.11.13 19:00:00";"104.600";"-3,42";"529,47";"IST";"End Of Friday (Time)";"-3,42";"3,43";"4d 2h 15m";"";"105.137";"2020.11.09 10:00:00";"104,33700";"106,78700";"Main: USDJPY_M1_UTC2/H1";"53,70";"53,90"
"662";"USDJPY_M1_UTC2";"Buy";"2020.11.23 17:56:00";"104.415";"0,01000";"2020.11.27 19:00:00";"104.055";"-2,29";"527,18";"IST";"End Of Friday (Time)";"-3,24";"2,20";"4d 1h 4m";"";"104.415";"2020.11.23 10:00:00";"103,61500";"106,06500";"Main: USDJPY_M1_UTC2/H1";"50,90";"34,60"
"681";"USDJPY_M1_UTC2";"Sell";"2020.12.03 16:50:00";"103.831";"0,01000";"2020.12.04 19:00:00";"104.196";"-2,33";"524,85";"IST";"End Of Friday (Time)";"-2,81";"0,83";"1d 2h 10m";"";"103.831";"2020.12.03 08:00:00";"104,63100";"102,18100";"Main: USDJPY_M1_UTC2/H1";"44,10";"13,10"
