"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"52";"USDJPY_M1_UTC2";"Sell";"2020.02.28 17:24:00";"108.175";"0,01000";"2020.02.28 19:00:00";"108.177";"-0,01";"499,99";"IST";"End Of Friday (Time)";"-2,25";"2,50";"1h 36m";"";"108.175";"2020.02.28 02:00:00";"108,82500";"107,17500";"Main: USDJPY_M1_UTC2/H1";"35,30";"39,30"
"62";"USDJPY_M1_UTC2";"Sell";"2020.03.05 22:54:00";"106.184";"0,01000";"2020.03.06 11:57:00";"105.184";"6,37";"506,36";"IST";"PT";"-1,20";"6,37";"13h 3m";"";"106.184";"2020.03.05 11:00:00";"106,83400";"105,18400";"Main: USDJPY_M1_UTC2/H1";"18,80";"100,00"
"76";"USDJPY_M1_UTC2";"Buy";"2020.03.19 05:13:00";"109.453";"0,01000";"2020.03.19 08:05:00";"108.793";"-4,21";"502,15";"IST";"SL";"-4,21";"0,66";"2h 52m";"";"109.453";"2020.03.18 16:00:00";"108,80300";"110,45300";"Main: USDJPY_M1_UTC2/H1";"66,00";"10,40"
"147";"USDJPY_M1_UTC2";"Buy";"2020.05.26 04:32:00";"107.902";"0,01000";"2020.05.29 07:47:00";"107.242";"-4,21";"497,95";"IST";"SL";"-4,21";"0,29";"3d 3h 15m";"";"107.902";"2020.05.26 03:00:00";"107,25200";"108,90200";"Main: USDJPY_M1_UTC2/H1";"66,00";"4,50"
"146";"USDJPY_M1_UTC2";"Sell";"2020.05.26 14:34:00";"107.523";"0,01000";"2020.05.29 19:00:00";"107.807";"-1,81";"496,14";"IST";"End Of Friday (Time)";"-2,89";"2,64";"3d 4h 26m";"";"107.523";"2020.05.26 02:00:00";"108,17300";"106,52300";"Main: USDJPY_M1_UTC2/H1";"45,40";"41,40"
"151";"USDJPY_M1_UTC2";"Buy";"2020.06.02 15:22:00";"108.346";"0,01000";"2020.06.05 09:19:00";"109.346";"6,37";"502,51";"IST";"PT";"-0,57";"6,37";"2d 17h 57m";"";"108.346";"2020.06.02 07:00:00";"107,69600";"109,34600";"Main: USDJPY_M1_UTC2/H1";"9,00";"100,00"
"153";"USDJPY_M1_UTC2";"Sell";"2020.06.08 17:37:00";"108.516";"0,01000";"2020.06.10 08:45:00";"107.516";"6,37";"508,88";"IST";"PT";"-1,68";"6,37";"1d 15h 8m";"";"108.516";"2020.06.08 15:00:00";"109,16600";"107,51600";"Main: USDJPY_M1_UTC2/H1";"26,40";"100,00"
"170";"USDJPY_M1_UTC2";"Buy";"2020.06.23 05:35:00";"107.188";"0,01000";"2020.06.23 15:51:00";"106.528";"-4,21";"504,68";"IST";"SL";"-4,21";"0,21";"10h 16m";"";"107.188";"2020.06.23 02:00:00";"106,53800";"108,18800";"Main: USDJPY_M1_UTC2/H1";"66,00";"3,30"
"198";"USDJPY_M1_UTC2";"Sell";"2020.07.24 03:20:00";"106.655";"0,01000";"2020.07.24 19:00:00";"105.832";"5,24";"509,92";"IST";"End Of Friday (Time)";"-0,20";"5,50";"15h 40m";"";"106.655";"2020.07.23 12:00:00";"107,30500";"105,65500";"Main: USDJPY_M1_UTC2/H1";"3,10";"86,30"
"207";"USDJPY_M1_UTC2";"Sell";"2020.07.31 04:48:00";"104.261";"0,01000";"2020.07.31 14:30:00";"104.921";"-4,21";"505,72";"IST";"SL";"-4,21";"0,29";"9h 42m";"";"104.261";"2020.07.30 18:00:00";"104,91100";"103,26100";"Main: USDJPY_M1_UTC2/H1";"66,00";"4,50"
